ID;Koeriersdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal koeriersdiensten;2004 3e kwartaal;  100;    ;    ;100
1;Totaal koeriersdiensten;2004 4e kwartaal;100,4; 0,4;    ;100
2;Totaal koeriersdiensten;2005 1e kwartaal;103,7; 3,3;    ;100
3;Totaal koeriersdiensten;2005 2e kwartaal;104,4; 0,7;    ;100
4;Totaal koeriersdiensten;2005 3e kwartaal;104,7; 0,3; 4,7;100
5;Totaal koeriersdiensten;2005 4e kwartaal;105,3; 0,6; 4,9;100
6;Totaal koeriersdiensten;2005 jaargemiddelde;104,5;    ;    ;100
7;Totaal koeriersdiensten;2006 1e kwartaal;106,6; 1,2; 2,8;100
8;Totaal koeriersdiensten;2006 2e kwartaal;107,2; 0,6; 2,7;100
9;Totaal koeriersdiensten;2006 3e kwartaal;107,6; 0,4; 2,8;100
10;Totaal koeriersdiensten;2006 4e kwartaal;107,5;-0,1; 2,1;100
11;Totaal koeriersdiensten;2006 jaargemiddelde;107,2;    ; 2,6;100
12;Totaal koeriersdiensten;2007 1e kwartaal;109,4; 1,8; 2,6;100
13;Totaal koeriersdiensten;2007 2e kwartaal;109,4; 0,0; 2,1;100
14;Totaal koeriersdiensten;2007 3e kwartaal;109,9; 0,5; 2,1;100
15;Totaal koeriersdiensten;2007 4e kwartaal;110,1; 0,2; 2,4;100
16;Totaal koeriersdiensten;2007 jaargemiddelde;109,7;    ; 2,3;100
17;Totaal koeriersdiensten;2008 1e kwartaal;113,8; 3,4; 4,0;100
18;Nationaal;2004 3e kwartaal;  100;    ;    ;49
19;Nationaal;2004 4e kwartaal;  101;   1;    ;49
20;Nationaal;2005 1e kwartaal;  103;   2;    ;49
21;Nationaal;2005 2e kwartaal;  104;   1;    ;49
22;Nationaal;2005 3e kwartaal;  104;   0;   4;49
23;Nationaal;2005 4e kwartaal;  104;   0;   3;49
24;Nationaal;2005 jaargemiddelde;  104;    ;    ;49
25;Nationaal;2006 1e kwartaal;  106;   2;   3;49
26;Nationaal;2006 2e kwartaal;  107;   1;   3;49
27;Nationaal;2006 3e kwartaal;  107;   0;   3;49
28;Nationaal;2006 4e kwartaal;  107;   0;   3;49
29;Nationaal;2006 jaargemiddelde;  107;    ;   3;49
30;Nationaal;2007 1e kwartaal;  109;   2;   3;49
31;Nationaal;2007 2e kwartaal;  109;   0;   2;49
32;Nationaal;2007 3e kwartaal;  109;   0;   2;49
33;Nationaal;2007 4e kwartaal;  109;   0;   2;49
34;Nationaal;2007 jaargemiddelde;  109;    ;   2;49
35;Nationaal;2008 1e kwartaal;  113;   4;   4;49
36;Internationaal;2004 3e kwartaal;  100;    ;    ;51
37;Internationaal;2004 4e kwartaal;  100;   0;    ;51
38;Internationaal;2005 1e kwartaal;  104;   4;    ;51
39;Internationaal;2005 2e kwartaal;  105;   1;    ;51
40;Internationaal;2005 3e kwartaal;  105;   0;   5;51
41;Internationaal;2005 4e kwartaal;  106;   1;   6;51
42;Internationaal;2005 jaargemiddelde;  105;    ;    ;51
43;Internationaal;2006 1e kwartaal;  107;   1;   3;51
44;Internationaal;2006 2e kwartaal;  108;   1;   3;51
45;Internationaal;2006 3e kwartaal;  108;   0;   3;51
46;Internationaal;2006 4e kwartaal;  108;   0;   2;51
47;Internationaal;2006 jaargemiddelde;  108;    ;   3;51
48;Internationaal;2007 1e kwartaal;  110;   2;   3;51
49;Internationaal;2007 2e kwartaal;  110;   0;   2;51
50;Internationaal;2007 3e kwartaal;  111;   1;   3;51
51;Internationaal;2007 4e kwartaal;  111;   0;   3;51
52;Internationaal;2007 jaargemiddelde;  111;    ;   3;51
53;Internationaal;2008 1e kwartaal;  114;   3;   4;51
