ID;Vakantiekenmerken;Perioden;TotaalNaarOrganisatievormEnVervoer_1;GeorganiseerdeReisPerAuto_2;GeorganiseerdeReisPerTouringcar_3;GeorganiseerdeReisPerVliegtuig_4;GeorganiseerdeReisMetOverigVervoer_5;NietGeorganiseerdeReizen_6
0;10;2002;3585.0;830.0;189.0;360.0;451.0;1755.0
1;10;2003;3456.0;923.0;241.0;348.0;404.0;1539.0
2;10;2004;3563.0;1001.0;201.0;448.0;339.0;1574.0
3;10;2005;3291.0;998.0;255.0;374.0;294.0;1369.0
4;10;2006;3229.0;838.0;208.0;456.0;336.0;1392.0
5;10;2007;3662.0;995.0;203.0;497.0;393.0;1573.0
6;10;2008;3363.0;1044.0;144.0;456.0;343.0;1377.0
7;10;2009;3816.0;1202.0;201.0;511.0;376.0;1526.0
8;10;2010;3624.0;1232.0;150.0;570.0;322.0;1351.0
9;10;2011;3701.0;1439.0;184.0;599.0;420.0;1059.0
10;10;2012;3785.0;1461.0;180.0;713.0;394.0;1037.0
11;10;2013;3646.0;1505.0;123.0;743.0;357.0;918.0
12;10;2014;3511.0;1348.0;183.0;677.0;301.0;1001.0
13;10;2015;3677.0;1506.0;152.0;730.0;351.0;938.0
14;10;2016;3603.0;1506.0;135.0;801.0;305.0;856.0
15;België;2002;1209.0;344.0;24.0;0.0;86.0;755.0
16;België;2003;1239.0;411.0;24.0;0.0;102.0;702.0
17;België;2004;1185.0;433.0;21.0;0.0;109.0;622.0
18;België;2005;1057.0;441.0;35.0;0.0;70.0;512.0
19;België;2006;1031.0;310.0;30.0;0.0;107.0;584.0
20;België;2007;1172.0;411.0;28.0;0.0;87.0;646.0
21;België;2008;1002.0;391.0;39.0;0.0;123.0;449.0
22;België;2009;1101.0;426.0;24.0;0.0;90.0;562.0
23;België;2010;1166.0;498.0;19.0;0.0;111.0;538.0
24;België;2011;1108.0;530.0;30.0;;137.0;411.0
25;België;2012;1036.0;521.0;15.0;0.0;126.0;374.0
26;België;2013;979.0;543.0;23.0;0.0;93.0;320.0
27;België;2014;779.0;424.0;15.0;0.0;89.0;250.0
28;België;2015;847.0;433.0;20.0;1.0;95.0;297.0
29;België;2016;729.0;449.0;19.0;0.0;48.0;213.0
30;Luxemburg;2002;88.0;19.0;;0.0;10.0;57.0
31;Luxemburg;2003;73.0;18.0;;0.0;5.0;51.0
32;Luxemburg;2004;110.0;22.0;;0.0;;83.0
33;Luxemburg;2005;99.0;39.0;;0.0;;51.0
34;Luxemburg;2006;89.0;23.0;;0.0;;58.0
35;Luxemburg;2007;54.0;19.0;0.0;0.0;2.0;34.0
36;Luxemburg;2008;62.0;23.0;;0.0;;32.0
37;Luxemburg;2009;60.0;31.0;;0.0;0.0;25.0
38;Luxemburg;2010;62.0;19.0;1.0;0.0;6.0;36.0
39;Luxemburg;2011;45.0;27.0;;;2.0;17.0
40;Luxemburg;2012;65.0;;;;;
41;Luxemburg;2013;;;;;;
42;Luxemburg;2014;;;;;;
43;Luxemburg;2015;;;;;;
44;Luxemburg;2016;;;;;;
45;Frankrijk;2002;674.0;250.0;86.0;39.0;115.0;183.0
46;Frankrijk;2003;564.0;191.0;97.0;31.0;83.0;162.0
47;Frankrijk;2004;605.0;212.0;103.0;28.0;71.0;191.0
48;Frankrijk;2005;590.0;219.0;90.0;27.0;84.0;171.0
