ID;Uitvalcategorie;RegioS;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;TotaalBedrijfsmotorvoertuigen_3;Bestelauto_4;VrachtautoExclTrekkerVoorOplegger_5;TrekkerVoorOplegger_6;SpeciaalVoertuig_7;Bus_8;TotaalGewichtMotorvoertuigen_9;Personenauto_10;TotaalGewichtBedrijfsmotorvoertuigen_11;Bestelauto_12;VrachtautoExclTrekkerVoorOplegger_13;TrekkerVoorOplegger_14;SpeciaalVoertuig_15;Bus_16
0;Totaal uitval;Nederland;2018;477873;417602;60271;48246;3443;6150;1831;601;679368;494038;185330;81110;33565;47223;16746;6685
1;Totaal uitval;Nederland;2019;503759;438016;65743;52618;3592;6952;1918;663;725947;523700;202247;89390;34819;53571;17198;7269
2;Totaal uitval;Nederland;2020;467215;404513;62702;50336;3616;6271;1793;686;680841;487137;193704;85512;35151;48460;17017;7564
3;Totaal uitval;Nederland;2021;499127;438287;60840;49821;3011;5838;1724;446;707672;524647;183025;85584;29235;45507;17728;4971
4;Totaal uitval;Nederland;2022;459881;403331;56550;45239;2960;6361;1671;319;667482;489763;177719;79193;28015;49916;16686;3909
5;Totaal uitval;Nederland;2023;431648;366566;65082;51722;3319;7708;1952;381;663320;452512;210808;90944;32801;60991;21154;4918
6;Totaal uitval;Nederland;2024;470981;387643;83338;69537;3712;7457;2144;488;730181;486014;244167;122465;36487;58872;20781;5562
7;Totaal uitval;Noord-Nederland (LD);2018;48479;41787;6692;5841;295;344;173;39;65463;49043;16420;9606;2898;2640;844;431
8;Totaal uitval;Noord-Nederland (LD);2019;49792;42594;7198;6239;243;362;213;141;68395;50448;17947;10347;2270;2786;1165;1379
9;Totaal uitval;Noord-Nederland (LD);2020;47335;40469;6866;6046;249;341;213;17;64643;48580;16063;10048;2154;2602;1066;193
10;Totaal uitval;Noord-Nederland (LD);2021;53609;47132;6477;5714;181;378;193;11;71408;56013;15395;9640;1613;2974;1039;130
11;Totaal uitval;Noord-Nederland (LD);2022;49310;43212;6098;5280;182;437;172;27;67413;52232;15181;9064;1680;3355;745;338
12;Totaal uitval;Noord-Nederland (LD);2023;44725;37945;6780;5931;192;452;187;18;63496;46613;16884;10216;1884;3523;1014;246
13;Totaal uitval;Noord-Nederland (LD);2024;48374;39796;8578;7569;209;477;239;84;70260;49135;21125;13065;1935;3728;1342;1055
14;Totaal uitval;Oost-Nederland (LD);2018;117593;100345;17248;13040;1251;2319;484;154;181565;122255;59310;22567;12411;17909;4664;1759
15;Totaal uitval;Oost-Nederland (LD);2019;125611;106123;19488;14617;1284;2703;585;299;198950;130868;68083;25460;12622;20835;5902;3264
16;Totaal uitval;Oost-Nederland (LD);2020;112374;95008;17366;13222;1292;2240;523;89;177867;117746;60121;23134;13282;17473;5274;959
17;Totaal uitval;Oost-Nederland (LD);2021;120646;103662;16984;13290;1043;2074;516;61;184303;127558;56744;23458;10520;16061;6148;557
18;Totaal uitval;Oost-Nederland (LD);2022;110575;93805;16770;12762;1067;2370;495;76;174524;116749;57776;22976;10371;18708;4853;868
19;Totaal uitval;Oost-Nederland (LD);2023;103061;83852;19209;14351;1219;3008;563;68;174460;105845;68615;25931;12082;23884;5820;898
20;Totaal uitval;Oost-Nederland (LD);2024;111985;89466;22519;17922;1261;2645;597;94;187847;115243;72604;32464;12364;20941;5645;1190
21;Totaal uitval;West-Nederland (LD);2018;191551;170298;21253;18078;946;1618;551;60;261591;203142;58449;30304;9271;12481;5770;624
22;Totaal uitval;West-Nederland (LD);2019;205203;181944;23259;19806;1018;1785;579;71;282957;219804;63152;33502;9688;13744;5428;791
23;Totaal uitval;West-Nederland (LD);2020;192057;169026;23031;19346;1032;1799;585;269;271230;206115;65116;32653;9399;13758;6285;3021
