ID;PersonalCharacteristics;Periods;MembershipSportsClub_1;k_5HoursAWeekOrMore_2;k_14HoursAWeek_3;k_5HoursAWeekOrMore_4;k_14HoursAWeek_5;ClubActivitiesAtLeastOnceAMonth_6;MembershipHobbyClub_7;k_5HoursAWeekOrMore_8;k_14HoursAWeek_9;k_5HoursAWeekOrMore_10;k_14HoursAWeek_11;MembershipArtsCollege_12;k_5HoursAWeekOrMore_13;k_14HoursAWeek_14;k_5HoursAWeekOrMore_15;k_14HoursAWeek_16;MembershipSchoolOfMusic_17;MemberMusicalClubChoir1229Yrs_18;PlaysMusicalInstrument1229Yrs_19;OwnsCulturalPass1227Yrs_20;AtLeastOnceAMonth_21;k_311TimesAYear_22;AtLeastOnceAMonth_23;MoreThan3TimesAYearNotMonthly_24;AtLeastOnceAMonth_25;MoreThan3TimesAYearNotMonthly_26;AtLeastOnceAMonth_27;MoreThan3TimesAYearNotMonthly_28;AtLeastOnceAMonth_29;MoreThan3TimesAYearNotMonthly_30;AtLeastOnceAMonth_31;MoreThan3TimesAYearNotMonthly_32;AtLeastOnceAMonth_33;MoreThan3TimesAYearNotMonthly_34;AtLeastOnceAMonth_35;MoreThan3TimesAYearNotMonthly_36;AtLeastOnceAMonth_37;MoreThan3TimesAYearNotMonthly_38;AtLeastOnceAMonth_39;MoreThan3TimesAYearNotMonthly_40;AtLeastOnceAMonth_41;MoreThan3TimesAYearNotMonthly_42;FrequentWalkers_43;k_5HoursAWeekOrMore_44;k_14HoursAWeek_45;CyclingTrips_46;k_5HoursAWeekOrMore_47;k_14HoursAWeek_48;AtLeastOnceAWeek_49;k_13TimesAMonth_50;AtLeastOnceAMonth_51;MoreThan3TimesAYearNotMonthly_52;AtLeastOnceAMonth_53;MoreThan3TimesAYearNotMonthly_54;AtLeastOnceAMonth_55;MoreThan3TimesAYearNotMonthly_56;MoreThanOneHoliday_57;OneHoliday_58;ExtremelySatisfactory_59;VerySatisfactory_60;Satisfactory_61;ReasonablySatisfactory_62;NotVerySatisfactory_63;AreYouSometimesBored1229Yrs_64
0;Total personal characteristics;1997;26.0;13.0;40.0;8.0;21.0;48.0;9.0;8.0;26.0;4.0;9.0;6.0;5.0;12.0;3.0;6.0;18.0;7.0;19.0;12.0;3.0;13.0;3.0;16.0;2.0;8.0;0.0;2.0;0.0;2.0;1.0;7.0;10.0;18.0;50.0;24.0;2.0;6.0;0.0;5.0;1.0;5.0;57.0;23.0;59.0;50.0;26.0;59.0;12.0;14.0;29.0;38.0;14.0;7.0;40.0;18.0;35.0;36.0;8.0;27.0;48.0;12.0;5.0;8.0
1;Total personal characteristics;1998;26.0;12.0;41.0;8.0;19.0;48.0;8.0;8.0;26.0;4.0;9.0;7.0;5.0;13.0;4.0;6.0;17.0;;;;3.0;14.0;5.0;16.0;;;;;;;1.0;8.0;10.0;20.0;50.0;22.0;3.0;6.0;1.0;5.0;1.0;5.0;57.0;23.0;59.0;49.0;24.0;59.0;13.0;14.0;32.0;37.0;14.0;7.0;39.0;18.0;36.0;36.0;8.0;27.0;49.0;13.0;4.0;
2;Total personal characteristics;1999;27.0;13.0;41.0;7.0;20.0;48.0;8.0;8.0;25.0;3.0;8.0;5.0;5.0;12.0;3.0;6.0;15.0;;;;3.0;14.0;4.0;16.0;;;;;;;1.0;8.0;10.0;19.0;48.0;23.0;3.0;7.0;1.0;6.0;2.0;5.0;58.0;22.0;62.0;49.0;23.0;62.0;13.0;14.0;34.0;37.0;15.0;7.0;40.0;19.0;39.0;35.0;8.0;30.0;45.0;12.0;5.0;
3;Total personal characteristics;2000;28.0;13.0;41.0;8.0;20.0;48.0;9.0;8.0;26.0;3.0;9.0;7.0;5.0;11.0;3.0;6.0;17.0;;;;3.0;14.0;5.0;16.0;;;;;;;2.0;9.0;10.0;20.0;50.0;22.0;3.0;7.0;0.0;6.0;2.0;5.0;59.0;22.0;62.0;49.0;23.0;62.0;13.0;15.0;35.0;39.0;14.0;7.0;40.0;19.0;40.0;35.0;7.0;29.0;48.0;11.0;4.0;
4;Total personal characteristics;2001;28.0;13.0;42.0;8.0;19.0;48.0;8.0;8.0;25.0;3.0;8.0;6.0;5.0;11.0;3.0;6.0;17.0;7.0;19.0;17.0;1.0;13.0;4.0;14.0;1.0;8.0;0.0;2.0;0.0;3.0;2.0;7.0;11.0;17.0;47.0;21.0;3.0;6.0;1.0;5.0;2.0;5.0;58.0;22.0;62.0;48.0;23.0;62.0;13.0;16.0;35.0;34.0;14.0;6.0;42.0;15.0;41.0;35.0;9.0;29.0;47.0;11.0;4.0;8.0
5;Total personal characteristics;2002;27.0;13.0;42.0;7.0;19.0;47.0;8.0;7.0;25.0;3.0;9.0;7.0;5.0;12.0;3.0;6.0;17.0;;;;1.0;14.0;4.0;13.0;;;;;;;2.0;7.0;11.0;18.0;48.0;19.0;3.0;6.0;1.0;4.0;1.0;4.0;57.0;21.0;61.0;49.0;22.0;62.0;12.0;16.0;35.0;34.0;14.0;6.0;44.0;16.0;42.0;34.0;8.0;28.0;48.0;12.0;4.0;
6;Total personal characteristics;2003;29.0;14.0;42.0;7.0;18.0;48.0;8.0;7.0;25.0;2.0;8.0;6.0;4.0;11.0;3.0;7.0;17.0;8.0;20.0;14.0;1.0;14.0;4.0;13.0;2.0;7.0;0.0;1.0;0.0;2.0;1.0;7.0;11.0;20.0;48.0;19.0;3.0;6.0;1.0;4.0;2.0;4.0;58.0;22.0;61.0;50.0;24.0;60.0;11.0;16.0;31.0;35.0;12.0;7.0;45.0;16.0;42.0;34.0;6.0;29.0;49.0;11.0;4.0;8.0
7;Total personal characteristics;2004;30.0;15.0;42.0;7.0;19.0;47.0;8.0;6.0;26.0;3.0;8.0;7.0;4.0;12.0;3.0;6.0;16.0;;;;1.0;13.0;3.0;13.0;;;;;;;1.0;7.0;11.0;19.0;48.0;20.0;3.0;6.0;1.0;4.0;1.0;4.0;59.0;21.0;62.0;50.0;23.0;62.0;11.0;16.0;32.0;34.0;12.0;7.0;48.0;16.0;42.0;34.0;7.0;29.0;48.0;11.0;5.0;
8;Total personal characteristics;2005;;16.0;42.0;6.0;19.0;48.0;;6.0;26.0;3.0;8.0;6.0;4.0;12.0;2.0;6.0;15.0;;;;1.0;14.0;4.0;13.0;;;;;;;1.0;7.0;11.0;18.0;48.0;18.0;3.0;6.0;1.0;3.0;1.0;3.0;59.0;23.0;62.0;50.0;22.0;64.0;10.0;15.0;32.0;32.0;12.0;7.0;49.0;16.0;41.0;34.0;6.0;29.0;48.0;11.0;5.0;
9;Total personal characteristics;2006;;17.0;42.0;7.0;20.0;47.0;;6.0;26.0;3.0;8.0;5.0;4.0;11.0;3.0;6.0;17.0;;;;1.0;14.0;5.0;14.0;;;;;;;2.0;8.0;11.0;19.0;46.0;20.0;3.0;6.0;1.0;3.0;1.0;3.0;60.0;24.0;62.0;50.0;25.0;61.0;11.0;16.0;33.0;34.0;12.0;6.0;48.0;18.0;44.0;32.0;4.0;30.0;52.0;10.0;4.0;
