ID;LeeftijdOp31December;VolgordeVanGeboorteUitDeMoeder;GeboortegeneratieVrouw;Vruchtbaarheidcijfers_1
0;Totaal;Totaal;1935;2.49886
1;Totaal;Totaal;1936;2.43154
2;Totaal;Totaal;1937;2.40692
3;Totaal;Totaal;1938;2.31703
4;Totaal;Totaal;1939;2.26666
5;Totaal;Totaal;1940;2.21382
6;Totaal;Totaal;1941;2.18308
7;Totaal;Totaal;1942;2.12353
8;Totaal;Totaal;1943;2.08089
9;Totaal;Totaal;1944;2.04654
10;Totaal;Totaal;1945;1.99651
11;Totaal;Totaal;1946;1.94643
12;Totaal;Totaal;1947;1.91854
13;Totaal;Totaal;1948;1.91693
14;Totaal;Totaal;1949;1.88988
15;Totaal;Totaal;1950;1.9006
16;Totaal;Totaal;1951;1.87468
17;Totaal;Totaal;1952;1.87533
18;Totaal;Totaal;1953;1.86957
19;Totaal;Totaal;1954;1.87644
20;Totaal;Totaal;1955;1.86746
21;Totaal;Totaal;1956;1.87421
22;Totaal;Totaal;1957;1.87067
23;Totaal;Totaal;1958;1.86572
24;Totaal;Totaal;1959;1.8527
25;Totaal;Totaal;1960;1.86297
26;Totaal;Totaal;1961;1.83044
27;Totaal;Totaal;1962;1.83094
28;Totaal;Totaal;1963;1.8086
29;Totaal;Totaal;1964;1.794
30;Totaal;Totaal;1965;1.78494
31;Totaal;Totaal;1966;1.7771
32;Totaal;Totaal;1967;1.76961
33;Totaal;Totaal;1968;1.76841
34;Totaal;Totaal;1969;1.75625
35;Totaal;Totaal;1970;1.75782
36;Totaal;Totaal;1971;1.75295
37;Totaal;Totaal;1972;1.76575
38;Totaal;Totaal;1973;1.76848
39;Totaal;Totaal;1974;1.7788
40;Totaal;Totaal;1975;1.78253
41;Totaal;Totaal;1976;1.78241
42;Totaal;Totaal;1977;1.80088
43;Totaal;Totaal;1978;1.78838
44;Totaal;Totaal;1979;1.7962
45;Totaal;Totaal;1980;1.80927
46;Totaal;Totaal;1981;1.80598
47;Totaal;Totaal;1982;1.80885
48;Totaal;Totaal;1983;1.80435
49;Totaal;Totaal;1984;1.78852
50;Totaal;Totaal;1985;1.76628
51;Totaal;Totaal;1986;1.73917
52;Totaal;Totaal;1987;1.72073
53;Totaal;Totaal;1988;1.70171
54;Totaal;Totaal;1989;1.69448
55;Totaal;Totaal;1990;1.69403
56;Totaal;Totaal;1991;1.69304
57;Totaal;Totaal;1992;1.69697
58;Totaal;Totaal;1993;1.69865
59;Totaal;Totaal;1994;1.69947
60;Totaal;Totaal;1995;1.7
61;Totaal;Totaal;1996;1.7
62;Totaal;Totaal;1997;1.7
63;Totaal;Totaal;1998;1.7
64;Totaal;Totaal;1999;1.7
65;Totaal;Totaal;2000;1.7
66;Totaal;Totaal;2001;1.69996
67;Totaal;Totaal;2002;1.7
68;Totaal;Totaal;2003;1.7
69;Totaal;Totaal;2004;1.7
70;Totaal;Totaal;2005;1.7
71;Totaal;Totaal;2006;1.7
72;Totaal;Totaal;2007;1.7
73;Totaal;Totaal;2008;1.7
74;Totaal;Totaal;2009;1.7
75;Totaal;Totaal;2010;1.7
76;Totaal;Totaal;2011;1.7
77;Totaal;Totaal;2012;1.7
78;Totaal;Totaal;2013;1.7
79;Totaal;Totaal;2014;1.7
80;Totaal;Totaal;2015;1.7
81;Totaal;Totaal;2016;1.7
82;Totaal;Totaal;2017;1.7
83;Totaal;Totaal;2018;1.7
84;Totaal;Totaal;2019;1.7
85;Totaal;Totaal;2020;1.7
86;Totaal;Totaal;2021;1.7
87;Totaal;Totaal;2022;1.7
88;Totaal;Totaal;2023;1.7
89;Totaal;Totaal;2024;1.7
90;Totaal;Totaal;2025;1.7
91;Totaal;Totaal;2026;1.7
92;Totaal;Totaal;2027;1.7
93;Totaal;Totaal;2028;1.7
94;Totaal;Totaal;2029;1.7
95;Totaal;Totaal;2030;1.7
96;Totaal;Eerste kind;1935;0.88315
97;Totaal;Eerste kind;1936;0.88108
98;Totaal;Eerste kind;1937;0.89766
99;Totaal;Eerste kind;1938;0.87908
100;Totaal;Eerste kind;1939;0.884
101;Totaal;Eerste kind;1940;0.88123
102;Totaal;Eerste kind;1941;0.9
103;Totaal;Eerste kind;1942;0.88881
104;Totaal;Eerste kind;1943;0.89658
105;Totaal;Eerste kind;1944;0.89487
106;Totaal;Eerste kind;1945;0.88313
107;Totaal;Eerste kind;1946;0.88313
108;Totaal;Eerste kind;1947;0.87203
109;Totaal;Eerste kind;1948;0.87214
110;Totaal;Eerste kind;1949;0.86079
111;Totaal;Eerste kind;1950;0.85423
112;Totaal;Eerste kind;1951;0.84665
113;Totaal;Eerste kind;1952;0.84149
114;Totaal;Eerste kind;1953;0.83662
115;Totaal;Eerste kind;1954;0.83525
116;Totaal;Eerste kind;1955;0.82909
117;Totaal;Eerste kind;1956;0.83054
118;Totaal;Eerste kind;1957;0.82789
119;Totaal;Eerste kind;1958;0.82356
120;Totaal;Eerste kind;1959;0.82293
121;Totaal;Eerste kind;1960;0.82758
122;Totaal;Eerste kind;1961;0.81985
123;Totaal;Eerste kind;1962;0.82318
124;Totaal;Eerste kind;1963;0.82025
125;Totaal;Eerste kind;1964;0.81758
126;Totaal;Eerste kind;1965;0.8189
127;Totaal;Eerste kind;1966;0.81875
