ID;BurgerlijkeStaat;Geslacht;GrootteklasseNagelatenVermogen;Perioden;NagelatenVermogenAantal_1;NagelatenVermogenTotaalBedrag_2;NagelatenVermogenGemiddeldBedrag_3;NagelatenVermogenMediaanBedrag_4
0;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2005;104280;10252.0;98.0;20.0
1;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2006;108430;11345.0;105.0;22.0
2;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2007;106290;11889.0;112.0;23.0
3;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2008;111020;12535.0;113.0;24.0
4;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2009;110310;12039.0;109.0;26.0
5;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2010;116420;14020.0;120.0;26.0
6;Totaal burgerlijke staat;Mannen en vrouwen;Totaal;2011;117760;13896.0;118.0;24.0
7;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2005;830;-39.0;-47.0;-15.0
8;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2006;840;-36.0;-43.0;-14.0
9;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2007;940;-43.0;-45.0;-16.0
10;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2008;930;-56.0;-61.0;-17.0
11;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2009;1100;-62.0;-56.0;-17.0
12;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2010;1120;-62.0;-55.0;-19.0
13;Totaal burgerlijke staat;Mannen en vrouwen;Negatief of nul euro;2011;1230;-61.0;-50.0;-18.0
14;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2005;21830;48.0;2.0;2.0
15;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2006;22070;48.0;2.0;2.0
16;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2007;20600;45.0;2.0;2.0
17;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2008;21340;47.0;2.0;2.0
18;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2009;20220;44.0;2.0;2.0
19;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2010;22350;44.0;2.0;2.0
20;Totaal burgerlijke staat;Mannen en vrouwen;> 0 tot 5 000 euro;2011;23250;44.0;2.0;2.0
21;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2005;12610;93.0;7.0;7.0
22;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2006;12140;89.0;7.0;7.0
23;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2007;11080;81.0;7.0;7.0
24;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2008;11180;82.0;7.0;7.0
25;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2009;11040;81.0;7.0;7.0
26;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2010;10740;79.0;7.0;7.0
27;Totaal burgerlijke staat;Mannen en vrouwen;5 000 tot 10 000 euro;2011;10760;79.0;7.0;7.0
28;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2005;22880;360.0;16.0;15.0
29;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2006;22880;366.0;16.0;15.0
30;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2007;21470;366.0;17.0;17.0
31;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2008;22650;389.0;17.0;17.0
32;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2009;22370;386.0;17.0;17.0
33;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2010;23700;418.0;18.0;18.0
34;Totaal burgerlijke staat;Mannen en vrouwen;10 000 tot 25 000 euro;2011;25000;440.0;18.0;17.0
35;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2005;8500;307.0;36.0;35.0
36;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2006;9450;340.0;36.0;35.0
37;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2007;9970;359.0;36.0;35.0
38;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2008;10390;375.0;36.0;35.0
39;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2009;10600;382.0;36.0;35.0
40;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2010;10590;383.0;36.0;35.0
41;Totaal burgerlijke staat;Mannen en vrouwen;25 000 tot 50 000 euro;2011;10080;364.0;36.0;35.0
42;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2005;10760;796.0;74.0;73.0
43;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2006;11330;836.0;74.0;73.0
44;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2007;11310;834.0;74.0;73.0
45;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2008;11970;882.0;74.0;73.0
46;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2009;12120;893.0;74.0;73.0
47;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2010;11540;848.0;73.0;73.0
48;Totaal burgerlijke staat;Mannen en vrouwen;50 000 tot 100 000 euro;2011;11430;839.0;73.0;73.0
49;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2005;13280;1908.0;144.0;140.0
50;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2006;14500;2086.0;144.0;141.0
51;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2007;14860;2140.0;144.0;141.0
52;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2008;15650;2256.0;144.0;142.0
53;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2009;15840;2285.0;144.0;141.0
54;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2010;16620;2412.0;145.0;143.0
55;Totaal burgerlijke staat;Mannen en vrouwen;100 000 tot 200 000 euro;2011;16690;2423.0;145.0;143.0
56;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2005;10440;3139.0;301.0;280.0
57;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2006;11560;3469.0;300.0;280.0
58;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2007;12200;3682.0;302.0;281.0
59;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2008;12910;3875.0;300.0;281.0
60;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2009;13240;3964.0;299.0;279.0
61;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2010;15260;4614.0;302.0;283.0
62;Totaal burgerlijke staat;Mannen en vrouwen;200 000 tot 500 000 euro;2011;14940;4516.0;302.0;283.0
63;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2005;3160;3640.0;1152.0;731.0
64;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2006;3650;4146.0;1136.0;730.0
65;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2007;3860;4425.0;1146.0;743.0
66;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2008;4000;4686.0;1170.0;737.0
67;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2009;3780;4064.0;1074.0;722.0
68;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2010;4510;5286.0;1171.0;722.0
69;Totaal burgerlijke staat;Mannen en vrouwen;500 000 euro en meer;2011;4370;5252.0;1201.0;722.0
70;Totaal burgerlijke staat;Mannen;Totaal;2005;53210;5589.0;105.0;22.0
71;Totaal burgerlijke staat;Mannen;Totaal;2006;54580;6096.0;112.0;25.0
72;Totaal burgerlijke staat;Mannen;Totaal;2007;54120;6463.0;119.0;31.0
73;Totaal burgerlijke staat;Mannen;Totaal;2008;55650;6767.0;122.0;32.0
74;Totaal burgerlijke staat;Mannen;Totaal;2009;55950;6503.0;116.0;34.0
75;Totaal burgerlijke staat;Mannen;Totaal;2010;59270;7572.0;128.0;34.0
76;Totaal burgerlijke staat;Mannen;Totaal;2011;59320;7603.0;128.0;29.0
77;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2005;570;-28.0;-50.0;-16.0
78;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2006;560;-25.0;-45.0;-16.0
79;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2007;620;-28.0;-46.0;-15.0
80;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2008;630;-43.0;-68.0;-16.0
81;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2009;780;-43.0;-55.0;-17.0
82;Totaal burgerlijke staat;Mannen;Negatief of nul euro;2010;800;-44.0;-55.0;-18.0
