ID;RegioS;Perioden;TotaalJongerenMetJeugdzorg_1;TotaalJeugdhulp_2;AlleenJeugdhulp_3;JHEnJeugdbeschermingJB_4;JHEnJeugdreclasseringJR_5;JHEnJBEnJR_6;TotaalJeugdbescherming_7;AlleenJeugdbescherming_8;JBEnJeugdhulp_9;JBEnJeugdreclasseringJR_10;JBEnJeugdhulpEnJR_11;TotaalJeugdreclassering_12;AlleenJeugdreclassering_13;JREnJeugdhulp_14;JREnJeugdbeschermingJB_15;JREnJeugdhulpEnJB_16
0;Nederland;1e kwartaal 2015;264730.0;247900.0;221085.0;23850.0;2125.0;840.0;36215.0;11195.0;23850.0;325.0;840.0;8595.0;5305.0;2125.0;325.0;840.0
1;Nederland;1e halfjaar 2015;303345.0;286590.0;257005.0;25915.0;2600.0;1070.0;38190.0;10865.0;25915.0;345.0;1070.0;9560.0;5550.0;2600.0;345.0;1070.0
2;Nederland;2e halfjaar 2015;324430.0;309420.0;279910.0;25585.0;2905.0;1020.0;36440.0;9595.0;25585.0;240.0;1020.0;9340.0;5175.0;2905.0;240.0;1020.0
3;Nederland;2015;365900.0;348880.0;314590.0;29405.0;3440.0;1445.0;41950.0;10750.0;29405.0;350.0;1445.0;11150.0;5920.0;3440.0;350.0;1445.0
4;Nederland;1e halfjaar 2016;328210.0;314330.0;285085.0;25420.0;2870.0;955.0;35200.0;8605.0;25420.0;215.0;955.0;9100.0;5055.0;2870.0;215.0;955.0
5;Nederland;2e halfjaar 2016;345220.0;332525.0;302605.0;25885.0;3090.0;945.0;34935.0;7915.0;25885.0;190.0;945.0;8820.0;4590.0;3090.0;190.0;945.0
6;Nederland;2016;392960.0;378615.0;344175.0;29385.0;3705.0;1345.0;39680.0;8720.0;29385.0;230.0;1345.0;10680.0;5400.0;3705.0;230.0;1345.0
7;Nederland;1e halfjaar 2017;348035.0;335990.0;305500.0;26555.0;3055.0;885.0;35100.0;7445.0;26555.0;220.0;885.0;8530.0;4375.0;3055.0;220.0;885.0
8;Nederland;2e halfjaar 2017;359880.0;348350.0;317545.0;26855.0;3100.0;850.0;35105.0;7210.0;26855.0;190.0;850.0;8270.0;4125.0;3100.0;190.0;850.0
9;Nederland;2017;412265.0;399815.0;364130.0;30520.0;3930.0;1235.0;39455.0;7475.0;30520.0;215.0;1235.0;10135.0;4755.0;3930.0;215.0;1235.0
10;Noord-Nederland (LD);1e kwartaal 2015;32880.0;31240.0;28035.0;2825.0;305.0;75.0;4035.0;1125.0;2825.0;10.0;75.0;895.0;500.0;305.0;10.0;75.0
11;Noord-Nederland (LD);1e halfjaar 2015;36710.0;35075.0;31575.0;3035.0;375.0;90.0;4230.0;1090.0;3035.0;15.0;90.0;1010.0;530.0;375.0;15.0;90.0
12;Noord-Nederland (LD);2e halfjaar 2015;38320.0;36835.0;33260.0;3075.0;410.0;90.0;4180.0;1005.0;3075.0;10.0;90.0;975.0;465.0;410.0;10.0;90.0
13;Noord-Nederland (LD);2015;42355.0;40695.0;36695.0;3395.0;475.0;130.0;4620.0;1080.0;3395.0;15.0;130.0;1185.0;565.0;475.0;15.0;130.0
14;Noord-Nederland (LD);1e halfjaar 2016;35360.0;34040.0;30495.0;3070.0;395.0;85.0;4040.0;870.0;3070.0;15.0;85.0;925.0;430.0;395.0;15.0;85.0
15;Noord-Nederland (LD);2e halfjaar 2016;36080.0;34770.0;31160.0;3100.0;430.0;80.0;4075.0;875.0;3100.0;20.0;80.0;945.0;415.0;430.0;20.0;80.0
16;Noord-Nederland (LD);2016;40530.0;39175.0;35095.0;3465.0;500.0;120.0;4475.0;875.0;3465.0;15.0;120.0;1095.0;465.0;500.0;15.0;120.0
17;Noord-Nederland (LD);1e halfjaar 2017;40690.0;39645.0;35795.0;3285.0;495.0;70.0;4040.0;675.0;3285.0;;70.0;930.0;360.0;495.0;;70.0
18;Noord-Nederland (LD);2e halfjaar 2017;42185.0;41235.0;37375.0;3300.0;500.0;65.0;3985.0;615.0;3300.0;10.0;65.0;895.0;325.0;500.0;10.0;65.0
19;Noord-Nederland (LD);2017;46580.0;45530.0;41190.0;3630.0;610.0;100.0;4395.0;660.0;3630.0;;100.0;1105.0;390.0;610.0;;100.0
