ID;BedrijfstakkenBranches;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2;LoonkostenPerGewerktUur2010100_3;JaarmutatieLoonkostenPerGewerktUur_4;Structuureffect_5
0;A-U Alle economische activiteiten;2001;81.9;;77.5;;
1;A-U Alle economische activiteiten;2002;85.4;4.2;81.3;5.0;0.7
2;A-U Alle economische activiteiten;2003;87.9;2.9;84.5;3.9;0.9
3;A-U Alle economische activiteiten;2004;88.7;0.9;85.7;1.5;0.6
4;A-U Alle economische activiteiten;2005;90.5;2.0;88.1;2.8;0.8
5;A-U Alle economische activiteiten;2006;92.0;1.7;90.1;2.3;0.6
6;A-U Alle economische activiteiten;2007;95.1;3.4;93.3;3.5;0.1
7;A-U Alle economische activiteiten;2008;98.5;3.5;96.6;3.6;0.1
8;A-U Alle economische activiteiten;2009;100.0;1.5;99.3;2.8;1.2
9;A-U Alle economische activiteiten;2010;100.0;0.0;100.0;0.7;0.7
10;A-U Alle economische activiteiten;2011;101.6;1.6;101.8;1.8;0.2
11;A-U Alle economische activiteiten;2012;103.9;2.2;104.8;2.9;0.7
12;A-U Alle economische activiteiten;2013;105.3;1.4;107.1;2.2;0.8
13;A-U Alle economische activiteiten;2014;106.1;0.7;108.2;1.1;0.3
14;A-U Alle economische activiteiten;2015;106.2;0.1;108.2;-0.1;-0.1
15;A-U Alle economische activiteiten;2016;107.1;0.9;108.8;0.5;-0.3
16;A-U Alle economische activiteiten;2017;109.1;1.9;110.2;1.3;-0.6
17;A-U Alle economische activiteiten;2006 januari - 2006 december;92.0;1.7;90.1;2.3;0.6
18;A-U Alle economische activiteiten;2006 april - 2007 maart;93.0;;91.1;;
19;A-U Alle economische activiteiten;2006 juli - 2007 juni;93.7;;91.8;;
20;A-U Alle economische activiteiten;2006 oktober - 2007 september;94.3;;92.5;;
21;A-U Alle economische activiteiten;2007 januari - 2007 december;95.1;3.4;93.3;3.5;0.1
22;A-U Alle economische activiteiten;2007 april - 2008 maart;96.3;3.5;94.4;3.6;0.1
23;A-U Alle economische activiteiten;2007 juli - 2008 juni;97.2;3.7;95.3;3.7;0.0
24;A-U Alle economische activiteiten;2007 oktober - 2008 september;97.7;3.5;95.8;3.6;0.0
25;A-U Alle economische activiteiten;2008 januari - 2008 december;98.5;3.5;96.6;3.6;0.1
26;A-U Alle economische activiteiten;2008 april - 2009 maart;98.8;2.7;97.2;3.0;0.3
27;A-U Alle economische activiteiten;2008 juli - 2009 juni;99.8;2.7;98.4;3.3;0.6
28;A-U Alle economische activiteiten;2008 oktober - 2009 september;100.0;2.3;98.9;3.3;0.9
