ID;Hoofdfuncties;Perioden;TotaalAankopen_1;TotaalAankoopVanGoederenEnDiensten_2;AankoopVanDuurzameMilitaireGoederen_3;GrondWegEnWaterbouwkundigeWerken_4;OverigeGoederenEnDienstenBijDerden_5;OverigeGoederenBijAndereOverheden_6;TotaalInvesteringen_7;TotaalNieuweInvesteringen_8;GrondWegEnWaterbouwkundigeWerken_9;NieuwbouwVanGebouwen_10;AankoopVervoermiddelen_11;AankoopMachinesEnInstallaties_12;AankoopComputerprogrammaS_13;OverigeNieuweInvesteringsgoederen_14;TotaalOverigeInvesteringen_15;AankoopGebruikteInvesteringsgoederen_16;AankoopVanKostbaarheden_17;AankoopGrond_18;TotaalRenteEnPacht_19;Rente_20;Pacht_21;TotaalOverdrachten_22;TotaalSubsidiesEnInkomensoverdrachten_23;TotaalInkomensoverdrachtenBedrijven_24;Subsidies_25;OverigeInkomensoverdrachten_26;TotaalInkomensoverdrachtenAanGezinnen_27;UitkeringenSocialeVoorzieningInGeld_28;SocialeOverdrachtenInNatura_29;OverigeInkomensoverdrachten_30;InstellingenZonderWinstoogmerkgezinnen_31;TotaalOverdrachtenCentraleOverheid_32;WetenschappelijkOnderwijs_33;PubliekrechtelijkeBedrijfsorganisaties_34;InstellingZonderWinstCentraleoverheid_35;TotaalInkomensoverdrachtLagereoverheid_36;Provincies_37;Waterschappen_38;GemeenschappelijkeRegelingen_39;Gemeenten_40;BijzonderOnderwijs_41;InstellingZonderWinstLagereOverheid_42;SocialeVerzekeringsinstellingen_43;InkomensoverdrachtenAanHetBuitenland_44;TotaalKapitaaloverdrachten_45;KapitaaloverdrachtenAanBedrijven_46;KapitaaloverdrachtenAanGezinnen_47;InstellingenZonderWinstVanGezinnen_48;TotaalOverdrachtenCentraleOverheid_49;WetenschappelijkOnderwijs_50;PubliekrechtelijkeBedrijfsorganisaties_51;InstellingZonderWinstCentraleoverheid_52;TotaalKapitaaloverdrachtLagereoverheid_53;Provincies_54;Waterschappen_55;GemeenschappelijkeRegelingen_56;Gemeenten_57;BijzonderOnderwijs_58;InstellingenZonderWinstLagereoverheid_59;SocialeVerzekeringsinstellingen_60;KapitaaloverdrachtenAanHetBuitenland_61;TotaalVerkopen_62;TotaalVerkoopVanGoederenEnDiensten_63;VerkoopDuurzameMilitaireGoederen_64;VerkoopGoederenEnDienstenAanDerden_65;VerkoopGoederenAanAndereOverheden_66;VerkoopVanInvesteringsgoederen_67;VerkoopVanGrond_68;TotaalRentePachtVermogensresultaten_69;Rente_70;Winstuitkeringen_71;Pacht_72;Concessies_73;TotaalOverdrachten_74;TotaalInkomensoverdrachten_75;InkomensoverdrachtenVanNietOverheden_76;InkomensoverdrachtenVanOverheden_77;TotaalKapitaaloverdrachten_78;KapitaaloverdrachtenVanNietOverheden_79;KapitaaloverdrachtenVanOverheden_80
0;Totaal van alle hoofdfuncties;2003;14141;9315;848;819;7556;92;4622;4515;2630;391;95;516;137;745;107;107;0;205;10750;10734;16;91912;85356;3274;3112;161;8565;6064;2391;110;1194;5274;2537;0;2738;50511;2191;0;2729;27295;12303;5994;11684;4853;6556;509;523;110;1818;124;0;1693;3067;471;96;233;1831;407;29;0;530;3462;2951;5;2197;749;134;377;6095;988;2175;54;2878;1661;1472;1025;446;189;186;4
1;Totaal van alle hoofdfuncties;2004;12726;8692;858;759;6955;119;3877;3790;2149;225;145;530;154;587;87;87;0;158;10655;10640;15;92749;86078;2894;2765;129;8865;6251;2469;145;1223;5451;2631;0;2820;49289;2106;0;2648;25329;13309;5897;12653;5704;6671;373;629;103;1860;129;0;1731;3150;631;80;280;1723;416;22;0;555;3448;3042;4;2344;695;201;204;7007;1088;2780;51;3088;1906;1576;1090;486;330;221;110
2;Totaal van alle hoofdfuncties;2005;12850;9021;632;793;7494;103;3614;3519;1718;225;176;613;196;591;94;94;0;215;10407;10388;19;95460;88978;2441;2412;30;9502;6553;2899;50;1258;5657;2718;0;2938;50271;2462;0;3111;24963;13953;5782;13683;6166;6481;-225;787;109;1883;134;0;1749;3163;637;80;177;1815;418;36;0;764;3856;3383;641;2102;640;193;280;8618;1077;3062;1200;3279;1679;1514;1123;390;166;110;56
3;Totaal van alle hoofdfuncties;2006;13815;9732;794;872;7984;82;3970;3868;1793;387;99;542;233;815;103;103;0;113;10259;10259;0;102587;96138;2662;2517;145;13429;9497;3524;408;1261;5643;2815;1;2827;52730;2795;0;3343;25724;15185;5682;13939;6474;6449;-457;689;82;2259;138;0;2121;3124;522;192;177;1682;496;56;0;752;3668;3256;443;2176;637;273;139;11307;1299;3863;603;5542;1972;1779;1377;402;194;153;41
4;Totaal van alle hoofdfuncties;2007;14920;10533;721;1238;8468;106;4275;4166;1948;299;146;593;265;916;109;109;0;111;10721;10721;0;110109;102897;3559;3417;142;14943;10150;4724;68;1124;5856;2925;0;2930;55902;3093;0;3656;27253;15953;5948;15009;6505;7212;61;771;56;2090;143;0;1947;3430;854;122;195;1545;690;24;0;804;3527;3096;103;2333;660;253;177;11198;1462;4092;42;5602;2051;1908;1173;735;143;121;22
5;Totaal van alle hoofdfuncties;2008*;15955;11304;961;1133;8963;248;4549;4450;2600;229;78;568;201;774;99;99;0;102;11262;11262;0;115788;107807;3579;3447;131;17563;12010;5501;52;1269;6252;3072;0;3180;58865;3176;7;1829;29771;17501;6581;13336;6944;7981;113;1054;53;1990;176;0;1813;3845;948;134;281;1752;705;26;0;926;3571;3313;137;2498;679;110;148;16444;1984;4960;47;9452;2429;2093;1215;878;336;135;201
6;Algemeen bestuur;2003;1897;1389;0;3;1386;0;486;441;3;40;7;127;65;199;45;45;0;22;10784;10784;0;26330;24960;1491;1486;5;26;26;0;0;63;2866;1693;0;1173;15909;1215;0;0;14689;0;5;0;4605;1369;100;0;0;14;5;0;9;795;100;0;0;695;0;0;0;460;882;788;0;662;126;53;40;913;756;88;49;20;291;287;245;41;5;5;0
7;Algemeen bestuur;2004;1737;1316;0;4;1312;0;412;370;0;37;7;104;51;171;42;42;0;10;10660;10660;0;25178;23942;1340;1335;5;23;23;0;0;104;3117;1766;0;1351;13902;1099;0;4;12794;0;5;0;5456;1237;106;0;0;11;4;0;7;654;41;0;2;611;0;0;0;466;1043;798;0;673;125;46;200;1203;873;270;43;17;352;351;308;43;1;1;0
8;Algemeen bestuur;2005;2221;1727;0;3;1724;0;481;438;1;37;9;123;83;185;43;43;0;13;10335;10335;0;25636;24164;754;802;-47;19;19;0;0;122;3335;1825;0;1511;14169;1117;0;4;13047;0;2;-178;5943;1472;51;0;0;28;4;0;24;702;58;0;2;642;0;0;0;691;1174;820;0;698;122;61;294;1193;928;209;38;17;338;337;295;42;1;1;0
9;Algemeen bestuur;2006;2181;1669;0;2;1666;0;510;467;1;39;9;122;89;206;44;44;0;2;10258;10258;0;27990;26365;804;798;5;21;21;0;0;133;3314;1908;0;1406;15840;1207;0;5;14629;0;-1;0;6255;1625;91;37;0;21;4;0;17;807;73;0;2;732;0;0;0;669;1138;916;0;789;127;80;142;1371;1121;197;34;20;353;351;289;62;1;1;0
