ID;Geslacht;Leeftijd;BurgerlijkeStaat;RegioS;Perioden;BevolkingOp1Januari_1;GemiddeldeBevolking_2
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1988;14714948.0;
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1989;14805240.0;
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1990;14892574.0;
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1991;15010445.0;
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1992;15129150.0;
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1993;15239182.0;
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1994;15341553.0;
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1995;15424122.0;15459005.5
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1996;15493889.0;15530498.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1997;15567107.0;15610649.5
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1998;15654192.0;15707208.5
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;1999;15760225.0;15812087.5
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2000;15863950.0;15925512.5
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2001;15987075.0;16046180.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2002;16105285.0;16148928.5
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2003;16192572.0;16225302.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2004;16258032.0;16281779.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2005;16305526.0;16319868.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2006;16334210.0;16346101.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2007;16357992.0;16381695.5
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2008;16405399.0;16445593.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2009;16485787.0;16530388.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Nederland;2010;16574989.0;16615394.0
