ID;Leeftijd;Perioden;TotaalParen_1;GeenKinderen_2;k_1Kind_3;k_2Kinderen_4;k_3OfMeerKinderen_5;TotaalEenouders_6;k_1Kind_7;k_2Kinderen_8;k_3OfMeerKinderen_9
0;Totaal over alle leeftijden;2003;4129836;2030872;758060;930380;410524;419651;249530;125932;44189
1;Totaal over alle leeftijden;2004;4136896;2035213;750928;939745;411010;427387;254606;127933;44848
2;Totaal over alle leeftijden;2005;4143079;2038330;744784;949227;410738;434643;259521;129720;45402
3;Totaal over alle leeftijden;2006;4148520;2041406;739644;957897;409573;441561;264324;131356;45881
4;Totaal over alle leeftijden;2007;4154089;2045370;736118;965288;407313;448124;269080;132803;46241
5;Totaal over alle leeftijden;2008;4160228;2050997;733260;971757;404214;454442;273829;134082;46531
6;Totaal over alle leeftijden;2009;4167291;2057602;731810;977309;400570;460481;278548;135203;46730
7;Totaal over alle leeftijden;2010;4175389;2066430;731415;981526;396018;466238;283260;136149;46829
8;Totaal over alle leeftijden;2011;4184401;2076998;731731;984506;391166;471663;287919;136891;46853
9;Totaal over alle leeftijden;2012;4194003;2089223;732050;986625;386105;476817;292557;137455;46805
10;Totaal over alle leeftijden;2013;4203904;2102821;732064;987871;381148;481665;297083;137886;46696
11;Totaal over alle leeftijden;2014;4213822;2117829;731653;988417;375923;486258;301506;138210;46542
12;Totaal over alle leeftijden;2015;4223652;2133355;730793;988629;370875;490551;305782;138418;46351
13;Totaal over alle leeftijden;2016;4233210;2148757;729564;988842;366047;494621;309938;138526;46157
14;Totaal over alle leeftijden;2017;4242396;2163158;727998;989563;361677;498458;313985;138523;45950
15;Totaal over alle leeftijden;2018;4251089;2176679;726478;990401;357531;502107;317841;138498;45768
16;Totaal over alle leeftijden;2019;4259217;2188842;724919;991543;353913;505612;321559;138444;45609
17;Totaal over alle leeftijden;2020;4266809;2201045;723389;991930;350445;509038;325155;138404;45479
18;Totaal over alle leeftijden;2021;4273869;2212857;721610;991970;347432;512448;328619;138437;45392
19;Totaal over alle leeftijden;2022;4280447;2224336;719268;991764;345079;515869;332009;138495;45365
20;Totaal over alle leeftijden;2023;4286510;2236344;715939;991046;343181;519376;335346;138649;45381
21;Totaal over alle leeftijden;2024;4291976;2248650;711461;990095;341770;522933;338577;138897;45459
22;Totaal over alle leeftijden;2025;4296723;2260896;705798;989157;340872;526609;341769;139253;45587
23;Totaal over alle leeftijden;2026;4300602;2272421;699227;988480;340474;530350;344900;139699;45751
24;Totaal over alle leeftijden;2027;4303491;2282697;691943;988324;340527;534200;348007;140237;45956
25;Totaal over alle leeftijden;2028;4305240;2291208;684222;988851;340959;538101;351076;140838;46187
26;Totaal over alle leeftijden;2029;4305846;2297624;676331;990175;341716;542022;354106;141489;46427
27;Totaal over alle leeftijden;2030;4305242;2301726;668517;992288;342711;545930;357099;142170;46661
28;Totaal over alle leeftijden;2031;4303421;2303421;661042;995111;343847;549739;359992;142856;46891
29;Totaal over alle leeftijden;2032;4300484;2302917;654002;998508;345057;553487;362824;143543;47120
30;Totaal over alle leeftijden;2033;4296586;2300497;647550;1002259;346280;557093;365557;144216;47320
31;Totaal over alle leeftijden;2034;4291877;2296470;641807;1006158;347442;560534;368176;144841;47517
32;Totaal over alle leeftijden;2035;4286542;2291238;636839;1009979;348486;563787;370676;145420;47691
33;Totaal over alle leeftijden;2036;4280781;2285172;632709;1013500;349400;566828;373041;145955;47832
34;Totaal over alle leeftijden;2037;4274826;2278671;629459;1016564;350132;569660;375263;146445;47952
35;Totaal over alle leeftijden;2038;4268825;2272022;627032;1019111;350660;572252;377360;146844;48048
36;Totaal over alle leeftijden;2039;4262979;2265560;625443;1021007;350969;574613;379283;147213;48117
37;Totaal over alle leeftijden;2040;4257465;2259547;624583;1022285;351050;576707;381061;147484;48162
38;Totaal over alle leeftijden;2041;4252376;2254185;624314;1022964;350913;578573;382716;147684;48173
39;Totaal over alle leeftijden;2042;4247750;2249542;624568;1023087;350553;580210;384221;147823;48166
