ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;VrijstaandHuisAanEenAnderHuisVast_1;AppartementFlatOfBovenwoning_2;KamersOfAndersCamperVrachtcontainer_3;Elektriciteitsnet_4;Generator_5;WindOfZonneEnergie_6;Gas_7;Elektriciteit_8;Koelkast_9;LosseDiepvries_10;Wasmachine_11;Vaatwasser_12;Televisie_13;VasteTelefoon_14;MobieleTelefoon_15;PC_16;Laptop_17;Tablet_18;Spelcomputer_19;Totaal_20;HuishoudensMet1Personenauto_21;HuishoudensMetMeerDan1Personenauto_22;Fiets_23;Motor_24;BromfietsEnOfScooter_25
0;Totaal persoonskenmerken;Waarde;Caribisch Nederland;2013;80.8;13.6;5.6;97.6;1.4;1.2;95.3;4.4;98.3;31.9;89.3;16.8;95.0;36.4;96.3;40.1;55.5;26.9;23.4;77.4;47.2;30.3;35.8;3.6;7.4
1;Totaal persoonskenmerken;Waarde;Caribisch Nederland;2017/2018;71.0;16.9;12.1;90.9;0.7;8.5;94.2;4.8;;;91.9;;90.3;40.7;96.0;33.2;55.6;45.5;19.2;79.7;50.3;29.4;;;
2;Totaal persoonskenmerken;Waarde;Caribisch Nederland;2021;73.2;18.9;7.9;98.4;;1.0;92.6;7.0;;;;;;;;;;;;86.5;45.8;40.7;;;
3;Totaal persoonskenmerken;Waarde;Bonaire;2013;85.3;11.6;3.1;97.2;1.5;1.1;95.1;4.6;98.0;30.0;90.2;20.0;96.0;32.9;97.9;39.7;53.5;25.3;21.7;80.1;47.8;32.3;40.4;3.3;7.9
4;Totaal persoonskenmerken;Waarde;Bonaire;2017/2018;84.4;11.5;4.1;96.7;0.8;2.2;94.3;4.6;;;93.3;;94.4;27.0;97.1;34.1;57.1;47.2;21.2;85.5;49.9;35.7;;;
5;Totaal persoonskenmerken;Waarde;Bonaire;2021;85.8;11.0;3.2;97.7;0.5;1.9;90.5;9.1;;;;;;;;;;;;91.6;42.9;48.7;;;
6;Totaal persoonskenmerken;Waarde;Sint-Eustatius;2013;67.3;15.3;17.4;98.8;;;95.9;3.6;99.4;37.6;94.2;9.6;96.0;41.5;90.7;40.0;55.0;29.2;27.7;74.5;48.9;25.6;32.2;5.8;9.3
7;Totaal persoonskenmerken;Waarde;Sint-Eustatius;2017/2018;;;;71.0;;30.6;93.6;4.9;;;97.6;;91.4;60.4;93.2;34.0;45.5;36.6;13.9;73.4;51.3;22.1;;;
8;Totaal persoonskenmerken;Waarde;Sint-Eustatius;2021;59.2;21.8;19.0;98.8;;;94.6;5.4;;;;;;;;;;;;81.6;49.5;32.1;;;
9;Totaal persoonskenmerken;Waarde;Saba;2013;68.8;27.5;3.7;98.1;;;95.9;4.0;98.6;36.7;72.9;3.9;84.8;56.0;93.9;44.0;72.9;36.5;29.0;61.0;38.5;22.4;5.0;2.5;
