ID;Reinigingsdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal Reinigingsdiensten;2005 4e kwartaal;100.0;0.0;0.0;100
1;Totaal Reinigingsdiensten;2006 1e kwartaal;101.7;1.7;0.0;100
2;Totaal Reinigingsdiensten;2006 2e kwartaal;101.7;0.0;0.0;100
3;Totaal Reinigingsdiensten;2006 3e kwartaal;101.8;0.1;0.0;100
4;Totaal Reinigingsdiensten;2006 4e kwartaal;101.8;0.0;1.8;100
5;Totaal Reinigingsdiensten;2006 jaargemiddelde;101.8;0.0;0.0;100
6;Totaal Reinigingsdiensten;2007 1e kwartaal;104.2;2.4;2.5;100
7;Totaal Reinigingsdiensten;2007 2e kwartaal;104.2;0.0;2.5;100
8;Totaal Reinigingsdiensten;2007 3e kwartaal;104.2;0.0;2.4;100
9;Totaal Reinigingsdiensten;2007 4e kwartaal;104.2;0.0;2.4;100
10;Totaal Reinigingsdiensten;2007 jaargemiddelde;104.2;0.0;2.4;100
11;Totaal Reinigingsdiensten;2008 1e kwartaal;107.0;2.7;2.7;100
12;Schoonmaakdiensten;2005 4e kwartaal;100.0;0.0;0.0;87
13;Schoonmaakdiensten;2006 1e kwartaal;101.9;1.9;0.0;87
14;Schoonmaakdiensten;2006 2e kwartaal;102.0;0.1;0.0;87
15;Schoonmaakdiensten;2006 3e kwartaal;102.0;0.0;0.0;87
16;Schoonmaakdiensten;2006 4e kwartaal;101.9;-0.1;1.9;87
17;Schoonmaakdiensten;2006 jaargemiddelde;102.0;0.0;0.0;87
18;Schoonmaakdiensten;2007 1e kwartaal;103.9;2.0;2.0;87
19;Schoonmaakdiensten;2007 2e kwartaal;103.9;0.0;1.9;87
20;Schoonmaakdiensten;2007 3e kwartaal;103.9;0.0;1.9;87
21;Schoonmaakdiensten;2007 4e kwartaal;103.9;0.0;2.0;87
22;Schoonmaakdiensten;2007 jaargemiddelde;103.9;0.0;1.9;87
23;Schoonmaakdiensten;2008 1e kwartaal;106.4;2.4;2.4;87
24;Industriële reiniging;2005 4e kwartaal;100.0;0.0;0.0;13
25;Industriële reiniging;2006 1e kwartaal;100.7;0.7;0.0;13
26;Industriële reiniging;2006 2e kwartaal;99.5;-1.2;0.0;13
27;Industriële reiniging;2006 3e kwartaal;100.5;1.0;0.0;13
28;Industriële reiniging;2006 4e kwartaal;100.5;0.0;0.5;13
29;Industriële reiniging;2006 jaargemiddelde;100.3;0.0;0.0;13
30;Industriële reiniging;2007 1e kwartaal;106.6;6.1;5.9;13
31;Industriële reiniging;2007 2e kwartaal;106.6;0.0;7.1;13
32;Industriële reiniging;2007 3e kwartaal;106.6;0.0;6.1;13
33;Industriële reiniging;2007 4e kwartaal;106.2;-0.4;5.7;13
34;Industriële reiniging;2007 jaargemiddelde;106.5;0.0;6.2;13
35;Industriële reiniging;2008 1e kwartaal;111.0;4.5;4.1;13
