ID;Inkomensbestanddelen;Kenmerken;Perioden;AantalHuishoudens_1;PercentageHuishoudens_2;TotaalBedrag_3;GemiddeldBedrag_4;AandeelVanBrutoInkomen_5
0;1 Inkomen uit arbeid;1;2001;4810;70.1;224935.0;46.8;72.9
1;1 Inkomen uit arbeid;1;2002;4855;70.2;236555.0;48.7;73.5
2;1 Inkomen uit arbeid;1;2003;4854;69.9;243041.0;50.1;73.9
3;1 Inkomen uit arbeid;1;2004;4848;69.4;249225.0;51.4;72.8
4;1 Inkomen uit arbeid;1;2005;4880;69.1;255096.0;52.3;72.5
5;1 Inkomen uit arbeid;1;2006;4943;69.5;267868.0;54.2;73.0
6;1 Inkomen uit arbeid;1;2007;5022;70.1;278717.0;55.5;71.8
7;1 Inkomen uit arbeid;1;2008;5112;70.6;291570.0;57.0;72.8
8;1 Inkomen uit arbeid;1;2009;5115;70.0;296079.0;57.9;72.9
9;1 Inkomen uit arbeid;1;2010;5105;69.6;298583.0;58.5;72.5
10;1 Inkomen uit arbeid;1;2011;5140;69.3;305447.0;59.4;72.6
11;1 Inkomen uit arbeid;1;2012;5131;68.7;309474.0;60.3;72.4
12;1 Inkomen uit arbeid;1;2013;5106;68.2;311033.0;60.9;71.7
13;1 Inkomen uit arbeid;1;2014;5107;67.6;314805.0;61.6;69.9
14;1 Inkomen uit arbeid;22;2001;1203;52.6;33810.0;28.1;59.1
15;1 Inkomen uit arbeid;22;2002;1229;52.8;35984.0;29.3;59.7
16;1 Inkomen uit arbeid;22;2003;1228;52.5;36367.0;29.6;59.1
17;1 Inkomen uit arbeid;22;2004;1223;51.7;36847.0;30.1;57.9
18;1 Inkomen uit arbeid;22;2005;1258;51.7;38939.0;30.9;58.0
19;1 Inkomen uit arbeid;22;2006;1294;52.3;42043.0;32.5;59.1
20;1 Inkomen uit arbeid;22;2007;1342;53.4;43927.0;32.7;59.2
21;1 Inkomen uit arbeid;22;2008;1387;54.2;46588.0;33.6;59.9
22;1 Inkomen uit arbeid;22;2009;1381;53.2;46561.0;33.7;59.1
23;1 Inkomen uit arbeid;22;2010;1383;52.9;47000.0;34.0;58.8
24;1 Inkomen uit arbeid;22;2011;1414;52.8;48335.0;34.2;59.0
25;1 Inkomen uit arbeid;22;2012;1415;52.1;49381.0;34.9;58.8
26;1 Inkomen uit arbeid;22;2013;1396;51.4;48990.0;35.1;57.7
27;1 Inkomen uit arbeid;22;2014;1407;50.7;50070.0;35.6;56.4
28;1 Inkomen uit arbeid;23;2001;687;66.9;21671.0;31.5;73.1
29;1 Inkomen uit arbeid;23;2002;699;66.6;22822.0;32.7;73.6
30;1 Inkomen uit arbeid;23;2003;702;66.1;23137.0;33.0;73.2
31;1 Inkomen uit arbeid;23;2004;691;64.4;23240.0;33.6;71.4
32;1 Inkomen uit arbeid;23;2005;707;63.9;24446.0;34.6;71.1
33;1 Inkomen uit arbeid;23;2006;729;64.7;26579.0;36.5;72.0
34;1 Inkomen uit arbeid;23;2007;759;66.1;27771.0;36.6;71.9
35;1 Inkomen uit arbeid;23;2008;787;66.5;29708.0;37.8;72.4
36;1 Inkomen uit arbeid;23;2009;776;64.5;29411.0;37.9;71.4
37;1 Inkomen uit arbeid;23;2010;777;63.8;29544.0;38.0;70.6
38;1 Inkomen uit arbeid;23;2011;794;63.3;30166.0;38.0;70.4
39;1 Inkomen uit arbeid;23;2012;798;62.4;30959.0;38.8;70.1
40;1 Inkomen uit arbeid;23;2013;782;60.9;30569.0;39.1;68.2
41;1 Inkomen uit arbeid;23;2014;788;60.1;31146.0;39.5;66.2
42;1 Inkomen uit arbeid;24;2001;677;78.0;21587.0;31.9;82.7
43;1 Inkomen uit arbeid;24;2002;689;77.8;22713.0;33.0;83.6
44;1 Inkomen uit arbeid;24;2003;691;77.1;23033.0;33.3;83.7
45;1 Inkomen uit arbeid;24;2004;677;75.2;23108.0;34.1;81.7
46;1 Inkomen uit arbeid;24;2005;693;74.8;24281.0;35.0;81.4
47;1 Inkomen uit arbeid;24;2006;714;75.9;26427.0;37.0;82.0
48;1 Inkomen uit arbeid;24;2007;742;77.5;27591.0;37.2;82.4
49;1 Inkomen uit arbeid;24;2008;768;78.0;29459.0;38.3;83.2
50;1 Inkomen uit arbeid;24;2009;757;76.2;29183.0;38.5;82.8
