ID;SBI93;Perioden;Vacaturegraad_1
0;A-O Totaal SBI'93;1997 1e kwartaal;14
1;A-O Totaal SBI'93;1997 2e kwartaal;15
2;A-O Totaal SBI'93;1997 3e kwartaal;13
3;A-O Totaal SBI'93;1997 4e kwartaal;17
4;A-O Totaal SBI'93;1998 1e kwartaal;20
5;A-O Totaal SBI'93;1998 2e kwartaal;22
6;A-O Totaal SBI'93;1998 3e kwartaal;18
7;A-O Totaal SBI'93;1998 4e kwartaal;19
8;A-O Totaal SBI'93;1999 1e kwartaal;22
9;A-O Totaal SBI'93;1999 2e kwartaal;27
10;A-O Totaal SBI'93;1999 3e kwartaal;23
11;A-O Totaal SBI'93;1999 4e kwartaal;25
12;A-O Totaal SBI'93;2000 1e kwartaal;30
13;A-O Totaal SBI'93;2000 2e kwartaal;29
14;A-O Totaal SBI'93;2000 3e kwartaal;24
15;A-O Totaal SBI'93;2000 4e kwartaal;27
16;A-O Totaal SBI'93;2001 1e kwartaal;29
17;A-O Totaal SBI'93;2001 2e kwartaal;29
18;A-O Totaal SBI'93;2001 3e kwartaal;22
19;A-O Totaal SBI'93;2001 4e kwartaal;22
20;A-O Totaal SBI'93;2002 1e kwartaal;24
21;A-O Totaal SBI'93;2002 2e kwartaal;21
22;A-O Totaal SBI'93;2002 3e kwartaal;15
23;A-O Totaal SBI'93;2002 4e kwartaal;16
24;A-O Totaal SBI'93;2003 1e kwartaal;16
25;A-O Totaal SBI'93;2003 2e kwartaal;16
26;A-O Totaal SBI'93;2003 3e kwartaal;11
27;A-O Totaal SBI'93;2003 4e kwartaal;13
28;A-O Totaal SBI'93;2004 1e kwartaal;16
29;A-O Totaal SBI'93;2004 2e kwartaal;18
30;A-O Totaal SBI'93;2004 3e kwartaal;14
31;A-O Totaal SBI'93;2004 4e kwartaal;16
32;A-O Totaal SBI'93;2005 1e kwartaal;21
33;A-O Totaal SBI'93;2005 2e kwartaal;20
34;A-O Totaal SBI'93;2005 3e kwartaal;20
35;A-O Totaal SBI'93;2005 4e kwartaal;21
36;A-O Totaal SBI'93;2006 1e kwartaal;25
37;A-O Totaal SBI'93;2006 2e kwartaal;28
38;A-O Totaal SBI'93;2006 3e kwartaal;26
39;A-O Totaal SBI'93;2006 4e kwartaal;29
40;A-O Totaal SBI'93;2007 1e kwartaal;31
41;A-O Totaal SBI'93;2007 2e kwartaal;32
42;A-O Totaal SBI'93;2007 3e kwartaal;30
43;A-O Totaal SBI'93;2007 4e kwartaal;31
44;A-O Totaal SBI'93;2008 1e kwartaal;32
45;A-O Totaal SBI'93;2008 2e kwartaal;32
46;A-O Totaal SBI'93;2008 3e kwartaal;30
47;A-O Totaal SBI'93;2008 4e kwartaal;24
48;A-O Totaal SBI'93;2009 1e kwartaal;20
49;A-O Totaal SBI'93;2009 2e kwartaal;17
50;A-O Totaal SBI'93;2009 3e kwartaal;16
51;A-O Totaal SBI'93;2009 4e kwartaal*;15
52;A, B Landbouw, bosbouw en visserij;1997 1e kwartaal;8
53;A, B Landbouw, bosbouw en visserij;1997 2e kwartaal;16
54;A, B Landbouw, bosbouw en visserij;1997 3e kwartaal;13
55;A, B Landbouw, bosbouw en visserij;1997 4e kwartaal;12
56;A, B Landbouw, bosbouw en visserij;1998 1e kwartaal;23
57;A, B Landbouw, bosbouw en visserij;1998 2e kwartaal;15
58;A, B Landbouw, bosbouw en visserij;1998 3e kwartaal;15
59;A, B Landbouw, bosbouw en visserij;1998 4e kwartaal;17
60;A, B Landbouw, bosbouw en visserij;1999 1e kwartaal;23
61;A, B Landbouw, bosbouw en visserij;1999 2e kwartaal;25
62;A, B Landbouw, bosbouw en visserij;1999 3e kwartaal;16
63;A, B Landbouw, bosbouw en visserij;1999 4e kwartaal;20
64;A, B Landbouw, bosbouw en visserij;2000 1e kwartaal;30
65;A, B Landbouw, bosbouw en visserij;2000 2e kwartaal;32
66;A, B Landbouw, bosbouw en visserij;2000 3e kwartaal;20
67;A, B Landbouw, bosbouw en visserij;2000 4e kwartaal;29
68;A, B Landbouw, bosbouw en visserij;2001 1e kwartaal;35
69;A, B Landbouw, bosbouw en visserij;2001 2e kwartaal;25
70;A, B Landbouw, bosbouw en visserij;2001 3e kwartaal;18
71;A, B Landbouw, bosbouw en visserij;2001 4e kwartaal;19
72;A, B Landbouw, bosbouw en visserij;2002 1e kwartaal;37
73;A, B Landbouw, bosbouw en visserij;2002 2e kwartaal;28
74;A, B Landbouw, bosbouw en visserij;2002 3e kwartaal;8
75;A, B Landbouw, bosbouw en visserij;2002 4e kwartaal;14
76;A, B Landbouw, bosbouw en visserij;2003 1e kwartaal;24
77;A, B Landbouw, bosbouw en visserij;2003 2e kwartaal;21
78;A, B Landbouw, bosbouw en visserij;2003 3e kwartaal;8
79;A, B Landbouw, bosbouw en visserij;2003 4e kwartaal;11
80;A, B Landbouw, bosbouw en visserij;2004 1e kwartaal;32
81;A, B Landbouw, bosbouw en visserij;2004 2e kwartaal;31
82;A, B Landbouw, bosbouw en visserij;2004 3e kwartaal;17
