ID;Ingenieursdiensten;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3;Wegingsfactoren_4
0;Totaal ingenieursdiensten;2002 4e kwartaal;     100;        ;        ;100
1;Totaal ingenieursdiensten;2003 1e kwartaal;   101,4;   1,4  ;        ;100
2;Totaal ingenieursdiensten;2003 2e kwartaal;   103,6;   2,2  ;        ;100
3;Totaal ingenieursdiensten;2003 3e kwartaal;   103,9;   0,3  ;        ;100
4;Totaal ingenieursdiensten;2003 4e kwartaal;   102,3;  -1,5  ;     2,3;100
5;Totaal ingenieursdiensten;2003 jaargemiddelde;   102,8;        ;        ;100
6;Totaal ingenieursdiensten;2004 1e kwartaal;   105,1;   2,7  ;     3,6;100
7;Totaal ingenieursdiensten;2004 2e kwartaal;   105,7;   0,6  ;     2,0;100
8;Totaal ingenieursdiensten;2004 3e kwartaal;   106,9;   1,1  ;     2,9;100
9;Totaal ingenieursdiensten;2004 4e kwartaal;   108,1;   1,1  ;     5,7;100
10;Totaal ingenieursdiensten;2004 jaargemiddelde;   106,5;        ;     3,6;100
11;Totaal ingenieursdiensten;2005 1e kwartaal;   107,5;  -0,6  ;     2,3;100
12;Totaal ingenieursdiensten;2005 2e kwartaal;   108,8;   1,2  ;     2,9;100
13;Totaal ingenieursdiensten;2005 3e kwartaal;   107,5;  -1,2  ;     0,6;100
14;Totaal ingenieursdiensten;2005 4e kwartaal;   107,8;   0,3  ;    -0,3;100
15;Totaal ingenieursdiensten;2005 jaargemiddelde;   107,9;        ;     1,3;100
16;Totaal ingenieursdiensten;2006 1e kwartaal;   108,4;   0,6  ;     0,8;100
17;Totaal ingenieursdiensten;2006 2e kwartaal;   109,2;   0,7  ;     0,4;100
18;Totaal ingenieursdiensten;2006 3e kwartaal;   109,8;   0,5  ;     2,1;100
19;Totaal ingenieursdiensten;2006 4e kwartaal;   110,5;   0,6  ;     2,5;100
20;Totaal ingenieursdiensten;2006 jaargemiddelde;   109,5;        ;     1,5;100
21;Totaal ingenieursdiensten;2007 1e kwartaal;   112,6;   1,9  ;     3,9;100
22;Totaal ingenieursdiensten;2007 2e kwartaal;   113,5;   0,8  ;     3,9;100
23;Totaal ingenieursdiensten;2007 3e kwartaal;   114,7;   1,1  ;     4,5;100
24;Totaal ingenieursdiensten;2007 4e kwartaal;   113,7;  -0,9  ;     2,9;100
25;Totaal ingenieursdiensten;2007 jaargemiddelde;   113,6;        ;     3,7;100
26;Constructie&Bouwk., Akoestiek&Bouwfysica;2002 4e kwartaal;     100;        ;        ;13
27;Constructie&Bouwk., Akoestiek&Bouwfysica;2003 1e kwartaal;     100;     0  ;        ;13
28;Constructie&Bouwk., Akoestiek&Bouwfysica;2003 2e kwartaal;     103;     3  ;        ;13
29;Constructie&Bouwk., Akoestiek&Bouwfysica;2003 3e kwartaal;     106;     3  ;        ;13
30;Constructie&Bouwk., Akoestiek&Bouwfysica;2003 4e kwartaal;     103;    -3  ;       3;13
31;Constructie&Bouwk., Akoestiek&Bouwfysica;2003 jaargemiddelde;     103;        ;        ;13
32;Constructie&Bouwk., Akoestiek&Bouwfysica;2004 1e kwartaal;     103;     0  ;       3;13
33;Constructie&Bouwk., Akoestiek&Bouwfysica;2004 2e kwartaal;     101;    -2  ;      -2;13
34;Constructie&Bouwk., Akoestiek&Bouwfysica;2004 3e kwartaal;     105;     4  ;      -1;13
35;Constructie&Bouwk., Akoestiek&Bouwfysica;2004 4e kwartaal;     106;     1  ;       3;13
36;Constructie&Bouwk., Akoestiek&Bouwfysica;2004 jaargemiddelde;     104;        ;       1;13
37;Constructie&Bouwk., Akoestiek&Bouwfysica;2005 1e kwartaal;     106;     0  ;       3;13
38;Constructie&Bouwk., Akoestiek&Bouwfysica;2005 2e kwartaal;     106;     0  ;       5;13
39;Constructie&Bouwk., Akoestiek&Bouwfysica;2005 3e kwartaal;     108;     2  ;       3;13
40;Constructie&Bouwk., Akoestiek&Bouwfysica;2005 4e kwartaal;     107;    -1  ;       1;13
41;Constructie&Bouwk., Akoestiek&Bouwfysica;2005 jaargemiddelde;     107;        ;       3;13
42;Constructie&Bouwk., Akoestiek&Bouwfysica;2006 1e kwartaal;     106;    -1  ;       0;13
43;Constructie&Bouwk., Akoestiek&Bouwfysica;2006 2e kwartaal;     109;     3  ;       3;13
44;Constructie&Bouwk., Akoestiek&Bouwfysica;2006 3e kwartaal;     110;     1  ;       2;13
45;Constructie&Bouwk., Akoestiek&Bouwfysica;2006 4e kwartaal;     111;     1  ;       4;13
46;Constructie&Bouwk., Akoestiek&Bouwfysica;2006 jaargemiddelde;     109;        ;       2;13
47;Constructie&Bouwk., Akoestiek&Bouwfysica;2007 1e kwartaal;     113;     2  ;       7;13
48;Constructie&Bouwk., Akoestiek&Bouwfysica;2007 2e kwartaal;     114;     1  ;       5;13
49;Constructie&Bouwk., Akoestiek&Bouwfysica;2007 3e kwartaal;     116;     2  ;       5;13
50;Constructie&Bouwk., Akoestiek&Bouwfysica;2007 4e kwartaal;     116;     0  ;       5;13
51;Constructie&Bouwk., Akoestiek&Bouwfysica;2007 jaargemiddelde;     115;        ;       6;13
52;Technische installaties & Telematica;2002 4e kwartaal;     100;        ;        ;52
53;Technische installaties & Telematica;2003 1e kwartaal;     103;     3  ;        ;52
54;Technische installaties & Telematica;2003 2e kwartaal;     104;     1  ;        ;52
55;Technische installaties & Telematica;2003 3e kwartaal;     103;    -1  ;        ;52
56;Technische installaties & Telematica;2003 4e kwartaal;     101;    -2  ;       1;52
57;Technische installaties & Telematica;2003 jaargemiddelde;     103;        ;        ;52
58;Technische installaties & Telematica;2004 1e kwartaal;     105;     4  ;       2;52
59;Technische installaties & Telematica;2004 2e kwartaal;     105;     0  ;       1;52
60;Technische installaties & Telematica;2004 3e kwartaal;     108;     3  ;       5;52
61;Technische installaties & Telematica;2004 4e kwartaal;     108;     0  ;       7;52
62;Technische installaties & Telematica;2004 jaargemiddelde;     107;        ;       4;52
63;Technische installaties & Telematica;2005 1e kwartaal;     107;    -1  ;       2;52
64;Technische installaties & Telematica;2005 2e kwartaal;     109;     2  ;       4;52
65;Technische installaties & Telematica;2005 3e kwartaal;     107;    -2  ;      -1;52
66;Technische installaties & Telematica;2005 4e kwartaal;     108;     1  ;       0;52
67;Technische installaties & Telematica;2005 jaargemiddelde;     108;        ;       1;52
