ID;Provincies;Jaren;TotaalVerzoekenOmSurseance_1;NatuurlijkePersonen_2;Totaal_3;Eenmanszaken_4;BeslotenVennootschappen_5;VennootschappenOnderFirma_6;OverigeVennootschappen_7
0;Nederland;1996;451;31.0;420;134.0;237;33.0;16.0
1;Nederland;1997;433;44.0;389;100.0;231;39.0;19.0
2;Groningen;1996;13;1.0;12;6.0;6;0.0;0.0
3;Groningen;1997;21;1.0;20;6.0;14;;
4;Friesland;1996;23;1.0;22;9.0;9;2.0;2.0
5;Friesland;1997;9;;9;5.0;4;;
6;Drenthe;1996;5;0.0;5;1.0;2;2.0;0.0
7;Drenthe;1997;16;;16;4.0;9;3.0;
8;Overijssel;1996;25;1.0;24;8.0;13;2.0;1.0
9;Overijssel;1997;24;2.0;22;5.0;12;5.0;
10;Flevoland;1996;10;2.0;8;2.0;3;3.0;0.0
11;Flevoland;1997;16;3.0;13;2.0;7;3.0;1.0
12;Gelderland;1996;67;5.0;62;26.0;29;6.0;1.0
13;Gelderland;1997;66;4.0;62;14.0;42;5.0;1.0
14;Utrecht;1996;32;2.0;30;6.0;24;0.0;0.0
15;Utrecht;1997;28;3.0;25;8.0;16;1.0;
16;Noord-Holland;1996;87;5.0;82;20.0;54;3.0;5.0
17;Noord-Holland;1997;68;2.0;66;15.0;38;4.0;9.0
18;Zuid-Holland;1996;97;6.0;91;28.0;50;9.0;4.0
19;Zuid-Holland;1997;90;12.0;78;14.0;51;8.0;5.0
20;Zeeland;1996;15;2.0;13;4.0;8;1.0;0.0
21;Zeeland;1997;9;3.0;6;;6;;
22;Noord-Brabant;1996;47;4.0;43;13.0;25;3.0;2.0
23;Noord-Brabant;1997;60;7.0;53;17.0;27;6.0;3.0
24;Limburg;1996;30;2.0;28;11.0;14;2.0;1.0
25;Limburg;1997;26;7.0;19;10.0;5;4.0;
