ID;SoortRijksmonument;RegioS;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;1965;1836
1;Rijksmonumenten totaal;Nederland;1966;9663
2;Rijksmonumenten totaal;Nederland;1967;16141
3;Rijksmonumenten totaal;Nederland;1968;19491
4;Rijksmonumenten totaal;Nederland;1969;21302
5;Rijksmonumenten totaal;Nederland;1970;29024
6;Rijksmonumenten totaal;Nederland;1971;32226
7;Rijksmonumenten totaal;Nederland;1972;33931
8;Rijksmonumenten totaal;Nederland;1973;36879
9;Rijksmonumenten totaal;Nederland;1974;37900
10;Rijksmonumenten totaal;Nederland;1975;38844
11;Rijksmonumenten totaal;Nederland;1976;39892
12;Rijksmonumenten totaal;Nederland;1977;40332
13;Rijksmonumenten totaal;Nederland;1978;40840
14;Rijksmonumenten totaal;Nederland;1979;41180
15;Rijksmonumenten totaal;Nederland;1980;41569
16;Rijksmonumenten totaal;Nederland;1981;41767
17;Rijksmonumenten totaal;Nederland;1982;41978
18;Rijksmonumenten totaal;Nederland;1983;42194
19;Rijksmonumenten totaal;Nederland;1984;42590
20;Rijksmonumenten totaal;Nederland;1985;42893
21;Rijksmonumenten totaal;Nederland;1986;43069
22;Rijksmonumenten totaal;Nederland;1987;43167
23;Rijksmonumenten totaal;Nederland;1988;43311
24;Rijksmonumenten totaal;Nederland;1989;43382
25;Rijksmonumenten totaal;Nederland;1990;43506
26;Rijksmonumenten totaal;Nederland;1991;43743
27;Rijksmonumenten totaal;Nederland;1992;44098
28;Rijksmonumenten totaal;Nederland;1993;44542
29;Rijksmonumenten totaal;Nederland;1994;45186
30;Rijksmonumenten totaal;Nederland;1995;45656
31;Rijksmonumenten totaal;Nederland;1996;46076
32;Rijksmonumenten totaal;Nederland;1997;47195
33;Rijksmonumenten totaal;Nederland;1998;48428
34;Rijksmonumenten totaal;Nederland;1999;50232
35;Rijksmonumenten totaal;Nederland;2000;52035
36;Rijksmonumenten totaal;Nederland;2001;55443
37;Rijksmonumenten totaal;Nederland;2002;59350
38;Rijksmonumenten totaal;Nederland;2003;60059
39;Rijksmonumenten totaal;Nederland;2004;61087
40;Rijksmonumenten totaal;Nederland;2005;61903
41;Rijksmonumenten totaal;Nederland;2006;62682
42;Rijksmonumenten totaal;Nederland;2007;62969
43;Rijksmonumenten totaal;Nederland;2008;63109
44;Rijksmonumenten totaal;Nederland;2009;63190
45;Rijksmonumenten totaal;Nederland;2010;63486
46;Rijksmonumenten totaal;Nederland;2011;63716
47;Rijksmonumenten totaal;Nederland;2012;63975
48;Rijksmonumenten totaal;Nederland;2013;63163
49;Rijksmonumenten totaal;Nederland;2014;63201
50;Rijksmonumenten totaal;Nederland;2015;63283
51;Rijksmonumenten totaal;Nederland;2016;63406
52;Rijksmonumenten totaal;Nederland;2017;63424
53;Rijksmonumenten totaal;Nederland;2018;63366
54;Rijksmonumenten totaal;Nederland;2019;63323
55;Rijksmonumenten totaal;Nederland;2020;63273
56;Rijksmonumenten totaal;Noord-Nederland (LD);1965;409
57;Rijksmonumenten totaal;Noord-Nederland (LD);1966;924
58;Rijksmonumenten totaal;Noord-Nederland (LD);1967;1686
59;Rijksmonumenten totaal;Noord-Nederland (LD);1968;2406
60;Rijksmonumenten totaal;Noord-Nederland (LD);1969;2414
61;Rijksmonumenten totaal;Noord-Nederland (LD);1970;2722
62;Rijksmonumenten totaal;Noord-Nederland (LD);1971;3599
63;Rijksmonumenten totaal;Noord-Nederland (LD);1972;3823
64;Rijksmonumenten totaal;Noord-Nederland (LD);1973;4315
65;Rijksmonumenten totaal;Noord-Nederland (LD);1974;4376
66;Rijksmonumenten totaal;Noord-Nederland (LD);1975;4682
67;Rijksmonumenten totaal;Noord-Nederland (LD);1976;4855
68;Rijksmonumenten totaal;Noord-Nederland (LD);1977;4917
69;Rijksmonumenten totaal;Noord-Nederland (LD);1978;5014
70;Rijksmonumenten totaal;Noord-Nederland (LD);1979;5090
71;Rijksmonumenten totaal;Noord-Nederland (LD);1980;5134
72;Rijksmonumenten totaal;Noord-Nederland (LD);1981;5170
73;Rijksmonumenten totaal;Noord-Nederland (LD);1982;5230
74;Rijksmonumenten totaal;Noord-Nederland (LD);1983;5316
75;Rijksmonumenten totaal;Noord-Nederland (LD);1984;5350
76;Rijksmonumenten totaal;Noord-Nederland (LD);1985;5429
77;Rijksmonumenten totaal;Noord-Nederland (LD);1986;5457
78;Rijksmonumenten totaal;Noord-Nederland (LD);1987;5470
79;Rijksmonumenten totaal;Noord-Nederland (LD);1988;5493
80;Rijksmonumenten totaal;Noord-Nederland (LD);1989;5520
81;Rijksmonumenten totaal;Noord-Nederland (LD);1990;5543
82;Rijksmonumenten totaal;Noord-Nederland (LD);1991;5600
83;Rijksmonumenten totaal;Noord-Nederland (LD);1992;5621
84;Rijksmonumenten totaal;Noord-Nederland (LD);1993;5645
85;Rijksmonumenten totaal;Noord-Nederland (LD);1994;5984
86;Rijksmonumenten totaal;Noord-Nederland (LD);1995;6342
87;Rijksmonumenten totaal;Noord-Nederland (LD);1996;6399
88;Rijksmonumenten totaal;Noord-Nederland (LD);1997;6584
89;Rijksmonumenten totaal;Noord-Nederland (LD);1998;6865
90;Rijksmonumenten totaal;Noord-Nederland (LD);1999;7268
91;Rijksmonumenten totaal;Noord-Nederland (LD);2000;7495
92;Rijksmonumenten totaal;Noord-Nederland (LD);2001;8167
93;Rijksmonumenten totaal;Noord-Nederland (LD);2002;8245
94;Rijksmonumenten totaal;Noord-Nederland (LD);2003;8371
95;Rijksmonumenten totaal;Noord-Nederland (LD);2004;8455
96;Rijksmonumenten totaal;Noord-Nederland (LD);2005;8559
97;Rijksmonumenten totaal;Noord-Nederland (LD);2006;8583
98;Rijksmonumenten totaal;Noord-Nederland (LD);2007;8593
99;Rijksmonumenten totaal;Noord-Nederland (LD);2008;8592
100;Rijksmonumenten totaal;Noord-Nederland (LD);2009;8590
101;Rijksmonumenten totaal;Noord-Nederland (LD);2010;8596
102;Rijksmonumenten totaal;Noord-Nederland (LD);2011;8601
103;Rijksmonumenten totaal;Noord-Nederland (LD);2012;8598
104;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8511
105;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8503
106;Rijksmonumenten totaal;Noord-Nederland (LD);2015;8494
107;Rijksmonumenten totaal;Noord-Nederland (LD);2016;8492
108;Rijksmonumenten totaal;Noord-Nederland (LD);2017;8487
109;Rijksmonumenten totaal;Noord-Nederland (LD);2018;8481
110;Rijksmonumenten totaal;Noord-Nederland (LD);2019;8474
111;Rijksmonumenten totaal;Noord-Nederland (LD);2020;8464
112;Rijksmonumenten totaal;Oost-Nederland (LD);1965;448
113;Rijksmonumenten totaal;Oost-Nederland (LD);1966;1354
114;Rijksmonumenten totaal;Oost-Nederland (LD);1967;1920
115;Rijksmonumenten totaal;Oost-Nederland (LD);1968;2487
116;Rijksmonumenten totaal;Oost-Nederland (LD);1969;2538
117;Rijksmonumenten totaal;Oost-Nederland (LD);1970;2881
118;Rijksmonumenten totaal;Oost-Nederland (LD);1971;4166
119;Rijksmonumenten totaal;Oost-Nederland (LD);1972;4769
120;Rijksmonumenten totaal;Oost-Nederland (LD);1973;5379
121;Rijksmonumenten totaal;Oost-Nederland (LD);1974;5478
122;Rijksmonumenten totaal;Oost-Nederland (LD);1975;5614
123;Rijksmonumenten totaal;Oost-Nederland (LD);1976;5761
124;Rijksmonumenten totaal;Oost-Nederland (LD);1977;5871
125;Rijksmonumenten totaal;Oost-Nederland (LD);1978;6018
126;Rijksmonumenten totaal;Oost-Nederland (LD);1979;6055
127;Rijksmonumenten totaal;Oost-Nederland (LD);1980;6147
128;Rijksmonumenten totaal;Oost-Nederland (LD);1981;6196
129;Rijksmonumenten totaal;Oost-Nederland (LD);1982;6234
130;Rijksmonumenten totaal;Oost-Nederland (LD);1983;6257
131;Rijksmonumenten totaal;Oost-Nederland (LD);1984;6276
132;Rijksmonumenten totaal;Oost-Nederland (LD);1985;6308
133;Rijksmonumenten totaal;Oost-Nederland (LD);1986;6347
134;Rijksmonumenten totaal;Oost-Nederland (LD);1987;6374
135;Rijksmonumenten totaal;Oost-Nederland (LD);1988;6395
136;Rijksmonumenten totaal;Oost-Nederland (LD);1989;6392
137;Rijksmonumenten totaal;Oost-Nederland (LD);1990;6394
138;Rijksmonumenten totaal;Oost-Nederland (LD);1991;6434
139;Rijksmonumenten totaal;Oost-Nederland (LD);1992;6476
140;Rijksmonumenten totaal;Oost-Nederland (LD);1993;6524
141;Rijksmonumenten totaal;Oost-Nederland (LD);1994;6611
142;Rijksmonumenten totaal;Oost-Nederland (LD);1995;6628
143;Rijksmonumenten totaal;Oost-Nederland (LD);1996;6631
144;Rijksmonumenten totaal;Oost-Nederland (LD);1997;6819
145;Rijksmonumenten totaal;Oost-Nederland (LD);1998;6955
146;Rijksmonumenten totaal;Oost-Nederland (LD);1999;7443
147;Rijksmonumenten totaal;Oost-Nederland (LD);2000;7936
148;Rijksmonumenten totaal;Oost-Nederland (LD);2001;8343
149;Rijksmonumenten totaal;Oost-Nederland (LD);2002;9122
