ID;AantalInBuitenlandGeborenGrootouders;OnderBovengrens;Perioden;DerdeGeneratieNietWesters_1;DerdeGeneratieTurken_2;DerdeGeneratieMarokkanen_3;DerdeGeneratieSurinamers_4;DerdeGeneratieAntillianenArubanen_5
0;Eén of meer grootouders;Ondergrens;2000;24460;1322;673;11106;4464
1;Eén of meer grootouders;Ondergrens;2001;27276;1651;855;12385;5075
2;Eén of meer grootouders;Ondergrens;2002;30396;2021;1096;13766;5722
3;Eén of meer grootouders;Ondergrens;2003;33576;2462;1369;15179;6320
4;Eén of meer grootouders;Ondergrens;2004;37233;2973;1702;16769;6993
5;Eén of meer grootouders;Ondergrens;2005;41098;3547;2111;18394;7736
6;Eén of meer grootouders;Ondergrens;2006;45385;4216;2574;20141;8497
7;Eén of meer grootouders;Ondergrens;2007;50253;4985;3143;22200;9299
8;Eén of meer grootouders;Ondergrens;2008;55692;5918;3866;24348;10163
9;Eén of meer grootouders;Ondergrens;2009;61968;7017;4690;26825;11165
10;Eén of meer grootouders;Ondergrens;2010;69102;8320;5752;29530;12220
11;Eén of meer grootouders;Ondergrens;2011;76858;9761;6917;32476;13354
12;Eén of meer grootouders;Ondergrens;2012;85027;11318;8279;35376;14497
13;Eén of meer grootouders;Bovengrens;2000;26058;1350;685;12174;5383
14;Eén of meer grootouders;Bovengrens;2001;28988;1685;870;13537;6082
15;Eén of meer grootouders;Bovengrens;2002;32257;2063;1115;15035;6824
16;Eén of meer grootouders;Bovengrens;2003;35593;2513;1393;16573;7510
17;Eén of meer grootouders;Bovengrens;2004;39436;3035;1732;18302;8307
18;Eén of meer grootouders;Bovengrens;2005;43483;3623;2148;20064;9174
19;Eén of meer grootouders;Bovengrens;2006;48014;4310;2620;21968;10083
20;Eén of meer grootouders;Bovengrens;2007;53190;5101;3200;24251;11045
21;Eén of meer grootouders;Bovengrens;2008;58965;6061;3937;26609;12087
22;Eén of meer grootouders;Bovengrens;2009;65633;7191;4777;29358;13287
23;Eén of meer grootouders;Bovengrens;2010;73189;8533;5858;32303;14534
24;Eén of meer grootouders;Bovengrens;2011;81425;10018;7047;35564;15923
25;Eén of meer grootouders;Bovengrens;2012;90119;11628;8439;38796;17307
