ID;Geslacht;Leeftijd;Woonland;Herkomstgroepering;Perioden;AnwUitkeringen_1
0;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 januari;123070.0
1;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 februari;122470.0
2;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 maart;121720.0
3;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 april;121190.0
4;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 mei;120560.0
5;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 juni;119930.0
6;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 juli;119210.0
7;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 augustus;118440.0
8;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 september;117600.0
9;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 oktober;116850.0
10;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 november;116210.0
11;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2008 december;115180.0
12;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 januari;114780.0
13;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 februari;114130.0
14;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 maart;113320.0
15;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 april;112630.0
16;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 mei;111880.0
17;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 juni;111220.0
18;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 juli;110400.0
19;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 augustus;109480.0
20;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 september;108730.0
21;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 oktober;108210.0
22;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 november;107540.0
23;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2009 december;106500.0
24;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 januari;106140.0
25;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 februari;105400.0
26;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 maart;104610.0
27;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 april;103810.0
28;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 mei;102880.0
29;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 juni;102380.0
30;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 juli;101670.0
31;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 augustus;100950.0
32;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 september;100440.0
33;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 oktober;99920.0
34;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 november;99320.0
35;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2010 december;98360.0
36;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 januari;98030.0
37;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 februari;97510.0
38;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 maart;96460.0
39;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 april;95380.0
40;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 mei;94090.0
41;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 juni;93000.0
42;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 juli;91800.0
43;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 augustus;90760.0
44;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 september;89840.0
45;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 oktober;88900.0
46;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 november;87980.0
47;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2011 december;86660.0
48;Totaal mannen en vrouwen incl. onbekend;Totaal leeftijd;Totaal;Totaal;2012 januari;86050.0
