ID;BedrijfsklasseSBI93;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologisch_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11;TotaalHoeveelheidSlibAfgevoerd_12;LandbouwBodem_13;DiervoedersDestructiebedrijven_14;Composteren_15;Storten_16;Verbranden_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;OverigeBestemmingen_25
34;15 VV voedingsmiddelen en dranken;1997;180;4;36;133;7;140;102;14;24;8329;151;453309;247335;130566;10312;21624;2025;41448;37681;16446;13474;1331;3203;494;2732
35;15 VV voedingsmiddelen en dranken;1998;176;5;38;125;8;133;95;13;25;8236;145;402896;179125;127191;9098;5413;13218;68851;40198;15993;15579;1164;834;2351;4277
36;15 VV voedingsmiddelen en dranken;1999;183;7;41;126;9;135;97;12;26;8560;144;364125;176013;102075;15614;17450;19417;33556;38446;15201;12197;2306;3682;2790;2271
37;15 VV voedingsmiddelen en dranken;2000;180;6;40;125;9;134;96;12;26;8525;142;623603;265081;141243;4772;30178;49281;133048;64152;26720;19783;626;4013;5048;7962
38;15 VV voedingsmiddelen en dranken;2001;178;5;41;123;9;132;93;13;26;8494;140;636777;285169;115513;33857;21398;40974;139867;65799;20575;20563;8357;3192;4707;8405
39;15 VV voedingsmiddelen en dranken;2002;167;5;39;115;8;123;83;14;26;8347;132;719811;307741;101876;43676;56562;71204;138752;69178;23277;17429;8416;5301;8157;6600
40;15 VV voedingsmiddelen en dranken;2003;161;5;36;111;9;120;81;14;25;8308;130;612378;260315;76247;33507;51527;40904;149879;59524;20526;11548;8420;4103;4692;10235
41;15 VV voedingsmiddelen en dranken;2004;155;5;34;106;10;116;77;14;25;8302;128;586047;238491;32342;59577;40159;47164;168314;53190;17718;6511;12007;1700;6408;8847
42;15 VV voedingsmiddelen en dranken;2005;147;6;31;100;10;110;72;13;25;8118;119;548567;280849;40098;49804;31206;45185;101425;50683;22365;6465;8325;1149;4556;7823
43;15 VV voedingsmiddelen en dranken;2006;138;6;31;93;8;101;65;13;23;7470;109;429353;175241;26839;69182;1873;32329;123889;45488;15785;4079;8502;307;5239;11576
44;15 VV voedingsmiddelen en dranken;2007;134;6;31;89;8;97;62;12;23;7292;105;490809;178470;33063;86575;11520;25661;155521;46366;10104;4443;11748;1516;3726;14829
45;17 Vervaardiging van textiel;1993;11;3;6;2;0;2;2;0;0;95;3;2892;0;0;0;1893;999;0;1011;0;0;0;438;574;0
46;17 Vervaardiging van textiel;1994;12;3;7;2;0;2;2;0;0;95;3;2166;0;0;0;1533;633;0;728;0;0;0;374;354;0
47;17 Vervaardiging van textiel;1995;12;4;6;2;0;2;2;0;0;96;4;1995;0;0;0;1347;648;0;707;0;0;0;328;379;0
48;17 Vervaardiging van textiel;1996;14;5;6;3;0;3;2;1;0;96;4;1970;0;0;0;1251;719;0;701;0;0;0;286;415;0
49;17 Vervaardiging van textiel;1997;13;5;5;3;0;3;2;1;0;96;4;1778;0;0;0;1227;551;0;514;0;0;0;218;296;0
50;17 Vervaardiging van textiel;1998;12;5;4;3;0;3;2;1;0;96;4;1532;0;0;0;994;537;0;414;0;0;0;153;262;0
51;17 Vervaardiging van textiel;1999;13;5;4;3;1;4;2;2;0;96;4;1421;0;0;0;843;578;0;472;0;0;0;201;271;0
52;17 Vervaardiging van textiel;2000;13;5;4;3;1;4;2;2;0;96;4;1311;0;0;0;843;443;25;392;0;0;0;201;190;1
53;17 Vervaardiging van textiel;2001;14;4;5;3;2;5;3;2;0;39;3;1866;0;0;0;1112;564;190;544;0;0;0;203;286;55
54;17 Vervaardiging van textiel;2002;13;4;5;2;2;4;2;2;0;4;2;769;0;0;0;87;456;226;315;0;0;0;28;221;66
55;17 Vervaardiging van textiel;2003;12;4;4;2;2;4;2;2;0;13;2;3674;0;0;0;7;249;3418;371;0;0;0;6;129;236
