ID;Geslacht;Leeftijd;Onderwijssoort;Perioden;GediplomeerdenVavo_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2006/'07;4040
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2007/'08;5220
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2008/'09;6520
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2009/'10;7170
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2010/'11;8250
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2011/'12;7500
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2012/'13;8220
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2013/'14;7010
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2014/'15;7340
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2015/'16;7150
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2016/'17;7180
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2017/'18;7880
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2018/'19;7840
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2019/'20;8080
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2020/'21;3610
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2021/'22;5260
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2022/'23;5180
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal vavo;2023/'24;8340
18;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2006/'07;830
19;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2007/'08;1060
20;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2008/'09;990
21;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2009/'10;1000
22;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2010/'11;1110
23;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2011/'12;1010
24;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2012/'13;1200
25;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2013/'14;1270
26;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2014/'15;1260
27;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2015/'16;1180
28;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2016/'17;1120
29;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2017/'18;1340
30;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2018/'19;1280
31;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2019/'20;1280
32;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2020/'21;650
33;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2021/'22;640
34;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2022/'23;580
35;Totaal mannen en vrouwen;Totaal leeftijd;Vavo vmbo-t;2023/'24;1000
36;Totaal mannen en vrouwen;Totaal leeftijd;Vavo havo;2006/'07;2190
