ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3;Cng_4;Elektrisch_5
0;2020 1e kwartaal;1.643;1.347;0.657;1.185;0.292
1;2020 2e kwartaal;1.496;1.207;0.554;1.168;0.292
2;2020 3e kwartaal;1.563;1.198;0.587;1.179;0.292
3;2020 4e kwartaal;1.545;1.197;0.622;1.191;0.294
4;2021 1e kwartaal;1.674;1.345;0.706;1.214;0.287
5;2021 2e kwartaal;1.771;1.412;0.738;1.248;0.285
6;2021 3e kwartaal;1.84;1.47;0.767;1.415;0.284
7;2021 4e kwartaal;1.971;1.616;0.918;1.745;0.296
8;2022 1e kwartaal;2.109;1.843;0.973;1.806;0.331
9;2022 2e kwartaal;2.209;2.046;1.063;1.988;0.359
10;2022 3e kwartaal;2.08;2.014;0.863;2.347;0.368
11;2022 4e kwartaal;1.889;1.917;0.818;2.336;0.467
12;2023 1e kwartaal;1.819;1.702;0.822;1.963;0.59
13;2023 2e kwartaal;1.827;1.536;0.77;1.66;0.524
14;2023 3e kwartaal;2.063;1.799;0.747;1.675;0.494
15;2023 4e kwartaal;1.974;1.811;0.801;1.752;0.473
16;2024 1e kwartaal;1.964;1.78;0.823;1.779;0.457
17;2024 2e kwartaal;2.035;1.746;0.779;1.775;0.449
18;2024 3e kwartaal;1.944;1.671;0.745;1.798;0.442
19;2024 4e kwartaal;1.933;1.694;0.831;1.835;0.441
