ID;RegioS;Perioden;LozingVanAfvalwaterTotaal_1;HuishoudensVolgensInwoneraantallen_2;HuishoudensTotaalVolgensAanslagenWvo_3;Eenpersoonshuishoudens_4;Meerpersoonshuishoudens_5;BedrijvenEnInstellingenTotaal_6;ALandbouwJachtEnBosbouw_7;BVisserij_8;CDelfstoffenwinningTotaal_9;CAEnergiehoudendeDelfstoffenwinning_10;CBZandGrindKleiEnZoutwinning_11;DIndustrieTotaal_12;DAVoedingsEnGenotmiddelenindustrie_13;DBTextielEnTextielproductenindustrie_14;DCLeerLederwarenEnSchoenind_15;DDHoutKurkRietwarenindustrie_16;DEPapierKartonEnGrafischeInd_17;DFAardolieSteenkoolverwerkendeInd_18;DGChemischeIndustrie_19;DHRubberEnKunststofverwerkInd_20;DIGlasAardewerkCementKalkind_21;DJBasismetaalEnMetaalprodInd_22;DKMachineEnApparatenindustrie_23;DLElektrischeEnOptischeAppInd_24;DMTransportmiddelenindustrie_25;DNMeubelEnOverigeIndustrieNEG_26;EOpenbareVoorzieningsbedrijven_27;FBouwnijverheid_28;GReparatieConsumentenartHandel_29;HHoreca_30;IVervoerOpslagEnCommunicatie_31;JFinancieleInstellingen_32;KVerhuurEnZakelijkeDienstverlening_33;LOpenbaarBestuurSocVerzekeringen_34;MOnderwijs_35;NGezondheidsEnWelzijnszorg_36;OCultuurRecreatieEnOvDienstverl_37;PHuishoudensMetPersoneel_38;QExtraTerritorialeOrganisaties_39
0;Nederland;1995;22871.2;15459.0;15098.9;1340.3;13758.7;7412.2;132.4;7.0;6.4;4.2;2.1;3272.2;1665.2;197.9;14.7;20.0;302.0;112.3;601.0;14.3;25.6;172.0;24.4;68.6;29.7;24.7;26.9;62.7;560.6;857.3;154.2;58.5;416.3;217.0;211.3;737.8;690.1;0;1.4
1;Nederland;1996;22952.7;15530.5;15298.8;1439.2;13859.6;7422.2;129.7;9.4;5.1;3.3;1.8;3269.5;1616.2;189.1;16.2;18.5;328.4;130.9;602.9;14.5;25.3;174.0;30.0;67.0;27.0;29.6;24.8;60.7;556.2;876.7;153.2;56.0;429.8;226.8;211.2;745.1;666.4;0;1.4
2;Nederland;1997;23151.0;15610.7;15725.4;1547.5;14177.9;7540.3;114.0;8.0;7.6;6.4;1.2;3487.2;1753.9;182.0;19.4;11.9;304.5;122.3;715.4;13.1;32.0;196.0;27.0;57.6;31.4;20.6;25.2;50.0;522.9;960.6;141.9;81.1;360.9;211.5;226.9;761.8;576.2;0;4.5
3;Nederland;1998;23154.0;15707.2;15814.1;1621.4;14192.7;7446.8;103.4;6.4;7.3;6.2;1.1;3384.3;1733.9;195.2;18.0;11.8;267.2;121.5;651.3;13.6;35.8;196.8;28.1;59.0;33.4;18.5;15.7;48.1;538.8;948.2;142.9;80.6;369.1;212.2;225.6;765.4;594.0;0;4.9
4;Nederland;1999;23259.8;15812.1;15902.2;1692.4;14209.8;7447.7;130.1;5.9;5.6;3.0;2.6;3272.1;1728.4;174.8;13.2;7.7;283.1;113.3;588.8;13.5;32.2;183.1;30.0;49.3;34.9;19.9;27.7;42.6;543.8;984.1;163.3;77.5;378.2;176.0;228.3;770.6;637.8;0;4.0
5;Nederland;2000;23198.2;15925.5;16012.8;1727.4;14285.4;7272.7;116.2;6.1;6.2;4.3;2.0;3197.3;1729.0;165.5;12.1;6.6;270.3;101.1;571.0;12.9;31.3;165.8;26.9;48.7;35.0;21.0;27.7;45.2;539.6;975.6;162.7;77.3;362.4;177.6;226.7;751.3;596.9;0;4.0
6;Nederland;2002;23267.1;16148.9;16390.4;1874.5;14516.0;7118.2;143.1;3.0;6.9;2.7;4.3;2809.8;1573.6;98.0;7.9;7.1;178.5;91.7;519.0;25.5;48.5;120.4;29.9;46.1;39.9;23.8;32.7;59.2;624.6;859.6;188.5;72.3;465.4;171.4;207.2;784.3;688.2;0;1.9
7;Nederland;2004;23161.3;16281.8;15971.2;1975.2;13996.0;6879.5;156.1;3.4;6.8;2.6;4.2;2887.0;1703.6;109.9;5.5;6.8;154.1;70.2;541.5;19.5;50.3;88.5;42.8;41.6;35.0;17.7;28.0;60.6;647.4;792.2;198.9;81.2;372.1;126.6;185.9;671.0;660.2;0;1.9
8;Nederland;2006;23172.0;16346.1;15868.1;1966.2;13902.0;6825.9;149.5;5.1;5.9;2.8;3.0;2511.8;1453.1;83.3;6.2;6.1;158.4;98.0;432.9;16.4;36.4;109.5;32.0;31.6;28.6;19.4;21.0;48.8;578.1;944.6;177.5;97.5;478.4;148.7;206.5;764.2;686.4;0;1.8
9;Nederland;2008;23549.6;16445.6;16419.8;2084.5;14335.4;7104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0
10;Noord-Nederland (LD);1995;2477.9;1624.9;1644.3;148.6;1495.7;853.0;22.6;0.5;1.7;1.2;0.5;398.2;279.6;11.1;0.2;4.2;26.6;1.2;42.1;1.5;3.3;7.6;5.6;7.4;3.7;4.1;3.7;8.4;58.3;92.9;15.0;4.3;46.8;15.1;20.7;91.4;73.1;0;0.0
11;Noord-Nederland (LD);1996;2455.9;1630.7;1629.3;156.8;1472.4;825.2;21.6;0.5;1.7;1.3;0.4;380.9;275.9;8.8;0.2;4.1;24.8;1.3;34.4;1.7;3.8;4.6;5.3;8.1;4.0;3.9;3.0;8.8;57.1;96.5;13.8;4.1;45.8;13.9;20.7;87.2;69.5;0;0.0
12;Noord-Nederland (LD);1997;2502.8;1637.4;1621.0;158.4;1462.7;865.4;20.0;0.6;2.1;1.6;0.5;428.9;277.8;5.3;0.1;3.5;23.6;1.3;85.8;1.4;4.6;6.7;2.6;9.5;3.5;3.3;2.3;7.8;51.7;96.6;13.4;4.2;38.6;12.0;21.0;85.6;80.2;0;0.3
13;Noord-Nederland (LD);1998;2448.1;1644.6;1623.4;164.2;1459.2;803.5;18.2;0.6;2.0;1.6;0.4;381.9;267.4;4.5;0.1;3.3;24.6;1.2;50.0;1.4;6.1;6.5;2.8;7.9;3.3;2.9;2.4;7.2;48.2;92.8;12.9;4.0;38.2;11.6;20.4;86.1;76.5;0;0.2
14;Noord-Nederland (LD);1999;2473.3;1652.6;1625.0;163.8;1461.2;820.7;32.2;0.6;1.6;1.1;0.5;381.7;271.8;4.0;0.1;1.8;32.1;0.8;37.1;1.6;6.4;9.2;2.9;6.5;4.8;2.5;2.4;5.6;51.0;98.4;15.6;4.4;32.4;11.2;23.0;92.4;68.3;0;0.0
15;Noord-Nederland (LD);2000;2437.2;1664.2;1630.3;165.3;1465.0;772.9;29.4;0.6;1.4;0.9;0.4;367.2;260.5;2.9;0.1;1.8;29.4;1.0;39.2;1.4;5.7;9.0;2.6;6.2;4.7;2.5;2.3;5.5;47.9;94.9;14.6;4.2;31.7;11.8;22.5;89.3;49.8;0;0.0
16;Noord-Nederland (LD);2002;2473.1;1689.8;1742.3;179.3;1563.0;783.3;31.0;0.6;1.6;1.0;0.5;340.5;241.3;2.1;0.1;2.1;37.0;0.9;25.5;1.8;7.1;6.6;2.5;6.4;4.7;2.4;3.2;5.9;50.7;92.9;15.1;3.9;34.2;13.1;20.5;87.2;83.0;0;0.0
17;Noord-Nederland (LD);2004;2467.8;1700.1;1714.6;182.9;1531.6;767.7;28.2;0.8;1.6;0.8;0.8;347.8;254.3;1.9;0.1;1.5;31.0;0.9;31.7;1.3;6.1;5.4;2.8;4.8;3.9;2.2;3.3;7.0;60.5;79.7;13.9;8.3;35.6;10.7;17.4;82.3;70.7;0;0.0
18;Noord-Nederland (LD);2006;2433.8;1701.4;1757.5;204.5;1553.0;732.4;24.3;0.4;1.1;0.6;0.5;304.9;222.9;1.6;0.1;1.6;27.2;0.3;26.8;1.4;4.7;6.0;2.4;4.3;3.4;2.3;3.1;5.3;49.8;92.8;13.6;7.0;39.4;11.1;20.3;90.7;68.6;0;0.0
19;Noord-Nederland (LD);2008;2422.2;1706.8;1731.4;207.4;1524.0;715.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0
20;Oost-Nederland (LD);1995;4771.1;3190.3;3038.2;217.7;2820.5;1580.8;24.3;4.8;0.5;0.1;0.4;717.8;405.4;71.4;3.6;6.4;126.2;5.1;41.0;5.0;6.6;17.8;4.4;13.4;4.9;6.5;5.0;13.8;123.6;177.9;24.1;13.1;77.2;41.3;43.3;149.0;165.0;0;0.0
