ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;DirectVastgoed_4;TotaalAandelenEnDeelnemingen_5;BeursgenoteerdeAandelen_6;NietBeursgenoteerdeAandelen_7;AandelenInBeleggingsfondsen_8;TotaalVastrentendeWaarden_9;Hypotheken_10;LanglopendeSchuldbewijzen_11;FinancieleDerivaten_12;LanglopendeLeningen_13;OverigVastrentendeWaarden_14;TotaalKortlopendeBeleggingen_15;KortlopendeLeningen_16;KortlopendeSchuldbewijzen_17;OverigeDepositoS_18;ChartaalGeldEnGiraleDepositoS_19;OverigeKortlopendeBeleggingen_20
0;Totaal Institutionele beleggers;1950;3459;3159;384;161;223;;;;2775;341.0;1252;0;1177;4.0;300;71;158;30;41;0.0
1;Totaal Institutionele beleggers;1951;3814;3672;445;182;263;;;;3227;403.0;1333;0;1485;6.0;142;63;5;29;46;0.0
2;Totaal Institutionele beleggers;1952;4159;4015;474;194;280;;;;3541;436.0;1409;0;1690;5.0;144;69;0;27;48;0.0
3;Totaal Institutionele beleggers;1953;4628;4467;540;213;327;;;;3927;478.0;1523;0;1921;5.0;161;80;0;26;55;0.0
4;Totaal Institutionele beleggers;1954;5207;5064;673;250;423;;;;4391;563.0;1616;0;2207;5.0;143;58;0;28;57;0.0
5;Totaal Institutionele beleggers;1955;5831;5688;787;287;500;;;;4901;685.0;1772;0;2433;11.0;143;52;0;33;57;0.0
6;Totaal Institutionele beleggers;1956;6389;6237;874;338;536;;;;5363;808.0;1819;0;2710;25.0;152;45;0;36;70;0.0
7;Totaal Institutionele beleggers;1957;7070;6867;891;391;500;;;;5975;909.0;1836;0;3195;36.0;203;114;0;35;53;0.0
8;Totaal Institutionele beleggers;1958;8173;7979;1177;450;726;;;;6802;1011.0;1984;0;3723;85.0;194;90;2;38;63;0.0
9;Totaal Institutionele beleggers;1959;9190;8983;1534;505;1028;;;;7449;1097.0;2158;0;4126;68.0;206;107;0;50;46;3.0
10;Totaal Institutionele beleggers;1960;10133;9877;1711;569;1142;;;;8167;1226.0;2364;0;4507;69.0;256;120;1;81;49;5.0
