ID;Geboortelanden;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratieSaldo_7;MigratiesaldoMannen_8;MigratiesaldoVrouwen_9
0;Totaal;2000;131954;67624;64330;79748;44316;35433;52206;23308;28897
1;Totaal;2001;132097;67912;64185;81561;45183;36378;50536;22729;27807
2;Totaal;2002;132700;68137;64563;83001;45846;37156;49699;22291;27407
3;Totaal;2003;132863;68230;64633;84392;46482;37910;48471;21748;26723
4;Totaal;2004;132828;68244;64584;85501;46977;38524;47327;21267;26060
5;Totaal;2005;132430;68020;64410;86530;47432;39098;45900;20588;25312
6;Totaal;2006;131981;67764;64217;87466;47834;39632;44515;19930;24585
7;Totaal;2007;131562;67518;64044;88339;48206;40133;43223;19312;23911
8;Totaal;2008;131214;67312;63902;89167;48557;40610;42047;18755;23292
9;Totaal;2009;131071;67209;63862;89962;48892;41069;41109;18317;22793
10;Totaal;2010;130995;67328;63667;90735;49219;41516;40260;18109;22151
11;Totaal;2011;130993;67349;63644;91466;49512;41955;39527;17837;21689
12;Totaal;2012;130917;67333;63584;92172;49791;42381;38745;17542;21203
13;Totaal;2013;130800;67293;63507;92835;50049;42786;37965;17244;20721
14;Totaal;2014;130669;67254;63415;93458;50285;43173;37211;16969;20242
15;Totaal;2015;130488;67192;63296;94042;50503;43539;36446;16689;19757
16;Totaal;2016;130359;67135;63224;94589;50703;43885;35770;16432;19339
17;Totaal;2017;130206;67090;63116;95103;50887;44217;35103;16203;18900
18;Totaal;2018;130079;67034;63045;95585;51057;44528;34494;15977;18517
19;Totaal;2019;130027;67003;63024;96038;51213;44826;33989;15790;18198
20;Totaal;2020;129986;67002;62984;96473;51359;45114;33513;15643;17870
21;Totaal;2021;129986;67002;62984;96870;51558;45312;33116;15444;17672
22;Totaal;2022;129986;67002;62984;97251;51754;45498;32735;15248;17486
23;Totaal;2023;129986;67002;62984;97608;51935;45674;32378;15067;17310
24;Totaal;2024;129986;67002;62984;97940;52101;45838;32046;14901;17146
25;Totaal;2025;129986;67002;62984;98242;52252;45989;31744;14750;16995
