ID;Overheidsinstellingen;Toepassingssectoren;Methoden;Perioden;Oppervlakte_1;Oppervlakte_2;OverheidsinstellingenMetToepassing_3;OverheidsinstellingenMetToepassing_4
0;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;1992;26.0;0.0;;
1;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;1995;73.0;2.0;;
2;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;2001;67.0;1.0;;
3;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;2005;99.0;1.0;;
4;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;2009;84.0;2.0;;
5;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;2013;122.0;3.0;27.0;
6;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met (half)heesters;2018;1320.0;2.4;97.0;
7;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;1992;41.0;1.0;;
8;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;1995;25.0;1.0;;
9;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;2001;10.0;0.0;;
10;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;2005;32.0;0.0;;
11;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;2009;12.0;0.0;;
12;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;2013;11.0;0.0;22.0;
13;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met vaste planten;2018;3751.0;6.7;66.0;
14;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;1992;39.0;1.0;;
15;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;1995;94.0;3.0;;
16;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;2001;28.0;0.0;;
17;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;2005;29.0;0.0;;
18;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;2009;1.0;0.0;;
19;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;2013;1.0;0.0;1.0;
20;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Bodembedekkend met schors, houtsnippers;2018;118.0;0.2;16.0;
21;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;1992;1319.0;22.0;;
22;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;1995;;;;
23;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;2001;4615.0;57.0;;
24;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;2005;9524.0;76.0;;
25;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;2009;2842.0;51.0;;
26;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;2013;1568.0;40.0;50.0;
27;Totaal overheidsinstellingen;Weg- en landschappelijke beplanting;Ecologisch beheer;2018;17321.0;31.0;195.0;
