ID;RegioS;Perioden;AantalMusea_1;Tot2500Bezoeken_2;k_2500Tot10000Bezoeken_3;k_10000Tot25000Bezoeken_4;k_25000Tot50000Bezoeken_5;k_50000Tot100000Bezoeken_6;k_100000EnMeerBezoeken_7;TotaalBezoeken_8;BetaaldeBezoeken_9;MuseumkaartEnGratisBezoeken_10;GemiddeldAantalBezoekenPerMuseum_11;BuitenlandseBezoeken_12;TotaalWerkzamePersonen_13;InLoondienst_14;OverigBezoldigden_15;TotaalAantalMensjaren_16;InLoondienst_17;OverigBezoldigden_18;Personen_19;Mensjaren_20
0;Nederland;1995;744;28;31;20;10;5;6;21921;14384;7537;29;;6320;5115;1205;4896;4065;830;;
1;Nederland;1997;942;39;28;16;8;5;4;20266;14578;5687;22;;6708;5312;1396;5071;3942;1129;;
2;Nederland;1999;902;35;29;19;8;5;4;20679;14012;6667;23;3969.0;7694;6148;1545;5198;4404;794;16205.0;
3;Nederland;2001;873;36;28;18;8;5;5;20488;14399;6089;23;4603.0;8285;6283;2002;5478;4424;1054;17888.0;2330.0
4;Nederland;2003;828;32;33;18;8;5;5;19558;13593;5965;24;4223.0;8496;6567;1929;5837;4731;1106;19693.0;2357.0
5;Nederland;2005;775;31;32;19;9;5;5;19648;13527;6121;25;4711.0;8143;6563;1580;5696;4860;836;19667.0;2679.0
6;Nederland;2007;773;31;31;19;9;5;5;20540;14205;6335;27;5437.0;8598;6760;1839;6016;5013;1003;21329.0;3015.0
7;Nederland;2009;810;31;32;17;9;5;6;22037;13439;8598;27;3304.0;9146;6938;2208;6380;5284;1096;23720.0;3559.0
8;Noord-Nederland;1995;130;31;33;20;10;3;2;3703;1501;2202;28;;540;385;155;415;285;130;;
9;Noord-Nederland;1997;165;43;29;16;7;4;1;1962;1305;656;12;;631;376;255;443;266;176;;
10;Noord-Nederland;1999;161;42;34;13;6;5;1;1778;1234;544;11;147.0;716;489;227;432;303;129;;
11;Noord-Nederland;2001;160;39;32;16;7;5;1;1833;1312;522;12;134.0;911;517;394;542;332;210;2884.0;324.0
12;Noord-Nederland;2003;145;35;36;15;9;3;2;1890;1328;561;13;283.0;795;548;247;489;331;158;2929.0;297.0
13;Noord-Nederland;2005;147;37;35;15;7;4;2;1882;1373;510;13;211.0;735;538;197;508;386;123;3038.0;409.0
14;Noord-Nederland;2007;141;37;33;16;7;5;2;1967;1448;519;14;404.0;804;569;235;533;407;129;3166.0;382.0
15;Noord-Nederland;2009;142;35;34;16;9;3;3;2157;1495;661;15;43.0;787;552;235;490;393;97;3592.0;523.0
16;Oost-Nederland;1995;170;30;32;21;11;3;4;3859;2971;888;23;;1000;825;175;805;665;140;;
17;Oost-Nederland;1997;218;40;29;15;10;3;3;4101;3193;908;19;;1334;1040;295;975;730;245;;
18;Oost-Nederland;1999;214;38;25;21;11;2;3;3783;2588;1195;18;625.0;1238;1010;228;814;679;135;;
19;Oost-Nederland;2001;208;40;27;19;10;2;3;3488;2341;1147;17;509.0;1451;1063;388;868;700;168;4241.0;497.0
20;Oost-Nederland;2003;193;35;32;20;9;2;3;3390;2373;1017;18;712.0;1421;1111;310;897;728;169;5332.0;639.0
21;Oost-Nederland;2005;182;35;28;22;10;2;4;3656;2424;1232;20;653.0;1420;1134;286;956;821;135;5369.0;655.0
22;Oost-Nederland;2007;171;33;27;22;11;2;4;3446;2296;1150;20;667.0;1426;1140;285;1023;841;181;4855.0;657.0
23;Oost-Nederland;2009;188;29;34;21;11;3;3;3734;2344;1390;20;239.0;1599;1326;273;1061;923;138;6117.0;1022.0
24;West-Nederland;1995;315;25;29;19;11;7;9;12181;8318;3863;39;;4100;3445;655;3189;2788;401;;
25;West-Nederland;1997;408;37;26;16;7;7;7;12131;8597;3533;30;;3982;3391;593;3059;2555;504;;
26;West-Nederland;1999;391;29;32;19;6;7;7;12848;8693;4155;33;3031.0;4958;4082;876;3468;3058;410;;
27;West-Nederland;2001;387;33;29;17;7;6;7;13087;9334;3753;34;3813.0;5161;4200;961;3595;3063;532;8392.0;1244.0
28;West-Nederland;2003;369;29;32;18;7;6;8;12632;8852;3779;34;3025.0;5483;4429;1054;3888;3285;603;8711.0;1132.0
29;West-Nederland;2005;336;27;32;20;7;7;8;12268;8585;3684;37;3553.0;5277;4431;846;3715;3272;443;8540.0;1231.0
30;West-Nederland;2007;337;27;30;21;7;7;8;13214;9312;3903;39;4027.0;5516;4416;1100;3915;3335;580;9804.0;1430.0
31;West-Nederland;2009;351;29;29;17;8;8;9;14138;8434;5704;40;2958.0;5834;4452;1382;4254;3522;732;10246.0;1470.0
32;Zuid-Nederland;1995;129;32;32;19;8;5;3;2178;1594;584;17;;680;460;220;486;327;159;;
33;Zuid-Nederland;1997;151;40;28;19;7;4;2;2073;1483;590;14;;760;504;256;594;391;204;;
34;Zuid-Nederland;1999;136;39;22;24;8;6;2;2270;1495;772;17;166.0;781;567;214;483;364;119;;
35;Zuid-Nederland;2001;118;34;25;23;8;7;3;2080;1413;667;18;146.0;762;504;258;473;328;145;2371.0;266.0
36;Zuid-Nederland;2003;121;35;33;17;9;6;1;1648;1039;609;14;203.0;796;479;317;563;387;176;2722.0;289.0
37;Zuid-Nederland;2005;110;31;34;16;12;5;2;1842;1148;694;17;294.0;711;460;251;518;382;136;2721.0;383.0
38;Zuid-Nederland;2007;124;34;34;15;10;5;2;1912;1150;762;15;339.0;853;635;218;545;432;113;3505.0;546.0
39;Zuid-Nederland;2009;129;35;33;13;9;6;3;2009;1166;843;16;64.0;927;608;319;575;446;129;3765.0;544.0
40;Groningen;1995;36;31;30;28;8;0;3;688;482;206;19;;215;155;60;159;107;52;;
41;Groningen;1997;55;53;24;15;5;2;2;676;423;253;12;;272;134;138;185;96;89;;
42;Groningen;1999;51;53;21;18;4;2;2;570;338;232;11;47.0;280;183;97;132;88;44;;
43;Groningen;2001;53;42;32;19;4;2;2;620;417;203;12;42.0;360;186;174;200;111;89;1048.0;107.0
44;Groningen;2003;53;38;36;15;8;2;2;662;433;229;12;134.0;291;175;116;203;129;74;1228.0;102.0
45;Groningen;2005;54;39;37;13;7;2;2;612;432;180;11;66.0;268;185;83;194;143;51;1222.0;185.0
46;Groningen;2007;50;42;34;12;8;2;2;561;399;161;11;128.0;312;194;119;192;131;61;1113.0;160.0
47;Groningen;2009;49;41;33;14;8;2;2;665;388;278;14;28.0;272;171;101;164;129;35;1215.0;255.0
48;Friesland;1995;61;34;33;20;10;3;0;729;538;191;12;;200;140;60;149;99;50;;
49;Friesland;1997;71;37;31;20;8;4;0;782;520;262;11;;222;152;70;157;103;53;;
50;Friesland;1999;72;43;37;10;7;4;0;603;399;204;8;61.0;221;147;74;142;96;46;;
51;Friesland;2001;72;40;29;18;7;6;0;759;542;216;11;67.0;373;215;158;232;144;87;1036.0;111.0
52;Friesland;2003;61;36;34;15;10;3;2;739;532;206;12;108.0;352;262;90;186;128;58;848.0;91.0
53;Friesland;2005;62;40;31;16;7;5;2;725;527;198;12;91.0;296;218;79;205;156;49;1122.0;109.0
54;Friesland;2007;62;40;27;18;8;5;2;833;594;240;13;132.0;300;224;76;209;159;50;1197.0;102.0
55;Friesland;2009;64;38;30;17;13;2;2;867;639;229;14;11.0;335;228;107;200;147;53;1450.0;150.0
56;Drenthe;1995;33;28;37;12;11;6;6;2286;481;1805;69;;125;90;35;107;79;28;;
57;Drenthe;1997;39;38;33;10;10;8;0;504;362;141;13;;137;90;47;101;67;34;;
58;Drenthe;1999;38;24;47;11;5;13;0;605;497;108;16;39.0;215;159;56;158;119;39;;
59;Drenthe;2001;35;34;40;6;11;9;0;455;353;102;13;26.0;178;115;63;110;77;33;801.0;106.0
60;Drenthe;2003;31;26;39;16;10;7;3;489;363;126;16;41.0;153;111;42;99;73;26;852.0;103.0
61;Drenthe;2005;31;26;42;16;7;7;3;545;414;132;18;54.0;171;136;35;109;87;22;694.0;115.0
62;Drenthe;2007;29;21;45;17;3;10;3;573;455;118;20;143.0;192;151;40;132;115;17;856.0;120.0
63;Drenthe;2009;29;21;45;17;3;7;7;624;469;155;22;4.0;180;153;27;126;116;9;927.0;118.0
64;Overijssel en Flevoland;1995;69;38;23;23;13;1;1;1037;659;378;15;;230;185;45;191;150;41;;
65;Overijssel en Flevoland;1997;88;42;30;14;11;1;2;1131;775;356;13;;421;283;139;310;201;109;;
66;Overijssel en Flevoland;1999;82;40;27;18;13;0;2;1039;528;511;13;140.0;296;228;68;193;160;33;;
67;Overijssel en Flevoland;2001;84;44;27;18;10;0;1;813;408;405;10;69.0;365;226;138;200;141;59;1748.0;192.0
68;Overijssel en Flevoland;2003;72;40;35;11;13;1;0;652;435;217;9;87.0;330;250;80;208;155;53;2279.0;284.0
69;Overijssel en Flevoland;2005;72;38;28;19;14;1;0;764;477;288;11;84.0;399;275;124;254;203;51;2151.0;234.0
70;Overijssel en Flevoland;2007;67;31;34;18;15;1;0;739;487;252;11;88.0;350;276;74;248;208;40;2071.0;245.0
71;Overijssel en Flevoland;2009;74;31;38;16;14;1;0;840;507;332;11;25.0;386;303;83;255;218;37;2373.0;299.0
72;Gelderland;1995;101;24;38;19;10;4;6;2822;2312;510;28;;770;640;130;614;515;99;;
73;Gelderland;1997;130;38;28;16;10;4;4;2970;2418;552;23;;913;757;156;665;529;136;;
