ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
0;Total overnight accommodation;All countries;Nederland;2012 January;1764;3865
1;Total overnight accommodation;All countries;Nederland;2012 February;1791;3929
2;Total overnight accommodation;All countries;Nederland;2012 March;2197;4794
3;Total overnight accommodation;All countries;Nederland;2012 1st quarter;5751;12588
4;Total overnight accommodation;All countries;Nederland;2012 April;3148;8142
5;Total overnight accommodation;All countries;Nederland;2012 May;3629;10249
6;Total overnight accommodation;All countries;Nederland;2012 June;3289;9537
7;Total overnight accommodation;All countries;Nederland;2012 2nd quarter;10066;27928
8;Total overnight accommodation;All countries;Nederland;2012 July;3522;12667
9;Total overnight accommodation;All countries;Nederland;2012 August;3933;15000
10;Total overnight accommodation;All countries;Nederland;2012 September;3082;8268
11;Total overnight accommodation;All countries;Nederland;2012 3rd quarter;10537;35935
12;Total overnight accommodation;All countries;Nederland;2012 October;2910;7394
13;Total overnight accommodation;All countries;Nederland;2012 November;2187;4715
14;Total overnight accommodation;All countries;Nederland;2012 December;1900;4352
15;Total overnight accommodation;All countries;Nederland;2012 4th quarter;6998;16461
16;Total overnight accommodation;All countries;Nederland;2012;33353;92911
17;Total overnight accommodation;All countries;Nederland;2013 January;1690;3803
18;Total overnight accommodation;All countries;Nederland;2013 February;1791;3988
19;Total overnight accommodation;All countries;Nederland;2013 March;2243;5085
20;Total overnight accommodation;All countries;Nederland;2013 1st quarter;5724;12876
21;Total overnight accommodation;All countries;Nederland;2013 April;2914;7262
22;Total overnight accommodation;All countries;Nederland;2013 May;3796;10879
23;Total overnight accommodation;All countries;Nederland;2013 June;3333;9517
24;Total overnight accommodation;All countries;Nederland;2013 2nd quarter;10042;27657
25;Total overnight accommodation;All countries;Nederland;2013 July;3737;13251
26;Total overnight accommodation;All countries;Nederland;2013 August;4179;16381
27;Total overnight accommodation;All countries;Nederland;2013 September;3157;8796
28;Total overnight accommodation;All countries;Nederland;2013 3rd quarter;11073;38428
29;Total overnight accommodation;All countries;Nederland;2013 October;2921;7532
30;Total overnight accommodation;All countries;Nederland;2013 November;2278;4989
31;Total overnight accommodation;All countries;Nederland;2013 December;2012;4591
32;Total overnight accommodation;All countries;Nederland;2013 4th quarter;7211;17113
33;Total overnight accommodation;All countries;Nederland;2013;34050;96074
34;Total overnight accommodation;All countries;Nederland;2014 January;1826;3960
35;Total overnight accommodation;All countries;Nederland;2014 February;1895;4067
36;Total overnight accommodation;All countries;Nederland;2014 March;2410;5190
37;Total overnight accommodation;All countries;Nederland;2014 1st quarter;6132;13218
38;Total overnight accommodation;All countries;Nederland;2014 April;3162;8091
39;Total overnight accommodation;All countries;Nederland;2014 May;3626;9676
40;Total overnight accommodation;All countries;Nederland;2014 June;3868;11593
41;Total overnight accommodation;All countries;Nederland;2014 2nd quarter;10657;29360
42;Total overnight accommodation;All countries;Nederland;2014 July;3700;12979
43;Total overnight accommodation;All countries;Nederland;2014 August;4281;16703
44;Total overnight accommodation;All countries;Nederland;2014 September;3368;9375
45;Total overnight accommodation;All countries;Nederland;2014 3rd quarter;11349;39058
46;Total overnight accommodation;All countries;Nederland;2014 October;3270;8330
47;Total overnight accommodation;All countries;Nederland;2014 November;2331;4961
48;Total overnight accommodation;All countries;Nederland;2014 December;2118;4825
49;Total overnight accommodation;All countries;Nederland;2014 4th quarter;7719;18116
50;Total overnight accommodation;All countries;Nederland;2014;35856;99752
51;Total overnight accommodation;All countries;Nederland;2015 January;1889;4142
52;Total overnight accommodation;All countries;Nederland;2015 February;2106;4696
53;Total overnight accommodation;All countries;Nederland;2015 March;2373;5123
54;Total overnight accommodation;All countries;Nederland;2015 1st quarter;6368;13961
55;Total overnight accommodation;All countries;Nederland;2015 April;3272;8318
56;Total overnight accommodation;All countries;Nederland;2015 May;4036;11470
57;Total overnight accommodation;All countries;Nederland;2015 June;3617;10249
58;Total overnight accommodation;All countries;Nederland;2015 2nd quarter;10925;30037
59;Total overnight accommodation;All countries;Nederland;2015 July;4079;14816
60;Total overnight accommodation;All countries;Nederland;2015 August;4449;16469
61;Total overnight accommodation;All countries;Nederland;2015 September;3316;9023
62;Total overnight accommodation;All countries;Nederland;2015 3rd quarter;11845;40308
63;Total overnight accommodation;All countries;Nederland;2015 October;3401;8682
64;Total overnight accommodation;All countries;Nederland;2015 November;2522;5391
65;Total overnight accommodation;All countries;Nederland;2015 December;2258;5156
66;Total overnight accommodation;All countries;Nederland;2015 4th quarter;8181;19229
67;Total overnight accommodation;All countries;Nederland;2015;37318;103534
68;Total overnight accommodation;All countries;Nederland;2016 January;2048;4510
69;Total overnight accommodation;All countries;Nederland;2016 February;2324;5051
70;Total overnight accommodation;All countries;Nederland;2016 March;2704;6208
71;Total overnight accommodation;All countries;Nederland;2016 1st quarter;7076;15769
72;Total overnight accommodation;All countries;Nederland;2016 April;3278;8035
73;Total overnight accommodation;All countries;Nederland;2016 May;4165;11273
74;Total overnight accommodation;All countries;Nederland;2016 June;3526;9663
75;Total overnight accommodation;All countries;Nederland;2016 2nd quarter;10968;28971
76;Total overnight accommodation;All countries;Nederland;2016 July;4085;14216
77;Total overnight accommodation;All countries;Nederland;2016 August;4527;17136
78;Total overnight accommodation;All countries;Nederland;2016 September;3675;10130
79;Total overnight accommodation;All countries;Nederland;2016 3rd quarter;12287;41482
80;Total overnight accommodation;All countries;Nederland;2016 October;3615;9320
81;Total overnight accommodation;All countries;Nederland;2016 November;2571;5451
82;Total overnight accommodation;All countries;Nederland;2016 December;2365;5219
83;Total overnight accommodation;All countries;Nederland;2016 4th quarter;8552;19990
84;Total overnight accommodation;All countries;Nederland;2016;38883;106213
85;Total overnight accommodation;All countries;Nederland;2017 January;2352;5113
86;Total overnight accommodation;All countries;Nederland;2017 February;2326;4940
87;Total overnight accommodation;All countries;Nederland;2017 March;2849;6027
88;Total overnight accommodation;All countries;Nederland;2017 1st quarter;7528;16080
89;Total overnight accommodation;All countries;Nederland;2017 April;3942;10020
90;Total overnight accommodation;All countries;Nederland;2017 May;4215;10782
91;Total overnight accommodation;All countries;Nederland;2017 June;4286;11711
92;Total overnight accommodation;All countries;Nederland;2017 2nd quarter;12443;32513
93;Total overnight accommodation;All countries;Nederland;2017 July;4414;14381
94;Total overnight accommodation;All countries;Nederland;2017 August;4661;16841
95;Total overnight accommodation;All countries;Nederland;2017 September;3837;10474
96;Total overnight accommodation;All countries;Nederland;2017 3rd quarter;12912;41695
