ID;EconomischeSectoren;Perioden;ProductieBasisprijzen_1;IntermediairVerbruik_2;WaardeInWerkelijkePrijzen_3;WaardePrijsniveau2005_4;VolumemutatieTOVVoorafgaandJaar_5;Prijsindexcijfers_6;TotaalBeloningWerknemers_7;LonenEnSalarissen_8;SocialePremiesTLVWerkgevers_9;Afschrijvingen_10;NettoExploitatieOverschot_11;Saldo_12;NietProductgebondenBelastingen_13;NietProductgebondenSubsidies_14;VerschilToegerekendeEnAfgedragenBTW_15;WaardeInWerkelijkePrijzen_16;WaardePrijsniveau2005_17;VolumemutatieTOVVoorafgaandJaar_18;Prijsindexcijfers_19
0;Totaal economische sectoren;1988;417495;216632;200863;291736;3.1;68.9;116037;90554;25483;32355;51383.0;1474;2369;895.0;386.0;200863;291736;3.1;68.9
1;Totaal economische sectoren;1989;448007;235515;212492;303873;4.2;69.9;119628;94712;24916;34382;57605.0;1448;2422;974.0;571.0;212492;303873;4.2;69.9
2;Totaal economische sectoren;1990;470618;246786;223832;315701;3.9;70.9;127116;109225;17891;36596;59360.0;1573;2532;959.0;813.0;223832;315701;3.9;70.9
3;Totaal economische sectoren;1991;497936;261007;236929;323489;2.5;73.2;135023;115946;19077;38773;61518.0;1968;2636;668.0;353.0;236929;323489;2.5;73.2
4;Totaal economische sectoren;1992;513027;266812;246215;328190;1.5;75.0;142980;122527;20453;40900;61504.0;2322;2918;596.0;1491.0;246215;328190;1.5;75.0
5;Totaal economische sectoren;1993;519935;267134;252801;332063;1.2;76.1;147027;126702;20325;42437;60767.0;2522;3113;591.0;-48.0;252801;332063;1.2;76.1
6;Totaal economische sectoren;1994;545755;281274;264481;341340;2.8;77.5;150603;130352;20251;43636;69085.0;2638;3278;640.0;1481.0;264481;341340;2.8;77.5
7;Totaal economische sectoren;1995;573963;298277;275686;351455;3.0;78.4;155837;133469;22368;45226;73163.0;2477;3307;830.0;1017.0;275686;351455;3.0;78.4
8;Totaal economische sectoren;1996;607125;320046;287079;362089;3.0;79.3;161820;138394;23426;47150;77403.0;1858;3425;1567.0;1152.0;287079;362089;3.0;79.3
9;Totaal economische sectoren;1997;650820;344281;306539;377338;4.2;81.2;171222;146979;24243;49309;85575.0;1408;3439;2031.0;975.0;306539;377338;4.2;81.2
10;Totaal economische sectoren;1998;685191;361164;324027;391624;3.8;82.7;184054;148291;35763;52383;87794.0;896;3608;2712.0;1100.0;324027;391624;3.8;82.7
11;Totaal economische sectoren;1999;729542;385207;344335;409455;4.6;84.1;197344;159361;37983;56326;90488.0;843;4018;3175.0;666.0;344335;409455;4.6;84.1
12;Totaal economische sectoren;2000;806161;432746;373415;425829;4.0;87.7;211803;170718;41085;61308;99874.0;1142;4321;3179.0;712.0;373415;425829;4.0;87.7
