ID;LorriesRoadTractorsLoadCapacityLC;AgeOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
0;Lorries and road tractors;Total goods vehicles;1990;5477.0;5040.0;437.0;7640.0;5040.0;2600.0;;;;
1;Lorries and road tractors;Total goods vehicles;1991;5792.0;5320.0;472.0;8160.0;5320.0;2840.0;;;;
2;Lorries and road tractors;Total goods vehicles;1992;6132.0;5650.0;482.0;8640.0;5650.0;2990.0;;;;
3;Lorries and road tractors;Total goods vehicles;1993;6097.0;5610.0;487.0;8700.0;5610.0;3090.0;;;;
4;Lorries and road tractors;Total goods vehicles;1994;6096.0;5606.0;490.0;8800.0;5606.0;3195.0;;;;
5;Lorries and road tractors;Total goods vehicles;1995;6345.0;5851.0;494.0;9218.0;5851.0;3366.0;;;;
6;Lorries and road tractors;Total goods vehicles;1996;6273.0;5780.0;493.0;9167.0;5780.0;3387.0;;;;
7;Lorries and road tractors;Total goods vehicles;1997;6348.0;5859.0;489.0;9317.0;5859.0;3459.0;;;;
8;Lorries and road tractors;Total goods vehicles;1998;6419.0;5928.0;491.0;9494.0;5928.0;3566.0;;;;
9;Lorries and road tractors;Total goods vehicles;1999;6878.0;6390.0;488.0;10287.0;6390.0;3897.0;;;;
10;Lorries and road tractors;Total goods vehicles;2000;6765.0;6241.0;524.0;10118.0;6241.0;3877.0;;;;
11;Lorries and road tractors;Total goods vehicles;2001;6592.0;6015.0;578.0;9870.0;6015.0;3855.0;;;;
12;Lorries and road tractors;Total goods vehicles;2002;6600.8;5999.6;601.1;9973.7;5999.6;3974.1;59846.0;36000.0;23846.0;166657.0
13;Lorries and road tractors;Total goods vehicles;2003;6610.0;6025.4;584.6;10026.9;6025.4;4001.5;61150.0;36746.0;24403.0;163974.0
14;Lorries and road tractors;Total goods vehicles;2004;6684.5;6060.0;624.5;10070.7;6060.0;4010.7;61637.0;37090.0;24547.0;163387.0
15;Lorries and road tractors;Total goods vehicles;2005;6797.2;6128.7;668.5;10181.2;6128.7;4052.5;62792.0;37798.0;24994.0;162142.0
16;Lorries and road tractors;Total goods vehicles;2006;6946.0;6198.8;747.3;10325.4;6198.8;4126.7;61758.0;37076.0;24682.0;167192.0
17;Lorries and road tractors;Total goods vehicles;2007;7137.9;6319.1;818.9;10544.7;6319.1;4225.7;62303.0;37336.0;24967.0;169249.0
18;Lorries and road tractors;Total goods vehicles;2008;7313.7;6514.7;799.0;10507.1;6514.7;3992.5;60715.0;37644.0;23070.0;173058.0
19;Lorries and road tractors;Total goods vehicles;2009;7227.6;6468.3;759.3;10132.5;6468.3;3664.2;59234.0;37813.0;21421.0;171059.0
20;Lorries and road tractors;Total goods vehicles;2010;7192.9;6483.7;709.2;9801.3;6483.7;3317.7;59093.0;39090.0;20002.0;165864.0
21;Lorries and road tractors;Total goods vehicles;2011;7113.2;6422.6;690.6;9825.5;6422.6;3402.9;59703.0;39026.0;20677.0;164573.0
22;Lorries and road tractors;Total goods vehicles;2012;7007.8;6323.2;684.6;9529.8;6323.2;3206.5;58752.0;38984.0;19769.0;162202.0
23;Lorries and road tractors;Total goods vehicles;2013;6617.4;5920.8;696.6;9299.5;5920.8;3378.7;57910.0;36870.0;21040.0;160585.0
24;Lorries and road tractors;Total goods vehicles;2014;6620.1;5905.7;714.4;9208.7;5905.7;3303.0;58982.0;37826.0;21156.0;156128.0
25;Lorries and road tractors;Total goods vehicles;2015;6923.4;6166.8;756.6;9213.4;6166.8;3046.6;58776.0;39340.0;19435.0;156756.0
26;Lorries and road tractors;Total goods vehicles;2016;7330.9;6499.2;831.8;9362.6;6499.2;2863.4;58847.0;40850.0;17998.0;159099.0
27;Lorries and road tractors;Total goods vehicles;2017;7450.9;6568.4;882.5;9442.9;6568.4;2874.5;58367.0;40599.0;17767.0;161786.0
28;Lorries and road tractors;Total goods vehicles;2018;7469.7;6581.7;887.9;9521.6;6581.7;2939.8;57287.0;39599.0;17688.0;166209.0
