ID;BedrijfstakkenBranches;Landen;Perioden;HRSTKern_1
0;Totaal bedrijfstakken;België;1994;20.1
1;Totaal bedrijfstakken;België;1995;19.7
2;Totaal bedrijfstakken;België;1996;20.6
3;Totaal bedrijfstakken;België;1997;21.6
4;Totaal bedrijfstakken;België;1998;20.9
5;Totaal bedrijfstakken;België;1999;21.1
6;Totaal bedrijfstakken;België;2000;21.6
7;Totaal bedrijfstakken;België;2001;21.7
8;Totaal bedrijfstakken;België;2002;21.6
9;Totaal bedrijfstakken;België;2003;22.5
10;Totaal bedrijfstakken;België;2004;23.1
11;Totaal bedrijfstakken;België;2005;23.3
12;Totaal bedrijfstakken;België;2006;23.7
13;Totaal bedrijfstakken;België;2007;24.2
14;Totaal bedrijfstakken;België;2008;23.5
15;Totaal bedrijfstakken;België;2009;24.4
16;Totaal bedrijfstakken;België;2010;25.6
17;Totaal bedrijfstakken;België;2011;25.6
18;Totaal bedrijfstakken;Denemarken;1994;22.3
19;Totaal bedrijfstakken;Denemarken;1995;23.4
20;Totaal bedrijfstakken;Denemarken;1996;23.9
21;Totaal bedrijfstakken;Denemarken;1997;21.9
22;Totaal bedrijfstakken;Denemarken;1998;21.6
23;Totaal bedrijfstakken;Denemarken;1999;22.9
24;Totaal bedrijfstakken;Denemarken;2000;22.0
25;Totaal bedrijfstakken;Denemarken;2001;24.7
26;Totaal bedrijfstakken;Denemarken;2002;24.5
27;Totaal bedrijfstakken;Denemarken;2003;25.8
28;Totaal bedrijfstakken;Denemarken;2004;26.7
29;Totaal bedrijfstakken;Denemarken;2005;27.8
30;Totaal bedrijfstakken;Denemarken;2006;28.5
31;Totaal bedrijfstakken;Denemarken;2007;25.5
32;Totaal bedrijfstakken;Denemarken;2008;28.7
33;Totaal bedrijfstakken;Denemarken;2009;28.5
34;Totaal bedrijfstakken;Denemarken;2010;29.3
35;Totaal bedrijfstakken;Denemarken;2011;29.3
36;Totaal bedrijfstakken;Duitsland;1994;15.1
37;Totaal bedrijfstakken;Duitsland;1995;16.6
38;Totaal bedrijfstakken;Duitsland;1996;16.7
39;Totaal bedrijfstakken;Duitsland;1997;17.4
40;Totaal bedrijfstakken;Duitsland;1998;
41;Totaal bedrijfstakken;Duitsland;1999;17.6
42;Totaal bedrijfstakken;Duitsland;2000;18.0
43;Totaal bedrijfstakken;Duitsland;2001;17.9
44;Totaal bedrijfstakken;Duitsland;2002;17.0
45;Totaal bedrijfstakken;Duitsland;2003;18.7
46;Totaal bedrijfstakken;Duitsland;2004;19.3
47;Totaal bedrijfstakken;Duitsland;2005;19.9
48;Totaal bedrijfstakken;Duitsland;2006;19.7
49;Totaal bedrijfstakken;Duitsland;2007;19.9
50;Totaal bedrijfstakken;Duitsland;2008;20.4
51;Totaal bedrijfstakken;Duitsland;2009;20.9
52;Totaal bedrijfstakken;Duitsland;2010;20.8
53;Totaal bedrijfstakken;Duitsland;2011;20.8
54;Totaal bedrijfstakken;Finland;1994;
55;Totaal bedrijfstakken;Finland;1995;
56;Totaal bedrijfstakken;Finland;1996;
57;Totaal bedrijfstakken;Finland;1997;18.7
58;Totaal bedrijfstakken;Finland;1998;21.9
59;Totaal bedrijfstakken;Finland;1999;22.9
60;Totaal bedrijfstakken;Finland;2000;24.0
61;Totaal bedrijfstakken;Finland;2001;24.7
62;Totaal bedrijfstakken;Finland;2002;24.2
63;Totaal bedrijfstakken;Finland;2003;24.5
64;Totaal bedrijfstakken;Finland;2004;25.2
65;Totaal bedrijfstakken;Finland;2005;25.1
66;Totaal bedrijfstakken;Finland;2006;25.6
67;Totaal bedrijfstakken;Finland;2007;25.9
68;Totaal bedrijfstakken;Finland;2008;27.4
69;Totaal bedrijfstakken;Finland;2009;27.6
70;Totaal bedrijfstakken;Finland;2010;27.5
71;Totaal bedrijfstakken;Finland;2011;27.5
72;Totaal bedrijfstakken;Frankrijk;1994;17.6
73;Totaal bedrijfstakken;Frankrijk;1995;16.2
74;Totaal bedrijfstakken;Frankrijk;1996;15.7
75;Totaal bedrijfstakken;Frankrijk;1997;16.2
76;Totaal bedrijfstakken;Frankrijk;1998;17.2
77;Totaal bedrijfstakken;Frankrijk;1999;17.7
78;Totaal bedrijfstakken;Frankrijk;2000;17.9
79;Totaal bedrijfstakken;Frankrijk;2001;18.6
80;Totaal bedrijfstakken;Frankrijk;2002;19.0
81;Totaal bedrijfstakken;Frankrijk;2003;19.1
82;Totaal bedrijfstakken;Frankrijk;2004;19.0
83;Totaal bedrijfstakken;Frankrijk;2005;19.7
84;Totaal bedrijfstakken;Frankrijk;2006;20.5
85;Totaal bedrijfstakken;Frankrijk;2007;20.3
86;Totaal bedrijfstakken;Frankrijk;2008;21.0
87;Totaal bedrijfstakken;Frankrijk;2009;21.4
88;Totaal bedrijfstakken;Frankrijk;2010;22.3
89;Totaal bedrijfstakken;Frankrijk;2011;22.3
90;Totaal bedrijfstakken;Hongarije;1994;
91;Totaal bedrijfstakken;Hongarije;1995;
92;Totaal bedrijfstakken;Hongarije;1996;
93;Totaal bedrijfstakken;Hongarije;1997;11.6
94;Totaal bedrijfstakken;Hongarije;1998;13.0
95;Totaal bedrijfstakken;Hongarije;1999;13.3
96;Totaal bedrijfstakken;Hongarije;2000;12.9
97;Totaal bedrijfstakken;Hongarije;2001;12.8
98;Totaal bedrijfstakken;Hongarije;2002;12.9
99;Totaal bedrijfstakken;Hongarije;2003;14.2
100;Totaal bedrijfstakken;Hongarije;2004;15.2
101;Totaal bedrijfstakken;Hongarije;2005;15.1
102;Totaal bedrijfstakken;Hongarije;2006;15.7
103;Totaal bedrijfstakken;Hongarije;2007;15.8
104;Totaal bedrijfstakken;Hongarije;2008;16.8
105;Totaal bedrijfstakken;Hongarije;2009;17.6
106;Totaal bedrijfstakken;Hongarije;2010;17.9
107;Totaal bedrijfstakken;Hongarije;2011;17.9
108;Totaal bedrijfstakken;Ierland;1994;14.8
109;Totaal bedrijfstakken;Ierland;1995;15.1
110;Totaal bedrijfstakken;Ierland;1996;17.3
111;Totaal bedrijfstakken;Ierland;1997;17.0
112;Totaal bedrijfstakken;Ierland;1998;
113;Totaal bedrijfstakken;Ierland;1999;15.3
114;Totaal bedrijfstakken;Ierland;2000;15.8
115;Totaal bedrijfstakken;Ierland;2001;16.1
116;Totaal bedrijfstakken;Ierland;2002;17.0
117;Totaal bedrijfstakken;Ierland;2003;18.4
118;Totaal bedrijfstakken;Ierland;2004;19.0
119;Totaal bedrijfstakken;Ierland;2005;18.7
120;Totaal bedrijfstakken;Ierland;2006;18.9
121;Totaal bedrijfstakken;Ierland;2007;19.4
122;Totaal bedrijfstakken;Ierland;2008;19.7
123;Totaal bedrijfstakken;Ierland;2009;22.0
124;Totaal bedrijfstakken;Ierland;2010;23.4
125;Totaal bedrijfstakken;Ierland;2011;23.4
126;Totaal bedrijfstakken;Italië;1994;8.2
127;Totaal bedrijfstakken;Italië;1995;8.4
128;Totaal bedrijfstakken;Italië;1996;8.9
129;Totaal bedrijfstakken;Italië;1997;9.2
130;Totaal bedrijfstakken;Italië;1998;9.3
131;Totaal bedrijfstakken;Italië;1999;9.9
132;Totaal bedrijfstakken;Italië;2000;10.3
133;Totaal bedrijfstakken;Italië;2001;10.7
134;Totaal bedrijfstakken;Italië;2002;11.0
135;Totaal bedrijfstakken;Italië;2003;11.0
136;Totaal bedrijfstakken;Italië;2004;11.9
137;Totaal bedrijfstakken;Italië;2005;12.1
138;Totaal bedrijfstakken;Italië;2006;12.5
139;Totaal bedrijfstakken;Italië;2007;13.1
140;Totaal bedrijfstakken;Italië;2008;13.7
141;Totaal bedrijfstakken;Italië;2009;13.8
142;Totaal bedrijfstakken;Italië;2010;13.9
143;Totaal bedrijfstakken;Italië;2011;13.9
144;Totaal bedrijfstakken;Nederland;1994;
145;Totaal bedrijfstakken;Nederland;1995;
146;Totaal bedrijfstakken;Nederland;1996;19.3
147;Totaal bedrijfstakken;Nederland;1997;20.0
148;Totaal bedrijfstakken;Nederland;1998;19.3
149;Totaal bedrijfstakken;Nederland;1999;19.7
