ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;Auto_2;Trein_3;OverigeVervoermiddelen_4
0;Totaal vakantiekenmerken;2002;9510.0;8492.0;474.0;545.0
1;Totaal vakantiekenmerken;2003;9062.0;8018.0;488.0;556.0
2;Totaal vakantiekenmerken;2004;8910.0;8016.0;459.0;435.0
3;Totaal vakantiekenmerken;2005;8864.0;7812.0;528.0;523.0
4;Totaal vakantiekenmerken;2006;8951.0;8064.0;518.0;370.0
5;Totaal vakantiekenmerken;2007;9136.0;8090.0;567.0;479.0
6;Totaal vakantiekenmerken;2008;8917.0;7997.0;511.0;408.0
7;Totaal vakantiekenmerken;2009;9263.0;8443.0;438.0;383.0
8;Totaal vakantiekenmerken;2010;9233.0;8332.0;533.0;368.0
9;Totaal vakantiekenmerken;2011;9479.0;8603.0;575.0;301.0
10;Totaal vakantiekenmerken;2012;10084.0;9046.0;670.0;368.0
11;Totaal vakantiekenmerken;2013;9180.0;8287.0;593.0;300.0
12;Totaal vakantiekenmerken;2014;9481.0;8431.0;630.0;420.0
13;Totaal vakantiekenmerken;2015;9115.0;8204.0;590.0;321.0
14;Totaal vakantiekenmerken;2016;9518.0;8403.0;724.0;391.0
15;Geboekt bij een reisbureau;2002;316.0;285.0;16.0;14.0
16;Geboekt bij een reisbureau;2003;277.0;246.0;24.0;7.0
17;Geboekt bij een reisbureau;2004;436.0;376.0;43.0;17.0
18;Geboekt bij een reisbureau;2005;603.0;545.0;26.0;32.0
19;Geboekt bij een reisbureau;2006;753.0;691.0;44.0;19.0
20;Geboekt bij een reisbureau;2007;706.0;629.0;54.0;23.0
21;Geboekt bij een reisbureau;2008;812.0;720.0;68.0;24.0
22;Geboekt bij een reisbureau;2009;796.0;734.0;29.0;33.0
23;Geboekt bij een reisbureau;2010;785.0;728.0;44.0;14.0
24;Geboekt bij een reisbureau;2011;791.0;737.0;42.0;12.0
25;Geboekt bij een reisbureau;2012;815.0;767.0;28.0;19.0
26;Geboekt bij een reisbureau;2013;691.0;629.0;43.0;19.0
27;Geboekt bij een reisbureau;2014;809.0;738.0;61.0;11.0
28;Geboekt bij een reisbureau;2015;958.0;883.0;51.0;25.0
29;Geboekt bij een reisbureau;2016;1153.0;1065.0;67.0;22.0
30;Geboekt bij een bank, VVV, e.d.;2002;387.0;327.0;38.0;21.0
31;Geboekt bij een bank, VVV, e.d.;2003;591.0;518.0;63.0;10.0
32;Geboekt bij een bank, VVV, e.d.;2004;422.0;374.0;40.0;8.0
33;Geboekt bij een bank, VVV, e.d.;2005;434.0;378.0;48.0;8.0
34;Geboekt bij een bank, VVV, e.d.;2006;203.0;186.0;12.0;6.0
35;Geboekt bij een bank, VVV, e.d.;2007;;;;
36;Geboekt bij een bank, VVV, e.d.;2008;445.0;392.0;32.0;21.0
37;Geboekt bij een bank, VVV, e.d.;2009;605.0;529.0;62.0;13.0
38;Geboekt bij een bank, VVV, e.d.;2010;705.0;636.0;48.0;22.0
39;Geboekt bij een bank, VVV, e.d.;2011;1281.0;1126.0;125.0;29.0
40;Geboekt bij een bank, VVV, e.d.;2012;1679.0;1429.0;217.0;32.0
41;Geboekt bij een bank, VVV, e.d.;2013;1782.0;1595.0;159.0;28.0
42;Geboekt bij een bank, VVV, e.d.;2014;1691.0;1481.0;162.0;49.0
43;Geboekt bij een bank, VVV, e.d.;2015;1607.0;1416.0;160.0;31.0
44;Geboekt bij een bank, VVV, e.d.;2016;1697.0;1480.0;193.0;24.0
45;Geb. boek-centr. hotel-/bungalowketen;2002;857.0;835.0;13.0;9.0
46;Geb. boek-centr. hotel-/bungalowketen;2003;937.0;900.0;25.0;12.0
47;Geb. boek-centr. hotel-/bungalowketen;2004;976.0;950.0;27.0;0.0
48;Geb. boek-centr. hotel-/bungalowketen;2005;966.0;926.0;29.0;11.0
49;Geb. boek-centr. hotel-/bungalowketen;2006;1016.0;988.0;26.0;2.0
50;Geb. boek-centr. hotel-/bungalowketen;2007;1251.0;1185.0;58.0;7.0
51;Geb. boek-centr. hotel-/bungalowketen;2008;1249.0;1185.0;56.0;8.0
52;Geb. boek-centr. hotel-/bungalowketen;2009;1281.0;1219.0;53.0;10.0
53;Geb. boek-centr. hotel-/bungalowketen;2010;1369.0;1313.0;47.0;9.0
54;Geb. boek-centr. hotel-/bungalowketen;2011;1718.0;1602.0;104.0;12.0
55;Geb. boek-centr. hotel-/bungalowketen;2012;1805.0;1705.0;94.0;6.0
56;Geb. boek-centr. hotel-/bungalowketen;2013;1368.0;1294.0;70.0;4.0
57;Geb. boek-centr. hotel-/bungalowketen;2014;1404.0;1280.0;97.0;28.0
58;Geb. boek-centr. hotel-/bungalowketen;2015;1466.0;1386.0;67.0;14.0
59;Geb. boek-centr. hotel-/bungalowketen;2016;1479.0;1363.0;90.0;26.0
60;Rechtstreeks geboekt bij reisorganisatie;2002;53.0;30.0;3.0;20.0
61;Rechtstreeks geboekt bij reisorganisatie;2003;53.0;14.0;20.0;19.0
62;Rechtstreeks geboekt bij reisorganisatie;2004;43.0;21.0;8.0;14.0
63;Rechtstreeks geboekt bij reisorganisatie;2005;18.0;5.0;4.0;9.0
64;Rechtstreeks geboekt bij reisorganisatie;2006;39.0;4.0;16.0;19.0
65;Rechtstreeks geboekt bij reisorganisatie;2007;;;;
66;Rechtstreeks geboekt bij reisorganisatie;2008;36.0;9.0;14.0;13.0
67;Rechtstreeks geboekt bij reisorganisatie;2009;42.0;12.0;13.0;17.0
68;Rechtstreeks geboekt bij reisorganisatie;2010;51.0;15.0;16.0;19.0
69;Rechtstreeks geboekt bij reisorganisatie;2011;;;;
70;Rechtstreeks geboekt bij reisorganisatie;2012;;;;
71;Rechtstreeks geboekt bij reisorganisatie;2013;;;;
72;Rechtstreeks geboekt bij reisorganisatie;2014;;;;
73;Rechtstreeks geboekt bij reisorganisatie;2015;;;;
74;Rechtstreeks geboekt bij reisorganisatie;2016;;;;
75;Boekingsinstantie onbekend;2002;705.0;524.0;72.0;109.0
76;Boekingsinstantie onbekend;2003;658.0;549.0;46.0;64.0
77;Boekingsinstantie onbekend;2004;834.0;666.0;55.0;113.0
78;Boekingsinstantie onbekend;2005;800.0;611.0;68.0;121.0
79;Boekingsinstantie onbekend;2006;979.0;785.0;79.0;115.0
80;Boekingsinstantie onbekend;2007;1061.0;832.0;119.0;111.0
81;Boekingsinstantie onbekend;2008;832.0;677.0;80.0;76.0
82;Boekingsinstantie onbekend;2009;778.0;677.0;38.0;64.0
83;Boekingsinstantie onbekend;2010;853.0;729.0;62.0;63.0
84;Boekingsinstantie onbekend;2011;628.0;513.0;72.0;43.0
85;Boekingsinstantie onbekend;2012;624.0;526.0;31.0;66.0
86;Boekingsinstantie onbekend;2013;801.0;646.0;81.0;73.0
87;Boekingsinstantie onbekend;2014;859.0;730.0;57.0;73.0
88;Boekingsinstantie onbekend;2015;751.0;651.0;47.0;54.0
89;Boekingsinstantie onbekend;2016;816.0;670.0;63.0;84.0
90;Log. rechtstr. geres. eigenaar/beheerder;2002;;;;
91;Log. rechtstr. geres. eigenaar/beheerder;2003;2438.0;2196.0;138.0;104.0
92;Log. rechtstr. geres. eigenaar/beheerder;2004;2278.0;2057.0;140.0;82.0
93;Log. rechtstr. geres. eigenaar/beheerder;2005;2267.0;2022.0;155.0;90.0
94;Log. rechtstr. geres. eigenaar/beheerder;2006;2359.0;2137.0;163.0;60.0
95;Log. rechtstr. geres. eigenaar/beheerder;2007;2409.0;2174.0;142.0;93.0
96;Log. rechtstr. geres. eigenaar/beheerder;2008;2164.0;1940.0;157.0;68.0
97;Log. rechtstr. geres. eigenaar/beheerder;2009;2171.0;1975.0;147.0;50.0
98;Log. rechtstr. geres. eigenaar/beheerder;2010;2340.0;2128.0;164.0;48.0
99;Log. rechtstr. geres. eigenaar/beheerder;2011;1812.0;1663.0;115.0;34.0
100;Log. rechtstr. geres. eigenaar/beheerder;2012;1747.0;1576.0;117.0;54.0
101;Log. rechtstr. geres. eigenaar/beheerder;2013;1678.0;1522.0;88.0;67.0
102;Log. rechtstr. geres. eigenaar/beheerder;2014;1506.0;1344.0;112.0;49.0
103;Log. rechtstr. geres. eigenaar/beheerder;2015;1411.0;1277.0;78.0;56.0
104;Log. rechtstr. geres. eigenaar/beheerder;2016;1464.0;1343.0;67.0;54.0
105;Logies niet vooraf geboekt;2002;;;;
106;Logies niet vooraf geboekt;2003;1586.0;1277.0;160.0;149.0
107;Logies niet vooraf geboekt;2004;1314.0;1120.0;123.0;71.0
