ID;RegioS;Perioden;BbpMarktprijzen_1;BbpPerInwoner_2;BbpVolumemutaties_3;BrutoToegevoegdeWaardeVolumemutaties_4;ToegevoegdeWaardeBrutoBasisprijzen_5;BeloningVanWerknemers_6;ArbeidsjarenTotaal_7;ArbeidsjarenWerknemers_8;ArbeidsjarenZelfstandigen_9;WerkzamePersonenTotaal_10;Werknemers_11;Zelfstandigen_12;GewerkteUrenTotaal_13;GewerkteUrenWerknemers_14;GewerkteUrenZelfstandigen_15
0;Nederland;1995;329547;21317;;;299274;165485.0;5937.0;4991.0;946.0;7271.0;5953.0;1318.0;10768.0;8532.0;2236.0
1;Nederland;1996;344625;22190;3.5;3.2;311336;171905.0;6074.0;5107.0;967.0;7418.0;6095.0;1323.0;11103.0;8780.0;2323.0
2;Nederland;1997;369046;23641;4.3;4.5;332931;181552.0;6259.0;5269.0;990.0;7650.0;6301.0;1349.0;11333.0;9001.0;2332.0
3;Nederland;1998;394295;25103;4.7;4.6;355365;194591.0;6439.0;5465.0;974.0;7830.0;6519.0;1311.0;11580.0;9289.0;2291.0
4;Nederland;1999;419459;26528;5.0;4.8;375889;209544.0;6600.0;5637.0;963.0;8055.0;6763.0;1292.0;11901.0;9601.0;2300.0
5;Nederland;2000;452007;28383;4.2;4.4;405832;226691.0;6702.0;5762.0;940.0;8202.0;6941.0;1261.0;12009.0;9737.0;2272.0
6;Nederland;2001;481881;30031;2.3;2.4;430408;239070.0;6808.0;5881.0;927.0;8367.0;7114.0;1253.0;12167.0;9947.0;2220.0
7;Nederland;2002;501137;31032;0.2;0.2;448394;251061.0;6796.0;5878.0;918.0;8426.0;7170.0;1256.0;12104.0;9931.0;2173.0
8;Nederland;2003;512810;31606;0.2;0.1;458616;257855.0;6719.0;5808.0;911.0;8381.0;7133.0;1248.0;11966.0;9840.0;2126.0
9;Nederland;2004;529286;32508;2.0;2.1;472578;261594.0;6668.0;5735.0;933.0;8283.0;7021.0;1262.0;11995.0;9812.0;2183.0
10;Nederland;2005;550883;33755;2.1;2.1;491394;265786.0;6685.0;5727.0;958.0;8340.0;7059.0;1281.0;11955.0;9724.0;2231.0
11;Nederland;2006;584546;35761;3.5;3.3;520586;274630.0;6832.0;5832.0;1000.0;8522.0;7192.0;1330.0;12191.0;9853.0;2338.0
12;Nederland;2007;619170;37796;3.8;3.9;552505;290422.0;7022.0;5975.0;1047.0;8771.0;7397.0;1374.0;12537.0;10109.0;2428.0
13;Nederland;2008;647198;39354;2.2;2.5;578387;307606.0;7147.0;6088.0;1059.0;8914.0;7530.0;1384.0;12736.0;10310.0;2426.0
14;Nederland;2009;624842;37800;-3.7;-3.3;561185;312196.0;7068.0;6005.0;1063.0;8840.0;7459.0;1381.0;12551.0;10147.0;2404.0
15;Nederland;2010;639187;38470;1.3;1.5;574280;311717.0;7024.0;5948.0;1076.0;8777.0;7398.0;1379.0;12463.0;10036.0;2427.0
16;Nederland;2011;650359;38960;1.6;1.9;585953;319557.0;7067.0;5957.0;1110.0;8855.0;7446.0;1409.0;12576.0;10111.0;2465.0
17;Nederland;2012;652966;38972;-1.0;-0.8;590316;323867.0;7022.0;5900.0;1122.0;8836.0;7398.0;1438.0;12463.0;9975.0;2488.0
18;Nederland;2013;660463;39303;-0.1;0.3;595709;324676.0;6937.0;5804.0;1133.0;8733.0;7287.0;1446.0;12355.0;9856.0;2499.0
19;Nederland;2014;671560;39820;1.4;1.4;604814;328166.0;6926.0;5770.0;1156.0;8723.0;7246.0;1477.0;12437.0;9871.0;2566.0
20;Nederland;2015;690008;40733;2.0;1.7;620835;330267.0;7014.7;5820.0;1194.7;8807.6;7315.4;1492.2;12558.6;9918.0;2640.6
21;Nederland;2016;708337;41593;2.2;2.0;634824;340586.0;7159.4;5929.5;1229.9;8943.2;7425.3;1517.9;12853.9;10140.5;2713.4
22;Nederland;2017;738146;43088;2.9;2.9;661566;352818.0;7340.3;6080.5;1259.8;9156.9;7615.3;1541.7;13156.5;10388.6;2767.9
23;Nederland;2018;773987;44917;2.4;2.3;692632;369840.0;7561.5;6268.8;1292.7;9407.6;7834.5;1573.1;13510.4;10686.5;2824.0
24;Nederland;2019;813055;46876;2.0;2.0;724960;388869.0;7750.8;6414.7;1336.1;9623.3;8011.1;1612.1;13867.1;10960.3;2906.8
25;Nederland;2020;796530;45669;-3.9;-4.1;709628;402735.0;7669.6;6390.1;1279.4;9583.8;7952.3;1631.5;13308.8;10564.5;2744.3
26;Nederland;2021;870587;49654;6.2;6.6;774497;419346.0;7858.8;6541.6;1317.2;9772.7;8112.0;1660.7;13750.9;11010.5;2740.4
27;Nederland;2022;958549;54671;4.3;4.8;859803;;8144.2;6755.4;1388.8;10156.9;8403.2;1753.7;14292.0;11386.4;2905.7
28;Noord-Nederland (LD);1995;29409;18098;;;26708;13669.0;574.8;456.4;118.4;708.7;543.5;165.1;1056.1;777.2;278.9
29;Noord-Nederland (LD);1996;31367;19235;4.9;4.6;28337;14083.0;583.3;465.2;118.1;714.7;554.2;160.5;1079.1;796.7;282.4
30;Noord-Nederland (LD);1997;32985;20145;1.7;1.8;29757;14757.0;596.3;476.9;119.3;730.9;568.9;162.0;1091.1;811.1;280.0
31;Noord-Nederland (LD);1998;34337;20879;2.7;2.7;30947;15647.0;607.9;489.1;118.8;739.6;582.0;157.6;1103.9;827.0;277.0
32;Noord-Nederland (LD);1999;35594;21538;3.2;2.9;31897;16723.0;618.7;501.7;117.0;755.6;601.2;154.3;1129.0;850.3;278.8
33;Noord-Nederland (LD);2000;39094;23491;2.2;2.4;35100;17935.0;622.2;509.3;112.9;761.8;612.5;149.3;1131.5;856.2;275.3
34;Noord-Nederland (LD);2001;42600;25380;2.8;2.8;38050;18976.0;621.2;515.3;105.9;759.4;621.0;138.4;1124.1;867.0;257.0
35;Noord-Nederland (LD);2002;43674;25846;0.5;0.5;39078;20071.0;626.2;519.9;106.3;773.2;632.8;140.5;1127.7;874.0;253.7
36;Noord-Nederland (LD);2003;44977;26512;0.3;0.2;40224;20750.0;623.1;516.6;106.5;774.3;632.2;142.2;1121.6;870.7;250.9
37;Noord-Nederland (LD);2004;45931;27016;1.4;1.5;41010;21067.0;618.1;511.2;106.9;765.0;624.2;140.8;1122.4;869.2;253.2
38;Noord-Nederland (LD);2005;48589;28564;0.7;0.7;43342;21283.0;620.9;509.9;111.0;773.7;628.1;145.5;1121.7;860.3;261.3
39;Noord-Nederland (LD);2006;52503;30859;1.6;1.4;46758;21744.0;624.6;510.4;114.2;778.9;629.0;149.9;1126.5;856.3;270.2
40;Noord-Nederland (LD);2007;54917;32240;2.7;2.7;49004;22849.0;635.9;519.7;116.2;793.9;643.5;150.4;1145.5;873.0;272.5
41;Noord-Nederland (LD);2008;59533;34880;2.3;2.6;53203;24207.0;645.1;528.6;116.4;804.5;653.9;150.6;1158.2;888.4;269.8
42;Noord-Nederland (LD);2009;55092;32191;-4.0;-3.6;49479;24453.0;630.8;516.0;114.8;788.8;641.2;147.6;1128.2;864.9;263.2
43;Noord-Nederland (LD);2010;56206;32757;2.1;2.2;50499;24227.0;626.9;511.4;115.5;814.0;663.2;150.8;1121.2;855.8;265.4
44;Noord-Nederland (LD);2011;58019;33765;0.6;0.9;52274;24922.0;631.6;513.3;118.3;820.0;667.2;152.8;1129.5;860.5;269.0
45;Noord-Nederland (LD);2012;59124;34401;-1.6;-1.4;53451;25063.0;624.3;504.9;119.5;816.5;661.1;155.4;1114.0;844.3;269.8
46;Noord-Nederland (LD);2013;59946;34888;0.9;1.3;54068;24934.0;614.9;494.1;120.7;801.4;646.5;155.0;1097.1;827.8;269.3
