ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantHuishBehorendeTotDoelpopulatie_2;AantHuishMetEenLaagInkomen_3;AantHuishOnderOfRondSocMin_4
0;Nederland;Totaal particulier huishouden;6714.4;6450.6;9.0;8.0
1;Nederland;Eenpersoonshuishouden;2120.9;2012.5;13.0;13.0
2;Nederland;Paar zonder kinderen;1984.7;1931.5;4.0;4.0
3;Nederland;Paar met kinderen;1991.3;1927.4;7.0;5.0
4;Nederland;Eenoudergezin;405.6;379.9;21.0;25.0
5;Noord-Nederland (LD);Totaal particulier huishouden;699.7;674.0;9.0;9.0
6;Noord-Nederland (LD);Eenpersoonshuishouden;212.6;203.3;14.0;13.0
7;Noord-Nederland (LD);Paar zonder kinderen;223.7;217.5;4.0;4.0
8;Noord-Nederland (LD);Paar met kinderen;209.6;202.2;8.0;5.0
9;Noord-Nederland (LD);Eenoudergezin;37.7;35.6;21.0;26.0
10;Oost-Nederland (LD);Totaal particulier huishouden;1349.9;1303.3;8.0;8.0
11;Oost-Nederland (LD);Eenpersoonshuishouden;378.1;361.1;13.0;12.0
12;Oost-Nederland (LD);Paar zonder kinderen;407.4;397.7;4.0;4.0
13;Oost-Nederland (LD);Paar met kinderen;445.5;432.0;7.0;5.0
14;Oost-Nederland (LD);Eenoudergezin;72.9;68.7;20.0;23.0
15;West-Nederland (LD);Totaal particulier huishouden;3225.0;3089.4;9.0;9.0
16;West-Nederland (LD);Eenpersoonshuishouden;1127.4;1064.5;14.0;13.0
17;West-Nederland (LD);Paar zonder kinderen;895.0;870.9;3.0;4.0
18;West-Nederland (LD);Paar met kinderen;881.1;853.9;7.0;5.0
19;West-Nederland (LD);Eenoudergezin;217.3;203.1;21.0;25.0
20;Zuid-Nederland (LD);Totaal particulier huishouden;1439.7;1384.0;8.0;8.0
21;Zuid-Nederland (LD);Eenpersoonshuishouden;402.7;383.5;13.0;12.0
22;Zuid-Nederland (LD);Paar zonder kinderen;458.7;445.4;4.0;4.0
23;Zuid-Nederland (LD);Paar met kinderen;455.1;439.2;6.0;5.0
24;Zuid-Nederland (LD);Eenoudergezin;77.7;72.6;21.0;25.0
25;Groningen (PV);Totaal particulier huishouden;240.2;230.4;10.0;10.0
26;Groningen (PV);Eenpersoonshuishouden;80.1;76.2;16.0;15.0
27;Groningen (PV);Paar zonder kinderen;75.1;72.7;4.0;4.0
28;Groningen (PV);Paar met kinderen;65.1;62.8;8.0;5.0
29;Groningen (PV);Eenoudergezin;14.3;13.5;23.0;28.0
30;Friesland (PV);Totaal particulier huishouden;262.9;253.2;9.0;9.0
31;Friesland (PV);Eenpersoonshuishouden;79.1;75.6;14.0;13.0
32;Friesland (PV);Paar zonder kinderen;82.4;80.1;4.0;4.0
33;Friesland (PV);Paar met kinderen;81.9;79.1;8.0;6.0
34;Friesland (PV);Eenoudergezin;14.0;13.2;20.0;25.0
35;Drenthe (PV);Totaal particulier huishouden;196.7;190.4;8.0;7.0
36;Drenthe (PV);Eenpersoonshuishouden;53.4;51.5;12.0;11.0
37;Drenthe (PV);Paar zonder kinderen;66.2;64.7;3.0;4.0
38;Drenthe (PV);Paar met kinderen;62.5;60.3;7.0;5.0
39;Drenthe (PV);Eenoudergezin;9.5;8.9;20.0;25.0
40;Overijssel (PV);Totaal particulier huishouden;432.7;417.8;8.0;8.0
41;Overijssel (PV);Eenpersoonshuishouden;120.8;115.6;13.0;12.0
42;Overijssel (PV);Paar zonder kinderen;131.6;128.2;4.0;4.0
43;Overijssel (PV);Paar met kinderen;143.6;139.2;7.0;5.0
