ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8690837;100.0;150;128;22
1;1;2677259;30.8;48;44;4
2;2;12242;0.1;0;0;0
3;3;178292;2.1;3;2;1
4;4;961121;11.1;17;12;5
5;5;48568;0.6;0;0;0
6;6;464;0.0;0;0;0
7;7;45189;0.5;0;0;0
8;8;918;0.0;0;0;0
9;9;70878;0.8;1;1;0
10;IKB;1814;0.0;0;0;0
11;KP;186;0.0;0;0;0
12;LN;8336;0.1;0;0;0
13;NEP;70;0.0;0;0;0
14;NVU;10641;0.1;0;0;0
15;PLN;826;0.0;0;0;0
16;PPR;171042;2.0;3;2;1
17;PSP;184422;2.1;3;2;1
18;PvdA;2458452;28.3;44;37;7
19;PVR;207;0.0;0;0;0
20;R'81;2080;0.0;0;0;0
21;RKPN;20812;0.2;0;0;0
22;RPF;108364;1.2;2;2;0
23;RVP;17371;0.2;0;0;0
24;SGP;171324;2.0;3;3;0
25;SOS;3377;0.0;0;0;0
26;SP;30380;0.3;0;0;0
27;VVD;1505311;17.3;26;23;3
28;WE-WE-BEW;891;0.0;0;0;0
