ID;Geslacht;Perioden;Vwo_1;Havo_2;VmboVboMavo_3;VmboVboMavoExclusiefLwooIvbo_4;LwooIvbo_5;VmboGTMavo_6;VmboGTExclusiefLwoo_7;LwooGT_8;VmboT_9;VmboG_10;VmboBKVbo_11;VmboBKExclusiefLwoo_12;LwooBK_13;LwooIvboAvmb_14;VmboK_15;VmboB_16;Totaal_17;Totaal_18;NatuurEnTechniek_19;NatuurEnGezondheid_20;NatuurOngedeeld_21;Totaal_22;EconomieEnMaatschappij_23;CultuurEnMaatschappij_24;MaatschappijOngedeeld_25;Totaal_26;NatuurEnTechniekEconomieEnMaatsch_27;NatuurEnTechniekCultuurEnMaatsch_28;NatuurEnGezondheidEconomieEnMaatsch_29;NatuurEnGezondheidCultuurEnMaatsch_30;ProfielOnbekend_31;Totaal_32;Totaal_33;NatuurEnTechniek_34;NatuurEnGezondheid_35;NatuurOngedeeld_36;Totaal_37;EconomieEnMaatschappij_38;CultuurEnMaatschappij_39;MaatschappijOngedeeld_40;Totaal_41;NatuurEnTechniekEconomieEnMaatsch_42;NatuurEnTechniekCultuurEnMaatsch_43;NatuurEnGezondheidEconomieEnMaatsch_44;NatuurEnGezondheidCultuurEnMaatsch_45;ProfielOnbekend_46;Totaal_47;VmboTExclusiefLwoo_48;LwooT_49;Totaal_50;VmboGExclusiefLwoo_51;LwooG_52;Totaal_53;VmboKExclusiefLwoo_54;LwooK_55;Totaal_56;VmboBExclusiefLwoo_57;LwooB_58;Totaal_59;VmboLandbouwExclusiefLwoo_60;LwooLandbouw_61;Totaal_62;VmboZorgEnWelzijnExclusiefLwoo_63;LwooZorgEnWelzijn_64;Totaal_65;VmboEconomieExclusiefLwoo_66;LwooEconomie_67;Totaal_68;VmboTechniekExclusiefLwoo_69;LwooTechniek_70;Totaal_71;VmboGLandbouw_72;VmboKLandbouw_73;VmboBLandbouw_74;Totaal_75;VmboGZorgEnWelzijn_76;VmboKZorgEnWelzijn_77;VmboBZorgEnWelzijn_78;Totaal_79;VmboGEconomie_80;VmboKEconomie_81;VmboBEconomie_82;Totaal_83;VmboGTechniek_84;VmboKTechniek_85;VmboBTechniek_86
0;Totaal mannen en vrouwen;1990/'91;31769;35001;120559;110467;10092;56431;;;;;64128;;;;;;31769;;;;;;;;;;;;;;31769;35001;;;;;;;;;;;;;;35001;;;;;;;;;;;;;5310;3989;1321;17274;13561;3713;10035;10035;0;31509;26451;5058;5310;;;;17274;;;;10035;;;;31509;;;
1;Totaal mannen en vrouwen;1991/'92;29232;35605;111431;101830;9601;52642;;;;;58789;;;;;;29232;;;;;;;;;;;;;;29232;35605;;;;;;;;;;;;;;35605;;;;;;;;;;;;;4807;3513;1294;15945;12394;3551;8784;8784;0;29253;24497;4756;4807;;;;15945;;;;8784;;;;29253;;;
2;Totaal mannen en vrouwen;1992/'93;28773;34109;108374;98509;9865;52361;;;;;56013;;;404.0;;;28773;;;;;;;;;;;;;;28773;34109;;;;;;;;;;;;;;34109;;;;;;;;;;;;;4467;3216;1251;11437;8801;2636;15866;14511;1355;23839;19620;4219;4467;;;;11437;;;;15866;;;;23839;;;
3;Totaal mannen en vrouwen;1993/'94;29062;34349;107872;97415;10457;52101;;;;;55771;;;449.0;;;29062;;;;;;;;;;;;;;29062;34349;;;;;;;;;;;;;;34349;;;;;;;;;;;;;4853;3428;1425;12067;9279;2788;15381;13823;1558;23021;18784;4237;4853;;;;12067;;;;15381;;;;23021;;;
4;Totaal mannen en vrouwen;1994/'95;28043;33899;108134;97805;10329;52426;;;;;55708;;;574.0;;;28043;;;;;;;;;;;;;;28043;33899;;;;;;;;;;;;;;33899;;;;;;;;;;;;;4876;3527;1349;12381;9608;2773;15231;13728;1503;22646;18516;4130;4876;;;;12381;;;;15231;;;;22646;;;
5;Totaal mannen en vrouwen;1995/'96;28530;34935;107064;96808;10256;51445;;;;;55619;;;622.0;;;28530;;;;;;;;;;;;;;28530;34935;;;;;;;;;;;;;;34935;;;;;;;;;;;;;5386;3880;1506;12833;10139;2694;14922;13433;1489;21856;17911;3945;5386;;;;12833;;;;14922;;;;21856;;;
6;Totaal mannen en vrouwen;1996/'97;27930;35128;109465;98485;10980;52634;;;;;56831;;;632.0;;;27930;;;;;;;;;;;;;;27930;35128;;;;;;;;;;;;;;35128;;;;;;;;;;;;;5814;4109;1705;13693;10571;3122;15150;13633;1517;21542;17538;4004;5814;;;;13693;;;;15150;;;;21542;;;
7;Totaal mannen en vrouwen;1997/'98;27969;34805;102637;91436;11201;46846;;;;;55791;;;676.0;;;27969;;;;;;;;;;;;;;27969;34805;;;;;;;;;;;;;;34805;;;;;;;;;;;;;5930;4160;1770;13802;10619;3183;14372;12715;1657;21011;17096;3915;5930;;;;13802;;;;14372;;;;21011;;;
8;Totaal mannen en vrouwen;1998/'99;27598;37474;97916;86593;11323;44595;;;;;53321;;;725.0;;;27598;;;;;;;;;;;;;;27598;37474;;;;;;;;;;;;;;37474;;;;;;;;;;;;;6118;4354;1764;13589;10335;3254;13400;11794;1606;19489;15515;3974;6118;;;;13589;;;;13400;;;;19489;;;
9;Totaal mannen en vrouwen;1999/'00;26622;38717;96260;84974;11286;45213;;;;;51047;;;593.0;;;26622;;;;;;;;;;;;;;26622;38717;;;;;;;;;;;;;;38717;;;;;;;;;;;;;6149;4327;1822;13371;10143;3228;12328;10736;1592;18606;14555;4051;6149;;;;13371;;;;12328;;;;18606;;;
10;Totaal mannen en vrouwen;2000/'01;26971;30185;95382;84341;11041;44635;;;;;50747;;;463.0;;;26971;;;;;;;;;;;;;;26971;30185;;;;;;;;;;;;;;30185;;;;;;;;;;;;;6341;4757;1584;13231;9987;3244;12533;10801;1732;18179;14161;4018;6341;;;;13231;;;;12533;;;;18179;;;
11;Totaal mannen en vrouwen;2001/'02;24084;31981;99977;88878;11099;47136;;;;;52841;;;415.0;;;24084;10444.0;3464.0;6178.0;802.0;12681.0;7979.0;4607.0;95.0;2.0;0.0;0.0;1.0;1.0;957;31981;9174.0;3890.0;4894.0;390.0;22613.0;12157.0;10324.0;132.0;5.0;0.0;1.0;0.0;4.0;189;;;;;;;;;;;;;6794;4978;1816;14133;10877;3256;13324;11658;1666;18175;14229;3946;6794;;;;14133;;;;13324;;;;18175;;;
12;Totaal mannen en vrouwen;2002/'03;26112;34538;97419;86341;11078;42883;42817.0;59.0;38095.0;4781.0;54536;42989.0;10861.0;;23027.0;30823.0;26112;11597.0;3791.0;7287.0;519.0;14222.0;8928.0;5109.0;185.0;3.0;1.0;0.0;1.0;1.0;290;34538;9316.0;3711.0;5313.0;292.0;25074.0;13421.0;11559.0;94.0;0.0;0.0;0.0;0.0;0.0;148;38095.0;38095.0;0.0;4781.0;4722.0;59.0;23027.0;21912.0;1115.0;30823.0;21077.0;9746.0;6360;5395;965;17351;13853;3498;17204;14544;2660;18402;14447;3955;6360;597.0;2373.0;3380.0;17351;1669.0;6955.0;8695.0;17204;1608.0;7377.0;7908.0;18402;907.0;6322.0;10840.0
13;Mannen;1990/'91;16294;15543;64286;58008;6278;25981;;;;;38305;;;;;;16294;;;;;;;;;;;;;;16294;15543;;;;;;;;;;;;;;15543;;;;;;;;;;;;;3693;2687;1006;1140;806;334;3975;3975;0;29497;24559;4938;3693;;;;1140;;;;3975;;;;29497;;;
14;Mannen;1991/'92;15103;15718;59584;53695;5889;24296;;;;;35288;;;;;;15103;;;;;;;;;;;;;;15103;15718;;;;;;;;;;;;;;15718;;;;;;;;;;;;;3225;2282;943;1262;906;356;3452;3452;0;27349;22759;4590;3225;;;;1262;;;;3452;;;;27349;;;
15;Mannen;1992/'93;14669;15290;57856;51807;6049;24375;;;;;33481;;;215.0;;;14669;;;;;;;;;;;;;;14669;15290;;;;;;;;;;;;;;15290;;;;;;;;;;;;;2980;2083;897;557;350;207;6762;6193;569;22967;18806;4161;2980;;;;557;;;;6762;;;;22967;;;
