ID;InstitutioneleSectoren;ActivaEnPassiva;FinancieleInstrumenten;BalansstandenEnTransacties;Perioden;FinancieleTransactiesEnBalans_1
0;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1995;157044
1;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1996;138642
2;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1997;142063
3;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1998;142825
4;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1999 1e kwartaal;149393
5;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1999 2e kwartaal;149511
6;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1999 3e kwartaal;150647
7;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1999 4e kwartaal;152626
8;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;1999;149393
9;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2000 1e kwartaal;166115
10;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2000 2e kwartaal;175832
11;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2000 3e kwartaal;165432
12;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2000 4e kwartaal;160297
13;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2000;166115
14;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2001 1e kwartaal;153421
15;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2001 2e kwartaal;153469
16;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2001 3e kwartaal;156065
17;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2001 4e kwartaal;145741
18;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2001;153421
19;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2002 1e kwartaal;145145
20;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2002 2e kwartaal;149423
21;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2002 3e kwartaal;146815
22;Overheid;Activa;AF Totaal financiële activa en passiva;Beginbalans;2002 4e kwartaal;139622
