ID;Leeftijd;CaribischNederland;Perioden;MinimumuurloonCaribischNederland_1
0;16 tot 18 jaar;Bonaire;2009;2.62
1;16 tot 18 jaar;Bonaire;2010;2.62
2;16 tot 18 jaar;Bonaire;2011;2.73
3;16 tot 18 jaar;Bonaire;2012;2.89
4;16 tot 18 jaar;Bonaire;2013;2.96
5;16 tot 18 jaar;Bonaire;2014;3.01
6;16 tot 18 jaar;Bonaire;2015;3.06
7;16 tot 18 jaar;Bonaire;2016;3.06
8;16 tot 18 jaar;Sint-Eustatius;2009;2.16
9;16 tot 18 jaar;Sint-Eustatius;2010;2.16
10;16 tot 18 jaar;Sint-Eustatius;2011;2.73
11;16 tot 18 jaar;Sint-Eustatius;2012;3.04
12;16 tot 18 jaar;Sint-Eustatius;2013;3.18
13;16 tot 18 jaar;Sint-Eustatius;2014;3.23
14;16 tot 18 jaar;Sint-Eustatius;2015;3.34
15;16 tot 18 jaar;Sint-Eustatius;2016;3.46
16;16 tot 18 jaar;Saba;2009;2.28
17;16 tot 18 jaar;Saba;2010;2.33
18;16 tot 18 jaar;Saba;2011;2.73
19;16 tot 18 jaar;Saba;2012;2.91
20;16 tot 18 jaar;Saba;2013;3.0
21;16 tot 18 jaar;Saba;2014;3.22
22;16 tot 18 jaar;Saba;2015;3.31
23;16 tot 18 jaar;Saba;2016;3.49
24;18 jaar;Bonaire;2009;3.02
25;18 jaar;Bonaire;2010;3.02
26;18 jaar;Bonaire;2011;3.15
27;18 jaar;Bonaire;2012;3.34
28;18 jaar;Bonaire;2013;3.41
29;18 jaar;Bonaire;2014;3.47
30;18 jaar;Bonaire;2015;3.53
31;18 jaar;Bonaire;2016;3.53
32;18 jaar;Sint-Eustatius;2009;2.49
33;18 jaar;Sint-Eustatius;2010;2.49
34;18 jaar;Sint-Eustatius;2011;3.15
35;18 jaar;Sint-Eustatius;2012;3.5
36;18 jaar;Sint-Eustatius;2013;3.67
37;18 jaar;Sint-Eustatius;2014;3.73
38;18 jaar;Sint-Eustatius;2015;3.86
39;18 jaar;Sint-Eustatius;2016;3.99
40;18 jaar;Saba;2009;2.63
41;18 jaar;Saba;2010;2.69
42;18 jaar;Saba;2011;3.15
43;18 jaar;Saba;2012;3.36
