ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBanen_1;Bedrijfsgrootte1Tot10Werknemers_2;Bedrijfsgrootte10Tot50Werknemers_3;Bedrijfsgrootte50Tot100Werknemers_4;Bedrijfsgrootte100Tot500Werknemers_5;Bedrijfsgrootte500EnMeerWerknemers_6
0;A-U Alle economische activiteiten;2008 december;7891.9;1315.1;1444.2;597.8;1428.7;3106.0
1;A-U Alle economische activiteiten;2009 december;7812.4;1194.1;1366.5;567.4;1457.0;3227.4
2;A-U Alle economische activiteiten;2010 december;7888.2;1239.7;1278.8;590.3;1498.4;3281.1
3;A-U Alle economische activiteiten;2011 december;7904.6;1166.6;1310.5;602.3;1494.1;3331.0
4;A-U Alle economische activiteiten;2011 december ;7937.71;1197.95;1314.72;601.74;1492.97;3330.33
5;A-U Alle economische activiteiten;2012 december;7833.19;1166.35;1274.1;575.3;1479.53;3337.91
6;A-U Alle economische activiteiten;2012 december;7820.07;1170.4;1273.79;573.87;1473.43;3328.58
7;A-U Alle economische activiteiten;2013 december;7711.62;1098.2;1223.7;552.6;1458.28;3309.33
8;A-U Alle economische activiteiten;2013 december;7701.02;1155.48;1228.16;553.25;1455.96;3308.16
9;A-U Alle economische activiteiten;2014 december;7735.24;1181.3;1238.54;558.99;1441.58;3314.83
10;Niet-Overheid;2008 december;5654.1;1207.8;1319.6;;925.4;
11;Niet-Overheid;2009 december;5480.5;1092.6;1251.2;;946.4;
12;Niet-Overheid;2010 december;5497.4;;;;;
13;Niet-Overheid;2011 december;5492.4;;;;;
14;Niet-Overheid;2011 december ;5524.4;;;;;
15;Niet-Overheid;2012 december;5432.1;;;;;
16;Niet-Overheid;2012 december;5429.07;;;;;
17;Niet-Overheid;2013 december;5347.33;;;;;
18;Niet-Overheid;2013 december;5342.39;1046.46;1117.13;469.75;986.02;1723.03
19;Niet-Overheid;2014 december;5405.38;1067.19;1125.16;472.43;979.64;1760.95
20;A-F Landbouw en nijverheid;2008 december;1372.9;220.2;362.4;;316.2;
21;A-F Landbouw en nijverheid;2009 december;1314.3;195.0;331.7;;303.9;
22;A-F Landbouw en nijverheid;2010 december;1308.4;;;;;
23;A-F Landbouw en nijverheid;2011 december;1292.4;;;;;
24;A-F Landbouw en nijverheid;2011 december ;1292.9;;;;;
25;A-F Landbouw en nijverheid;2012 december;1258.8;;;;;
26;A-F Landbouw en nijverheid;2012 december;1266.73;182.06;300.91;139.67;294.65;349.44
27;A-F Landbouw en nijverheid;2013 december;1222.15;171.08;280.29;133.47;286.86;343.0
28;A-F Landbouw en nijverheid;2013 december;1219.6;176.4;280.32;133.46;286.54;342.88
29;A-F Landbouw en nijverheid;2014 december;1208.56;177.2;276.05;129.63;285.93;339.75
30;A Landbouw, bosbouw en visserij;2008 december;98.9;48.1;37.8;;6.9;
31;A Landbouw, bosbouw en visserij;2009 december;97.6;43.5;38.3;;8.7;
32;A Landbouw, bosbouw en visserij;2010 december;99.5;46.2;36.9;5.8;9.1;1.5
33;A Landbouw, bosbouw en visserij;2011 december;97.5;41.6;38.6;6.2;8.2;2.9
34;A Landbouw, bosbouw en visserij;2011 december ;98.12;41.69;38.93;;8.43;
35;A Landbouw, bosbouw en visserij;2012 december;96.81;41.45;37.95;6.15;7.2;4.06
36;A Landbouw, bosbouw en visserij;2012 december;98.48;43.03;38.04;6.18;7.19;4.04
37;A Landbouw, bosbouw en visserij;2013 december;97.85;41.53;36.92;6.22;7.94;3.89
38;A Landbouw, bosbouw en visserij;2013 december;97.48;42.65;36.84;6.19;7.91;3.89
39;A Landbouw, bosbouw en visserij;2014 december;96.29;42.36;36.33;5.41;8.69;3.51
40;01 Landbouw;2008 december;96.4;47.2;37.1;;;0.0
41;01 Landbouw;2009 december;95.0;42.4;37.6;;;0.0
42;01 Landbouw;2010 december;96.8;45.2;36.2;;;0.8
43;01 Landbouw;2011 december;94.8;40.6;37.9;6.1;;
44;01 Landbouw;2011 december ;95.21;40.66;38.18;;;
45;01 Landbouw;2012 december;93.98;40.5;37.13;6.15;;
46;01 Landbouw;2012 december;95.58;42.01;37.21;6.18;;
47;01 Landbouw;2013 december;94.84;40.56;36.09;6.22;;
48;01 Landbouw;2013 december;94.48;41.56;36.01;6.19;;
49;01 Landbouw;2014 december;93.31;41.27;35.73;5.41;;
50;02 Bosbouw;2008 december;1.3;0.3;;0.1;0.0;
51;02 Bosbouw;2009 december;1.3;0.3;;;0.0;
52;02 Bosbouw;2010 december;1.4;0.3;;;0.0;0.7
53;02 Bosbouw;2011 december;1.5;0.4;;0.0;0.0;
54;02 Bosbouw;2011 december ;1.48;0.38;;0.0;0.0;
55;02 Bosbouw;2012 december;1.43;0.36;;0.0;0.0;
56;02 Bosbouw;2012 december;1.43;0.36;;0.0;0.0;
57;02 Bosbouw;2013 december;1.43;0.36;;0.0;0.0;
58;02 Bosbouw;2013 december;1.43;0.37;;0.0;0.0;
59;02 Bosbouw;2014 december;1.46;0.38;;0.0;0.0;
60;03 Visserij;2008 december;1.3;0.7;;;;0.0
61;03 Visserij;2009 december;1.3;0.7;;;;0.0
62;03 Visserij;2010 december;1.3;0.7;;;;0.0
63;03 Visserij;2011 december;1.2;0.6;;0.1;;0.0
64;03 Visserij;2011 december ;1.42;0.65;;;;0.0
65;03 Visserij;2012 december;1.4;0.59;;0.0;;0.0
66;03 Visserij;2012 december;1.47;0.66;;0.0;;0.0
67;03 Visserij;2013 december;1.57;0.62;;0.0;;0.0
68;03 Visserij;2013 december;1.57;0.72;;0.0;;0.0
69;03 Visserij;2014 december;1.52;0.71;;0.0;;0.0
70;B-F Nijverheid en energie;2008 december;1273.9;172.0;324.6;;309.4;
71;B-F Nijverheid en energie;2009 december;1216.7;151.6;293.4;;295.1;
72;B-F Nijverheid en energie;2010 december;1208.8;157.7;276.3;137.1;299.6;338.1
73;B-F Nijverheid en energie;2011 december;1194.9;144.6;275.1;140.6;294.7;339.9
74;B-F Nijverheid en energie;2011 december ;1194.77;141.88;275.89;;295.2;
75;B-F Nijverheid en energie;2012 december;1162.1;132.33;262.38;133.53;288.12;345.75
76;B-F Nijverheid en energie;2012 december;1168.25;139.03;262.86;133.49;287.46;345.4
77;B-F Nijverheid en energie;2013 december;1124.3;129.55;243.37;127.25;278.92;339.11
78;B-F Nijverheid en energie;2013 december;1122.12;133.75;243.49;127.27;278.63;338.99
79;B-F Nijverheid en energie;2014 december;1112.26;134.84;239.72;124.22;277.24;336.25
80;B-E Nijverheid (geen bouw) en energie;2008 december;878.7;86.7;188.2;95.6;244.8;263.4
81;B-E Nijverheid (geen bouw) en energie;2009 december;840.7;75.1;167.7;88.4;231.4;278.1
82;B-E Nijverheid (geen bouw) en energie;2010 december;837.5;78.1;162.0;95.3;227.9;274.2
83;B-E Nijverheid (geen bouw) en energie;2011 december;832.2;71.3;163.0;100.0;225.1;272.7
84;B-E Nijverheid (geen bouw) en energie;2011 december ;834.17;70.0;163.79;100.31;226.01;274.05
85;B-E Nijverheid (geen bouw) en energie;2012 december;822.01;67.56;158.64;95.66;227.9;272.26
86;B-E Nijverheid (geen bouw) en energie;2012 december;825.58;70.56;158.94;95.66;228.01;272.41
87;B-E Nijverheid (geen bouw) en energie;2013 december;809.8;66.88;152.92;93.33;227.22;266.46
88;B-E Nijverheid (geen bouw) en energie;2013 december;808.52;68.98;152.87;93.41;226.78;266.47
89;B-E Nijverheid (geen bouw) en energie;2014 december;810.06;70.4;154.58;91.35;227.5;266.23
90;B Delfstoffenwinning;2008 december;7.7;0.5;1.1;1.0;2.3;2.9
91;B Delfstoffenwinning;2009 december;7.7;0.4;1.3;0.6;2.7;2.8
92;B Delfstoffenwinning;2010 december;8.0;0.6;1.2;0.5;2.8;2.7
93;B Delfstoffenwinning;2011 december;8.6;0.6;1.0;1.3;2.8;2.9
94;B Delfstoffenwinning;2011 december ;8.57;;0.97;1.31;2.83;
95;B Delfstoffenwinning;2012 december;8.65;;0.84;1.11;3.1;
96;B Delfstoffenwinning;2012 december;8.6;;0.87;1.11;2.99;
97;B Delfstoffenwinning;2013 december;10.68;;1.06;1.39;3.69;
98;B Delfstoffenwinning;2013 december;10.65;;1.15;1.3;3.68;
99;B Delfstoffenwinning;2014 december;11.36;;1.39;1.17;3.92;
100;06 Winning van aardolie en aardgas;2008 december;3.0;0.1;0.1;;0.9;
101;06 Winning van aardolie en aardgas;2009 december;3.2;0.0;;0.0;1.0;
102;06 Winning van aardolie en aardgas;2010 december;3.2;;0.3;0.0;0.9;
103;06 Winning van aardolie en aardgas;2011 december;3.3;;;0.4;1.0;
104;06 Winning van aardolie en aardgas;2011 december ;3.27;;;0.38;0.95;
105;06 Winning van aardolie en aardgas;2012 december;3.43;;;;1.4;
106;06 Winning van aardolie en aardgas;2012 december;3.31;;;;1.28;
107;06 Winning van aardolie en aardgas;2013 december;3.65;;;;1.4;
108;06 Winning van aardolie en aardgas;2013 december;3.64;;;;1.4;
109;06 Winning van aardolie en aardgas;2014 december;3.91;0.08;;;1.41;
110;08 Delfstoffenwinning (geen olie en gas);2008 december;2.0;0.3;0.7;0.5;0.6;0.0
111;08 Delfstoffenwinning (geen olie en gas);2009 december;2.0;0.3;0.7;0.4;0.6;0.0
112;08 Delfstoffenwinning (geen olie en gas);2010 december;2.1;0.2;0.6;0.2;1.0;0.0
113;08 Delfstoffenwinning (geen olie en gas);2011 december;2.4;0.2;0.6;0.4;1.1;0.0
114;08 Delfstoffenwinning (geen olie en gas);2011 december ;2.39;0.23;0.58;0.44;1.15;0.0
115;08 Delfstoffenwinning (geen olie en gas);2012 december;2.0;0.21;0.59;0.47;0.73;0.0
116;08 Delfstoffenwinning (geen olie en gas);2012 december;2.02;0.22;0.59;0.47;0.74;0.0
117;08 Delfstoffenwinning (geen olie en gas);2013 december;2.05;;;0.61;0.73;0.0
118;08 Delfstoffenwinning (geen olie en gas);2013 december;2.03;;;0.61;0.73;0.0
119;08 Delfstoffenwinning (geen olie en gas);2014 december;1.86;;;0.45;0.62;0.0
120;09 Dienstverlening delfstoffenwinning;2008 december;2.7;0.1;0.3;;0.9;
121;09 Dienstverlening delfstoffenwinning;2009 december;2.6;0.1;;0.2;1.0;
122;09 Dienstverlening delfstoffenwinning;2010 december;2.7;;0.3;0.3;0.9;
123;09 Dienstverlening delfstoffenwinning;2011 december;3.0;;;0.5;0.7;
124;09 Dienstverlening delfstoffenwinning;2011 december ;2.91;;;0.49;0.73;
125;09 Dienstverlening delfstoffenwinning;2012 december;3.22;;;;0.97;
126;09 Dienstverlening delfstoffenwinning;2012 december;3.27;;;;0.97;
127;09 Dienstverlening delfstoffenwinning;2013 december;4.98;;;;1.56;
128;09 Dienstverlening delfstoffenwinning;2013 december;4.97;;0.53;;1.56;
129;09 Dienstverlening delfstoffenwinning;2014 december;5.59;;;;1.89;
130;C Industrie;2008 december;814.5;83.6;180.8;91.6;223.8;234.7
131;C Industrie;2009 december;773.9;72.2;159.5;84.0;209.6;248.7
132;C Industrie;2010 december;769.2;74.9;154.3;91.4;207.4;241.2
133;C Industrie;2011 december;762.3;68.2;155.4;95.3;206.8;236.6
134;C Industrie;2011 december ;761.87;66.91;156.18;95.55;207.65;235.59
135;C Industrie;2012 december;750.25;64.57;151.06;90.55;210.37;233.71
136;C Industrie;2012 december;753.14;67.51;151.32;90.53;209.97;233.8
137;C Industrie;2013 december;740.43;64.1;146.52;88.2;210.37;228.69
138;C Industrie;2013 december;739.21;65.97;146.34;88.29;209.93;228.68
139;C Industrie;2014 december;739.89;67.27;147.16;86.29;209.77;229.4
140;10-12 Voedings-, genotmiddelenindustrie;2008 december;125.5;;;14.1;39.9;28.7
141;10-12 Voedings-, genotmiddelenindustrie;2009 december;126.7;13.9;;14.6;;
142;10-12 Voedings-, genotmiddelenindustrie;2010 december;125.0;13.9;;;;
143;10-12 Voedings-, genotmiddelenindustrie;2011 december;123.6;12.5;;;38.1;
144;10-12 Voedings-, genotmiddelenindustrie;2011 december ;124.4;12.5;;;38.1;
145;10-12 Voedings-, genotmiddelenindustrie;2012 december;124.2;12.0;;;41.5;
146;10-12 Voedings-, genotmiddelenindustrie;2012 december;124.08;12.23;26.41;14.39;41.08;29.97
147;10-12 Voedings-, genotmiddelenindustrie;2013 december;124.16;11.65;24.99;16.03;38.61;32.59
