ID;Perioden;ReporenteEuropeseCentraleBank_1;MarginaleBeleningsrenteECB_2;DepositorenteECB_3;HeffingsEnInvorderingsrente_4;DebetrenteVoorschotEffecten_5;VoorschotrenteNederlandscheBank_6;WettelijkeRente_7;RenteOpStudieleningen_8;EenmaandsAiborEuribor_9;DriemaandsAiborEuribor_10;ZesmaandsAiborEuribor_11;TwaalfmaandsAiborEuribor_12;DriemaandsKasgeld_13;DriemaandsEuroDollarDeposito_14;Daggeldrente_15
0;1957 januari;;;;;;;;;;;;;4.99;;3.37
1;1957 februari;;;;;;;;;;;;;4.74;;2.85
2;1957 maart;;;;;;;;;;;;;4.92;;3.5
3;1957 april;;;;;;;;;;;;;5.01;;3.5
4;1957 mei;;;;;;;;;;;;;5.0;;2.88
5;1957 juni;;;;;;;;;;;;;5.13;;2.7
6;1957 juli;;;;;;;;;;;;;5.49;;3.08
7;1957 augustus;;;;;;;;;;;;;6.51;;3.51
8;1957 september;;;;;;;;;;;;;7.04;;3.64
9;1957 oktober;;;;;;;;;;;;;5.82;;3.75
10;1957 november;;;;;;;;;;;;;5.5;;3.35
11;1957 december;;;;;;;;;;;;;5.5;;3.33
12;1957;;;;;;;;;;;;;5.47;;3.29
13;1958 januari;;;;;;;;;;;;;5.5;;3.5
14;1958 februari;;;;;;;;;;;;;5.05;;3.26
15;1958 maart;;;;;;;;;;;;;4.58;;2.77
16;1958 april;;;;;;;;;;;;;4.07;;2.93
17;1958 mei;;;;;;;;;;;;;3.74;;2.39
18;1958 juni;;;;;;;;;;;;;3.48;;2.34
19;1958 juli;;;;;;;;;;;;;3.47;;2.5
20;1958 augustus;;;;;;;;;;;;;3.1;;2.08
21;1958 september;;;;;;;;;;;;;3.05;;2.16
22;1958 oktober;;;;;;;;;;;;;3.29;;2.5
23;1958 november;;;;;;;;;;;;;3.18;;1.79
24;1958 december;;;;;;;;;;;;;3.06;;1.5
25;1958;;;;;;;;;;;;;3.8;;2.48
26;1959 januari;;;;;;;;;;;;;2.58;;1.58
27;1959 februari;;;;;;;;;;;;;2.07;;1.26
28;1959 maart;;;;;;;;;;;;;2.04;;1.42
29;1959 april;;;;;;;;;;;;;2.0;;1.5
30;1959 mei;;;;;;;;;;;;;2.04;;1.34
31;1959 juni;;;;;;;;;;;;;2.45;;1.55
32;1959 juli;;;;;;;;;;;;;2.47;;1.63
33;1959 augustus;;;;;;;;;;;;;2.13;;1.15
34;1959 september;;;;;;;;;;;;;2.1;;1.41
35;1959 oktober;;;;;;;;;;;;;2.33;;2.21
36;1959 november;;;;;;;;;;;;;2.49;;1.55
37;1959 december;;;;;;;;;;;;;2.75;;2.18
38;1959;;;;;;;;;;;;;2.29;;1.57
39;1960 januari;;;;;;;;;;;;;2.83;;1.95
40;1960 februari;;;;;;;;;;;;;3.12;;1.55
41;1960 maart;;;;;;;;;;;;;2.93;;1.8
42;1960 april;;;;;;;;;;;;;2.57;;2.17
43;1960 mei;;;;;;;;;;;;;2.69;;1.56
44;1960 juni;;;;;;;;;;;;;2.97;;2.18
45;1960 juli;;;;;;;;;;;;;2.7;;1.75
46;1960 augustus;;;;;;;;;;;;;2.42;;1.56
47;1960 september;;;;;;;;;;;;;2.32;;1.5
48;1960 oktober;;;;;;;;;;;;;2.36;;1.84
49;1960 november;;;;;;;;;;;;;2.03;;1.13
50;1960 december;;;;;;;;;;;;;2.06;;1.13
51;1960;;;;;;;;;;;;;2.58;;1.68
52;1961 januari;;;;;;;;;;;;;2.04;;1.0
53;1961 februari;;;;;;;;;;;;;1.88;;0.75
54;1961 maart;;;;;;;;;;;;;1.74;;0.75
55;1961 april;;;;;;;;;;;;;1.41;;0.76
56;1961 mei;;;;;;;;;;;;;1.36;;0.75
57;1961 juni;;;;;;;;;;;;;1.42;;0.75
58;1961 juli;;;;;;;;;;;;;1.38;;0.75
59;1961 augustus;;;;;;;;;;;;;1.38;;0.75
60;1961 september;;;;;;;;;;;;;1.5;;1.04
61;1961 oktober;;;;;;;;;;;;;1.86;;2.13
62;1961 november;;;;;;;;;;;;;2.41;;1.43
63;1961 december;;;;;;;;;;;;;2.21;;1.32
64;1961;;;;;;;;;;;;;1.72;;1.02
65;1962 januari;;;;;;;;;;;;;2.11;;1.76
66;1962 februari;;;;;;;;;;;;;1.73;;0.87
67;1962 maart;;;;;;;;;;;;;2.47;;2.59
68;1962 april;;;;;;;;;;;;;2.75;;2.86
69;1962 mei;;;;;;;;;;;;;2.85;;2.6
70;1962 juni;;;;;;;;;;;;;2.84;;1.77
71;1962 juli;;;;;;;;;;;;;2.84;;1.81
72;1962 augustus;;;;;;;;;;;;;1.95;;1.03
73;1962 september;;;;;;;;;;;;;2.2;;1.14
74;1962 oktober;;;;;;;;;;;;;2.69;;1.99
75;1962 november;;;;;;;;;;;;;2.56;;1.47
76;1962 december;;;;;;;;;;;;;3.14;;1.88
77;1962;;;;;;;;;;;;;2.51;;1.81
78;1963 januari;;;;;;;;;;;;;3.02;;2.6
79;1963 februari;;;;;;;;;;;;;2.55;;1.0
80;1963 maart;;;;;;;;;;;;;2.52;;1.79
81;1963 april;;;;;;;;;;;;;2.63;;1.67
82;1963 mei;;;;;;;;;;;;;2.63;;1.58
83;1963 juni;;;;;;;;;;;;;2.68;;1.14
84;1963 juli;;;;;;;;;;;;;2.66;;2.09
85;1963 augustus;;;;;;;;;;;;;2.64;;1.06
86;1963 september;;;;;;;;;;;;;2.76;;1.29
87;1963 oktober;;;;;;;;;;;;;2.86;;1.11
88;1963 november;;;;;;;;;;;;;3.23;;1.13
89;1963 december;;;;;;;;;;;;;3.65;;1.61
90;1963;;;;;;;;;;;;;2.82;;1.51
91;1964 januari;;;;;;;;;;;;;3.31;;1.67
92;1964 februari;;;;;;;;;;;;;3.1;;1.92
93;1964 maart;;;;;;;;;;;;;3.52;;2.55
94;1964 april;;;;;;;;;;;;;3.63;;2.48
95;1964 mei;;;;;;;;;;;;;4.34;;2.98
96;1964 juni;;;;;;;;;;;;;4.56;;2.06
97;1964 juli;;;;;;;;;;;;;5.01;;3.72
98;1964 augustus;;;;;;;;;;;;;4.67;;2.06
99;1964 september;;;;;;;;;;;;;4.61;;2.09
100;1964 oktober;;;;;;;;;;;;;5.21;;3.14
101;1964 november;;;;;;;;;;;;;5.3;;2.88
102;1964 december;;;;;;;;;;;;;4.99;;2.09
103;1964;;;;;;;;;;;;;4.35;;2.47
104;1965 januari;;;;;;;;;;;;;4.08;;2.43
105;1965 februari;;;;;;;;;;;;;4.22;;3.69
106;1965 maart;;;;;;;;;;;;;4.09;;3.05
107;1965 april;;;;;;;;;;;;;4.28;;3.39
108;1965 mei;;;;;;;;;;;;;5.27;;3.67
109;1965 juni;;;;;;;;;;;;;5.04;;2.69
110;1965 juli;;;;;;;;;;;;;5.1;;3.53
111;1965 augustus;;;;;;;;;;;;;4.62;;2.68
112;1965 september;;;;;;;;;;;;;4.52;;2.66
113;1965 oktober;;;;;;;;;;;;;4.99;;3.13
114;1965 november;;;;;;;;;;;;;5.24;;3.91
115;1965 december;;;;;;;;;;;;;5.34;;3.47
116;1965;;;;;;;;;;;;;4.73;;3.19
117;1966 januari;;;;;;;;;;;;;5.06;;3.72
118;1966 februari;;;;;;;;;;;;;5.03;;4.25
119;1966 maart;;;;;;;;;;;;;5.46;;4.05
120;1966 april;;;;;;;;;;;;;5.82;;4.33
121;1966 mei;;;;;;;;;;;;;6.76;;4.9
122;1966 juni;;;;;;;;;;;;;7.14;;4.87
123;1966 juli;;;;;;;;;;;;;7.46;;5.11
124;1966 augustus;;;;;;;;;;;;;6.97;;4.65
125;1966 september;;;;;;;;;;;;;6.58;;3.89
126;1966 oktober;;;;;;;;;;;;;6.87;;4.7
127;1966 november;;;;;;;;;;;;;7.2;;5.22
128;1966 december;;;;;;;;;;;;;6.75;;3.68
129;1966;;;;;;;;;;;;;6.44;;4.45
130;1967 januari;;;;;;;;;;;;;6.16;;4.31
131;1967 februari;;;;;;;;;;;;;5.75;;5.04
132;1967 maart;;;;;;;;;;;;;5.48;;4.57
133;1967 april;;;;;;;;;;;;;5.5;;4.25
134;1967 mei;;;;;;;;;;;;;5.74;;4.36
135;1967 juni;;;;;;;;;;;;;5.94;;4.38
136;1967 juli;;;;;;;;;;;;;6.07;;4.38
