ID;Geslacht;Onderwijssoort;Diplomasoort;Opleidingsvorm;Perioden;Gediplomeerden_1
0;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2011/'12;1190.0
1;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2012/'13;1330.0
2;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2013/'14;1420.0
3;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2014/'15;1730.0
4;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2015/'16;1720.0
5;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2016/'17;1760.0
6;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2017/'18;2210.0
7;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2018/'19;2510.0
8;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2019/'20;3490.0
9;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2020/'21;4510.0
10;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2021/'22;5130.0
11;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2022/'23;5540.0
12;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Totaal opleidingsvorm;2023/'24;6190.0
13;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2011/'12;660.0
14;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2012/'13;720.0
15;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2013/'14;820.0
16;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2014/'15;1050.0
17;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2015/'16;1150.0
18;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2016/'17;1150.0
19;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2017/'18;1280.0
20;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2018/'19;1480.0
21;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2019/'20;2220.0
22;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2020/'21;2750.0
23;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2021/'22;3170.0
24;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2022/'23;3230.0
25;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Voltijd;2023/'24;3700.0
26;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2011/'12;530.0
27;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2012/'13;620.0
28;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2013/'14;600.0
29;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2014/'15;680.0
30;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2015/'16;580.0
31;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2016/'17;610.0
32;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2017/'18;930.0
33;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2018/'19;1040.0
34;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2019/'20;1270.0
35;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2020/'21;1760.0
36;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2021/'22;1960.0
37;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2022/'23;2310.0
38;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Hbo-associate degree;Deeltijd;2023/'24;2490.0
39;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2011/'12;65090.0
40;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2012/'13;59560.0
41;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2013/'14;60910.0
42;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2014/'15;64100.0
43;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2015/'16;65490.0
44;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2016/'17;68360.0
45;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2017/'18;70260.0
46;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2018/'19;68040.0
47;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2019/'20;67460.0
48;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2020/'21;71360.0
49;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2021/'22;66490.0
50;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2022/'23;69840.0
51;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Totaal opleidingsvorm;2023/'24;72340.0
52;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2011/'12;55240.0
53;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2012/'13;51370.0
54;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2013/'14;53400.0
55;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2014/'15;57250.0
56;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2015/'16;58920.0
57;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2016/'17;62530.0
58;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2017/'18;64190.0
59;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2018/'19;62210.0
60;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2019/'20;61690.0
61;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2020/'21;64990.0
62;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2021/'22;60490.0
63;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2022/'23;63210.0
64;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Voltijd;2023/'24;65380.0
65;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2011/'12;9850.0
66;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2012/'13;8190.0
67;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2013/'14;7520.0
68;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2014/'15;6860.0
69;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2015/'16;6580.0
70;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2016/'17;5840.0
71;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2017/'18;6060.0
72;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2018/'19;5820.0
73;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2019/'20;5770.0
74;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2020/'21;6370.0
75;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2021/'22;6000.0
76;Totaal mannen en vrouwen;Hoger beroepsonderwijs;Bachelor;Deeltijd;2022/'23;6630.0
