ID;NuttigeToepassingEnEindverwerking;BedrijfstakkenBranchesSBI2008;Perioden;Bedrijfsafval_1
0;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1994;
1;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1996;
2;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;1998;
3;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2000;
4;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2001;
5;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2002;
6;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2003;
7;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2004;
8;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2005;
9;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2006;
10;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2007;26061.0
11;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2008;26352.0
12;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2009;24776.0
13;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2010;24581.0
14;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2011;25191.0
15;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2012;24528.0
16;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2013;24332.0
17;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2014;24724.0
18;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2015;25056.0
19;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2016;25736.0
20;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2017;26353.0
21;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2018;25576.0
22;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2019;24687.0
23;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2020;24398.0
24;Totaal bedrijfsafvalstoffen;B-E Nijverheid (geen bouw) en energie;2021;24837.0
25;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1994;179.0
26;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1996;299.0
27;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;1998;268.0
28;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2000;202.0
29;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2001;183.0
30;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2002;192.0
31;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2003;302.0
32;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2004;275.0
33;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2005;229.0
34;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2006;203.0
35;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2007;217.0
36;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2008;335.0
37;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2009;217.0
38;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2010;244.0
39;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2011;200.0
40;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2012;213.0
41;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2013;209.0
42;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2014;209.0
43;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2015;183.0
44;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2016;97.0
45;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2017;89.0
46;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2018;107.0
47;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2019;97.0
48;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2020;112.0
49;Totaal bedrijfsafvalstoffen;B Delfstoffenwinning;2021;100.0
50;Totaal bedrijfsafvalstoffen;C Industrie;1994;19245.0
51;Totaal bedrijfsafvalstoffen;C Industrie;1996;18761.0
52;Totaal bedrijfsafvalstoffen;C Industrie;1998;19183.0
53;Totaal bedrijfsafvalstoffen;C Industrie;2000;19039.0
54;Totaal bedrijfsafvalstoffen;C Industrie;2001;18074.0
55;Totaal bedrijfsafvalstoffen;C Industrie;2002;17595.0
56;Totaal bedrijfsafvalstoffen;C Industrie;2003;16971.0
57;Totaal bedrijfsafvalstoffen;C Industrie;2004;16372.0
58;Totaal bedrijfsafvalstoffen;C Industrie;2005;16149.0
59;Totaal bedrijfsafvalstoffen;C Industrie;2006;15981.0
60;Totaal bedrijfsafvalstoffen;C Industrie;2007;16313.0
61;Totaal bedrijfsafvalstoffen;C Industrie;2008;16072.0
62;Totaal bedrijfsafvalstoffen;C Industrie;2009;14340.0
63;Totaal bedrijfsafvalstoffen;C Industrie;2010;14400.0
64;Totaal bedrijfsafvalstoffen;C Industrie;2011;14630.0
65;Totaal bedrijfsafvalstoffen;C Industrie;2012;14357.0
66;Totaal bedrijfsafvalstoffen;C Industrie;2013;14052.0
67;Totaal bedrijfsafvalstoffen;C Industrie;2014;13811.0
68;Totaal bedrijfsafvalstoffen;C Industrie;2015;13858.0
69;Totaal bedrijfsafvalstoffen;C Industrie;2016;14125.0
70;Totaal bedrijfsafvalstoffen;C Industrie;2017;14654.0
71;Totaal bedrijfsafvalstoffen;C Industrie;2018;14271.0
72;Totaal bedrijfsafvalstoffen;C Industrie;2019;13715.0
73;Totaal bedrijfsafvalstoffen;C Industrie;2020;13361.0
74;Totaal bedrijfsafvalstoffen;C Industrie;2021;13611.0
