ID;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2;IndexcijfersOmzet_3;Omzetontwikkeling_4;IndexcijfersOmzet_5;Omzetontwikkeling_6
0;689;2000 januari;84.2;;94.5;;67.3;
1;689;2000 februari;76.3;;86.3;;59.8;
2;689;2000 maart;74.9;;83.0;;61.4;
3;689;2000 1e kwartaal;78.5;;87.9;;62.9;
4;689;2000 april;59.1;;63.1;;52.6;
5;689;2000 mei;50.1;;50.8;;49.0;
6;689;2000 juni;45.5;;42.1;;51.1;
7;689;2000 2e kwartaal;51.6;;52.0;;51.0;
8;689;2000 juli;48.5;;48.4;;48.5;
9;689;2000 augustus;41.1;;42.3;;39.1;
10;689;2000 september;44.5;;46.5;;41.3;
11;689;2000 3e kwartaal;44.7;;45.7;;43.0;
12;689;2000 oktober;68.5;;69.4;;67.1;
13;689;2000 november;91.8;;97.9;;81.6;
14;689;2000 december;99.2;;110.5;;80.3;
15;689;2000 4e kwartaal;86.5;;92.6;;76.4;
16;689;2000;65.3;;69.5;;58.3;
17;689;2001 januari;130.2;54.6;136.7;44.8;119.4;77.5
18;689;2001 februari;103.8;36.0;111.0;28.7;91.8;53.5
19;689;2001 maart;109.5;46.1;118.4;42.6;94.6;54.1
20;689;2001 1e kwartaal;114.5;45.9;122.1;38.9;101.9;62.2
21;689;2001 april;88.7;50.1;91.2;44.6;84.6;60.9
22;689;2001 mei;66.2;32.1;62.8;23.7;71.9;46.6
23;689;2001 juni;57.3;25.9;55.0;30.7;61.1;19.4
24;689;2001 2e kwartaal;70.7;37.2;69.7;34.1;72.5;42.3
25;689;2001 juli;53.7;10.8;49.1;1.4;61.3;26.4
26;689;2001 augustus;50.5;22.9;50.1;18.3;51.3;31.1
27;689;2001 september;56.6;27.2;57.5;23.7;55.3;33.7
28;689;2001 3e kwartaal;53.6;19.9;52.2;14.1;56.0;30.2
29;689;2001 oktober;64.4;-5.9;60.7;-12.4;70.6;5.2
30;689;2001 november;95.3;3.9;102.0;4.2;84.3;3.2
31;689;2001 december;112.0;12.9;124.1;12.3;91.9;14.5
32;689;2001 4e kwartaal;90.6;4.7;95.6;3.3;82.3;7.8
33;689;2001;82.4;26.1;84.9;22.1;78.2;34.1
34;689;2002 januari;118.1;-9.3;130.3;-4.7;97.8;-18.1
35;689;2002 februari;90.4;-12.9;99.4;-10.4;75.4;-17.9
36;689;2002 maart;85.1;-22.2;92.8;-21.6;72.4;-23.4
37;689;2002 1e kwartaal;97.9;-14.5;107.5;-11.9;81.9;-19.7
38;689;2002 april;72.0;-18.9;77.0;-15.6;63.7;-24.7
39;689;2002 mei;58.5;-11.6;58.3;-7.2;58.9;-18.0
40;689;2002 juni;48.5;-15.4;46.0;-16.5;52.7;-13.7
41;689;2002 2e kwartaal;59.7;-15.7;60.4;-13.3;58.4;-19.4
42;689;2002 juli;49.5;-7.9;44.8;-8.8;57.2;-6.7
43;689;2002 augustus;41.3;-18.3;38.4;-23.3;46.1;-10.2
44;689;2002 september;50.3;-11.1;48.7;-15.3;53.1;-4.0
45;689;2002 3e kwartaal;47.0;-12.3;44.0;-15.8;52.1;-6.9
46;689;2002 oktober;82.0;27.2;80.9;33.2;83.7;18.5
47;689;2002 november;88.1;-7.5;93.1;-8.7;80.0;-5.1
48;689;2002 december;110.9;-0.9;120.0;-3.3;95.9;4.3
49;689;2002 4e kwartaal;93.7;3.4;98.0;2.5;86.5;5.2
50;689;2002;74.6;-9.5;77.4;-8.8;69.8;-10.8
51;689;2003 januari;137.0;16.1;154.2;18.3;108.5;11.0
52;689;2003 februari;122.7;35.8;132.7;33.5;106.1;40.8
53;689;2003 maart;94.6;11.1;98.3;6.0;88.4;22.1
54;689;2003 1e kwartaal;118.1;20.7;128.4;19.4;101.0;23.4
55;689;2003 april;73.9;2.7;80.5;4.5;63.1;-0.9
56;689;2003 mei;56.0;-4.3;58.2;0.0;52.3;-11.2
57;689;2003 juni;41.4;-14.7;35.9;-21.9;50.5;-4.1
58;689;2003 2e kwartaal;57.1;-4.3;58.2;-3.7;55.3;-5.3
59;689;2003 juli;42.0;-15.0;36.8;-17.9;50.7;-11.4
60;689;2003 augustus;39.1;-5.3;35.3;-8.2;45.5;-1.2
61;689;2003 september;50.3;-0.1;50.1;3.0;50.6;-4.7
62;689;2003 3e kwartaal;43.8;-6.8;40.7;-7.4;49.0;-6.1
63;689;2003 oktober;93.0;13.5;100.3;24.0;80.9;-3.4
64;689;2003 november;95.6;8.4;104.4;12.2;80.9;1.1
65;689;2003 december;116.8;5.3;128.9;7.5;96.7;0.8
66;689;2003 4e kwartaal;101.8;8.7;111.2;13.5;86.2;-0.5
67;689;2003;80.2;7.6;84.6;9.3;72.9;4.4
68;689;2004 januari;131.0;-4.4;148.3;-3.8;102.3;-5.8
69;689;2004 februari;114.8;-6.4;128.1;-3.5;92.8;-12.6
70;689;2004 maart;104.1;10.0;111.4;13.3;92.0;4.1
71;689;2004 1e kwartaal;116.6;-1.3;129.2;0.6;95.7;-5.3
72;689;2004 april;74.4;0.6;81.8;1.7;62.0;-1.7
73;689;2004 mei;57.5;2.6;54.5;-6.5;62.5;19.4
74;689;2004 juni;50.6;22.4;43.4;21.0;62.6;24.0
75;689;2004 2e kwartaal;60.8;6.5;59.9;2.9;62.4;12.9
76;689;2004 juli;51.2;21.8;49.2;33.7;54.4;7.4
77;689;2004 augustus;40.2;2.8;35.1;-0.3;48.6;6.9
78;689;2004 september;60.8;20.8;58.6;16.9;64.3;27.2
79;689;2004 3e kwartaal;50.7;15.8;47.7;17.0;55.8;14.0
80;689;2004 oktober;80.7;-13.2;81.5;-18.8;79.5;-1.6
81;689;2004 november;108.3;13.3;111.5;6.7;103.0;27.3
82;689;2004 december;126.0;7.8;125.0;-3.1;127.7;32.0
83;689;2004 4e kwartaal;105.0;3.1;106.0;-4.7;103.4;20.0
84;689;2004;83.3;3.8;85.7;1.2;79.3;8.9
85;689;2005 januari;144.0;10.0;160.3;8.1;117.0;14.4
86;689;2005 februari;130.4;13.6;139.2;8.7;115.8;24.8
87;689;2005 maart;128.7;23.6;140.7;26.4;108.6;18.1
88;689;2005 1e kwartaal;134.4;15.2;146.7;13.5;113.8;18.9
89;689;2005 april;90.3;21.4;89.5;9.3;91.7;47.8
90;689;2005 mei;71.1;23.8;68.0;24.8;76.4;22.3
91;689;2005 juni;68.2;34.6;61.2;41.0;79.7;27.3
92;689;2005 2e kwartaal;76.5;25.8;72.9;21.7;82.6;32.4
93;689;2005 juli;50.6;-1.1;37.6;-23.5;72.2;32.6
94;689;2005 augustus;55.4;37.8;49.3;40.3;65.6;34.9
95;689;2005 september;65.4;7.7;63.8;8.8;68.1;6.0
96;689;2005 3e kwartaal;57.2;12.7;50.2;5.4;68.7;23.0
97;689;2005 oktober;85.6;6.1;82.8;1.6;90.4;13.7
98;689;2005 november;134.6;24.4;130.0;16.6;142.4;38.3
99;689;2005 december;175.5;39.3;177.9;42.3;171.6;34.4
100;689;2005 4e kwartaal;131.9;25.7;130.2;22.9;134.8;30.4
101;689;2005;100.0;20.1;100.0;16.7;100.0;26.0
102;689;2006 januari;199.2;38.3;203.5;26.9;192.0;64.1
103;689;2006 februari;178.3;36.7;181.6;30.5;172.9;49.3
104;689;2006 maart;184.1;43.0;183.9;30.6;184.4;69.7
105;689;2006 1e kwartaal;187.2;39.3;189.7;29.2;183.1;60.8
106;689;2006 april;133.3;47.6;130.8;46.2;137.5;49.9
107;689;2006 mei;92.5;29.9;82.3;21.0;109.4;43.1
108;689;2006 juni;83.5;22.5;81.2;32.7;87.3;9.6
109;689;2006 2e kwartaal;103.1;34.7;98.1;34.6;111.4;34.8
110;689;2006 juli;76.3;50.7;67.3;78.8;91.2;26.4
111;689;2006 augustus;69.0;24.4;62.3;26.4;80.0;21.9
112;689;2006 september;78.4;19.9;76.9;20.4;81.0;18.9
113;689;2006 3e kwartaal;74.6;30.4;68.8;36.9;84.1;22.5
114;689;2006 oktober;95.8;11.8;98.2;18.7;91.8;1.5
115;689;2006 november;135.6;0.7;138.0;6.2;131.7;-7.5
116;689;2006 december;167.4;-4.6;164.8;-7.3;171.6;0.0
117;689;2006 4e kwartaal;132.9;0.8;133.7;2.7;131.7;-2.3
118;689;2006;124.4;24.4;122.5;22.5;127.6;27.6
