ID;Transacties;InstitutioneleSectoren;Perioden;Overheidsinkomsten_1
0;Totaal overheidsinkomsten;Overheid;1995;152021
1;Totaal overheidsinkomsten;Overheid;1996;159580
2;Totaal overheidsinkomsten;Overheid;1997;165801
3;Totaal overheidsinkomsten;Overheid;1998;173893
4;Totaal overheidsinkomsten;Overheid;1999 1e kwartaal;45271
5;Totaal overheidsinkomsten;Overheid;1999 2e kwartaal;47052
6;Totaal overheidsinkomsten;Overheid;1999 3e kwartaal;44465
7;Totaal overheidsinkomsten;Overheid;1999 4e kwartaal;50422
8;Totaal overheidsinkomsten;Overheid;1999;187210
9;Totaal overheidsinkomsten;Overheid;2000 1e kwartaal;46703
10;Totaal overheidsinkomsten;Overheid;2000 2e kwartaal;52048
11;Totaal overheidsinkomsten;Overheid;2000 3e kwartaal;46827
12;Totaal overheidsinkomsten;Overheid;2000 4e kwartaal;54951
13;Totaal overheidsinkomsten;Overheid;2000;200529
14;Totaal overheidsinkomsten;Overheid;2001 1e kwartaal;50298
15;Totaal overheidsinkomsten;Overheid;2001 2e kwartaal;54464
16;Totaal overheidsinkomsten;Overheid;2001 3e kwartaal;50029
17;Totaal overheidsinkomsten;Overheid;2001 4e kwartaal;55808
18;Totaal overheidsinkomsten;Overheid;2001;210599
19;Totaal overheidsinkomsten;Overheid;2002 1e kwartaal;52224
20;Totaal overheidsinkomsten;Overheid;2002 2e kwartaal;55237
21;Totaal overheidsinkomsten;Overheid;2002 3e kwartaal;49831
22;Totaal overheidsinkomsten;Overheid;2002 4e kwartaal;56698
23;Totaal overheidsinkomsten;Overheid;2002;213990
24;Totaal overheidsinkomsten;Overheid;2003 1e kwartaal;53758
25;Totaal overheidsinkomsten;Overheid;2003 2e kwartaal;56453
26;Totaal overheidsinkomsten;Overheid;2003 3e kwartaal;50169
27;Totaal overheidsinkomsten;Overheid;2003 4e kwartaal;58763
28;Totaal overheidsinkomsten;Overheid;2003;219143
29;Totaal overheidsinkomsten;Overheid;2004 1e kwartaal;54398
30;Totaal overheidsinkomsten;Overheid;2004 2e kwartaal;57918
31;Totaal overheidsinkomsten;Overheid;2004 3e kwartaal;53778
32;Totaal overheidsinkomsten;Overheid;2004 4e kwartaal;61675
33;Totaal overheidsinkomsten;Overheid;2004;227769
34;Totaal overheidsinkomsten;Overheid;2005 1e kwartaal;56288
35;Totaal overheidsinkomsten;Overheid;2005 2e kwartaal;58897
36;Totaal overheidsinkomsten;Overheid;2005 3e kwartaal;56371
37;Totaal overheidsinkomsten;Overheid;2005 4e kwartaal;65764
38;Totaal overheidsinkomsten;Overheid;2005;237320
39;Totaal overheidsinkomsten;Overheid;2006 1e kwartaal;61470
40;Totaal overheidsinkomsten;Overheid;2006 2e kwartaal;64698
41;Totaal overheidsinkomsten;Overheid;2006 3e kwartaal;61142
42;Totaal overheidsinkomsten;Overheid;2006 4e kwartaal;71113
43;Totaal overheidsinkomsten;Overheid;2006;258423
44;Totaal overheidsinkomsten;Overheid;2007 1e kwartaal;65792
45;Totaal overheidsinkomsten;Overheid;2007 2e kwartaal;66362
46;Totaal overheidsinkomsten;Overheid;2007 3e kwartaal;60347
47;Totaal overheidsinkomsten;Overheid;2007 4e kwartaal;75347
48;Totaal overheidsinkomsten;Overheid;2007;267848
49;Totaal overheidsinkomsten;Overheid;2008 1e kwartaal;72319
50;Totaal overheidsinkomsten;Overheid;2008 2e kwartaal;71506
51;Totaal overheidsinkomsten;Overheid;2008 3e kwartaal;65395
52;Totaal overheidsinkomsten;Overheid;2008 4e kwartaal;79017
53;Totaal overheidsinkomsten;Overheid;2008;288237
54;Totaal overheidsinkomsten;Overheid;2009 1e kwartaal;70367
55;Totaal overheidsinkomsten;Overheid;2009 2e kwartaal;67246
56;Totaal overheidsinkomsten;Overheid;2009 3e kwartaal;62281
57;Totaal overheidsinkomsten;Overheid;2009 4e kwartaal;73134
58;Totaal overheidsinkomsten;Overheid;2009;273028
59;Totaal overheidsinkomsten;Overheid;2010 1e kwartaal;70155
60;Totaal overheidsinkomsten;Overheid;2010 2e kwartaal;71175
61;Totaal overheidsinkomsten;Overheid;2010 3e kwartaal;62043
62;Totaal overheidsinkomsten;Overheid;2010 4e kwartaal;76918
63;Totaal overheidsinkomsten;Overheid;2010;280291
64;Totaal overheidsinkomsten;Overheid;2011 1e kwartaal;74184
65;Totaal overheidsinkomsten;Overheid;2011 2e kwartaal;70330
66;Totaal overheidsinkomsten;Overheid;2011 3e kwartaal;65822
67;Totaal overheidsinkomsten;Overheid;2011 4e kwartaal;74085
68;Totaal overheidsinkomsten;Overheid;2011;284421
69;Totaal overheidsinkomsten;Overheid;2012 1e kwartaal;74756
70;Totaal overheidsinkomsten;Overheid;2012 2e kwartaal;72547
71;Totaal overheidsinkomsten;Overheid;2012 3e kwartaal;64569
72;Totaal overheidsinkomsten;Overheid;2012 4e kwartaal;76470
73;Totaal overheidsinkomsten;Overheid;2012;288342
74;Totaal overheidsinkomsten;Overheid;2013 1e kwartaal;78121
75;Totaal overheidsinkomsten;Overheid;2013 2e kwartaal;75161
76;Totaal overheidsinkomsten;Overheid;2013 3e kwartaal;68108
77;Totaal overheidsinkomsten;Overheid;2013 4e kwartaal;75993
78;Totaal overheidsinkomsten;Overheid;2013;297383
79;Totaal overheidsinkomsten;Overheid;2014 1e kwartaal;77545
80;Totaal overheidsinkomsten;Overheid;2014 2e kwartaal;76612
81;Totaal overheidsinkomsten;Overheid;2014 3e kwartaal;69109
82;Totaal overheidsinkomsten;Overheid;2014 4e kwartaal;78707
83;Totaal overheidsinkomsten;Overheid;2014;301973
84;Totaal overheidsinkomsten;Overheid;2015 1e kwartaal;79682
85;Totaal overheidsinkomsten;Overheid;2015 2e kwartaal;76208
86;Totaal overheidsinkomsten;Overheid;2015 3e kwartaal;69192
87;Totaal overheidsinkomsten;Overheid;2015 4e kwartaal;78873
88;Totaal overheidsinkomsten;Overheid;2015;303955
89;Totaal overheidsinkomsten;Overheid;2016 1e kwartaal;81337
90;Totaal overheidsinkomsten;Overheid;2016 2e kwartaal;81394
91;Totaal overheidsinkomsten;Overheid;2016 3e kwartaal;74151
92;Totaal overheidsinkomsten;Overheid;2016 4e kwartaal;81032
93;Totaal overheidsinkomsten;Overheid;2016;317914
94;Totaal overheidsinkomsten;Overheid;2017 1e kwartaal;86264
95;Totaal overheidsinkomsten;Overheid;2017 2e kwartaal;82912
96;Totaal overheidsinkomsten;Overheid;2017 3e kwartaal;76714
97;Totaal overheidsinkomsten;Overheid;2017 4e kwartaal;85053
98;Totaal overheidsinkomsten;Overheid;2017;330943
99;Totaal overheidsinkomsten;Overheid;2018 1e kwartaal;91780
100;Totaal overheidsinkomsten;Overheid;2018 2e kwartaal;87169
101;Totaal overheidsinkomsten;Overheid;2018 3e kwartaal;80215
102;Totaal overheidsinkomsten;Overheid;2018 4e kwartaal;86582
103;Totaal overheidsinkomsten;Overheid;2018;345746
104;Totaal overheidsinkomsten;Overheid;2019 1e kwartaal;97746
105;Totaal overheidsinkomsten;Overheid;2019 2e kwartaal;90868
106;Totaal overheidsinkomsten;Overheid;2019 3e kwartaal;83878
107;Totaal overheidsinkomsten;Overheid;2019 4e kwartaal;91611
108;Totaal overheidsinkomsten;Overheid;2019;364103
109;Totaal overheidsinkomsten;Overheid;2020 1e kwartaal;98148
110;Totaal overheidsinkomsten;Overheid;2020 2e kwartaal;84375
111;Totaal overheidsinkomsten;Overheid;2020 3e kwartaal;83727
112;Totaal overheidsinkomsten;Overheid;2020 4e kwartaal;94670
113;Totaal overheidsinkomsten;Overheid;2020;360920
114;Totaal overheidsinkomsten;Overheid;2021 1e kwartaal;98856
115;Totaal overheidsinkomsten;Overheid;2021 2e kwartaal;96255
116;Totaal overheidsinkomsten;Overheid;2021 3e kwartaal;90143
117;Totaal overheidsinkomsten;Overheid;2021 4e kwartaal;104318
118;Totaal overheidsinkomsten;Overheid;2021;389572
119;Totaal overheidsinkomsten;Overheid;2022 1e kwartaal;105701
120;Totaal overheidsinkomsten;Overheid;2022 2e kwartaal;111007
121;Totaal overheidsinkomsten;Overheid;2022 3e kwartaal;99115
122;Totaal overheidsinkomsten;Overheid;2022 4e kwartaal;114038
123;Totaal overheidsinkomsten;Overheid;2022;429861
124;Totaal overheidsinkomsten;Overheid;2023 1e kwartaal;111204
125;Totaal overheidsinkomsten;Overheid;2023 2e kwartaal;119572
126;Totaal overheidsinkomsten;Overheid;2023 3rd kwartaal;106308
127;Totaal overheidsinkomsten;Overheid;2023 4e kwartaal;120313
128;Totaal overheidsinkomsten;Overheid;2023;457397
129;Totaal overheidsinkomsten;Overheid;2024 1e kwartaal;117135
130;Totaal overheidsinkomsten;Overheid;2024 2e kwartaal;129268
131;Totaal overheidsinkomsten;Overheid;2024 3e kwartaal;116141
132;Totaal overheidsinkomsten;Overheid;2024 4e kwartaal;124792
133;Totaal overheidsinkomsten;Overheid;2024;487336
134;Totaal overheidsinkomsten;Centrale overheid;1995;84734
135;Totaal overheidsinkomsten;Centrale overheid;1996;91434
136;Totaal overheidsinkomsten;Centrale overheid;1997;94234
137;Totaal overheidsinkomsten;Centrale overheid;1998;98274
138;Totaal overheidsinkomsten;Centrale overheid;1999 1e kwartaal;25083
139;Totaal overheidsinkomsten;Centrale overheid;1999 2e kwartaal;25303
140;Totaal overheidsinkomsten;Centrale overheid;1999 3e kwartaal;25175
141;Totaal overheidsinkomsten;Centrale overheid;1999 4e kwartaal;29238
142;Totaal overheidsinkomsten;Centrale overheid;1999;104799
143;Totaal overheidsinkomsten;Centrale overheid;2000 1e kwartaal;25742
144;Totaal overheidsinkomsten;Centrale overheid;2000 2e kwartaal;28414
145;Totaal overheidsinkomsten;Centrale overheid;2000 3e kwartaal;26362
146;Totaal overheidsinkomsten;Centrale overheid;2000 4e kwartaal;32170
147;Totaal overheidsinkomsten;Centrale overheid;2000;112688
148;Totaal overheidsinkomsten;Centrale overheid;2001 1e kwartaal;28336
149;Totaal overheidsinkomsten;Centrale overheid;2001 2e kwartaal;31752
150;Totaal overheidsinkomsten;Centrale overheid;2001 3e kwartaal;30016
151;Totaal overheidsinkomsten;Centrale overheid;2001 4e kwartaal;35420
152;Totaal overheidsinkomsten;Centrale overheid;2001;125524
153;Totaal overheidsinkomsten;Centrale overheid;2002 1e kwartaal;29630
154;Totaal overheidsinkomsten;Centrale overheid;2002 2e kwartaal;33763
155;Totaal overheidsinkomsten;Centrale overheid;2002 3e kwartaal;28975
156;Totaal overheidsinkomsten;Centrale overheid;2002 4e kwartaal;35369
157;Totaal overheidsinkomsten;Centrale overheid;2002;127737
158;Totaal overheidsinkomsten;Centrale overheid;2003 1e kwartaal;29808
159;Totaal overheidsinkomsten;Centrale overheid;2003 2e kwartaal;32128
160;Totaal overheidsinkomsten;Centrale overheid;2003 3e kwartaal;29168
161;Totaal overheidsinkomsten;Centrale overheid;2003 4e kwartaal;36311
162;Totaal overheidsinkomsten;Centrale overheid;2003;127415
163;Totaal overheidsinkomsten;Centrale overheid;2004 1e kwartaal;30168
164;Totaal overheidsinkomsten;Centrale overheid;2004 2e kwartaal;34420
165;Totaal overheidsinkomsten;Centrale overheid;2004 3e kwartaal;31167
166;Totaal overheidsinkomsten;Centrale overheid;2004 4e kwartaal;36545
167;Totaal overheidsinkomsten;Centrale overheid;2004;132300
168;Totaal overheidsinkomsten;Centrale overheid;2005 1e kwartaal;32015
169;Totaal overheidsinkomsten;Centrale overheid;2005 2e kwartaal;35674
170;Totaal overheidsinkomsten;Centrale overheid;2005 3e kwartaal;33493
171;Totaal overheidsinkomsten;Centrale overheid;2005 4e kwartaal;41637
172;Totaal overheidsinkomsten;Centrale overheid;2005;142819
173;Totaal overheidsinkomsten;Centrale overheid;2006 1e kwartaal;35114
174;Totaal overheidsinkomsten;Centrale overheid;2006 2e kwartaal;38802
175;Totaal overheidsinkomsten;Centrale overheid;2006 3e kwartaal;36146
176;Totaal overheidsinkomsten;Centrale overheid;2006 4e kwartaal;45395
177;Totaal overheidsinkomsten;Centrale overheid;2006;155457
178;Totaal overheidsinkomsten;Centrale overheid;2007 1e kwartaal;38423
179;Totaal overheidsinkomsten;Centrale overheid;2007 2e kwartaal;40522
180;Totaal overheidsinkomsten;Centrale overheid;2007 3e kwartaal;35596
181;Totaal overheidsinkomsten;Centrale overheid;2007 4e kwartaal;48353
182;Totaal overheidsinkomsten;Centrale overheid;2007;162894
183;Totaal overheidsinkomsten;Centrale overheid;2008 1e kwartaal;42312
184;Totaal overheidsinkomsten;Centrale overheid;2008 2e kwartaal;43621
185;Totaal overheidsinkomsten;Centrale overheid;2008 3e kwartaal;42903
186;Totaal overheidsinkomsten;Centrale overheid;2008 4e kwartaal;47554
187;Totaal overheidsinkomsten;Centrale overheid;2008;176390
188;Totaal overheidsinkomsten;Centrale overheid;2009 1e kwartaal;41408
189;Totaal overheidsinkomsten;Centrale overheid;2009 2e kwartaal;42508
190;Totaal overheidsinkomsten;Centrale overheid;2009 3e kwartaal;36252
191;Totaal overheidsinkomsten;Centrale overheid;2009 4e kwartaal;45625
192;Totaal overheidsinkomsten;Centrale overheid;2009;165793
193;Totaal overheidsinkomsten;Centrale overheid;2010 1e kwartaal;41881
194;Totaal overheidsinkomsten;Centrale overheid;2010 2e kwartaal;43433
195;Totaal overheidsinkomsten;Centrale overheid;2010 3e kwartaal;35947
196;Totaal overheidsinkomsten;Centrale overheid;2010 4e kwartaal;48289
197;Totaal overheidsinkomsten;Centrale overheid;2010;169550
198;Totaal overheidsinkomsten;Centrale overheid;2011 1e kwartaal;44280
199;Totaal overheidsinkomsten;Centrale overheid;2011 2e kwartaal;44002
200;Totaal overheidsinkomsten;Centrale overheid;2011 3e kwartaal;38063
201;Totaal overheidsinkomsten;Centrale overheid;2011 4e kwartaal;43530
202;Totaal overheidsinkomsten;Centrale overheid;2011;169875
203;Totaal overheidsinkomsten;Centrale overheid;2012 1e kwartaal;44506
204;Totaal overheidsinkomsten;Centrale overheid;2012 2e kwartaal;44324
205;Totaal overheidsinkomsten;Centrale overheid;2012 3e kwartaal;36756
206;Totaal overheidsinkomsten;Centrale overheid;2012 4e kwartaal;44271
207;Totaal overheidsinkomsten;Centrale overheid;2012;169857
208;Totaal overheidsinkomsten;Centrale overheid;2013 1e kwartaal;46855
209;Totaal overheidsinkomsten;Centrale overheid;2013 2e kwartaal;45579
210;Totaal overheidsinkomsten;Centrale overheid;2013 3e kwartaal;38962
211;Totaal overheidsinkomsten;Centrale overheid;2013 4e kwartaal;44784
212;Totaal overheidsinkomsten;Centrale overheid;2013;176180
213;Totaal overheidsinkomsten;Centrale overheid;2014 1e kwartaal;47094
214;Totaal overheidsinkomsten;Centrale overheid;2014 2e kwartaal;48039
215;Totaal overheidsinkomsten;Centrale overheid;2014 3e kwartaal;40187
216;Totaal overheidsinkomsten;Centrale overheid;2014 4e kwartaal;45640
217;Totaal overheidsinkomsten;Centrale overheid;2014;180960
218;Totaal overheidsinkomsten;Centrale overheid;2015 1e kwartaal;48211
219;Totaal overheidsinkomsten;Centrale overheid;2015 2e kwartaal;50585
220;Totaal overheidsinkomsten;Centrale overheid;2015 3e kwartaal;39869
221;Totaal overheidsinkomsten;Centrale overheid;2015 4e kwartaal;44441
222;Totaal overheidsinkomsten;Centrale overheid;2015;183106
223;Totaal overheidsinkomsten;Centrale overheid;2016 1e kwartaal;48445
