ID;Perioden;LoonkostenPerUur_1;IndicesLoonkostenPerUur1992100_2
0;1992;19.11;100.0
1;1993 1e kwartaal;19.59;102.5
2;1993 2e kwartaal;19.96;104.5
3;1993 3e kwartaal;20.05;104.9
4;1993 4e kwartaal;20.11;105.3
5;1993;19.93;104.3
6;1994 1e kwartaal;20.33;106.4
7;1994 2e kwartaal;20.38;106.6
8;1994 3e kwartaal;20.17;105.6
9;1994 4e kwartaal;20.17;105.5
10;1994;20.25;106.0
11;1995 1e kwartaal;20.47;107.1
12;1995 2e kwartaal;20.6;107.8
13;1995 3e kwartaal;20.79;108.8
14;1995 4e kwartaal;20.78;108.8
15;1995;20.66;108.1
16;1996 1e kwartaal;20.73;108.5
17;1996 2e kwartaal;21.12;110.5
18;1996 3e kwartaal;21.27;111.3
19;1996 4e kwartaal;21.43;112.2
20;1996;21.14;110.6
21;1997 1e kwartaal;21.49;112.5
22;1997 2e kwartaal;21.51;112.6
23;1997 3e kwartaal;21.97;115.0
24;1997 4e kwartaal;22.06;115.5
25;1997;21.76;113.9
26;1998 1e kwartaal;22.27;116.5
27;1998 2e kwartaal;22.31;116.7
28;1998 3e kwartaal;22.95;120.1
29;1998 4e kwartaal;22.95;120.1
30;1998;22.62;118.4
31;1999 1e kwartaal;23.03;120.4
32;1999 2e kwartaal;23.13;121.1
33;1999 3e kwartaal;23.86;124.9
34;1999 4e kwartaal;23.95;125.3
35;1999;23.49;122.9
36;2000 1e kwartaal;24.06;125.9
37;2000 2e kwartaal;24.47;128.0
38;2000 3e kwartaal;24.83;130.0
39;2000 4e kwartaal;25.24;132.1
40;2000;24.65;129.0
41;2001 1e kwartaal;25.56;133.8
42;2001 2e kwartaal;25.79;135.0
43;2001 3e kwartaal;26.1;136.6
44;2001 4e kwartaal;26.5;138.7
45;2001;25.99;136.0
46;2002 1e kwartaal;27.52;144.0
47;2002 2e kwartaal;27.71;145.0
48;2002 3e kwartaal;27.92;146.1
49;2002 4e kwartaal;27.94;146.2
50;2002;27.77;145.3
51;2003 1e kwartaal;28.56;149.5
52;2003 2e kwartaal;28.9;151.3
53;2003 3e kwartaal;28.96;151.5
54;2003 4e kwartaal;28.98;151.7
55;2003;28.85;151.0
56;2004 1e kwartaal;29.04;152.0
57;2004 2e kwartaal;29.59;154.8
58;2004 3e kwartaal;29.55;154.7
59;2004 4e kwartaal;30.18;157.9
