ID;SoortKoopwoning;Perioden;PrijsindexVerkoopprijzen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;Aantal_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8
0;Totaal koopwoningen;2015 1e kwartaal;98.3;;;39558;;;226552;8962
1;Totaal koopwoningen;2015 2e kwartaal;99.1;0.9;;47373;19.8;;232740;11026
2;Totaal koopwoningen;2015 3e kwartaal;101.1;2.0;;56959;20.2;;239068;13617
3;Totaal koopwoningen;2015 4e kwartaal;101.4;0.3;;60788;6.7;;241532;14682
4;Totaal koopwoningen;2015;100.0;;;204678;;;235916;48287
5;Totaal koopwoningen;2016 1e kwartaal;102.8;1.3;4.6;48466;-20.3;22.5;242680;11762
6;Totaal koopwoningen;2016 2e kwartaal;103.6;0.7;4.5;57155;17.9;20.6;246016;14061
7;Totaal koopwoningen;2016 3e kwartaal;106.2;2.5;5.0;67257;17.7;18.1;253744;17066
8;Totaal koopwoningen;2016 4e kwartaal;107.5;1.3;6.0;69653;3.6;14.6;253540;17660
9;Totaal koopwoningen;2016;105.0;5.0;5.0;242531;18.5;18.5;249653;60549
10;Totaal koopwoningen;2017 1e kwartaal;109.7;2.0;6.7;62700;-10.0;29.4;261617;16403
11;Totaal koopwoningen;2017 2e kwartaal;111.4;1.6;7.5;65905;5.1;15.3;266807;17584
12;Totaal koopwoningen;2017 3e kwartaal;114.0;2.4;7.4;68113;3.4;1.3;273040;18598
13;Totaal koopwoningen;2017 4e kwartaal;116.7;2.3;8.5;76349;12.1;9.6;276548;21114
14;Totaal koopwoningen;2017;112.9;7.5;7.5;273067;12.6;12.6;269894;73699
15;Totaal koopwoningen;2018 1e kwartaal;119.9;2.8;9.3;58256;-23.7;-7.1;286690;16701
16;Totaal koopwoningen;2018 2e kwartaal;121.7;1.5;9.2;59998;3.0;-9.0;292680;17560
17;Totaal koopwoningen;2018 3e kwartaal;125.6;3.2;10.1;63074;5.1;-7.4;302092;19054
18;Totaal koopwoningen;2018 4e kwartaal;127.3;1.4;9.1;65292;3.5;-14.5;304225;19863
19;Totaal koopwoningen;2018;123.6;9.5;9.5;246620;-9.7;-9.7;296729;73179
20;Totaal koopwoningen;2019 1e kwartaal;129.7;1.9;8.1;53176;-18.6;-8.7;310410;16468
21;Totaal koopwoningen;2019 2e kwartaal;131.8;1.6;8.3;58876;10.7;-1.9;314017;18431
22;Totaal koopwoningen;2019 3e kwartaal;133.4;1.3;6.3;64753;10.0;2.7;320727;20717
23;Totaal koopwoningen;2019 4e kwartaal;135.6;1.6;6.5;66721;3.0;2.2;324518;21586
24;Totaal koopwoningen;2019;132.6;7.3;7.3;243526;-1.3;-1.3;317892;77203
25;Totaal koopwoningen;2020 1e kwartaal;137.8;1.7;6.3;58100;-12.9;9.3;335451;19496
26;Totaal koopwoningen;2020 2e kwartaal;141.1;2.4;7.1;62924;8.3;6.9;338246;21287
27;Totaal koopwoningen;2020 3e kwartaal;144.6;2.5;8.3;69290;10.1;7.0;347703;24092
28;Totaal koopwoningen;2020 4e kwartaal;147.4;2.0;8.7;77543;11.9;16.2;353419;27405
29;Totaal koopwoningen;2020;142.7;7.6;7.6;267857;10.0;10.0;344499;92281
30;Totaal koopwoningen;2021 1e kwartaal;153.3;4.0;11.2;73397;-5.3;26.3;385700;28308
31;Totaal koopwoningen;2021 2e kwartaal;159.5;4.0;13.0;61572;-16.1;-2.1;377048;23215
32;Totaal koopwoningen;2021 3e kwartaal;168.8;5.9;16.8;61889;0.5;-10.7;410121;25381
33;Totaal koopwoningen;2021 4e kwartaal;175.2;3.8;18.8;63551;2.7;-18.0;414798;26361
34;Totaal koopwoningen;2021;164.2;15.0;15.0;260409;-2.8;-2.8;396547;103264
35;Totaal koopwoningen;2022 1e kwartaal;183.0;4.4;19.3;50875;-19.9;-30.7;435967;22180
36;Totaal koopwoningen;2022 2e kwartaal;188.3;2.9;18.1;54971;8.1;-10.7;440732;24227
37;Totaal koopwoningen;2022 3e kwartaal;189.3;0.5;12.1;55800;1.5;-9.8;446123;24894
38;Totaal koopwoningen;2022 4e kwartaal;184.5;-2.5;5.3;56658;1.5;-10.8;420781;23841
39;Totaal koopwoningen;2022;186.3;13.4;13.4;218304;-16.2;-16.2;435821;95142
40;Totaal koopwoningen;2023 1e kwartaal;182.7;-1.0;-0.1;43739;-22.8;-14.0;423342;18517
41;Totaal koopwoningen;2023 2e kwartaal;180.3;-1.3;-4.3;47819;9.3;-13.0;412810;19740
42;Totaal koopwoningen;2023 3e kwartaal;182.2;1.1;-3.8;50790;6.2;-9.0;423935;21532
43;Nieuwbouw koopwoningen;2015 1e kwartaal;96.8;;;5031;;;260612;1311
44;Nieuwbouw koopwoningen;2015 2e kwartaal;98.2;1.4;;6651;32.2;;265501;1766
45;Nieuwbouw koopwoningen;2015 3e kwartaal;103.0;4.8;;6350;-4.5;;285032;1810
46;Nieuwbouw koopwoningen;2015 4e kwartaal;102.0;-0.9;;8353;31.5;;282289;2358
47;Nieuwbouw koopwoningen;2015;100.0;;;26385;;;274584;7245
48;Nieuwbouw koopwoningen;2016 1e kwartaal;103.5;1.5;6.9;5569;-33.3;10.7;291564;1624
49;Nieuwbouw koopwoningen;2016 2e kwartaal;102.6;-0.9;4.4;6840;22.8;2.8;293636;2008
50;Nieuwbouw koopwoningen;2016 3e kwartaal;104.9;2.3;1.9;6550;-4.2;3.1;292211;1914
51;Nieuwbouw koopwoningen;2016 4e kwartaal;107.5;2.5;5.4;8779;34.0;5.1;299347;2628
52;Nieuwbouw koopwoningen;2016;104.6;4.6;4.6;27738;5.1;5.1;294691;8174
53;Nieuwbouw koopwoningen;2017 1e kwartaal;109.9;2.2;6.1;6789;-22.7;21.9;299628;2034
54;Nieuwbouw koopwoningen;2017 2e kwartaal;109.0;-0.8;6.3;7535;11.0;10.2;315097;2374
55;Nieuwbouw koopwoningen;2017 3e kwartaal;111.4;2.2;6.2;6722;-10.8;2.6;323970;2178
56;Nieuwbouw koopwoningen;2017 4e kwartaal;118.5;6.4;10.2;10161;51.2;15.7;337812;3433
57;Nieuwbouw koopwoningen;2017;112.2;7.2;7.2;31207;12.5;12.5;321039;10019
58;Nieuwbouw koopwoningen;2018 1e kwartaal;122.5;3.4;11.5;6151;-39.5;-9.4;358958;2208
59;Nieuwbouw koopwoningen;2018 2e kwartaal;121.8;-0.6;11.7;7068;14.9;-6.2;352891;2494
60;Nieuwbouw koopwoningen;2018 3e kwartaal;129.6;6.4;16.3;6153;-12.9;-8.5;394101;2425
61;Nieuwbouw koopwoningen;2018 4e kwartaal;130.6;0.7;10.2;8757;42.3;-13.8;375337;3287
62;Nieuwbouw koopwoningen;2018;126.1;12.4;12.4;28129;-9.9;-9.9;370220;10414
63;Nieuwbouw koopwoningen;2019 1e kwartaal;134.2;2.8;9.5;5745;-34.4;-6.6;379188;2178
64;Nieuwbouw koopwoningen;2019 2e kwartaal;141.3;5.3;16.0;6370;10.9;-9.9;399642;2546
65;Nieuwbouw koopwoningen;2019 3e kwartaal;137.8;-2.5;6.3;5818;-8.7;-5.4;387714;2256
66;Nieuwbouw koopwoningen;2019 4e kwartaal;141.9;3.0;8.7;6998;20.3;-20.1;414515;2901
67;Nieuwbouw koopwoningen;2019;138.8;10.0;10.0;24931;-11.4;-11.4;396304;9881
68;Nieuwbouw koopwoningen;2020 1e kwartaal;140.4;-1.1;4.6;6521;-6.8;13.5;412543;2690
69;Nieuwbouw koopwoningen;2020 2e kwartaal;147.2;4.8;4.1;8001;22.7;25.6;410117;3280
70;Nieuwbouw koopwoningen;2020 3e kwartaal;151.8;3.2;10.2;7084;-11.5;21.8;419188;2970
71;Nieuwbouw koopwoningen;2020 4e kwartaal;154.2;1.6;8.7;10740;51.6;53.5;425103;4566
72;Nieuwbouw koopwoningen;2020;148.4;6.9;6.9;32346;29.7;29.7;417540;13505
73;Nieuwbouw koopwoningen;2021 1e kwartaal;163.9;6.3;16.8;6770;-37.0;3.8;449744;3045
74;Nieuwbouw koopwoningen;2021 2e kwartaal;166.5;1.6;13.1;8785;29.8;9.8;445159;3911
75;Nieuwbouw koopwoningen;2021 3e kwartaal;170.7;2.6;12.4;8014;-8.8;13.1;471710;3780
76;Nieuwbouw koopwoningen;2021 4e kwartaal;176.2;3.2;14.2;10753;34.2;0.1;474071;5098
77;Nieuwbouw koopwoningen;2021;169.3;14.1;14.1;34322;6.1;6.1;461321;15833
78;Nieuwbouw koopwoningen;2022 1e kwartaal;186.8;6.0;13.9;6952;-35.3;2.7;493961;3434
79;Nieuwbouw koopwoningen;2022 2e kwartaal;193.9;3.8;16.5;7589;9.2;-13.6;513917;3900
80;Nieuwbouw koopwoningen;2022 3e kwartaal;194.0;0.0;13.6;5347;-29.5;-33.3;475202;2541
81;Nieuwbouw koopwoningen;2022 4e kwartaal;187.7;-3.2;6.6;5313;-0.6;-50.6;471370;2504
82;Nieuwbouw koopwoningen;2022;190.6;12.6;12.6;25201;-26.6;-26.6;491227;12379
83;Nieuwbouw koopwoningen;2023 1e kwartaal;193.2;2.9;3.5;3302;-37.9;-52.5;503632;1663
84;Nieuwbouw koopwoningen;2023 2e kwartaal;197.4;2.2;1.8;3319;0.5;-56.3;496780;1649
85;Nieuwbouw koopwoningen;2023 3e kwartaal;197.6;0.1;1.9;3842;15.8;-28.1;500667;1924
86;Bestaande koopwoningen;2015 1e kwartaal;98.6;;;34527;;;221589;7651
87;Bestaande koopwoningen;2015 2e kwartaal;99.4;0.8;;40722;17.9;;227389;9260
88;Bestaande koopwoningen;2015 3e kwartaal;100.7;1.3;;50609;24.3;;233301;11807
89;Bestaande koopwoningen;2015 4e kwartaal;101.3;0.6;;52435;3.6;;235039;12324
90;Bestaande koopwoningen;2015;100.0;;;178293;;;230194;41042
91;Bestaande koopwoningen;2016 1e kwartaal;102.6;1.3;4.1;42897;-18.2;24.2;236333;10138
92;Bestaande koopwoningen;2016 2e kwartaal;103.7;1.0;4.4;50315;17.3;23.6;239542;12053
93;Bestaande koopwoningen;2016 3e kwartaal;106.3;2.5;5.6;60707;20.7;20.0;249593;15152
94;Bestaande koopwoningen;2016 4e kwartaal;107.5;1.1;6.1;60874;0.3;16.1;246934;15032
95;Bestaande koopwoningen;2016;105.0;5.0;5.0;214793;20.5;20.5;243837;52374
96;Bestaande koopwoningen;2017 1e kwartaal;109.6;2.0;6.8;55911;-8.2;30.3;257002;14369
97;Bestaande koopwoningen;2017 2e kwartaal;111.7;1.9;7.7;58370;4.4;16.0;260573;15210
98;Bestaande koopwoningen;2017 3e kwartaal;114.4;2.4;7.6;61391;5.2;1.1;267464;16420
99;Bestaande koopwoningen;2017 4e kwartaal;116.3;1.7;8.2;66188;7.8;8.7;267143;17682
100;Bestaande koopwoningen;2017;113.0;7.6;7.6;241860;12.6;12.6;263295;63680
101;Bestaande koopwoningen;2018 1e kwartaal;119.4;2.7;9.0;52105;-21.3;-6.8;278159;14493
102;Bestaande koopwoningen;2018 2e kwartaal;121.6;1.8;8.8;52930;1.6;-9.3;284639;15066
103;Bestaande koopwoningen;2018 3e kwartaal;124.9;2.7;9.2;56921;7.5;-7.3;292146;16629
104;Bestaande koopwoningen;2018 4e kwartaal;126.7;1.5;9.0;56535;-0.7;-14.6;293210;16577
105;Bestaande koopwoningen;2018;123.2;9.0;9.0;218491;-9.7;-9.7;287267;62765
106;Bestaande koopwoningen;2019 1e kwartaal;128.9;1.7;7.9;47431;-16.1;-9.0;301279;14290
107;Bestaande koopwoningen;2019 2e kwartaal;130.4;1.1;7.2;52506;10.7;-0.8;302538;15885
108;Bestaande koopwoningen;2019 3e kwartaal;132.7;1.8;6.3;58935;12.2;3.5;313256;18462
109;Bestaande koopwoningen;2019 4e kwartaal;134.6;1.4;6.2;59723;1.3;5.6;312871;18686
110;Bestaande koopwoningen;2019;131.7;6.9;6.9;218595;0.0;0.0;307978;67322
111;Bestaande koopwoningen;2020 1e kwartaal;137.5;2.1;6.6;51579;-13.6;8.7;325834;16806
112;Bestaande koopwoningen;2020 2e kwartaal;140.2;2.0;7.5;54923;6.5;4.6;327867;18007
113;Bestaande koopwoningen;2020 3e kwartaal;143.5;2.3;8.1;62206;13.3;5.6;339559;21123
114;Bestaande koopwoningen;2020 4e kwartaal;146.4;2.0;8.8;66803;7.4;11.9;341892;22839
115;Bestaande koopwoningen;2020;141.9;7.8;7.8;235511;7.7;7.7;334488;78776
116;Bestaande koopwoningen;2021 1e kwartaal;151.7;3.6;10.3;66627;-0.3;29.2;379172;25263
117;Bestaande koopwoningen;2021 2e kwartaal;158.4;4.4;13.0;52787;-20.8;-3.9;365702;19304
118;Bestaande koopwoningen;2021 3e kwartaal;168.6;6.4;17.5;53875;2.1;-13.4;400935;21600
119;Bestaande koopwoningen;2021 4e kwartaal;175.1;3.9;19.6;52798;-2.0;-21.0;402726;21263
120;Bestaande koopwoningen;2021;163.4;15.2;15.2;226087;-4.0;-4.0;386714;87431
