ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;Huishoudens_1;Eenpersoonshuishoudens_2;Paren_3;Eenouders_4;OverigeHuishoudens_5
0;Totaal over alle leeftijden;Referentiepersonen;2007;7199519;2556154;4133835;461106;48424
1;Totaal over alle leeftijden;Referentiepersonen;2008;7246923;2599010;4130976;468370;48567
2;Totaal over alle leeftijden;Referentiepersonen;2009;7295896;2642453;4130165;474466;48812
3;Totaal over alle leeftijden;Referentiepersonen;2010;7346498;2686484;4131405;479476;49133
4;Totaal over alle leeftijden;Referentiepersonen;2011;7398130;2730786;4134129;483742;49473
5;Totaal over alle leeftijden;Referentiepersonen;2012;7450228;2775192;4137950;487280;49806
6;Totaal over alle leeftijden;Referentiepersonen;2013;7502024;2819240;4142564;490089;50131
7;Totaal over alle leeftijden;Referentiepersonen;2014;7552532;2862349;4147641;492112;50430
8;Totaal over alle leeftijden;Referentiepersonen;2015;7601347;2904423;4152806;493417;50701
9;Totaal over alle leeftijden;Referentiepersonen;2016;7648479;2945577;4157881;494054;50967
10;Totaal over alle leeftijden;Referentiepersonen;2017;7694052;2986107;4162589;494095;51261
11;Totaal over alle leeftijden;Referentiepersonen;2018;7738052;3026050;4166867;493575;51560
12;Totaal over alle leeftijden;Referentiepersonen;2019;7780465;3065316;4170611;492667;51871
13;Totaal over alle leeftijden;Referentiepersonen;2020;7820761;3103466;4173699;491421;52175
14;Totaal over alle leeftijden;Referentiepersonen;2021;7859060;3140506;4176185;489925;52444
15;Totaal over alle leeftijden;Referentiepersonen;2022;7895835;3176652;4178168;488349;52666
16;Totaal over alle leeftijden;Referentiepersonen;2023;7930416;3211330;4179544;486715;52827
17;Totaal over alle leeftijden;Referentiepersonen;2024;7962405;3244168;4180182;485139;52916
18;Totaal over alle leeftijden;Referentiepersonen;2025;7991619;3275068;4179941;483678;52932
19;Totaal over alle leeftijden;Referentiepersonen;2026;8017990;3304066;4178613;482375;52936
20;Totaal over alle leeftijden;Referentiepersonen;2027;8041427;3331183;4176025;481322;52897
21;Totaal over alle leeftijden;Referentiepersonen;2028;8061842;3356453;4172080;480473;52836
22;Totaal over alle leeftijden;Referentiepersonen;2029;8079240;3379873;4166721;479871;52775
23;Totaal over alle leeftijden;Referentiepersonen;2030;8093559;3401353;4159984;479510;52712
24;Totaal over alle leeftijden;Referentiepersonen;2031;8104892;3420813;4152021;479409;52649
25;Totaal over alle leeftijden;Referentiepersonen;2032;8113431;3438449;4142884;479524;52574
26;Totaal over alle leeftijden;Referentiepersonen;2033;8119391;3454098;4132901;479851;52541
27;Totaal over alle leeftijden;Referentiepersonen;2034;8122934;3467891;4122182;480343;52518
28;Totaal over alle leeftijden;Referentiepersonen;2035;8124352;3480022;4110927;480922;52481
29;Totaal over alle leeftijden;Referentiepersonen;2036;8123959;3490595;4099268;481613;52483
30;Totaal over alle leeftijden;Referentiepersonen;2037;8121910;3499656;4087414;482345;52495
31;Totaal over alle leeftijden;Referentiepersonen;2038;8118506;3507382;4075539;483086;52499
32;Totaal over alle leeftijden;Referentiepersonen;2039;8114020;3513850;4063871;483764;52535
33;Totaal over alle leeftijden;Referentiepersonen;2040;8108709;3519213;4052523;484403;52570
34;Totaal over alle leeftijden;Referentiepersonen;2041;8102673;3523437;4041673;484973;52590
35;Totaal over alle leeftijden;Referentiepersonen;2042;8096139;3526645;4031389;485486;52619
36;Totaal over alle leeftijden;Referentiepersonen;2043;8089195;3528825;4021798;485930;52642
37;Totaal over alle leeftijden;Referentiepersonen;2044;8081956;3530036;4012946;486292;52682
38;Totaal over alle leeftijden;Referentiepersonen;2045;8074461;3530299;4004874;486582;52706
39;Totaal over alle leeftijden;Referentiepersonen;2046;8066778;3529672;3997624;486756;52726
40;Totaal over alle leeftijden;Referentiepersonen;2047;8058938;3528140;3991232;486831;52735
41;Totaal over alle leeftijden;Referentiepersonen;2048;8051001;3525749;3985704;486834;52714
42;Totaal over alle leeftijden;Referentiepersonen;2049;8043007;3522483;3981045;486756;52723
43;Totaal over alle leeftijden;Referentiepersonen;2050;8034880;3518340;3977271;486583;52686
