ID;Geslacht;Onderwijssoort;Herkomstland;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
0;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2012/'13;1321190;31290;1289890;2.0
1;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2013/'14;1331050;29320;1301730;2.0
2;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2014/'15;1341570;28120;1313450;2.0
3;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2015/'16;1350280;27360;1322920;2.0
4;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2016/'17;1357170;28360;1328810;2.0
5;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2017/'18;1351640;30260;1321380;2.0
6;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2018/'19;1338710;31470;1307240;2.0
7;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2019/'20;1321840;26360;1295480;2.0
8;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2020/'21;1303570;28790;1274780;2.0
9;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2021/'22;1291030;35840;1255190;3.0
10;Totaal mannen en vrouwen;Totaal onderwijs;Totaal;2022/'23;1277200;35430;1241770;3.0
11;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2012/'13;1015050;19310;995740;2.0
12;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2013/'14;1020470;17590;1002880;2.0
13;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2014/'15;1025830;16710;1009130;2.0
14;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2015/'16;1029110;16330;1012780;2.0
15;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2016/'17;1026480;16710;1009770;2.0
16;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2017/'18;1013170;17920;995260;2.0
17;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2018/'19;995350;18650;976690;2.0
18;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2019/'20;974610;15720;958890;2.0
19;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2020/'21;953340;17320;936020;2.0
20;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2021/'22;935720;21660;914060;2.0
21;Totaal mannen en vrouwen;Totaal onderwijs;Nederland;2022/'23;914000;20260;893740;2.0
22;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2012/'13;64360;2030;62340;3.0
23;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2013/'14;66400;2020;64390;3.0
24;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2014/'15;68600;1990;66610;3.0
25;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2015/'16;70610;1990;68620;3.0
26;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2016/'17;72510;2080;70430;3.0
27;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2017/'18;74220;2300;71920;3.0
28;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2018/'19;75720;2220;73510;3.0
29;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2019/'20;77740;1920;75820;2.0
30;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2020/'21;79490;2190;77300;3.0
31;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2021/'22;81760;2740;79020;3.0
32;Totaal mannen en vrouwen;Totaal onderwijs;Europa (exclusief Nederland);2022/'23;88970;3310;85660;4.0
33;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2012/'13;241780;9960;231820;4.0
34;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2013/'14;244180;9710;234470;4.0
35;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2014/'15;247130;9420;237710;4.0
36;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2015/'16;250560;9040;241520;4.0
37;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2016/'17;258180;9570;248610;4.0
38;Totaal mannen en vrouwen;Totaal onderwijs;Buiten Europa;2017/'18;264250;10040;254210;4.0
