ID;TypeOfBankruptcy;Periods;BankruptciesSessionDayCorrected_1
0;Total legal forms all nationalities;1981 January;532
1;Total legal forms all nationalities;1981 February;590
2;Total legal forms all nationalities;1981 March;588
3;Total legal forms all nationalities;1981 1st quarter;1710
4;Total legal forms all nationalities;1981 April;559
5;Total legal forms all nationalities;1981 May;573
6;Total legal forms all nationalities;1981 June;564
7;Total legal forms all nationalities;1981 2nd quarter;1696
8;Total legal forms all nationalities;1981 July;634
9;Total legal forms all nationalities;1981 August;547
10;Total legal forms all nationalities;1981 September;652
11;Total legal forms all nationalities;1981 3rd quarter;1833
12;Total legal forms all nationalities;1981 October;735
13;Total legal forms all nationalities;1981 November;702
14;Total legal forms all nationalities;1981 December;612
15;Total legal forms all nationalities;1981 4th quarter;2049
16;Total legal forms all nationalities;1981;7288
17;Total legal forms all nationalities;1982 January;728
18;Total legal forms all nationalities;1982 February;721
19;Total legal forms all nationalities;1982 March;820
20;Total legal forms all nationalities;1982 1st quarter;2269
21;Total legal forms all nationalities;1982 April;706
22;Total legal forms all nationalities;1982 May;611
23;Total legal forms all nationalities;1982 June;669
24;Total legal forms all nationalities;1982 2nd quarter;1986
25;Total legal forms all nationalities;1982 July;718
26;Total legal forms all nationalities;1982 August;635
27;Total legal forms all nationalities;1982 September;731
28;Total legal forms all nationalities;1982 3rd quarter;2084
29;Total legal forms all nationalities;1982 October;793
30;Total legal forms all nationalities;1982 November;797
31;Total legal forms all nationalities;1982 December;715
32;Total legal forms all nationalities;1982 4th quarter;2305
33;Total legal forms all nationalities;1982;8644
34;Total legal forms all nationalities;1983 January;801
35;Total legal forms all nationalities;1983 February;675
36;Total legal forms all nationalities;1983 March;779
37;Total legal forms all nationalities;1983 1st quarter;2255
38;Total legal forms all nationalities;1983 April;664
39;Total legal forms all nationalities;1983 May;659
40;Total legal forms all nationalities;1983 June;661
41;Total legal forms all nationalities;1983 2nd quarter;1984
42;Total legal forms all nationalities;1983 July;563
43;Total legal forms all nationalities;1983 August;599
44;Total legal forms all nationalities;1983 September;660
45;Total legal forms all nationalities;1983 3rd quarter;1822
46;Total legal forms all nationalities;1983 October;595
47;Total legal forms all nationalities;1983 November;540
48;Total legal forms all nationalities;1983 December;495
49;Total legal forms all nationalities;1983 4th quarter;1630
50;Total legal forms all nationalities;1983;7691
51;Total legal forms all nationalities;1984 January;590
52;Total legal forms all nationalities;1984 February;612
53;Total legal forms all nationalities;1984 March;646
54;Total legal forms all nationalities;1984 1st quarter;1848
55;Total legal forms all nationalities;1984 April;487
56;Total legal forms all nationalities;1984 May;492
57;Total legal forms all nationalities;1984 June;518
58;Total legal forms all nationalities;1984 2nd quarter;1497
59;Total legal forms all nationalities;1984 July;437
60;Total legal forms all nationalities;1984 August;530
61;Total legal forms all nationalities;1984 September;503
62;Total legal forms all nationalities;1984 3rd quarter;1470
63;Total legal forms all nationalities;1984 October;533
64;Total legal forms all nationalities;1984 November;480
65;Total legal forms all nationalities;1984 December;396
66;Total legal forms all nationalities;1984 4th quarter;1409
67;Total legal forms all nationalities;1984;6224
68;Total legal forms all nationalities;1985 January;497
69;Total legal forms all nationalities;1985 February;462
70;Total legal forms all nationalities;1985 March;588
71;Total legal forms all nationalities;1985 1st quarter;1547
72;Total legal forms all nationalities;1985 April;454
73;Total legal forms all nationalities;1985 May;469
74;Total legal forms all nationalities;1985 June;446
75;Total legal forms all nationalities;1985 2nd quarter;1369
76;Total legal forms all nationalities;1985 july;416
77;Total legal forms all nationalities;1985 August;403
78;Total legal forms all nationalities;1985 September;429
79;Total legal forms all nationalities;1985 3rd quarter;1248
80;Total legal forms all nationalities;1985 October;437
81;Total legal forms all nationalities;1985 November;443
82;Total legal forms all nationalities;1985 December;334
83;Total legal forms all nationalities;1985 4th quarter;1214
84;Total legal forms all nationalities;1985;5378
85;Total legal forms all nationalities;1986 January;351
86;Total legal forms all nationalities;1986 February;320
87;Total legal forms all nationalities;1986 March;436
