ID;Perioden;Cruisepassagiers_1
0;2012 januari;28.6
1;2012 februari;33.7
2;2012 maart;24.5
3;2012 1e kwartaal;86.8
4;2012 april;21.3
5;2012 mei;0.0
6;2012 juni;0.0
7;2012 2e kwartaal;21.3
8;2012 juli;0.2
9;2012 augustus;0.4
10;2012 september;0.1
11;2012 3e kwartaal;0.7
12;2012 oktober;0.7
13;2012 november;14.5
14;2012 december;33.6
15;2012 4e kwartaal;48.8
16;2012;157.5
17;2013 januari;36.0
18;2013 februari;22.5
19;2013 maart;19.5
20;2013 1e kwartaal;78.0
21;2013 april;14.0
22;2013 mei;0.4
23;2013 juni;0.4
24;2013 2e kwartaal;14.8
25;2013 juli;0.5
26;2013 augustus;0.2
27;2013 september;0.2
28;2013 3e kwartaal;0.9
29;2013 oktober;0.2
30;2013 november;13.5
31;2013 december;34.7
32;2013 4e kwartaal;48.4
33;2013;142.0
34;2014 januari;32.6
35;2014 februari;29.1
36;2014 maart;26.8
37;2014 1e kwartaal;88.5
38;2014 april;15.1
39;2014 mei;0.0
40;2014 juni;0.0
41;2014 2e kwartaal;15.1
42;2014 juli;2.3
43;2014 augustus;0.2
44;2014 september;0.3
45;2014 3e kwartaal;2.9
46;2014 oktober;0.4
47;2014 november;26.0
48;2014 december;23.7
49;2014 4e kwartaal;50.1
50;2014;156.6
51;2015 januari;38.4
52;2015 februari;39.5
53;2015 maart;34.3
54;2015 1e kwartaal;112.3
55;2015 april;14.0
56;2015 mei;0.5
57;2015 juni;0.5
58;2015 2e kwartaal;14.9
59;2015 juli;1.7
60;2015 augustus;4.0
61;2015 september;5.1
62;2015 3e kwartaal;10.8
63;2015 oktober;19.9
64;2015 november;35.6
65;2015 december;36.7
66;2015 4e kwartaal;92.2
67;2015;230.2
68;2016 januari;25.7
69;2016 februari;23.4
70;2016 maart;25.4
71;2016 1e kwartaal;74.6
72;2016 april;8.6
73;2016 mei;3.9
74;2016 juni;7.3
75;2016 2e kwartaal;19.7
76;2016 juli;4.1
77;2016 augustus;3.6
78;2016 september;9.8
79;2016 3e kwartaal;17.6
80;2016 oktober;6.7
81;2016 november;47.8
82;2016 december;40.9
83;2016 4e kwartaal;95.4
84;2016;207.2
85;2017 januari;47.3
86;2017 februari;56.2
87;2017 maart;55.6
88;2017 1e kwartaal;159.1
89;2017 april;24.7
90;2017 mei;21.2
91;2017 juni;13.2
92;2017 2e kwartaal;59.1
93;2017 juli;14.5
94;2017 augustus;10.4
95;2017 september;15.4
96;2017 3e kwartaal;40.3
97;2017 oktober;20.4
98;2017 november;63.7
99;2017 december;63.7
100;2017 4e kwartaal;147.8
101;2017;406.3
102;2018 januari;69.2
103;2018 februari;71.7
104;2018 maart;55.9
105;2018 1e kwartaal;196.8
106;2018 april;41.7
107;2018 mei;11.5
108;2018 juni;6.0
109;2018 2w kwartaal;59.3
110;2018 juli;13.8
111;2018 augustus;7.9
112;2018 september;13.0
113;2018 3e kwartaal;34.8
114;2018 oktober;18.4
115;2018 november;27.4
116;2018 december;60.6
117;2018 4e kwartaal;106.4
118;2018;397.2
119;2019 januari;73.9
120;2019 februari;39.9
121;2019 maart;48.3
122;20189 1e kwartaal;162.1
123;2019 april;41.1
124;2019 mei;21.7
125;2019 juni;19.1
126;2019 2e kwartaal;81.9
127;2019 juli;19.9
128;2019 augustus;23.8
129;2019 september;21.5
130;2019 3e kwartaal;65.2
131;2019 oktober;29.1
132;2019 november;51.6
133;2019 december;67.8
134;20189 4e kwartaal;148.5
135;2019;457.8
136;2020 januari;78.0
137;2020 februari;61.2
138;2020 maart;36.9
139;2020 1e kwartaal;176.1
140;2020 april;0.0
141;2020 mei;0.0
142;2020 juni;0.0
143;2020 2e kwartaal;0.0
144;2020 juli;0.0
145;2020 augustus;0.0
146;2020 september;0.0
147;2020 3e kwartaal;0.0
148;2020 oktober;0.0
149;2020 november;0.0
150;2020 december;0.0
151;2020 4e kwartaal;0.0
152;2020;176.1
153;2021 januari;0.0
154;2021 februari;0.0
155;2021 maart;0.0
156;2021 1e kwartaal;0.1
157;2021 april;0.0
158;2021 mei;0.0
159;2021 juni;0.0
160;2021 2e kwartaal;0.0
161;2021  juli ;0.0
162;2021 augustus;0.0
163;2021 september;2.1
164;2021 3e kwartaal;2.1
165;2021 oktober;2.4
166;2021 november;17.5
167;2021 december;34.6
168;2021 4e kwartaal;54.5
169;2021;56.7
170;2022 januari;28.2
171;2022 februari;26.4
172;2022 maart;35.4
173;2022 1e kwartaal;90.0
174;2022 april;21.8
175;2022 mei;9.0
176;2022 juni;9.7
177;2022 2e kwartaal;40.5
178;2022 juli;4.5
179;2022 augustus;7.7
180;2022 september;11.2
181;2022 3e kwartaal;23.4
182;2022 oktober;20.9
183;2022 november;45.4
184;2022 december;65.2
185;2022 4e kwartaal;131.5
186;2022;285.4
187;2023 januari;62.2
188;2023 februari;67.5
189;2023 maart;64.5
190;2023 1e kwartaal;194.2
191;2023 april;30.3
192;2023 mei;22.7
193;2023 juni;17.0
194;2023 2e kwartaal;70.0
195;2023 juli;9.9
196;2023 augustus;8.9
197;2023 september;4.8
198;2023 3e kwartaal;23.6
199;2023 oktober;13.1
200;2023 november;31.6
201;2023 december;59.6
202;2023 4e kwartaal;104.3
203;2023;392.1
204;2024 januari;56.0
205;2024 februari;29.7
206;2024 maart;43.4
207;2024 1e kwartaal;129.1
208;2024 april;30.1
209;2024 mei;21.8
210;2024 juni;10.6
211;2024 2e kwartaal;62.5
212;2024 juli;26.0
213;2024 augustus;15.8
214;2024 september;10.4
215;2024 3e kwartaal;52.2
216;2024 oktober;17.2
217;2024 november;35.5
218;2024 december;62.0
219;2024 4e kwartaal;114.7
220;2024;358.5
