ID;AlleLeeftijden;Geslacht;RegioS2005;Perioden;TotaleBevolking_1;Autochtoon_2;Totaal1eEn2eGeneratie_3;k_1eGeneratie_4;k_2eGeneratie_5;Totaal1eEn2eGeneratie_6;k_1eGeneratie_7;k_2eGeneratie_8;Regiocode_9
0;Totaal over alle leeftijden;Totaal bevolking;Nederland;2006;16328200;13180474;1427296;582180;845116;1720430;1016412;704018;1
1;Totaal over alle leeftijden;Totaal bevolking;Nederland;2007;16360887;13181138;1432793;584348;848445;1746956;1015756;731200;1
2;Totaal over alle leeftijden;Totaal bevolking;Nederland;2008;16393833;13179242;1440581;588931;851650;1774010;1016518;757492;1
3;Totaal over alle leeftijden;Totaal bevolking;Nederland;2009;16427652;13175034;1451053;596198;854855;1801565;1018682;782883;1
4;Totaal over alle leeftijden;Totaal bevolking;Nederland;2010;16462595;13168820;1464237;606154;858083;1829538;1022008;807530;1
5;Totaal over alle leeftijden;Totaal bevolking;Nederland;2011;16498384;13160920;1479930;618510;861420;1857534;1026134;831400;1
6;Totaal over alle leeftijden;Totaal bevolking;Nederland;2012;16534458;13151460;1497621;632723;864898;1885377;1030887;854490;1
7;Totaal over alle leeftijden;Totaal bevolking;Nederland;2013;16570527;13140792;1516691;648144;868547;1913044;1036166;876878;1
8;Totaal over alle leeftijden;Totaal bevolking;Nederland;2014;16606081;13129284;1536187;663749;872438;1940610;1042009;898601;1
9;Totaal over alle leeftijden;Totaal bevolking;Nederland;2015;16640640;13117174;1555429;678924;876505;1968037;1048338;919699;1
10;Totaal over alle leeftijden;Totaal bevolking;Nederland;2016;16674211;13104583;1574258;693491;880767;1995370;1055116;940254;1
11;Totaal over alle leeftijden;Totaal bevolking;Nederland;2017;16706859;13091718;1592580;707415;885165;2022561;1062278;960283;1
12;Totaal over alle leeftijden;Totaal bevolking;Nederland;2018;16738665;13078536;1610522;720829;889693;2049607;1069745;979862;1
13;Totaal over alle leeftijden;Totaal bevolking;Nederland;2019;16769801;13065270;1628112;733792;894320;2076419;1077458;998961;1
14;Totaal over alle leeftijden;Totaal bevolking;Nederland;2020;16800181;13051734;1645433;746400;899033;2103014;1085323;1017691;1
15;Totaal over alle leeftijden;Totaal bevolking;Nederland;2021;16829578;13037774;1662497;758687;903810;2129307;1093256;1036051;1
