ID;Huishoudkenmerken;Perioden;HuurOfHypotheek_1;GasWaterEnElektriciteit_2;OpAfbetalingGekochteArtikelen_3;OpMinstensEenVanDeGenoemdeItems_4;EenWarmeMaaltijdOmDeAndereDag_5;HetRegelmatigKopenVanNieuweKleren_6;HetVerwarmenVanHetHuis_7;HetVervangenVanVersletenMeubels_8;HetTeEtenVragenVanFamilieKennissen_9;JaarlijksEenWeekOpVakantieTeGaan_10;MinstensEenVanDeGenoemdeItems_11
0;1;2000;2.0;1.0;1.0;3.0;2.0;10.0;2.0;18.0;5.0;12.0;23.0
1;1;2001;2.0;1.0;1.0;2.0;2.0;9.0;3.0;17.0;5.0;12.0;21.0
2;1;2002;2.0;2.0;1.0;3.0;2.0;9.0;2.0;17.0;5.0;12.0;22.0
3;1;2003;3.0;3.0;2.0;6.0;4.0;15.0;6.0;23.0;8.0;9.0;28.0
4;1;2004;4.0;3.0;2.0;5.0;3.0;15.0;4.0;23.0;8.0;10.0;28.0
5;1;2005;5.0;4.0;1.0;7.0;3.0;17.0;3.0;27.0;10.0;20.0;34.0
6;1;2006;4.0;4.0;1.0;6.0;3.0;14.0;3.0;24.0;9.0;18.0;30.0
7;1;2007;4.0;3.0;1.0;6.0;2.0;12.0;2.0;22.0;7.0;17.0;28.0
8;1;2008;3.0;3.0;1.0;5.0;2.0;12.0;2.0;20.0;7.0;16.0;27.0
9;1;2009;4.0;3.0;1.0;6.0;2.0;12.0;2.0;21.0;7.0;15.0;27.0
10;1;2010;4.0;3.0;1.0;6.0;3.0;14.0;3.0;22.0;8.0;18.0;29.0
11;1;2011;4.0;3.0;1.0;6.0;3.0;14.0;2.0;22.0;8.0;20.0;30.0
12;2;2000;3.0;2.0;1.0;4.0;3.0;16.0;2.0;28.0;8.0;18.0;34.0
13;2;2001;2.0;2.0;1.0;3.0;3.0;15.0;3.0;27.0;7.0;19.0;34.0
14;2;2002;3.0;2.0;1.0;4.0;3.0;15.0;4.0;29.0;7.0;19.0;35.0
15;2;2003;3.0;3.0;2.0;6.0;5.0;20.0;6.0;31.0;10.0;14.0;37.0
16;2;2004;4.0;4.0;2.0;7.0;5.0;22.0;5.0;31.0;12.0;14.0;37.0
17;2;2005;5.0;4.0;1.0;7.0;5.0;23.0;4.0;37.0;13.0;28.0;44.0
18;2;2006;5.0;5.0;1.0;8.0;6.0;21.0;5.0;34.0;13.0;26.0;41.0
19;2;2007;5.0;3.0;1.0;7.0;4.0;17.0;4.0;31.0;11.0;25.0;38.0
20;2;2008;2.0;3.0;1.0;5.0;4.0;17.0;3.0;28.0;10.0;22.0;37.0
21;2;2009;5.0;3.0;1.0;8.0;5.0;16.0;4.0;29.0;11.0;21.0;37.0
22;2;2010;6.0;4.0;2.0;8.0;6.0;21.0;4.0;31.0;11.0;26.0;40.0
23;2;2011;5.0;4.0;1.0;7.0;5.0;20.0;3.0;31.0;10.0;28.0;42.0
24;3;2000;2.0;1.0;1.0;3.0;2.0;8.0;3.0;15.0;4.0;9.0;20.0
25;3;2001;2.0;1.0;1.0;3.0;2.0;7.0;2.0;14.0;4.0;9.0;17.0
26;3;2002;3.0;3.0;1.0;4.0;2.0;6.0;2.0;13.0;4.0;9.0;17.0
27;3;2003;5.0;5.0;4.0;8.0;5.0;17.0;7.0;25.0;9.0;8.0;28.0
28;3;2004;6.0;5.0;3.0;8.0;3.0;17.0;5.0;24.0;8.0;9.0;28.0
29;3;2005;6.0;6.0;2.0;10.0;2.0;17.0;3.0;27.0;9.0;18.0;33.0
30;3;2006;4.0;5.0;1.0;7.0;3.0;14.0;2.0;23.0;8.0;17.0;29.0
31;3;2007;4.0;4.0;1.0;6.0;1.0;11.0;2.0;21.0;6.0;15.0;26.0
32;3;2008;4.0;4.0;1.0;7.0;1.0;11.0;2.0;19.0;5.0;14.0;25.0
33;3;2009;4.0;4.0;1.0;7.0;1.0;11.0;1.0;19.0;6.0;13.0;24.0
34;3;2010;5.0;4.0;1.0;8.0;2.0;12.0;2.0;21.0;7.0;15.0;26.0
35;3;2011;5.0;4.0;1.0;8.0;3.0;12.0;1.0;22.0;7.0;18.0;28.0
36;4;2000;8.0;6.0;3.0;13.0;10.0;35.0;8.0;53.0;17.0;40.0;59.0
37;4;2001;4.0;4.0;1.0;6.0;6.0;31.0;5.0;53.0;14.0;37.0;60.0
38;4;2002;9.0;3.0;3.0;12.0;5.0;29.0;5.0;52.0;15.0;42.0;62.0
39;4;2003;15.0;9.0;11.0;17.0;15.0;47.0;13.0;62.0;23.0;22.0;64.0
40;4;2004;20.0;13.0;10.0;22.0;11.0;55.0;10.0;65.0;23.0;30.0;66.0
41;4;2005;16.0;16.0;6.0;26.0;7.0;49.0;11.0;64.0;27.0;56.0;74.0
42;4;2006;9.0;13.0;3.0;18.0;8.0;52.0;8.0;71.0;28.0;57.0;77.0
43;4;2007;9.0;8.0;3.0;14.0;5.0;39.0;10.0;65.0;22.0;50.0;74.0
44;4;2008;12.0;11.0;3.0;17.0;5.0;41.0;9.0;60.0;18.0;50.0;68.0
45;4;2009;10.0;6.0;3.0;13.0;7.0;39.0;3.0;56.0;21.0;47.0;64.0
46;4;2010;9.0;9.0;4.0;16.0;7.0;36.0;10.0;61.0;20.0;48.0;69.0
47;4;2011;8.0;14.0;2.0;20.0;5.0;36.0;5.0;53.0;21.0;52.0;67.0
48;5;2000;1.0;1.0;1.0;2.0;1.0;5.0;2.0;11.0;3.0;6.0;15.0
49;5;2001;2.0;1.0;1.0;2.0;2.0;4.0;2.0;10.0;3.0;6.0;13.0
50;5;2002;2.0;2.0;1.0;3.0;1.0;4.0;2.0;9.0;3.0;6.0;13.0
51;5;2003;4.0;4.0;2.0;6.0;4.0;12.0;6.0;19.0;6.0;5.0;22.0
52;5;2004;4.0;4.0;2.0;6.0;2.0;11.0;4.0;18.0;5.0;5.0;21.0
53;5;2005;5.0;4.0;1.0;8.0;2.0;13.0;2.0;22.0;6.0;13.0;28.0
54;5;2006;3.0;3.0;1.0;6.0;2.0;9.0;2.0;17.0;5.0;11.0;23.0
