ID;Periods;PopulationAtStartOfSelectedPeriod_1;LiveBirths_2;Deaths_3;Immigration_4;EmigrationIncludingAdministrativeC_5;NetCorrections_6;TotalPopulationGrowth_7;PopulationAtEndOfSelectedPeriod_8
0;1995 January;15424122;16436;11974;8362;6768;;6056;15430178
1;1995 February;15430178;14824;10106;6621;5341;;5998;15436176
2;1995 March;15436176;16205;12069;7596;5988;;5744;15441920
3;1995 April;15441920;14906;11412;6288;5490;;4292;15446212
4;1995 May;15446212;16167;11180;6672;5501;;6158;15452370
5;1995 June;15452370;16124;10508;7195;6335;;6476;15458846
6;1995 July;15458846;16698;11288;8628;9069;;4969;15463815
7;1995 August;15463815;16491;10928;10334;8177;;7720;15471535
8;1995 September;15471535;16222;10199;9083;7842;;7264;15478799
9;1995 October;15478799;16508;11030;9211;7579;;7110;15485909
10;1995 November;15485909;15199;11234;8868;7469;;5364;15491273
11;1995 December;15491273;14733;13747;7241;6636;1025.0;2616;15493889
12;1995;15424122;190513;135675;96099;82195;1025.0;69767;15493889
13;1996 January;15493889;15272;13912;9296;7267;;3389;15497278
14;1996 February;15497278;14972;12376;7617;7461;;2752;15500030
15;1996 March;15500030;15531;12264;8162;8363;;3066;15503096
16;1996 April;15503096;15090;11675;7770;7684;;3501;15506597
17;1996 May;15506597;15901;11271;7955;7203;;5382;15511979
18;1996 June;15511979;15567;10672;7964;6957;;5902;15517881
19;1996 July;15517881;16561;10933;10402;8905;;7125;15525006
20;1996 August;15525006;16680;10379;11502;8026;;9777;15534783
21;1996 September;15534783;16430;10187;10967;9206;;8004;15542787
22;1996 October;15542787;16412;10747;10690;7529;;8826;15551613
23;1996 November;15551613;15508;10970;9084;6618;;7004;15558617
24;1996 December;15558617;15597;12175;7340;6726;4454.0;8490;15567107
25;1996;15493889;189521;137561;108749;91945;4454.0;73218;15567107
26;1997 January;15567107;16377;14200;9684;6962;;4899;15572006
27;1997 February;15572006;15053;11676;7656;6090;;4943;15576949
28;1997 March;15576949;15798;11258;7283;6468;;5355;15582304
29;1997 April;15582304;16215;10872;8502;6881;;6964;15589268
30;1997 May;15589268;16483;11148;7393;5465;;7263;15596531
31;1997 June;15596531;16019;10690;8574;6702;;7201;15603732
32;1997 July;15603732;17211;10684;10345;8244;;8628;15612360
33;1997 August;15612360;16406;11658;11915;8224;;8439;15620799
34;1997 September;15620799;16552;10178;12145;7685;;10834;15631633
35;1997 October;15631633;15975;10981;10336;7060;;8270;15639903
36;1997 November;15639903;14774;10773;8200;5661;;6540;15646443
37;1997 December;15646443;15580;11665;7827;6531;2538.0;7749;15654192
38;1997;15567107;192443;135783;109860;81973;2538.0;87085;15654192
39;1998 January;15654192;16398;11359;10327;6028;;9338;15663530
40;1998 February;15663530;15179;10716;7953;5869;;6547;15670077
41;1998 March;15670077;16508;12928;9135;7039;;5676;15675753
42;1998 April;15675753;16139;12317;8223;6556;;5489;15681242
43;1998 May;15681242;16337;11641;8073;5679;;7090;15688332
44;1998 June;15688332;16138;10459;9605;7874;;7410;15695742
45;1998 July;15695742;17805;10953;11427;9232;;9047;15704789
46;1998 August;15704789;17543;10703;13245;6999;;13086;15717875
47;1998 September;15717875;18137;10703;13584;7025;;13993;15731868
48;1998 October;15731868;17222;11101;11350;5559;;11912;15743780
49;1998 November;15743780;16008;11334;10082;5207;;9549;15753329
50;1998 December;15753329;15994;13268;9403;6222;989.0;6896;15760225
51;1998;15654192;199408;137482;122407;79289;989.0;106033;15760225
52;1999 January;15760225;16218;13145;9330;5948;;6455;15766680
53;1999 February;15766680;15191;12334;8386;5209;;6034;15772714
54;1999 March;15772714;16818;13153;9767;6847;;6585;15779299
55;1999 April;15779299;16880;11289;8019;5674;;7936;15787235
56;1999 May;15787235;16379;11374;7540;5113;;7432;15794667
57;1999 June;15794667;16941;10914;9082;6885;;8224;15802891
58;1999 July;15802891;17638;11299;11200;8137;;9402;15812293
59;1999 August;15812293;17713;11284;13008;7402;;12035;15824328
60;1999 September;15824328;17566;10694;13074;7425;;12521;15836849
61;1999 October;15836849;16691;11077;10194;7093;;8715;15845564
62;1999 November;15845564;15983;11104;10326;6742;;8463;15854027
63;1999 December;15854027;16427;12820;9225;6304;3395.0;9923;15863950
64;1999;15760225;200445;140487;119151;78779;3395.0;103725;15863950
65;2000 January;15863950;17068;14915;10035;6516;;5672;15869622
66;2000 February;15869622;16606;11773;10249;5587;;9495;15879117
67;2000 March;15879117;17445;11608;9964;6667;;9134;15888251
68;2000 April;15888251;16625;11468;8491;5685;;7963;15896214
69;2000 May;15896214;17513;11511;9970;5654;;10318;15906532
70;2000 June;15906532;16773;11200;10135;6455;;9253;15915785
71;2000 July;15915785;17694;11164;12269;8214;;10585;15926370
72;2000 August;15926370;18315;10960;14833;7717;;14471;15940841
73;2000 September;15940841;17736;10667;14015;7414;;13670;15954511
74;2000 October;15954511;17155;11556;12611;6703;;11507;15966018
75;2000 November;15966018;16996;11372;11939;6443;;11120;15977138
76;2000 December;15977138;16693;12333;8339;5922;3160.0;9937;15987075
77;2000;15863950;206619;140527;132850;78977;3160.0;123125;15987075
78;2001 January;15987075;17344;13102;11772;7920;;8094;15995169
79;2001 February;15995169;15334;11115;10209;5773;;8655;16003824
80;2001 March;16003824;16834;12572;10588;7217;;7633;16011457
81;2001 April;16011457;15679;11557;9724;5601;;8245;16019702
82;2001 May;16019702;17537;12059;10669;6187;;9960;16029662
83;2001 June;16029662;17050;11420;10096;6883;;8843;16038505
84;2001 July;16038505;17942;11185;12166;8440;;10483;16048988
85;2001 August;16048988;17726;11113;14633;7970;;13276;16062264
86;2001 September;16062264;17147;10706;13109;6472;;13078;16075342
87;2001 October;16075342;17556;11523;12332;7226;;11139;16086481
88;2001 November;16086481;16345;11391;10536;6256;;9234;16095715
89;2001 December;16095715;16109;12634;7570;6621;5146.0;9570;16105285
90;2001;15987075;202603;140377;133404;82566;5146.0;118210;16105285
91;2002 January;16105285;17019;13469;11366;7301;;7615;16112900
92;2002 February;16112900;15448;11735;8950;6610;;6053;16118953
93;2002 March;16118953;16792;13281;9508;7847;;5172;16124125
94;2002 April;16124125;15995;11968;9266;7172;;6121;16130246
95;2002 May;16130246;16800;11623;8897;7513;;6561;16136807
96;2002 June;16136807;16116;11084;8832;8162;;5702;16142509
97;2002 July;16142509;18011;11509;11365;9981;;7886;16150395
98;2002 August;16150395;17959;11134;13462;9500;;10787;16161182
99;2002 September;16161182;17586;10438;13042;9135;;11055;16172237
100;2002 October;16172237;17831;11530;11594;9107;;8788;16181025
101;2002 November;16181025;16011;11491;8188;7270;;5438;16186463
102;2002 December;16186463;16515;13093;6780;7320;3227.0;6109;16192572
103;2002;16105285;202083;142355;121250;96918;3227.0;87287;16192572
104;2003 January;16192572;17153;13106;9483;8390;;5140;16197712
105;2003 February;16197712;15579;11305;8169;7694;;4749;16202461
106;2003 March;16202461;16755;13113;7939;7946;;3635;16206096
107;2003 April;16206096;16585;12203;7363;7440;;4305;16210401
108;2003 May;16210401;16572;11309;7160;6618;;5805;16216206
109;2003 June;16216206;16325;11088;7595;8572;;4260;16220466
110;2003 July;16220466;17913;11234;9396;12206;;3869;16224335
111;2003 August;16224335;17572;11619;11276;9904;;7325;16231660
112;2003 September;16231660;17338;10942;12441;9557;;9280;16240940
113;2003 October;16240940;17087;11445;10097;9517;;6222;16247162
114;2003 November;16247162;15864;11291;7197;8498;;3272;16250434
115;2003 December;16250434;15554;13281;6398;8489;7416.0;7598;16258032
116;2003;16192572;200297;141936;104514;104831;7416.0;65460;16258032
117;2004 January;16258032;16229;13726;7690;8848;;1345;16259377
118;2004 February;16259377;15180;11300;6656;8636;;1900;16261277
119;2004 March;16261277;16215;11983;7224;9976;;1480;16262757
120;2004 April;16262757;15801;11092;5678;8915;;1472;16264229
121;2004 May;16264229;15751;11093;6318;7153;;3823;16268052
122;2004 June;16268052;16477;10692;7756;9087;;4454;16272506
123;2004 July;16272506;17324;10786;8250;11431;;3357;16275863
124;2004 August;16275863;16919;11166;10778;11138;;5393;16281256
125;2004 September;16281256;16438;10553;11967;9523;;8329;16289585
126;2004 October;16289585;16239;11103;8556;9540;;4152;16293737
127;2004 November;16293737;15613;10969;7095;7697;;4042;16297779
128;2004 December;16297779;15821;12090;6051;8291;6256.0;7747;16305526
129;2004;16258032;194007;136553;94019;110235;6256.0;47494;16305526
130;2005 January;16305526;15678;12544;6935;8618;;1451;16306977
131;2005 February;16306977;14671;12264;6844;8340;;911;16307888
132;2005 March;16307888;15876;13783;6847;9346;;-406;16307482
133;2005 April;16307482;15563;11214;6339;9301;;1387;16308869
134;2005 May;16308869;15711;11453;5699;7807;;2150;16311019
135;2005 June;16311019;15583;10883;6589;9712;;1577;16312596
136;2005 July;16312596;16405;10381;7576;10958;;2642;16315238
137;2005 August;16315238;16701;10348;10263;12343;;4273;16319511
138;2005 September;16319511;16194;10024;12965;11071;;8064;16327575
139;2005 October;16327575;16024;10805;8457;10433;;3243;16330818
140;2005 November;16330818;14728;10796;7528;10348;;1112;16331930
141;2005 December;16331930;14776;11907;6255;11448;4604.0;2280;16334210
142;2005;16305526;187910;136402;92297;119725;4604.0;28684;16334210
143;2006 January;16334210;15399;12261;7426;10059;;505;16334715
144;2006 February;16334715;14286;11377;7450;9615;;744;16335459
145;2006 March;16335459;15646;12689;7757;12083;;-1369;16334090
146;2006 April;16334090;14543;11474;6466;10066;;-531;16333559
147;2006 May;16333559;15673;10992;7221;10861;;1041;16334600
148;2006 June;16334600;15171;10764;7338;9669;;2076;16336676
149;2006 July;16336676;15999;12164;8614;11872;;577;16337253
150;2006 August;16337253;16262;10409;11694;12467;;5080;16342333
151;2006 September;16342333;16123;10398;13733;12874;;6584;16348917
152;2006 October;16348917;16144;10349;9631;11665;;3761;16352678
153;2006 November;16352678;15005;10865;7782;11628;;294;16352972
154;2006 December;16352972;14806;11630;6038;9611;5417.0;5020;16357992
155;2006;16334210;185057;135372;101150;132470;5417.0;23782;16357992
156;2007 January;16357992;15019;12221;9313;10970;;1141;16359133
157;2007 February;16359133;13909;10884;8648;7868;;3805;16362938
158;2007 March;16362938;15211;12019;8257;9322;;2127;16365065
159;2007 April;16365065;14385;11021;7045;7878;;2531;16367596
160;2007 May;16367596;15144;10799;8044;8707;;3682;16371278
161;2007 June;16371278;14659;10423;8644;9617;;3263;16374541
162;2007 July;16374541;15989;10484;10685;13392;;2798;16377339
163;2007 August;16377339;16262;10450;13270;13146;;5936;16383275
164;2007 September;16383275;16021;9906;14779;10326;;10568;16393843
165;2007 October;16393843;15662;11049;11874;11191;;5296;16399139
166;2007 November;16399139;14531;11281;9360;10740;;1870;16401009
167;2007 December;16401009;14544;12485;6900;9419;4850.0;4390;16405399
168;2007;16357992;181336;133022;116819;122576;4850.0;47407;16405399
169;2008 January;16405399;15071;12849;11236;9751;;3707;16409106
170;2008 February;16409106;14236;11380;10954;8609;;5201;16414307
171;2008 March;16414307;14771;12079;9580;8524;;3748;16418055
172;2008 April;16418055;14804;11366;10337;8493;;5282;16423337
173;2008 May;16423337;15597;11328;8961;7881;;5349;16428686
174;2008 June;16428686;15418;10444;10372;9097;;6249;16434935
175;2008 July;16434935;16903;10854;12782;13314;;5517;16440452
176;2008 August;16440452;16350;10434;15119;12395;;8640;16449092
177;2008 September;16449092;16393;10137;19940;10429;;15767;16464859
178;2008 October;16464859;15685;10992;13957;9800;;8850;16473709
179;2008 November;16473709;14556;10906;10849;8917;;5582;16479291
180;2008 December;16479291;14850;12367;9429;10569;5153.0;6496;16485787
181;2008;16405399;184634;135136;143516;117779;5153.0;80388;16485787
182;2009 January;16485787;15391;14371;11816;9581;;3255;16489042
183;2009 February;16489042;13704;11695;11329;7149;;6189;16495231
184;2009 March;16495231;15409;11546;11334;8745;;6452;16501683
185;2009 April;16501683;15098;10922;9898;8975;;5099;16506782
186;2009 May;16506782;15254;10670;8961;6712;;6833;16513615
187;2009 June;16513615;15522;10254;10783;9005;;7046;16520661
188;2009 July;16520661;16669;10573;13149;11506;;7739;16528400
189;2009 August;16528400;16238;10239;16244;12101;;10142;16538542
190;2009 September;16538542;16246;10253;20067;10006;;16054;16554596
191;2009 October;16554596;15424;11176;13601;10128;;7721;16562317
192;2009 November;16562317;14952;10719;10573;8624;;6182;16568499
193;2009 December;16568499;15008;11817;8623;9365;4041.0;6490;16574989
194;2009;16485787;184915;134235;146378;111897;4041.0;89202;16574989
195;2010 January;16574989;14929;12487;10962;9789;;3615;16578604
196;2010 February;16578604;13905;11519;11911;7734;;6563;16585167
197;2010 March;16585167;14994;12025;11677;10866;;3780;16588947
198;2010 April;16588947;14753;10976;9679;8430;;5026;16593973
199;2010 May;16593973;15031;11276;9116;7511;;5360;16599333
200;2010 June;16599333;15386;10657;11394;9321;;6802;16606135
201;2010 July;16606135;16160;11141;13240;12719;;5540;16611675
202;2010 August;16611675;16116;10423;18983;12136;;12540;16624215
203;2010 September;16624215;16219;10640;21545;12534;;14590;16638805
204;2010 October;16638805;16064;11426;14360;9535;;9463;16648268
205;2010 November;16648268;15436;10948;11839;10476;;5851;16654119
206;2010 December;16654119;15404;12540;9726;10300;-610.0;1680;16655799
207;2010;16574989;184397;136058;154432;121351;-610.0;80810;16655799
208;2011 January;16655799;15112;12200;12347;9916;;5343;16661142
209;2011 February;16661142;14119;10644;12624;8229;;7870;16669012
210;2011 March;16669012;14775;12044;11918;9730;;4919;16673931
211;2011 April;16673931;14289;11338;10028;10005;;2974;16676905
212;2011 May;16676905;15121;11292;10228;9449;;4608;16681513
213;2011 June;16681513;15371;10612;11026;10748;;5037;16686550
214;2011 July;16686550;15782;10995;13878;14635;;4030;16690580
215;2011 August;16690580;16104;10686;22165;14691;;12892;16703472
216;2011 September;16703472;15674;10635;23533;12966;;15606;16719078
217;2011 October;16719078;15105;11285;13445;11015;;6250;16725328
218;2011 November;16725328;14223;11475;12164;10566;;4346;16729674
219;2011 December;16729674;14385;12535;9606;11244;462.0;674;16730348
220;2011;16655799;180060;135741;162962;133194;462.0;74549;16730348
221;2012 January;16730348;14558;12490;12177;13313;;932;16731280
222;2012 February;16731280;13804;12511;13142;10025;;4410;16735690
223;2012 March;16735690;14672;12799;11210;11142;;1941;16737631
224;2012 April;16737631;14244;11876;9485;9720;;2133;16739764
225;2012 May;16739764;15089;11602;10082;10503;;3066;16742830
226;2012 June;16742830;14580;11062;10680;12332;;1866;16744696
227;2012 July;16744696;15218;11055;13579;15880;;1862;16746558
228;2012 August;16746558;15696;10855;21709;14941;;11609;16758167
229;2012 September;16758167;15129;10704;22205;12187;;14443;16772610
230;2012 October;16772610;15110;11510;14687;12171;;6116;16778726
231;2012 November;16778726;14204;11663;11222;11112;;2651;16781377
232;2012 December;16781377;13655;12686;8196;11165;198.0;-1802;16779575
233;2012;16730348;175959;140813;158374;144491;198.0;49227;16779575
234;2013 January;16779575;14534;13516;12794;12020;;1792;16781367
235;2013 February;16781367;12746;12539;12627;10331;;2503;16783870
236;2013 March;16783870;14074;13811;11080;10227;;1116;16784986
237;2013 April;16784986;13699;12354;10425;10973;;797;16785783
238;2013 May;16785783;14184;11441;10865;10399;;3209;16788992
239;2013 June;16788992;14110;10814;10771;10937;;3130;16792122
240;2013 July;16792122;15820;11261;14771;16163;;3167;16795289
241;2013 August;16795289;15362;10788;20993;14977;;10590;16805879
242;2013 September;16805879;14993;10326;23882;14352;;14197;16820076
243;2013 October;16820076;14437;11490;14825;12086;;5686;16825762
244;2013 November;16825762;13694;11029;11648;10823;;3490;16829252
245;2013 December;16829252;13688;11876;10091;12381;515.0;37;16829289
246;2013;16779575;171341;141245;164772;145669;515.0;49714;16829289
247;2014 January;16829289;14366;12198;14976;12514;;4630;16833919
248;2014 February;16833919;13267;11142;14472;10217;;6380;16840299
249;2014 March;16840299;14409;12008;12254;9974;;4681;16844980
250;2014 April;16844980;14031;11258;12257;10537;;4493;16849473
251;2014 May;16849473;14584;11367;10767;9720;;4264;16853737
252;2014 June;16853737;14626;10596;12275;12231;;4074;16857811
253;2014 July;16857811;15669;11721;14845;16745;;2048;16859859
254;2014 August;16859859;15460;11199;21939;15208;;10992;16870851
255;2014 September;16870851;15552;10972;26740;14716;;16604;16887455
256;2014 October;16887455;15220;11635;16974;12994;;7565;16895020
257;2014 November;16895020;13907;11725;12956;10000;;5138;16900158
258;2014 December;16900158;14090;13402;12494;13006;392.0;568;16900726
259;2014;16829289;175181;139223;182949;147862;392.0;71437;16900726
260;2015 January;16900726;14176;14955;16024;13216;;2029;16902755
261;2015 February;16902755;12523;13183;15306;10141;;4505;16907260
262;2015 March;16907260;13597;13673;13989;11238;;2675;16909935
263;2015 April;16909935;13241;12195;12792;10547;;3291;16913226
