ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
0;Nederland;Nederland                               ;Land      ;NL00      ;4154539.0;117602.0;8630.0;106607.0;2365.0;350161.0;231375.0;10412.0;11734.0;15283.0;81358.0;51202.0;2402.0;540.0;4292.0;3155.0;36896.0;3916.0;98834.0;28389.0;34474.0;3762.0;10659.0;21551.0;2264376.0;16622.0;2247754.0;486528.0;345380.0;87758.0;53390.0;366121.0;183116.0;32092.0;18134.0;15603.0;1242.0;9840.0;3306.0;603.0;102185.0;419483.0;256154.0;34593.0;29939.0;98797.0
1;Appingedam;Appingedam                              ;Gemeente  ;GM0003    ;2462.0;111.0;8.0;103.0;0.0;306.0;221.0;15.0;3.0;16.0;50.0;65.0;0.0;1.0;8.0;2.0;54.0;0.0;53.0;27.0;22.0;1.0;0.0;3.0;1784.0;0.0;1784.0;62.0;45.0;3.0;14.0;81.0;;;;;0.0;2.0;0.0;0.0;79.0;;;;;
2;Wijk 00;Appingedam                              ;Wijk      ;WK000300  ;2462.0;111.0;8.0;103.0;0.0;306.0;221.0;15.0;3.0;16.0;50.0;65.0;0.0;1.0;8.0;2.0;54.0;0.0;53.0;27.0;22.0;1.0;0.0;3.0;1784.0;0.0;1784.0;62.0;45.0;3.0;14.0;81.0;;;;;0.0;2.0;0.0;0.0;79.0;;;;;
3;Appingedam-Centrum;Appingedam                              ;Buurt     ;BU00030000;90.0;9.0;3.0;6.0;0.0;53.0;43.0;8.0;0.0;0.0;3.0;6.0;0.0;0.0;1.0;0.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;14.0;0.0;14.0;0.0;0.0;0.0;0.0;5.0;;;;;0.0;0.0;0.0;0.0;5.0;;;;;
4;Appingedam-West;Appingedam                              ;Buurt     ;BU00030001;163.0;12.0;1.0;11.0;0.0;75.0;74.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;1.0;0.0;6.0;6.0;0.0;0.0;0.0;0.0;60.0;0.0;60.0;0.0;0.0;0.0;0.0;5.0;;;;;0.0;0.0;0.0;0.0;5.0;;;;;
5;Appingedam-Oost;Appingedam                              ;Buurt     ;BU00030002;296.0;29.0;2.0;27.0;0.0;148.0;95.0;4.0;2.0;16.0;31.0;6.0;0.0;1.0;1.0;0.0;4.0;0.0;21.0;1.0;19.0;1.0;0.0;0.0;81.0;0.0;81.0;0.0;0.0;0.0;0.0;11.0;;;;;0.0;0.0;0.0;0.0;11.0;;;;;
6;Verspr.h. Damsterdiep en Eemskanaal;Appingedam                              ;Buurt     ;BU00030007;558.0;10.0;0.0;10.0;0.0;19.0;7.0;0.0;0.0;0.0;11.0;10.0;0.0;0.0;3.0;0.0;7.0;0.0;8.0;6.0;3.0;0.0;0.0;0.0;486.0;0.0;486.0;7.0;7.0;0.0;0.0;18.0;;;;;0.0;0.0;0.0;0.0;18.0;;;;;
7;Verspr.h. ten zuiden van Eemskanaal;Appingedam                              ;Buurt     ;BU00030008;587.0;28.0;0.0;28.0;0.0;7.0;1.0;0.0;0.0;0.0;5.0;38.0;0.0;0.0;0.0;2.0;37.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;434.0;0.0;434.0;53.0;35.0;3.0;14.0;28.0;;;;;0.0;0.0;0.0;0.0;28.0;;;;;
8;Verspr.h. ten N. van het Damsterdiep;Appingedam                              ;Buurt     ;BU00030009;767.0;23.0;2.0;21.0;0.0;5.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;12.0;0.0;0.0;0.0;3.0;709.0;0.0;709.0;2.0;2.0;0.0;0.0;13.0;;;;;0.0;2.0;0.0;0.0;11.0;;;;;
9;Bedum;Appingedam                              ;Gemeente  ;GM0005    ;4496.0;118.0;11.0;107.0;0.0;257.0;197.0;7.0;3.0;8.0;43.0;49.0;0.0;0.0;8.0;2.0;39.0;0.0;38.0;10.0;20.0;3.0;3.0;2.0;3896.0;0.0;3896.0;97.0;97.0;0.0;0.0;40.0;;;;;0.0;0.0;0.0;0.0;40.0;;;;;
