ID;Geslacht;Leeftijd;WijkenEnBuurten;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
63;Totaal mannen en vrouwen;15 tot 75 jaar;Ballo;130;80;;;;;
64;Totaal mannen en vrouwen;15 tot 75 jaar;Nijlande;50;30;;;;;
65;Totaal mannen en vrouwen;15 tot 75 jaar;Deurze;70;50;;;;;
66;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Nooitgedacht;350;260;73.0;85.0;66.0;19.0;15.0
67;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Rolde;120;90;;;;;
68;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 20 Grolloo;860;630;73.0;70.0;49.0;21.0;30.0
69;Totaal mannen en vrouwen;15 tot 75 jaar;Grolloo;490;360;74.0;79.0;55.0;24.0;21.0
70;Totaal mannen en vrouwen;15 tot 75 jaar;Schoonloo;140;90;;;;;
71;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Papenvoort;50;40;;;;;
72;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Grolloo;190;140;74.0;;;;
73;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 21 Ekehaar;400;290;73.0;69.0;48.0;21.0;31.0
74;Totaal mannen en vrouwen;15 tot 75 jaar;Ekehaar;200;140;72.0;;;;
75;Totaal mannen en vrouwen;15 tot 75 jaar;Amen;80;60;;;;;
76;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Ekehaar;110;80;;;;;
77;Totaal mannen en vrouwen;15 tot 75 jaar;Aalsmeer;23670;17990;76.0;82.0;57.0;25.0;18.0
78;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 00 Aalsmeer;9250;6890;75.0;82.0;56.0;26.0;18.0
79;Totaal mannen en vrouwen;15 tot 75 jaar;Centrum;1990;1530;77.0;79.0;57.0;23.0;21.0
80;Totaal mannen en vrouwen;15 tot 75 jaar;Stommeer;4840;3580;74.0;84.0;57.0;28.0;16.0
81;Totaal mannen en vrouwen;15 tot 75 jaar;Hornmeer;1740;1240;71.0;84.0;56.0;29.0;16.0
82;Totaal mannen en vrouwen;15 tot 75 jaar;Uiterweg;670;530;79.0;66.0;47.0;19.0;34.0
83;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Kudelstraat en Kalslagen;6950;5300;76.0;86.0;62.0;24.0;14.0
84;Totaal mannen en vrouwen;15 tot 75 jaar;Kudelstaart;6950;5300;76.0;86.0;62.0;24.0;14.0
85;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Oosteinde;7470;5800;78.0;80.0;55.0;25.0;20.0
86;Totaal mannen en vrouwen;15 tot 75 jaar;Bovenlanden;750;570;76.0;69.0;49.0;20.0;31.0
87;Totaal mannen en vrouwen;15 tot 75 jaar;Greenpark;750;570;76.0;76.0;42.0;34.0;24.0
88;Totaal mannen en vrouwen;15 tot 75 jaar;Oosteinde;5630;4400;78.0;83.0;57.0;25.0;17.0
89;Totaal mannen en vrouwen;15 tot 75 jaar;Schinkelpolder;340;260;77.0;67.0;48.0;19.0;33.0
90;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten;19910;14550;73.0;84.0;61.0;23.0;16.0
91;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Buitengebied Aalten;3100;2440;79.0;70.0;49.0;22.0;30.0
92;Totaal mannen en vrouwen;15 tot 75 jaar;Barlo-Kern;100;80;;;;;
93;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Barlo;380;300;80.0;67.0;46.0;22.0;33.0
94;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Heurne;280;220;81.0;71.0;49.0;22.0;29.0
95;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen IJzerlo;360;290;82.0;69.0;49.0;20.0;31.0
96;Totaal mannen en vrouwen;15 tot 75 jaar;IJzerlo-kern;120;90;;;;;
97;Totaal mannen en vrouwen;15 tot 75 jaar;Lintelo-kern;120;100;;;;;
98;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen ten westen van Aalten;200;160;79.0;58.0;33.0;25.0;42.0
99;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Lintelo;490;380;78.0;65.0;44.0;21.0;35.0
100;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Dalese Veld;90;70;;;;;
101;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Dale;490;370;75.0;77.0;56.0;21.0;23.0
102;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Haart;410;310;75.0;70.0;48.0;21.0;30.0
103;Totaal mannen en vrouwen;15 tot 75 jaar;Haart-kern;70;50;;;;;
104;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Bredevoort;1490;1120;75.0;83.0;59.0;24.0;17.0
105;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Bredevoort;160;130;77.0;;;;
106;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Hollenberg;160;120;72.0;;;;
107;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Het Zwanenbroek;60;50;;;;;
108;Totaal mannen en vrouwen;15 tot 75 jaar;Bredevoort;1110;830;75.0;86.0;61.0;25.0;14.0
109;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 03 Aalten Kern;9270;6810;73.0;88.0;64.0;24.0;12.0
110;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern West;1480;1010;68.0;91.0;67.0;25.0;9.0
111;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern Zuid 1;1800;1340;75.0;87.0;63.0;24.0;13.0
112;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern Zuid 2;1140;890;78.0;91.0;66.0;25.0;9.0
113;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern Noord/Noordoost;1870;1410;75.0;88.0;67.0;21.0;12.0
114;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten Kern 't Kobus;700;570;82.0;88.0;65.0;23.0;12.0
115;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern Oost;760;570;74.0;93.0;68.0;25.0;7.0
116;Totaal mannen en vrouwen;15 tot 75 jaar;Aalten-kern Centrum;1510;1010;67.0;83.0;56.0;27.0;17.0
117;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 04 Dinxperlo;6060;4200;69.0;86.0;64.0;22.0;14.0
118;Totaal mannen en vrouwen;15 tot 75 jaar;Dinxperlo Centrum/Oost;1910;1270;67.0;88.0;64.0;25.0;12.0
119;Totaal mannen en vrouwen;15 tot 75 jaar;Dinxperlo Noord;1320;890;68.0;89.0;66.0;24.0;11.0
120;Totaal mannen en vrouwen;15 tot 75 jaar;Dinxperlo West;1860;1320;71.0;89.0;68.0;21.0;11.0
121;Totaal mannen en vrouwen;15 tot 75 jaar;De Heurne-kern;270;210;77.0;86.0;64.0;21.0;14.0
122;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Dinxperlo;190;140;72.0;;;;
123;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen De Heurne;500;360;72.0;72.0;53.0;19.0;28.0
124;Totaal mannen en vrouwen;15 tot 75 jaar;Achtkarspelen;20660;14060;68.0;82.0;56.0;26.0;18.0
125;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 00 Noord;8780;5930;67.0;83.0;57.0;26.0;17.0
126;Totaal mannen en vrouwen;15 tot 75 jaar;Buitenpost;3650;2390;65.0;87.0;62.0;25.0;13.0
127;Totaal mannen en vrouwen;15 tot 75 jaar;Twijzel;760;530;70.0;78.0;53.0;25.0;22.0
128;Totaal mannen en vrouwen;15 tot 75 jaar;Kootstertille;1550;1060;68.0;85.0;56.0;30.0;15.0
129;Totaal mannen en vrouwen;15 tot 75 jaar;Twijzelerheide;1180;770;65.0;82.0;55.0;28.0;18.0
130;Totaal mannen en vrouwen;15 tot 75 jaar;Gerkesklooster;510;390;76.0;84.0;58.0;26.0;16.0
131;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Buitenpost;520;360;70.0;71.0;47.0;24.0;29.0
132;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Twijzel;70;50;;;;;
133;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Kootstertille;280;210;77.0;68.0;51.0;17.0;32.0
134;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Twijzelerheide;200;130;64.0;;;;
135;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Gerkesklooster;60;40;;;;;
136;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Centrum;2490;1780;72.0;79.0;55.0;24.0;21.0
137;Totaal mannen en vrouwen;15 tot 75 jaar;Stroobos;190;140;73.0;;;;
138;Totaal mannen en vrouwen;15 tot 75 jaar;Drogeham;1140;800;70.0;83.0;60.0;23.0;17.0
139;Totaal mannen en vrouwen;15 tot 75 jaar;Augustinusga;810;590;73.0;82.0;55.0;27.0;18.0
140;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Stroobos;40;30;;;;;
141;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Drogeham;150;120;76.0;;;;
142;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Augustinusga;150;100;71.0;;;;
143;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Zuid;9390;6350;68.0;83.0;56.0;26.0;17.0
144;Totaal mannen en vrouwen;15 tot 75 jaar;Surhuisterveen;3930;2590;66.0;84.0;58.0;27.0;16.0
145;Totaal mannen en vrouwen;15 tot 75 jaar;Harkema;3000;1980;66.0;84.0;57.0;27.0;16.0
146;Totaal mannen en vrouwen;15 tot 75 jaar;Surhuizum;670;500;73.0;87.0;60.0;27.0;13.0
147;Totaal mannen en vrouwen;15 tot 75 jaar;Boelenslaan;570;400;71.0;87.0;59.0;28.0;13.0
148;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Surhuisterveen;330;240;72.0;75.0;49.0;26.0;25.0
149;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Harkema;230;170;71.0;69.0;46.0;23.0;31.0
150;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Surhuizum;310;220;73.0;65.0;45.0;19.0;35.0
151;Totaal mannen en vrouwen;15 tot 75 jaar;Verspreide huizen Boelenslaan;350;260;74.0;71.0;47.0;24.0;29.0
152;Totaal mannen en vrouwen;15 tot 75 jaar;Alblasserdam;14320;10150;71.0;85.0;60.0;25.0;15.0
153;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Centrum;3360;2410;72.0;82.0;59.0;23.0;18.0
154;Totaal mannen en vrouwen;15 tot 75 jaar;Cortgene;600;420;71.0;79.0;58.0;21.0;21.0
155;Totaal mannen en vrouwen;15 tot 75 jaar;Redersbuurt;420;250;60.0;89.0;61.0;28.0;11.0
156;Totaal mannen en vrouwen;15 tot 75 jaar;kerkbuurt;1150;890;77.0;85.0;62.0;23.0;15.0
157;Totaal mannen en vrouwen;15 tot 75 jaar;Polderbuurt;390;310;79.0;78.0;58.0;20.0;22.0
158;Totaal mannen en vrouwen;15 tot 75 jaar;De Werven;800;540;67.0;77.0;55.0;22.0;23.0
159;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Kinderdijk;2750;2010;73.0;86.0;62.0;24.0;14.0
160;Totaal mannen en vrouwen;15 tot 75 jaar;Dijk;440;330;76.0;76.0;54.0;22.0;24.0
161;Totaal mannen en vrouwen;15 tot 75 jaar;Vogelbuurt;910;670;74.0;90.0;68.0;22.0;10.0
162;Totaal mannen en vrouwen;15 tot 75 jaar;Waterland;350;250;71.0;85.0;59.0;27.0;15.0
163;Totaal mannen en vrouwen;15 tot 75 jaar;Groene Long;10;10;;;;;
164;Totaal mannen en vrouwen;15 tot 75 jaar;Rivierenbuurt;630;420;67.0;87.0;62.0;25.0;13.0
165;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuw Kinderdijk;410;330;80.0;85.0;58.0;27.0;15.0
166;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 03 Blokweer;5560;3930;71.0;88.0;63.0;26.0;12.0
167;Totaal mannen en vrouwen;15 tot 75 jaar;Zeelt;760;570;75.0;89.0;62.0;27.0;11.0
168;Totaal mannen en vrouwen;15 tot 75 jaar;Middelland;470;360;76.0;86.0;66.0;20.0;14.0
169;Totaal mannen en vrouwen;15 tot 75 jaar;Blokweer Noord;770;530;69.0;91.0;63.0;28.0;9.0
170;Totaal mannen en vrouwen;15 tot 75 jaar;Blokweer Zuid;590;430;72.0;88.0;69.0;19.0;12.0
171;Totaal mannen en vrouwen;15 tot 75 jaar;Drentsebuurt;630;420;66.0;87.0;62.0;25.0;13.0
172;Totaal mannen en vrouwen;15 tot 75 jaar;Florabuurt;1130;790;70.0;90.0;64.0;26.0;10.0
173;Totaal mannen en vrouwen;15 tot 75 jaar;Staatsliedenbuurt;1220;830;68.0;87.0;59.0;29.0;13.0
174;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 04 Souburgh;2430;1650;68.0;83.0;57.0;26.0;17.0
175;Totaal mannen en vrouwen;15 tot 75 jaar;Schildersbuurt;830;530;64.0;85.0;62.0;23.0;15.0
176;Totaal mannen en vrouwen;15 tot 75 jaar;Schrijversbuurt;1130;780;69.0;84.0;56.0;28.0;16.0
177;Totaal mannen en vrouwen;15 tot 75 jaar;Klein Alblas;230;190;84.0;70.0;51.0;19.0;30.0
178;Totaal mannen en vrouwen;15 tot 75 jaar;Oranjebuurt;250;150;60.0;89.0;50.0;39.0;11.0
179;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 05 Bedrijventerrein;50;30;;;;;
180;Totaal mannen en vrouwen;15 tot 75 jaar;Vinkenwaard;20;10;;;;;
181;Totaal mannen en vrouwen;15 tot 75 jaar;Hoogendijk;0;0;;;;;
182;Totaal mannen en vrouwen;15 tot 75 jaar;Nieuwland;40;20;;;;;
183;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 06 Landelijk gebied;160;120;76.0;;;;
184;Totaal mannen en vrouwen;15 tot 75 jaar;Polder Blokweer;0;0;;;;;
185;Totaal mannen en vrouwen;15 tot 75 jaar;Polder Kortland;50;40;;;;;
186;Totaal mannen en vrouwen;15 tot 75 jaar;Polder Souburgh;20;10;;;;;
187;Totaal mannen en vrouwen;15 tot 75 jaar;Polder Vinkenwaard;90;70;;;;;
188;Totaal mannen en vrouwen;15 tot 75 jaar;Albrandswaard;18870;13790;73.0;85.0;63.0;22.0;15.0
189;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 01 Poortugaal-Noord;2100;1620;77.0;86.0;66.0;21.0;14.0
190;Totaal mannen en vrouwen;15 tot 75 jaar;Valckesteyn;1910;1490;78.0;87.0;66.0;21.0;13.0
191;Totaal mannen en vrouwen;15 tot 75 jaar;Zwaardijk-Kruisdijk;60;40;;;;;
192;Totaal mannen en vrouwen;15 tot 75 jaar;Poortugaal;40;20;;;;;
193;Totaal mannen en vrouwen;15 tot 75 jaar;Buitengebied Poortugaal;90;70;;;;;
194;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 02 Rhoon-Noord;1520;1030;68.0;83.0;61.0;22.0;17.0
195;Totaal mannen en vrouwen;15 tot 75 jaar;Rhoon Noord;1490;1010;68.0;83.0;61.0;22.0;17.0
196;Totaal mannen en vrouwen;15 tot 75 jaar;Buitengebied Rhoon-Noord;30;20;;;;;
197;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 03 Poortugaal-Zuid;4830;3390;70.0;87.0;64.0;23.0;13.0
198;Totaal mannen en vrouwen;15 tot 75 jaar;Beatrixstraat;720;460;65.0;86.0;58.0;28.0;14.0
199;Totaal mannen en vrouwen;15 tot 75 jaar;Landweg;1440;1040;72.0;87.0;63.0;24.0;13.0
200;Totaal mannen en vrouwen;15 tot 75 jaar;Poortugaal-Centrum;630;400;63.0;85.0;65.0;20.0;15.0
201;Totaal mannen en vrouwen;15 tot 75 jaar;Poortugaal Zuid;1830;1320;72.0;90.0;68.0;22.0;10.0
202;Totaal mannen en vrouwen;15 tot 75 jaar;Polder Albrandswaard;160;110;69.0;;;;
203;Totaal mannen en vrouwen;15 tot 75 jaar;Kijvelanden;50;50;;;;;
204;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 04 Rhoon-Zuid;4770;3440;72.0;82.0;61.0;21.0;18.0
205;Totaal mannen en vrouwen;15 tot 75 jaar;Rhoon-Centrum;1100;750;68.0;81.0;61.0;20.0;19.0
206;Totaal mannen en vrouwen;15 tot 75 jaar;Ghijseland;890;610;69.0;80.0;58.0;21.0;20.0
207;Totaal mannen en vrouwen;15 tot 75 jaar;Overhoeken;130;100;;;;;
208;Totaal mannen en vrouwen;15 tot 75 jaar;Park Rhoon;610;390;65.0;87.0;61.0;25.0;13.0
209;Totaal mannen en vrouwen;15 tot 75 jaar;Rhoon-Zuidoost;1010;850;84.0;85.0;67.0;17.0;15.0
210;Totaal mannen en vrouwen;15 tot 75 jaar;Tijsjesdijk;910;640;71.0;85.0;61.0;23.0;15.0
211;Totaal mannen en vrouwen;15 tot 75 jaar;Buitengebied Rhoon-Zuid;130;100;;;;;
212;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 05 Buitengebied Albrandswaard;210;160;77.0;65.0;43.0;22.0;35.0
213;Totaal mannen en vrouwen;15 tot 75 jaar;Portland-Koedoodzone;10;10;;;;;
214;Totaal mannen en vrouwen;15 tot 75 jaar;Buitengebied;200;150;77.0;65.0;42.0;23.0;35.0
215;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 06 Portland;5440;4140;76.0;86.0;64.0;22.0;14.0
216;Totaal mannen en vrouwen;15 tot 75 jaar;Driehoek;1630;1300;80.0;86.0;65.0;21.0;14.0
217;Totaal mannen en vrouwen;15 tot 75 jaar;Portland-Centrum;1170;910;78.0;87.0;63.0;24.0;13.0
218;Totaal mannen en vrouwen;15 tot 75 jaar;Wijkpark Portland;90;70;;;;;
219;Totaal mannen en vrouwen;15 tot 75 jaar;De Eilanden;2560;1850;73.0;87.0;64.0;23.0;13.0
220;Totaal mannen en vrouwen;15 tot 75 jaar;Wijk 07 Rotterdam-Albrandswaard;0;0;;;;;
221;Totaal mannen en vrouwen;15 tot 75 jaar;Distripark;0;0;;;;;
222;Totaal mannen en vrouwen;15 tot 75 jaar;Alkmaar;83740;58210;70.0;84.0;58.0;26.0;16.0
223;Totaal mannen en vrouwen;15 tot 75 jaar;Zuid;10500;7160;68.0;81.0;56.0;25.0;19.0
224;Totaal mannen en vrouwen;15 tot 75 jaar;Kooimeer;1410;840;59.0;90.0;58.0;33.0;10.0
225;Totaal mannen en vrouwen;15 tot 75 jaar;Dillenburg en Stadhouderskwartier;890;620;70.0;84.0;61.0;23.0;16.0
226;Totaal mannen en vrouwen;15 tot 75 jaar;Staatsliedenkwartier en Landstraten;1590;1070;67.0;85.0;56.0;29.0;15.0
227;Totaal mannen en vrouwen;15 tot 75 jaar;Oud-Rochdale;650;380;59.0;87.0;61.0;26.0;13.0
228;Totaal mannen en vrouwen;15 tot 75 jaar;Emmakwartier;1030;750;72.0;75.0;53.0;22.0;25.0
229;Totaal mannen en vrouwen;15 tot 75 jaar;Nassaukwartier en Hout;1140;810;71.0;75.0;53.0;22.0;25.0
230;Totaal mannen en vrouwen;15 tot 75 jaar;Oranjepark;940;630;67.0;76.0;56.0;20.0;24.0
231;Totaal mannen en vrouwen;15 tot 75 jaar;Cranenbroek;390;270;68.0;79.0;59.0;20.0;21.0
232;Totaal mannen en vrouwen;15 tot 75 jaar;Bloemwijk en Zocherkwartier;1350;980;72.0;83.0;54.0;29.0;17.0
233;Totaal mannen en vrouwen;15 tot 75 jaar;Burgemeesterskwartier;1090;820;75.0;77.0;56.0;21.0;23.0
