ID;Beroep;Marges;Perioden;TotaalWerknemersMetEenOngeval_1;WerknemersOngevalZonderVerzuim_2;WerknemersOngeval1DagOfMeerVerzuim_3;WerknemersOngeval4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;LetselOnbekend_8
0;Totaal;Waarde;2014;3.4;1.8;1.7;1.1;2.2;0.5;0.5;0.3
1;Totaal;Waarde;2015;3.0;1.7;1.4;0.9;2.0;0.4;0.4;0.2
2;Totaal;Waarde;2016;3.0;1.6;1.4;1.0;1.8;0.4;0.5;0.2
3;Totaal;Waarde;2017;3.4;1.8;1.6;1.2;2.3;0.5;0.4;0.2
4;Totaal;Waarde;2018;3.1;1.7;1.5;1.1;2.0;0.5;0.4;0.1
5;Totaal;Waarde;2019;3.3;1.8;1.5;1.1;2.2;0.5;0.3;0.1
6;Totaal;Waarde;2020;2.5;1.3;1.2;0.9;1.7;0.4;0.3;0.1
7;Totaal;Waarde;2021;2.6;1.3;1.3;1.0;1.6;0.5;0.4;0.1
8;Totaal;Waarde;2022;2.6;1.3;1.3;1.0;1.7;0.5;0.3;0.1
9;Totaal;Waarde;2023;2.7;1.4;1.3;0.9;1.7;0.5;0.3;0.1
10;Totaal;Waarde;2024;2.4;1.3;1.2;0.9;1.5;0.5;0.2;0.1
11;Totaal;Ondergrens 95%-interval;2014;3.2;1.7;1.5;1.0;2.0;0.4;0.4;0.2
12;Totaal;Ondergrens 95%-interval;2015;2.8;1.6;1.3;0.9;1.9;0.3;0.4;0.1
13;Totaal;Ondergrens 95%-interval;2016;2.8;1.5;1.3;0.9;1.7;0.4;0.4;0.2
14;Totaal;Ondergrens 95%-interval;2017;3.2;1.7;1.5;1.1;2.1;0.4;0.3;0.1
15;Totaal;Ondergrens 95%-interval;2018;3.0;1.6;1.4;1.0;1.9;0.5;0.3;0.1
16;Totaal;Ondergrens 95%-interval;2019;3.1;1.7;1.4;1.0;2.1;0.4;0.3;0.1
