ID;Perioden;AmerikaanseDollarPer1_1;AustralischeDollarPer100_2;BelgischeFrankPer100_3;CanadeseDollarPer1_4;DeenseKroonPer100_5;DuitseMarkPer100_6;EuropeseRekeneenheidPer1_7;FinseMarkPer100_8;FranseFrankPer100_9;GriekseDrachmePer100_10;HongKongDollarPer100_11;IersePondPer1_12;ItaliaanseLirePer10000_13;JapanseYenPer10000_14;NieuwzeelandseDollarPer100_15;NoorseKroonPer100_16;OostenrijkseShillingPer100_17;PondSterlingPer1_18;PortugeseEscudoPer100_19;SpaansePesetaPer100_20;ZuidafrikaanseRandPer1_21;ZweedseKroonPer100_22;ZwitserseFrankPer100_23
0;1962 januari;;;;;;;;;;;;;;;;;;;;;;;
1;1962 februari;;;;;;;;;;;;;;;;;;;;;;;
2;1962 maart;;;;;;;;;;;;;;;;;;;;;;;
3;1962 april;;;;;;;;;;;;;;;;;;;;;;;
4;1962 mei;;;;;;;;;;;;;;;;;;;;;;;
5;1962 juni;;;;;;;;;;;;;;;;;;;;;;;
6;1962 juli;;;;;;;;;;;;;;;;;;;;;;;
7;1962 augustus;;;;;;;;;;;;;;;;;;;;;;;
8;1962 september;;;;;;;;;;;;;;;;;;;;;;;
9;1962 oktober;;;;;;;;;;;;;;;;;;;;;;;
10;1962 november;;;;;;;;;;;;;;;;;;;;;;;
11;1962 december;;;;;;;;;;;;;;;;;;;;;;;
12;1962;;;;3.34;;;;;;;;;;;;;;;;;;;
13;1963 januari;;;;;;;;;;;;;;;;;;;;;;;
14;1963 februari;;;;;;;;;;;;;;;;;;;;;;;
15;1963 maart;;;;;;;;;;;;;;;;;;;;;;;
16;1963 april;;;;;;;;;;;;;;;;;;;;;;;
17;1963 mei;;;;;;;;;;;;;;;;;;;;;;;
18;1963 juni;;;;;;;;;;;;;;;;;;;;;;;
19;1963 juli;;;;;;;;;;;;;;;;;;;;;;;
20;1963 augustus;;;;;;;;;;;;;;;;;;;;;;;
21;1963 september;;;;;;;;;;;;;;;;;;;;;;;
22;1963 oktober;;;;;;;;;;;;;;;;;;;;;;;
23;1963 november;;;;;;;;;;;;;;;;;;;;;;;
24;1963 december;;;;;;;;;;;;;;;;;;;;;;;
25;1963;;;;3.34;;;;;;;;;;;;;;;;;;;
26;1964 januari;;;;;;;;;;;;;;;;;;;;;;;
27;1964 februari;;;;;;;;;;;;;;;;;;;;;;;
28;1964 maart;;;;;;;;;;;;;;;;;;;;;;;
29;1964 april;;;;;;;;;;;;;;;;;;;;;;;
30;1964 mei;;;;;;;;;;;;;;;;;;;;;;;
31;1964 juni;;;;;;;;;;;;;;;;;;;;;;;
32;1964 juli;;;;;;;;;;;;;;;;;;;;;;;
33;1964 augustus;;;;;;;;;;;;;;;;;;;;;;;
34;1964 september;;;;;;;;;;;;;;;;;;;;;;;
35;1964 oktober;;;;;;;;;;;;;;;;;;;;;;;
36;1964 november;;;;;;;;;;;;;;;;;;;;;;;
37;1964 december;;;;;;;;;;;;;;;;;;;;;;;
38;1964;;;;3.34;;;;;;;;;;;;;;;;;;;
39;1965 januari;3.59;;7.24;;51.97;90.34;;;73.33;;;;;;;50.23;13.91;10.03;;;;69.96;83.2
40;1965 februari;3.59;;7.24;;51.97;90.34;;;73.34;;;;;;;50.26;13.91;10.04;;;;69.98;83.13
41;1965 maart;3.6;;7.25;;52.03;90.52;;;73.44;;;;;;;50.32;13.94;10.05;;;;70.09;82.9
42;1965 april;3.6;;7.25;;52.06;90.53;;;73.44;;;;;;;50.34;13.94;10.06;;;;69.97;82.87
43;1965 mei;3.6;;7.26;;52.07;90.39;;;73.47;;;;;;;50.36;13.95;10.07;;;;69.92;82.87
44;1965 juni;3.6;;7.27;;52.03;90.16;;;73.58;;;;;;;50.4;13.97;10.07;;;;69.84;83.2
45;1965 juli;3.6;;7.26;;51.95;89.92;;;73.51;;;;;;;50.35;13.97;10.05;;;;69.73;83.31
46;1965 augustus;3.6;;7.25;;51.84;89.68;;;73.42;;;;;;;50.3;13.95;10.04;;;;69.57;83.35
47;1965 september;3.6;;7.25;;52.05;89.75;;;73.44;;;;;;;50.37;13.95;10.07;;;;69.67;83.38
48;1965 oktober;3.6;;7.25;;52.23;89.9;;;73.44;;;;;;;50.41;13.94;10.09;;;;69.61;83.37
49;1965 november;3.6;;7.26;;52.27;90.07;;;73.52;;;;;;;50.45;13.95;10.1;;;;69.65;83.41
50;1965 december;3.61;;7.27;;52.38;90.16;;;73.6;;;;;;;50.5;13.96;10.11;;;;69.72;83.55
51;1965;3.6;;7.25;3.34;52.07;90.14;;;73.46;;;;;;;50.36;13.94;10.07;;;;69.81;83.22
52;1966 januari;3.61;;7.28;;52.5;90.12;;;73.76;;;;;;;50.61;13.99;10.14;;;;69.93;83.54
53;1966 februari;3.62;;7.29;;52.52;90.24;;;73.92;;;;;;;50.7;14.02;10.15;;;;70.1;83.61
54;1966 maart;3.62;;7.28;;52.48;90.21;;;73.89;;;;;;;50.63;14.02;10.12;;;;70.2;83.43
55;1966 april;3.63;;7.29;;52.61;90.44;;;74.11;;;;;;;50.76;14.06;10.15;;;;70.41;83.91
56;1966 mei;3.63;;7.29;;52.49;90.37;;;74.08;;;;;;;50.72;14.05;10.14;;;;70.43;84.11
57;1966 juni;3.61;;7.26;;52.3;90.29;;;73.81;;;;;;;50.54;14.01;10.09;;;;70.12;83.82
58;1966 juli;3.61;;7.26;;52.12;90.36;;;73.61;;;;;;;50.41;13.99;10.06;;;;69.82;83.57
59;1966 augustus;3.61;;7.27;;52.13;90.47;;;73.65;;;;;;;50.51;13.99;10.07;;;;69.91;83.46
60;1966 september;3.62;;7.25;;52.38;90.75;;;73.57;;;;;;;50.64;14.03;10.1;;;;70.03;83.63
61;1966 oktober;3.62;;7.24;;52.46;90.89;;;73.32;;;;;;;50.66;14.02;10.11;;;;69.98;83.5
62;1966 november;3.62;;7.24;;52.38;90.99;;;73.21;;;;;;;50.64;14.0;10.1;;;;69.97;83.73
63;1966 december;3.62;;7.23;;52.41;91.07;;;73.09;;;;;;;50.61;13.99;10.09;;;;69.93;83.69
64;1966;3.62;;7.26;3.36;52.39;90.52;;;73.66;;;;;;;50.62;14.01;10.31;;;;70.06;83.66
65;1967 januari;3.61;;7.23;3.34;52.28;90.83;;;72.99;;;;;;;50.51;13.97;10.08;;;;69.87;83.44
66;1967 februari;3.61;;7.26;3.34;52.16;90.88;;;73.01;;;;;;;50.48;13.97;10.09;;;;69.89;83.28
67;1967 maart;3.61;;7.27;3.34;52.26;90.91;;;72.99;;;;;;;50.52;13.98;10.1;;;;69.97;83.38
68;1967 april;3.61;;7.27;3.34;52.29;90.91;;;73.08;;;;;;;50.55;13.98;10.11;;;;70.08;83.55
69;1967 mei;3.6;;7.26;3.33;52.1;90.64;;;73.27;;;;;;;50.44;13.96;10.08;;;;69.95;83.53
70;1967 juni;3.6;;7.26;3.33;52.04;90.51;;;73.41;;;;;;;50.41;13.95;10.06;;;;69.96;83.47
71;1967 juli;3.6;;7.26;3.34;51.92;90.05;;;73.46;;;;;;;50.38;13.96;10.04;;;;69.86;83.31
72;1967 augustus;3.6;;7.25;3.34;51.83;89.89;;;73.35;;;;;;;50.31;13.94;10.02;;;;69.78;82.97
73;1967 september;3.6;;7.25;3.34;51.87;89.89;;;73.33;;;;;;;50.31;13.94;10.01;;;;69.73;82.85
74;1967 oktober;3.59;;7.25;3.35;51.85;89.81;;;73.34;;;;;;;50.27;13.92;10.01;;;;69.56;82.83
75;1967 november;3.6;;7.25;3.34;48.2;90.15;;;73.37;;;;;;;50.3;13.91;8.71;;;;69.51;83.25
76;1967 december;3.6;;7.27;3.33;48.23;90.25;;;73.32;;;;;;;50.35;13.93;8.65;;;;69.57;83.29
77;1967;3.6;;7.25;3.34;52.04;90.39;;;73.24;;;;;99.35;;50.4;13.95;10.06;;;;69.81;83.26
78;1968 januari;3.6;;7.25;3.32;48.33;90.01;;;73.2;;;;57.69;;;50.45;13.93;8.68;;;;69.81;82.97
79;1968 februari;3.61;;7.27;3.32;48.4;90.14;;;73.31;;;;58.11;;;50.52;13.95;8.69;;;;69.85;82.97
80;1968 maart;3.61;;7.26;3.32;48.45;90.4;;;73.33;;;;58.04;;;50.52;13.94;8.66;;;;69.8;83.27
81;1968 april;3.62;;7.28;3.35;48.55;90.81;;;73.45;;;;57.94;;;50.67;14.0;8.69;;;;69.99;83.42
82;1968 mei;3.62;;7.28;3.36;48.5;90.9;;;73.35;;;;58.14;;;50.66;14.0;8.65;;;;70.04;83.7
83;1968 juni;3.62;;7.27;3.36;48.44;90.64;;;72.82;;;;58.12;;;50.71;14.03;8.64;;;;70.09;84.2
84;1968 juli;3.62;;7.25;3.37;48.24;90.37;;;72.82;;;;58.2;;;50.7;14.04;8.65;;;;70.09;84.27
