ID;Persoonskenmerken;Perioden;ZiekteverzuimpercentageWerknemers_1;AandeelWerknemersDatHeeftVerzuimd_2;GemiddeldeVerzuimfrequentie_3;GemiddeldeVerzuimduur_4;k_1Tot5Werkdagen_5;k_5Tot20Werkdagen_6;k_20Tot210Werkdagen_7;k_210WerkdagenOfMeer_8;JaHoofdzakelijkGevolgVanMijnWerk_9;JaVoorEenDeelGevolgVanMijnWerk_10;NeeGeenGevolgVanMijnWerk_11;WeetNiet_12
0;10000;2005;4.8;54.0;1.3;8.7;62.3;24.9;11.9;0.9;10.9;16.4;67.7;4.9
1;10000;2006;4.5;51.8;1.2;8.1;64.1;22.6;12.1;1.1;10.7;17.1;67.7;4.5
2;10000;2007;4.2;49.6;1.1;7.6;64.0;22.9;12.1;1.1;9.7;16.5;69.0;4.8
3;10000;2008;4.1;52.1;1.2;7.5;64.8;23.5;10.6;1.0;9.1;15.6;70.8;4.5
4;10000;2009;4.0;51.7;1.1;7.2;66.1;22.4;10.8;0.6;7.8;15.4;71.7;5.0
5;10000;2010;4.2;49.9;1.1;7.5;65.7;21.7;11.7;0.9;8.7;16.0;71.1;4.3
6;10000;2011;4.3;49.2;1.1;7.7;65.6;21.4;12.1;0.9;9.4;15.6;70.6;4.3
7;10000;2012;4.1;47.1;1.1;7.3;65.5;21.5;11.9;1.1;9.0;16.3;69.7;5.0
8;10000;2013;4.0;47.7;1.1;7.0;65.4;21.9;11.8;0.9;8.2;14.8;71.1;5.9
9;12600;2005;4.7;53.4;1.2;8.5;62.7;24.0;12.3;0.9;10.3;15.8;69.6;4.2
10;12600;2006;4.4;51.4;1.1;8.0;64.4;22.0;12.4;1.2;10.3;16.3;69.2;4.2
11;12600;2007;4.1;49.0;1.1;7.5;64.7;21.9;12.3;1.1;9.1;15.7;70.8;4.5
12;12600;2008;4.1;51.6;1.1;7.3;65.4;23.1;10.5;1.0;8.4;14.9;72.7;4.0
13;12600;2009;4.0;51.3;1.1;7.2;66.1;22.1;11.1;0.7;7.2;15.3;73.0;4.5
14;12600;2010;4.2;49.5;1.1;7.5;66.1;20.9;12.1;0.9;8.2;15.5;72.5;3.8
15;12600;2011;4.3;48.7;1.0;7.5;65.7;21.0;12.3;1.0;8.8;15.1;72.3;3.7
