ID;Geslacht;Leeftijd;OpleidingsrichtingEnSector;BedrijfstakkenEnBranchesSBI2008;Perioden;TotaalMboGediplomeerdenMetWerk_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;Mannen en vrouwen;Totaal leeftijd;0;0;2007/'08;66330;31470;34850;3850;17940;19330;25220;900;5440;7430;17710;2940;12510;11900;7510
1;Mannen en vrouwen;Totaal leeftijd;0;0;2008/'09;66390;28470;37920;3500;17940;20110;24840;570;4890;6580;16430;2930;13060;13530;8410
2;Mannen en vrouwen;Totaal leeftijd;0;10;2007/'08;820;480;350;20;260;300;240;10;110;140;210;10;150;160;20
3;Mannen en vrouwen;Totaal leeftijd;0;10;2008/'09;810;460;350;10;270;300;230;10;100;130;210;0;160;160;20
4;Mannen en vrouwen;Totaal leeftijd;0;11;2007/'08;820;480;350;20;260;300;240;10;110;140;210;10;150;160;20
5;Mannen en vrouwen;Totaal leeftijd;0;11;2008/'09;810;460;350;10;270;300;230;10;100;130;210;0;160;160;20
6;Mannen en vrouwen;Totaal leeftijd;0;20;2007/'08;30;10;10;0;10;10;10;0;0;0;10;0;10;10;0
7;Mannen en vrouwen;Totaal leeftijd;0;20;2008/'09;10;10;10;0;0;10;10;0;0;0;0;0;0;10;0
8;Mannen en vrouwen;Totaal leeftijd;0;21;2007/'08;30;10;10;0;10;10;10;0;0;0;10;0;10;10;0
9;Mannen en vrouwen;Totaal leeftijd;0;21;2008/'09;10;10;10;0;0;10;10;0;0;0;0;0;0;10;0
10;Mannen en vrouwen;Totaal leeftijd;0;30;2007/'08;5900;1270;4630;1570;1720;1500;1110;40;220;220;790;1530;1490;1290;320
11;Mannen en vrouwen;Totaal leeftijd;0;30;2008/'09;6520;990;5530;1860;1940;1540;1190;30;140;180;650;1840;1800;1350;540
12;Mannen en vrouwen;Totaal leeftijd;0;50;2007/'08;80;20;60;0;20;40;30;0;0;0;20;0;20;40;10
13;Mannen en vrouwen;Totaal leeftijd;0;50;2008/'09;90;10;80;0;10;40;40;0;0;0;10;0;10;40;30
14;Mannen en vrouwen;Totaal leeftijd;0;60;2007/'08;100;30;60;0;30;40;30;0;0;10;20;0;30;30;10
15;Mannen en vrouwen;Totaal leeftijd;0;60;2008/'09;110;30;70;0;30;40;40;0;10;10;20;0;20;30;20
16;Mannen en vrouwen;Totaal leeftijd;0;70;2007/'08;5140;950;4200;120;1520;2170;1330;30;150;110;660;90;1370;2070;670
17;Mannen en vrouwen;Totaal leeftijd;0;70;2008/'09;4990;760;4240;90;1500;2140;1260;20;110;70;550;70;1380;2070;710
18;Mannen en vrouwen;Totaal leeftijd;0;80;2007/'08;11720;6010;5710;530;3220;2880;5090;200;1250;1130;3440;340;1970;1750;1650
19;Mannen en vrouwen;Totaal leeftijd;0;80;2008/'09;11860;5780;6080;400;3310;3040;5100;130;1220;1070;3360;270;2100;1970;1740
20;Mannen en vrouwen;Totaal leeftijd;0;90;2007/'08;2840;840;2000;50;1620;410;770;10;120;140;570;30;1500;270;200
21;Mannen en vrouwen;Totaal leeftijd;0;90;2008/'09;2040;730;1310;20;1070;340;610;10;120;120;480;20;950;220;130
22;Mannen en vrouwen;Totaal leeftijd;0;I Horeca;2007/'08;3420;2150;1270;170;910;920;1420;100;500;300;1250;70;410;620;170
23;Mannen en vrouwen;Totaal leeftijd;0;I Horeca;2008/'09;3500;2110;1390;130;1090;900;1380;70;530;290;1220;60;560;610;160
24;Mannen en vrouwen;Totaal leeftijd;0;J Informatie en communicatie;2007/'08;670;590;80;10;70;130;460;0;50;100;440;0;20;30;30
25;Mannen en vrouwen;Totaal leeftijd;0;J Informatie en communicatie;2008/'09;610;440;170;10;40;170;390;0;30;60;350;0;10;110;40
26;Mannen en vrouwen;Totaal leeftijd;0;K Financiële dienstverlening;2007/'08;370;280;100;0;50;60;260;0;20;30;220;0;20;40;40
