ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
0;Total male and female;Total;Total;1995;15424122.0
1;Total male and female;Total;Total;1996;15493889.0
2;Total male and female;Total;Total;1997;15567107.0
3;Total male and female;Total;Total;1998;15654192.0
4;Total male and female;Total;Total;1999;15760225.0
5;Total male and female;Total;Total;2000;15863950.0
6;Total male and female;Total;Total;2001;15987075.0
7;Total male and female;Total;Total;2002;16105285.0
8;Total male and female;Total;Total;2003;16192572.0
9;Total male and female;Total;Total;2004;16258032.0
10;Total male and female;Total;Total;2005;16305526.0
11;Total male and female;Total;Total;2006;16334210.0
12;Total male and female;Total;Total;2007;16357992.0
13;Total male and female;Total;Total;2008;16405399.0
14;Total male and female;Total;Total;2009;16485787.0
15;Total male and female;Total;Total;2010;16574989.0
16;Total male and female;Total;Total;2011;16655799.0
17;Total male and female;Total;Total;2012;16730348.0
18;Total male and female;Total;Total;2013;16779575.0
19;Total male and female;Total;Total;2014;16829289.0
20;Total male and female;Total;Total;2015;16900726.0
21;Total male and female;Total;Total;2016;16979120.0
22;Total male and female;Total;Total;2017;17081507.0
23;Total male and female;Total;Total;2018;17181084.0
24;Total male and female;Total;Total;2019;17282163.0
25;Total male and female;Total;Total;2020;17407585.0
26;Total male and female;Total;Total;2021;17475415.0
27;Total male and female;Total;Total;2022;17590672.0
28;Total male and female;Total;Total;2023;17811291.0
29;Total male and female;Total;Dutch;1995;14666984.0
30;Total male and female;Total;Dutch;1996;14768468.0
31;Total male and female;Total;Dutch;1997;14887238.0
32;Total male and female;Total;Dutch;1998;14976115.0
33;Total male and female;Total;Dutch;1999;15097853.0
34;Total male and female;Total;Dutch;2000;15212418.0
35;Total male and female;Total;Dutch;2001;15319273.0
36;Total male and female;Total;Dutch;2002;15414892.0
37;Total male and female;Total;Dutch;2003;15492618.0
38;Total male and female;Total;Dutch;2004;15555847.0
39;Total male and female;Total;Dutch;2005;15606175.0
40;Total male and female;Total;Dutch;2006;15642853.0
41;Total male and female;Total;Dutch;2007;15676060.0
42;Total male and female;Total;Dutch;2008;15717024.0
43;Total male and female;Total;Dutch;2009;15766293.0
44;Total male and female;Total;Dutch;2010;15839792.0
45;Total male and female;Total;Dutch;2011;15895431.0
46;Total male and female;Total;Dutch;2012;15944300.0
47;Total male and female;Total;Dutch;2013;15983340.0
48;Total male and female;Total;Dutch;2014;16013258.0
49;Total male and female;Total;Dutch;2015;16053457.0
50;Total male and female;Total;Dutch;2016;16078616.0
51;Total male and female;Total;Dutch;2017;16109209.0
52;Total male and female;Total;Dutch;2018;16140279.0
53;Total male and female;Total;Dutch;2019;16171304.0
54;Total male and female;Total;Dutch;2020;16215228.0
55;Total male and female;Total;Dutch;2021;16272450.0
56;Total male and female;Total;Dutch;2022;16334426.0
57;Total male and female;Total;Dutch;2023;16365940.0
58;Total male and female;Total;Total non-Dutch nationality;1995;757138.0
59;Total male and female;Total;Total non-Dutch nationality;1996;725421.0
60;Total male and female;Total;Total non-Dutch nationality;1997;679869.0
61;Total male and female;Total;Total non-Dutch nationality;1998;678077.0
62;Total male and female;Total;Total non-Dutch nationality;1999;662372.0
63;Total male and female;Total;Total non-Dutch nationality;2000;651532.0
64;Total male and female;Total;Total non-Dutch nationality;2001;667802.0
65;Total male and female;Total;Total non-Dutch nationality;2002;690393.0
66;Total male and female;Total;Total non-Dutch nationality;2003;699954.0
67;Total male and female;Total;Total non-Dutch nationality;2004;702185.0
68;Total male and female;Total;Total non-Dutch nationality;2005;699351.0
69;Total male and female;Total;Total non-Dutch nationality;2006;691357.0
70;Total male and female;Total;Total non-Dutch nationality;2007;681932.0
71;Total male and female;Total;Total non-Dutch nationality;2008;688375.0
72;Total male and female;Total;Total non-Dutch nationality;2009;719494.0
73;Total male and female;Total;Total non-Dutch nationality;2010;735197.0
74;Total male and female;Total;Total non-Dutch nationality;2011;760368.0
75;Total male and female;Total;Total non-Dutch nationality;2012;786048.0
76;Total male and female;Total;Total non-Dutch nationality;2013;796235.0
77;Total male and female;Total;Total non-Dutch nationality;2014;816031.0
78;Total male and female;Total;Total non-Dutch nationality;2015;847269.0
79;Total male and female;Total;Total non-Dutch nationality;2016;900504.0
80;Total male and female;Total;Total non-Dutch nationality;2017;972298.0
81;Total male and female;Total;Total non-Dutch nationality;2018;1040805.0
82;Total male and female;Total;Total non-Dutch nationality;2019;1110859.0
83;Total male and female;Total;Total non-Dutch nationality;2020;1192357.0
84;Total male and female;Total;Total non-Dutch nationality;2021;1202965.0
85;Total male and female;Total;Total non-Dutch nationality;2022;1256246.0
86;Total male and female;Total;Total non-Dutch nationality;2023;1445351.0
87;Total male and female;Total;Africa;1995;206649.0
88;Total male and female;Total;Africa;1996;197625.0
89;Total male and female;Total;Africa;1997;180286.0
90;Total male and female;Total;Africa;1998;176219.0
91;Total male and female;Total;Africa;1999;164006.0
92;Total male and female;Total;Africa;2000;149764.0
93;Total male and female;Total;Africa;2001;139627.0
94;Total male and female;Total;Africa;2002;131415.0
95;Total male and female;Total;Africa;2003;124781.0
96;Total male and female;Total;Africa;2004;122108.0
97;Total male and female;Total;Africa;2005;119908.0
98;Total male and female;Total;Africa;2006;114876.0
99;Total male and female;Total;Africa;2007;108801.0
100;Total male and female;Total;Africa;2008;102606.0
101;Total male and female;Total;Africa;2009;99309.0
102;Total male and female;Total;Africa;2010;96294.0
103;Total male and female;Total;Africa;2011;91282.0
104;Total male and female;Total;Africa;2012;85675.0
105;Total male and female;Total;Africa;2013;80061.0
106;Total male and female;Total;Africa;2014;77602.0
107;Total male and female;Total;Africa;2015;77510.0
108;Total male and female;Total;Africa;2016;81573.0
109;Total male and female;Total;Africa;2017;86581.0
110;Total male and female;Total;Africa;2018;91226.0
111;Total male and female;Total;Africa;2019;98004.0
112;Total male and female;Total;Africa;2020;106335.0
113;Total male and female;Total;Africa;2021;104584.0
114;Total male and female;Total;Africa;2022;102998.0
115;Total male and female;Total;Africa;2023;107960.0
116;Total male and female;Total;America;1995;43934.0
117;Total male and female;Total;America;1996;40580.0
118;Total male and female;Total;America;1997;36936.0
119;Total male and female;Total;America;1998;37695.0
120;Total male and female;Total;America;1999;37413.0
121;Total male and female;Total;America;2000;36484.0
122;Total male and female;Total;America;2001;37426.0
123;Total male and female;Total;America;2002;38635.0
124;Total male and female;Total;America;2003;39620.0
125;Total male and female;Total;America;2004;41085.0
126;Total male and female;Total;America;2005;41927.0
127;Total male and female;Total;America;2006;41187.0
128;Total male and female;Total;America;2007;40461.0
129;Total male and female;Total;America;2008;39866.0
130;Total male and female;Total;America;2009;41068.0
131;Total male and female;Total;America;2010;40976.0
132;Total male and female;Total;America;2011;41610.0
133;Total male and female;Total;America;2012;42309.0
134;Total male and female;Total;America;2013;42163.0
135;Total male and female;Total;America;2014;42504.0
136;Total male and female;Total;America;2015;42943.0
137;Total male and female;Total;America;2016;44912.0
138;Total male and female;Total;America;2017;46029.0
139;Total male and female;Total;America;2018;49543.0
140;Total male and female;Total;America;2019;54630.0
141;Total male and female;Total;America;2020;60251.0
142;Total male and female;Total;America;2021;59734.0
143;Total male and female;Total;America;2022;63824.0
144;Total male and female;Total;America;2023;70356.0
145;Total male and female;Total;Asia;1995;69614.0
146;Total male and female;Total;Asia;1996;71721.0
147;Total male and female;Total;Asia;1997;67919.0
148;Total male and female;Total;Asia;1998;69048.0
149;Total male and female;Total;Asia;1999;67091.0
150;Total male and female;Total;Asia;2000;61073.0
151;Total male and female;Total;Asia;2001;60503.0
152;Total male and female;Total;Asia;2002;61903.0
153;Total male and female;Total;Asia;2003;63655.0
154;Total male and female;Total;Asia;2004;67320.0
155;Total male and female;Total;Asia;2005;69918.0
156;Total male and female;Total;Asia;2006;71744.0
157;Total male and female;Total;Asia;2007;73498.0
158;Total male and female;Total;Asia;2008;75249.0
159;Total male and female;Total;Asia;2009;80227.0
160;Total male and female;Total;Asia;2010;83948.0
161;Total male and female;Total;Asia;2011;87954.0
162;Total male and female;Total;Asia;2012;92968.0
163;Total male and female;Total;Asia;2013;97336.0
164;Total male and female;Total;Asia;2014;100682.0
165;Total male and female;Total;Asia;2015;109895.0
166;Total male and female;Total;Asia;2016;132667.0
167;Total male and female;Total;Asia;2017;170729.0
168;Total male and female;Total;Asia;2018;197924.0
169;Total male and female;Total;Asia;2019;217767.0
