ID;PeriodeVanBouwvergunningVerlening;RegioS;Perioden;NogGereedTeKomenNieuwbouwwoningen_1;NogGereedTeKomenNieuwbouwwooneenheid_2;NogGereedTeKomenRecreatiewoningen_3
0;Totaal alle perioden bouwvergunning;Nederland;2005 1e kwartaal;144933.0;758.0;10693.0
1;Totaal alle perioden bouwvergunning;Nederland;2005 2e kwartaal;149774.0;1122.0;11075.0
2;Totaal alle perioden bouwvergunning;Nederland;2005 3e kwartaal;153335.0;1203.0;11251.0
3;Totaal alle perioden bouwvergunning;Nederland;2005 4e kwartaal;149598.0;1287.0;10778.0
4;Totaal alle perioden bouwvergunning;Nederland;2006 1e kwartaal;159457.0;1245.0;10639.0
5;Totaal alle perioden bouwvergunning;Nederland;2006 2e kwartaal;171274.0;1240.0;10892.0
6;Totaal alle perioden bouwvergunning;Nederland;2006 3e kwartaal;176934.0;1289.0;10808.0
7;Totaal alle perioden bouwvergunning;Nederland;2006 4e kwartaal;169992.0;1119.0;10932.0
8;Totaal alle perioden bouwvergunning;Nederland;2007 1e kwartaal;177103.0;1096.0;10988.0
9;Totaal alle perioden bouwvergunning;Nederland;2007 2e kwartaal;181802.0;1095.0;10973.0
10;Totaal alle perioden bouwvergunning;Nederland;2007 3e kwartaal;186537.0;1200.0;11123.0
11;Totaal alle perioden bouwvergunning;Nederland;2007 4e kwartaal;176645.0;797.0;10431.0
12;Totaal alle perioden bouwvergunning;Nederland;2008 1e kwartaal;180067.0;787.0;10486.0
13;Totaal alle perioden bouwvergunning;Nederland;2008 2e kwartaal;183138.0;764.0;10507.0
14;Totaal alle perioden bouwvergunning;Nederland;2008 3e kwartaal;188824.0;612.0;10537.0
15;Totaal alle perioden bouwvergunning;Nederland;2008 4e kwartaal;184673.0;756.0;10371.0
16;Totaal alle perioden bouwvergunning;Nederland;2009 1e kwartaal;186249.0;763.0;10445.0
17;Totaal alle perioden bouwvergunning;Nederland;2009 2e kwartaal;187891.0;770.0;10929.0
18;Totaal alle perioden bouwvergunning;Nederland;2009 3e kwartaal;185586.0;746.0;11023.0
19;Totaal alle perioden bouwvergunning;Nederland;2009 4e kwartaal;171939.0;821.0;10901.0
20;Totaal alle perioden bouwvergunning;Nederland;2010 1e kwartaal;174526.0;1050.0;10982.0
21;Totaal alle perioden bouwvergunning;Nederland;2010 2e kwartaal;177529.0;1146.0;11111.0
22;Totaal alle perioden bouwvergunning;Nederland;2010 3e kwartaal;179395.0;1185.0;11007.0
23;Totaal alle perioden bouwvergunning;Nederland;2010 4e kwartaal;171509.0;1643.0;10989.0
24;Totaal alle perioden bouwvergunning;Nederland;2011 1e kwartaal;176336.0;1460.0;11168.0
25;Totaal alle perioden bouwvergunning;Nederland;2011 2e kwartaal;176875.0;1344.0;11851.0
26;Totaal alle perioden bouwvergunning;Nederland;2011 3e kwartaal;177685.0;1366.0;11783.0
27;Totaal alle perioden bouwvergunning;Nederland;2011 4e kwartaal;166614.0;2443.0;11449.0
28;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2005 1e kwartaal;11751.0;137.0;2343.0
29;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2005 2e kwartaal;12670.0;137.0;2533.0
30;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2005 3e kwartaal;13452.0;137.0;2671.0
31;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2005 4e kwartaal;13229.0;137.0;2374.0
32;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2006 1e kwartaal;14212.0;134.0;2336.0
33;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2006 2e kwartaal;15894.0;134.0;2436.0
34;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2006 3e kwartaal;16807.0;134.0;2194.0
35;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2006 4e kwartaal;15834.0;134.0;2479.0
36;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2007 1e kwartaal;16831.0;134.0;2508.0
37;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2007 2e kwartaal;16712.0;134.0;2340.0
38;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2007 3e kwartaal;16844.0;134.0;2454.0
39;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2007 4e kwartaal;15420.0;12.0;2328.0
40;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2008 1e kwartaal;16063.0;12.0;2236.0
41;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2008 2e kwartaal;16034.0;12.0;2370.0
42;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2008 3e kwartaal;15595.0;12.0;2310.0
43;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2008 4e kwartaal;14497.0;102.0;2268.0
44;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2009 1e kwartaal;14356.0;102.0;2510.0
45;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2009 2e kwartaal;14103.0;102.0;2571.0
46;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2009 3e kwartaal;14236.0;102.0;2684.0
47;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2009 4e kwartaal;12921.0;102.0;2601.0
48;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2010 1e kwartaal;13385.0;174.0;2550.0
49;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2010 2e kwartaal;13808.0;174.0;2531.0
50;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2010 3e kwartaal;13844.0;174.0;2449.0
51;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2010 4e kwartaal;13012.0;533.0;2431.0
52;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2011 1e kwartaal;14172.0;188.0;2502.0
53;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2011 2e kwartaal;14016.0;188.0;2476.0
54;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2011 3e kwartaal;13885.0;188.0;2525.0
55;Totaal alle perioden bouwvergunning;Noord-Nederland (LD);2011 4e kwartaal;14152.0;188.0;2500.0
56;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2005 1e kwartaal;28111.0;91.0;4330.0
57;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2005 2e kwartaal;29154.0;91.0;4402.0
58;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2005 3e kwartaal;29218.0;172.0;4445.0
59;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2005 4e kwartaal;28684.0;158.0;4430.0
60;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2006 1e kwartaal;30780.0;158.0;4429.0
61;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2006 2e kwartaal;34451.0;158.0;4453.0
62;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2006 3e kwartaal;34764.0;158.0;4395.0
63;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2006 4e kwartaal;33568.0;102.0;4163.0
64;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2007 1e kwartaal;35539.0;93.0;4139.0
65;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2007 2e kwartaal;36987.0;68.0;4127.0
66;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2007 3e kwartaal;38074.0;68.0;4056.0
67;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2007 4e kwartaal;35535.0;85.0;3590.0
68;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2008 1e kwartaal;36473.0;105.0;3444.0
69;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2008 2e kwartaal;36515.0;123.0;3132.0
70;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2008 3e kwartaal;37839.0;123.0;3081.0
71;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2008 4e kwartaal;35940.0;123.0;3172.0
72;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2009 1e kwartaal;36467.0;121.0;3161.0
73;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2009 2e kwartaal;37632.0;121.0;3299.0
74;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2009 3e kwartaal;37651.0;121.0;3273.0
75;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2009 4e kwartaal;34568.0;171.0;3193.0
76;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2010 1e kwartaal;35329.0;151.0;3108.0
77;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2010 2e kwartaal;36096.0;151.0;3247.0
78;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2010 3e kwartaal;37371.0;167.0;3260.0
79;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2010 4e kwartaal;35310.0;210.0;3497.0
80;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2011 1e kwartaal;36697.0;231.0;3536.0
81;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2011 2e kwartaal;35985.0;297.0;3540.0
82;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2011 3e kwartaal;36120.0;320.0;3508.0
83;Totaal alle perioden bouwvergunning;Oost-Nederland (LD);2011 4e kwartaal;34182.0;589.0;3465.0
84;Totaal alle perioden bouwvergunning;West-Nederland (LD);2005 1e kwartaal;76047.0;196.0;1450.0
85;Totaal alle perioden bouwvergunning;West-Nederland (LD);2005 2e kwartaal;77461.0;521.0;1561.0
86;Totaal alle perioden bouwvergunning;West-Nederland (LD);2005 3e kwartaal;78911.0;521.0;1532.0
87;Totaal alle perioden bouwvergunning;West-Nederland (LD);2005 4e kwartaal;73985.0;528.0;1688.0
88;Totaal alle perioden bouwvergunning;West-Nederland (LD);2006 1e kwartaal;79471.0;515.0;1612.0
89;Totaal alle perioden bouwvergunning;West-Nederland (LD);2006 2e kwartaal;85213.0;515.0;1719.0
90;Totaal alle perioden bouwvergunning;West-Nederland (LD);2006 3e kwartaal;88641.0;515.0;1939.0
91;Totaal alle perioden bouwvergunning;West-Nederland (LD);2006 4e kwartaal;85885.0;445.0;1983.0
92;Totaal alle perioden bouwvergunning;West-Nederland (LD);2007 1e kwartaal;87945.0;445.0;2023.0
93;Totaal alle perioden bouwvergunning;West-Nederland (LD);2007 2e kwartaal;90975.0;469.0;2182.0
94;Totaal alle perioden bouwvergunning;West-Nederland (LD);2007 3e kwartaal;92817.0;478.0;2237.0
95;Totaal alle perioden bouwvergunning;West-Nederland (LD);2007 4e kwartaal;87602.0;182.0;2028.0
96;Totaal alle perioden bouwvergunning;West-Nederland (LD);2008 1e kwartaal;88206.0;182.0;2169.0
97;Totaal alle perioden bouwvergunning;West-Nederland (LD);2008 2e kwartaal;90565.0;182.0;2308.0
98;Totaal alle perioden bouwvergunning;West-Nederland (LD);2008 3e kwartaal;93824.0;140.0;2489.0
99;Totaal alle perioden bouwvergunning;West-Nederland (LD);2008 4e kwartaal;92042.0;194.0;2355.0
100;Totaal alle perioden bouwvergunning;West-Nederland (LD);2009 1e kwartaal;92830.0;203.0;2354.0
101;Totaal alle perioden bouwvergunning;West-Nederland (LD);2009 2e kwartaal;92516.0;216.0;2618.0
102;Totaal alle perioden bouwvergunning;West-Nederland (LD);2009 3e kwartaal;90193.0;192.0;2568.0
103;Totaal alle perioden bouwvergunning;West-Nederland (LD);2009 4e kwartaal;84783.0;217.0;2404.0
104;Totaal alle perioden bouwvergunning;West-Nederland (LD);2010 1e kwartaal;85627.0;394.0;2391.0
105;Totaal alle perioden bouwvergunning;West-Nederland (LD);2010 2e kwartaal;87321.0;490.0;2387.0
106;Totaal alle perioden bouwvergunning;West-Nederland (LD);2010 3e kwartaal;87024.0;513.0;2374.0
107;Totaal alle perioden bouwvergunning;West-Nederland (LD);2010 4e kwartaal;85042.0;465.0;2357.0
108;Totaal alle perioden bouwvergunning;West-Nederland (LD);2011 1e kwartaal;86549.0;359.0;2421.0
109;Totaal alle perioden bouwvergunning;West-Nederland (LD);2011 2e kwartaal;87407.0;336.0;3126.0
110;Totaal alle perioden bouwvergunning;West-Nederland (LD);2011 3e kwartaal;87597.0;335.0;3048.0
111;Totaal alle perioden bouwvergunning;West-Nederland (LD);2011 4e kwartaal;81325.0;1143.0;3003.0
112;Totaal alle perioden bouwvergunning;Zuid-Nederland (LD);2005 1e kwartaal;29024.0;334.0;2570.0
