ID;Gebieden;Leeftijdsgroepen;Geslacht;TotaleBevolking_1;NederduitschHervormden_2;WaalschHervormden_3;Remonstranten_4;ChristelijkGereformeerdenAfgesch_5;Doopsgezinden_6;EvangelischLutherschen_7;HersteldLutherschen_8;BehoorendeTotDeGereformeerdeKerken_9;RoomschKatholieken_10;OudRoomschen_11;NederlandscheIsraelieten_12;PortugeescheIsraelieten_13;OverigeKerkelijkeGezindten_14;GeenKerkelijkeGezindte_15;KerkelijkeGezindteOnbekend_16;Pagina_17
0;Nederland;Totaal alle leeftijden;Mannen;2520602;1217200;4370;9040;26614;27690;34011;10445;177751;886678;4269;47478;2628;8158;64200;70;RY130
1;Nederland;Totaal alle leeftijden;Vrouwen;2583535;1253821;5487;11767;28015;30099;36235;12206;183378;903483;4485;50865;3017;9657;50979;41;RY130
2;Nederland;0-9 jaar;Mannen;624076;300230;534;1408;7205;5491;7561;2554;47948;217215;1066;10484;599;2021;19757;3;RY130
3;Nederland;0-9 jaar;Vrouwen;615148;294904;498;1338;7017;5144;7298;2514;46606;216507;1120;10228;609;2076;19281;8;RY130
4;Nederland;10-19 jaar;Mannen;514821;249471;770;1794;5590;5704;6898;2256;37590;177992;933;10355;561;1688;13210;9;RY130
5;Nederland;10-19 jaar;Vrouwen;509755;247093;811;1915;5714;5656;6769;2357;37311;176121;854;10479;598;1735;12340;2;RY130
6;Nederland;20-29 jaar;Mannen;405387;195761;706;1920;4056;4811;5438;1559;27230;141932;660;8130;454;1226;11498;6;RY130
7;Nederland;20-29 jaar;Vrouwen;424073;206119;993;2919;4725;5753;6170;1957;29165;146309;710;9018;514;1679;8041;1;RY130
8;Nederland;30-39 jaar;Mannen;316258;153577;611;1461;3151;3691;4446;1341;20913;110087;525;6004;323;1076;9043;9;RY130
9;Nederland;30-39 jaar;Vrouwen;329112;160319;870;2136;3528;4411;4901;1718;22774;113965;533;6833;407;1407;5303;7;RY130
10;Nederland;40-49 jaar;Mannen;246324;119542;623;927;2450;2943;3785;1065;16725;86620;434;4628;268;869;5437;8;RY130
11;Nederland;40-49 jaar;Vrouwen;250609;122476;885;1393;2633;3390;4047;1305;17778;86788;476;5213;288;1096;2834;7;RY130
12;Nederland;50-59 jaar;Mannen;193645;92422;547;757;1969;2405;2922;788;12913;71049;296;3757;191;645;2978;6;RY130
13;Nederland;50-59 jaar;Vrouwen;202859;98288;682;1016;1964;2648;3135;1023;13673;73191;348;4082;257;831;1719;2;RY130
14;Nederland;60-69 jaar;Mannen;137560;65926;352;515;1354;1640;1799;559;9173;51462;212;2443;144;398;1578;5;RY130
15;Nederland;60-69 jaar;Vrouwen;151520;74037;442;706;1517;1843;2248;791;10053;55085;251;2869;188;511;979;0;RY130
16;Nederland;70-79 jaar;Mannen;67512;32808;180;210;682;774;964;273;4285;25035;118;1355;69;190;566;3;RY130
17;Nederland;70-79 jaar;Vrouwen;80335;40236;233;255;725;981;1335;425;4913;28654;159;1640;119;263;397;0;RY130
18;Nederland;80 jaar en ouder;Mannen;14969;7446;47;48;157;231;198;50;974;5273;24;322;19;45;133;2;RY130
19;Nederland;80 jaar en ouder;Vrouwen;20063;10333;73;89;192;273;332;116;1101;6849;34;502;37;47;83;2;RY130
20;Nederland;Onbekende leeftijd;Mannen;50;17;0;0;0;0;0;0;0;13;1;0;0;0;0;19;RY130
21;Nederland;Onbekende leeftijd;Vrouwen;61;16;0;0;0;0;0;0;4;14;0;1;0;12;2;12;RY130
22;Groningen (prv.);Totaal alle leeftijden;Mannen;147824;98012;27;667;2644;2137;1076;180;22619;9644;17;3002;18;1029;6748;4;GR178
23;Groningen (prv.);Totaal alle leeftijden;Vrouwen;151778;101058;43;1048;2814;2413;1036;178;23336;9980;7;3000;18;1114;5731;2;GR178
24;Groningen (prv.);0-9 jaar;Mannen;36904;23969;2;66;661;302;193;31;6015;2382;1;593;4;267;2418;0;GR178
25;Groningen (prv.);0-9 jaar;Vrouwen;36088;23522;1;43;673;338;192;22;5860;2244;1;561;5;269;2357;0;GR178
26;Groningen (prv.);10-19 jaar;Mannen;30808;20439;9;95;623;382;206;37;4707;1921;5;705;5;187;1487;0;GR178
27;Groningen (prv.);10-19 jaar;Vrouwen;30283;20003;7;115;618;354;192;31;4696;1953;1;647;4;216;1446;0;GR178
28;Groningen (prv.);20-29 jaar;Mannen;23804;15944;3;110;440;324;196;36;3439;1550;5;518;2;145;1092;0;GR178
29;Groningen (prv.);20-29 jaar;Vrouwen;24735;16511;4;255;522;412;205;34;3720;1563;2;506;3;150;848;0;GR178
30;Groningen (prv.);30-39 jaar;Mannen;17866;11769;5;129;309;348;137;21;2789;1131;2;320;4;126;776;0;GR178
31;Groningen (prv.);30-39 jaar;Vrouwen;18659;12395;7;224;333;385;142;18;2904;1238;1;376;2;159;475;0;GR178
32;Groningen (prv.);40-49 jaar;Mannen;14148;9439;3;92;236;265;129;14;2134;924;2;300;1;122;487;0;GR178
33;Groningen (prv.);40-49 jaar;Vrouwen;14639;9803;14;158;243;327;96;24;2235;992;1;323;2;116;303;2;GR178
34;Groningen (prv.);50-59 jaar;Mannen;11381;7566;3;82;190;208;105;16;1729;832;2;276;1;96;275;0;GR178
35;Groningen (prv.);50-59 jaar;Vrouwen;12007;8129;6;128;198;250;100;17;1778;886;0;246;1;105;163;0;GR178
36;Groningen (prv.);60-69 jaar;Mannen;8013;5460;1;58;131;179;58;18;1157;585;0;166;1;50;149;0;GR178
37;Groningen (prv.);60-69 jaar;Vrouwen;9083;6200;3;90;147;204;58;22;1359;656;0;182;1;60;101;0;GR178
38;Groningen (prv.);70-79 jaar;Mannen;3787;2633;1;27;48;97;37;6;517;250;0;88;0;31;52;0;GR178
39;Groningen (prv.);70-79 jaar;Vrouwen;4809;3425;1;24;61;110;37;8;615;346;1;111;0;35;35;0;GR178
40;Groningen (prv.);80 jaar en ouder;Mannen;1109;793;0;8;6;32;15;1;132;69;0;36;0;5;12;0;GR178
41;Groningen (prv.);80 jaar en ouder;Vrouwen;1473;1069;0;11;19;33;14;2;168;102;0;48;0;4;3;0;GR178
42;Groningen (prv.);Onbekende leeftijd;Mannen;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;GR178
43;Groningen (prv.);Onbekende leeftijd;Vrouwen;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;GR178
44;Friesland;Totaal alle leeftijden;Mannen;169732;102026;16;106;3794;7289;392;163;29395;12148;5;733;15;958;12687;5;FR252
45;Friesland;Totaal alle leeftijden;Vrouwen;170530;102876;14;135;3972;7654;394;208;30121;12683;2;785;12;1002;10669;3;FR252
46;Friesland;0-9 jaar;Mannen;40201;22986;0;12;940;1203;60;37;7731;2852;0;145;4;223;4008;0;FR252
47;Friesland;0-9 jaar;Vrouwen;39100;22344;0;12;929;1143;46;39;7459;2829;0;120;4;221;3953;1;FR252
48;Friesland;10-19 jaar;Mannen;33764;20134;2;22;809;1321;70;31;5913;2359;0;150;1;185;2767;0;FR252
49;Friesland;10-19 jaar;Vrouwen;32970;19792;5;15;780;1291;58;40;5742;2420;0;160;1;149;2517;0;FR252
50;Friesland;20-29 jaar;Mannen;26617;15984;2;22;598;1184;56;15;4593;1753;0;117;4;155;2133;1;FR252
51;Friesland;20-29 jaar;Vrouwen;27207;16158;1;25;665;1376;80;27;4872;1880;1;146;3;175;1798;0;FR252
52;Friesland;30-39 jaar;Mannen;21130;12635;3;19;406;988;60;21;3644;1475;1;81;4;138;1653;2;FR252
53;Friesland;30-39 jaar;Vrouwen;21255;12804;1;43;467;1099;53;34;3823;1578;0;89;0;149;1114;1;FR252
54;Friesland;40-49 jaar;Mannen;16901;10473;4;12;359;827;60;25;2757;1218;2;69;0;94;1001;0;FR252
55;Friesland;40-49 jaar;Vrouwen;16539;10279;4;19;381;933;56;31;2855;1248;0;77;2;105;549;0;FR252
56;Friesland;50-59 jaar;Mannen;14111;8813;3;10;331;795;43;17;2183;1137;1;84;0;85;609;0;FR252
57;Friesland;50-59 jaar;Vrouwen;14376;9154;3;10;329;783;46;12;2426;1103;1;74;1;79;355;0;FR252
58;Friesland;60-69 jaar;Mannen;10636;6776;2;5;212;587;25;12;1684;857;1;51;2;59;362;1;FR252
59;Friesland;60-69 jaar;Vrouwen;11231;7121;0;6;256;585;31;11;1843;972;0;69;1;81;255;0;FR252
60;Friesland;70-79 jaar;Mannen;4989;3306;0;3;112;290;17;4;696;391;0;28;0;17;125;0;FR252
61;Friesland;70-79 jaar;Vrouwen;5931;3921;0;4;131;333;21;9;841;501;0;34;0;32;104;0;FR252
62;Friesland;80 jaar en ouder;Mannen;1382;919;0;1;27;94;1;1;194;106;0;8;0;2;29;0;FR252
63;Friesland;80 jaar en ouder;Vrouwen;1920;1303;0;1;34;111;3;5;260;152;0;16;0;11;24;0;FR252
64;Friesland;Onbekende leeftijd;Mannen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;FR252
65;Friesland;Onbekende leeftijd;Vrouwen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;FR252
66;Drenthe;Totaal alle leeftijden;Mannen;77901;58722;12;466;1192;350;133;51;9174;5385;7;1174;2;168;1065;0;DR106
67;Drenthe;Totaal alle leeftijden;Vrouwen;70643;53471;11;535;1269;291;108;16;8992;3857;0;1110;6;189;788;0;DR106
