ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantalHHBehorendeTotDoelpopulatie_2;AantalHuishoudensMetEenLaagInkomen_3;AantalHHOnderOfRondHetSocMin_4
0;Nederland;Totaal particulier huishouden;6664.8;6402.7;9.0;8.0
1;Nederland;Eenpersoonshuishoudens;2097.6;1991.7;14.0;13.0
2;Nederland;Paar zonder kinderen;1980.3;1924.3;4.0;4.0
3;Nederland;Paar met kinderen;1988.7;1926.1;6.0;4.0
4;Nederland;Eenoudergezin;399.5;373.9;25.0;25.0
5;Noord-Nederland;Totaal particulier huishouden;693.7;668.3;9.0;8.0
6;Noord-Nederland;Eenpersoonshuishoudens;208.0;199.8;14.0;14.0
7;Noord-Nederland;Paar zonder kinderen;223.6;216.6;4.0;5.0
8;Noord-Nederland;Paar met kinderen;209.1;202.3;7.0;4.0
9;Noord-Nederland;Eenoudergezin;37.6;35.2;27.0;27.0
10;Oost-Nederland;Totaal particulier huishouden;1329.2;1283.5;8.0;7.0
11;Oost-Nederland;Eenpersoonshuishoudens;367.3;351.4;13.0;12.0
12;Oost-Nederland;Paar zonder kinderen;405.0;394.6;4.0;4.0
13;Oost-Nederland;Paar met kinderen;442.6;429.4;6.0;3.0
14;Oost-Nederland;Eenoudergezin;71.2;67.0;24.0;23.0
15;West-Nederland;Totaal particulier huishouden;3212.5;3079.2;9.0;9.0
16;West-Nederland;Eenpersoonshuishoudens;1129.5;1067.0;14.0;14.0
17;West-Nederland;Paar zonder kinderen;895.7;871.2;3.0;4.0
18;West-Nederland;Paar met kinderen;876.0;850.1;6.0;4.0
19;West-Nederland;Eenoudergezin;214.4;200.4;26.0;25.0
20;Zuid-Nederland;Totaal particulier huishouden;1429.3;1371.7;8.0;7.0
21;Zuid-Nederland;Eenpersoonshuishoudens;392.8;373.4;13.0;13.0
22;Zuid-Nederland;Paar zonder kinderen;456.0;441.9;4.0;4.0
23;Zuid-Nederland;Paar met kinderen;461.0;444.3;5.0;3.0
24;Zuid-Nederland;Eenoudergezin;76.4;71.3;24.0;24.0
25;Groningen;Totaal particulier huishouden;240.1;229.8;11.0;10.0
26;Groningen;Eenpersoonshuishoudens;79.5;75.7;15.0;15.0
27;Groningen;Paar zonder kinderen;75.7;72.8;5.0;5.0
28;Groningen;Paar met kinderen;65.2;63.0;7.0;4.0
29;Groningen;Eenoudergezin;14.2;13.4;30.0;29.0
30;Friesland;Totaal particulier huishouden;259.5;250.5;9.0;8.0
31;Friesland;Eenpersoonshuishoudens;77.0;74.2;14.0;14.0
32;Friesland;Paar zonder kinderen;82.0;79.5;4.0;5.0
33;Friesland;Paar met kinderen;81.5;79.0;7.0;4.0
34;Friesland;Eenoudergezin;14.0;13.1;26.0;25.0
35;Drenthe;Totaal particulier huishouden;194.1;188.0;8.0;7.0
36;Drenthe;Eenpersoonshuishoudens;51.6;49.9;12.0;11.0
37;Drenthe;Paar zonder kinderen;65.9;64.4;4.0;4.0
38;Drenthe;Paar met kinderen;62.4;60.3;6.0;4.0
39;Drenthe;Eenoudergezin;9.3;8.8;25.0;25.0
40;Overijssel;Totaal particulier huishouden;426.9;412.9;8.0;8.0
41;Overijssel;Eenpersoonshuishoudens;117.2;112.4;13.0;13.0
42;Overijssel;Paar zonder kinderen;131.3;128.0;4.0;5.0
43;Overijssel;Paar met kinderen;143.1;139.0;6.0;4.0
44;Overijssel;Eenoudergezin;21.2;20.0;24.0;24.0
45;Flevoland;Totaal particulier huishouden;131.1;125.8;9.0;8.0
46;Flevoland;Eenpersoonshuishoudens;33.2;31.4;14.0;13.0
47;Flevoland;Paar zonder kinderen;36.7;35.6;4.0;4.0
48;Flevoland;Paar met kinderen;47.5;46.0;6.0;4.0
49;Flevoland;Eenoudergezin;9.6;9.0;27.0;25.0
50;Gelderland;Totaal particulier huishouden;771.2;744.8;8.0;7.0
51;Gelderland;Eenpersoonshuishoudens;217.0;207.6;12.0;12.0
52;Gelderland;Paar zonder kinderen;237.0;231.0;3.0;4.0
53;Gelderland;Paar met kinderen;252.0;244.4;5.0;3.0
54;Gelderland;Eenoudergezin;40.4;38.0;23.0;23.0
55;Utrecht;Totaal particulier huishouden;466.5;450.0;7.0;7.0
56;Utrecht;Eenpersoonshuishoudens;150.7;143.2;11.0;11.0
57;Utrecht;Paar zonder kinderen;134.8;131.6;3.0;3.0
58;Utrecht;Paar met kinderen;141.6;138.0;5.0;3.0
59;Utrecht;Eenoudergezin;25.9;24.3;21.0;21.0
60;Noord-Holland;Totaal particulier huishouden;1135.1;1086.2;10.0;9.0
61;Noord-Holland;Eenpersoonshuishoudens;431.1;406.0;15.0;15.0
62;Noord-Holland;Paar zonder kinderen;302.8;294.3;3.0;4.0
63;Noord-Holland;Paar met kinderen;286.8;278.6;6.0;4.0
